experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,50,3,2,vacuole,2,0,14,16,18,1,10,18,5,14
leu,50,3,2,vacuole,4,0,1,1,10,13,6,10,14,7
leu,50,3,2,vacuole,6,0,9,12,10,4,11,10,8,14
leu,50,3,2,vacuole,7,0,124,156,18,3,2,18,15,15
leu,50,3,2,vacuole,9,0,4,4,13,10,3,13,12,5
leu,50,3,2,vacuole,11,0,31,42,20,0,0,20,6,7
leu,50,3,2,vacuole,15,0,35,42,19,2,1,19,8,8
leu,50,3,2,vacuole,16,0,62,81,20,5,2,20,14,11
leu,50,3,2,vacuole,19,0,48,90,19,2,9,19,12,18
leu,50,3,2,vacuole,20,0,196,255,16,1,2,16,18,17
leu,50,3,2,vacuole,22,0,101,121,17,6,7,17,17,18
leu,50,3,2,vacuole,25,0,128,180,20,2,2,20,14,17
leu,50,3,2,vacuole,26,0,1,1,15,2,8,15,3,9
leu,50,3,2,vacuole,27,0,37,54,14,1,5,14,10,11
leu,50,3,2,vacuole,28,0,8,12,15,7,3,15,11,6
leu,50,3,2,vacuole,29,0,5,6,12,13,6,12,15,9
leu,50,3,2,vacuole,30,0,1,1,14,17,4,14,18,5
leu,50,3,2,vacuole,31,0,27,35,12,8,10,12,15,15
leu,50,3,2,vacuole,33,0,88,130,18,2,4,18,15,14
leu,50,3,2,vacuole,35,0,81,120,17,3,2,17,13,14
leu,50,3,2,vacuole,36,0,6,6,9,2,7,9,5,9
leu,50,3,2,vacuole,38,0,55,108,19,2,6,19,14,15
leu,50,3,2,vacuole,39,0,73,88,17,1,3,17,12,11
leu,50,3,2,vacuole,41,0,86,168,14,2,2,14,14,16
leu,50,3,2,vacuole,43,0,54,72,14,1,1,14,9,10
leu,50,3,2,vacuole,44,0,83,110,22,0,2,22,10,13
leu,50,3,2,vacuole,45,0,44,72,20,4,3,20,12,12
leu,50,3,2,vacuole,46,0,22,40,15,1,8,15,9,13
leu,50,3,2,vacuole,47,0,100,130,18,2,2,18,12,15
leu,50,3,2,vacuole,49,0,26,28,16,2,1,16,9,5
leu,50,3,2,vacuole,51,0,32,42,20,3,6,20,9,13
leu,50,3,2,vacuole,52,0,91,144,16,1,2,16,13,14
leu,50,3,2,vacuole,56,0,68,81,13,4,8,13,13,17
leu,50,3,2,vacuole,58,0,36,49,20,1,1,20,8,8
leu,50,3,2,vacuole,60,0,54,72,21,3,2,21,11,11
leu,50,3,2,vacuole,62,0,104,154,15,2,3,15,13,17
leu,50,3,2,vacuole,63,0,198,256,15,3,5,15,19,21
leu,50,3,2,vacuole,66,0,111,168,16,2,7,16,16,19
leu,50,3,2,vacuole,68,0,1,1,11,8,5,11,9,6
leu,50,3,2,vacuole,69,0,48,56,17,2,1,17,9,9
leu,50,3,2,vacuole,71,0,28,32,18,0,2,18,8,6
leu,50,3,2,vacuole,73,0,55,100,14,0,6,14,10,16
leu,50,3,2,vacuole,77,0,1,1,25,12,8,25,13,9
leu,50,3,2,vacuole,78,0,3,4,9,2,12,9,4,14
leu,50,3,2,vacuole,81,0,123,182,19,1,1,19,15,14
leu,50,3,2,vacuole,82,0,41,49,15,3,4,15,10,11
leu,50,3,2,vacuole,83,0,1,1,18,2,10,18,3,11
leu,50,3,2,vacuole,85,0,104,165,17,0,6,17,15,17
leu,50,3,2,vacuole,86,0,3,4,28,7,5,28,9,7
leu,50,3,2,vacuole,87,0,142,210,16,1,5,16,15,20
leu,50,3,2,vacuole,88,0,95,182,20,1,1,20,15,14
