experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,0,3,0,ER,1,255,2173,13547,0,0,1,31,23,20
leu,0,3,0,ER,2,255,1363,6851,0,0,0,31,17,13
leu,0,3,0,ER,3,255,2374,17577,0,0,0,31,21,27
leu,0,3,0,ER,4,255,1224,8246,0,1,0,31,20,14
leu,0,3,0,ER,5,255,2149,13702,0,0,0,31,17,26
leu,0,3,0,ER,6,255,2113,15624,0,2,1,31,26,22
leu,0,3,0,ER,7,255,1549,10013,0,0,0,31,19,17
leu,0,3,0,ER,8,255,1036,6448,0,0,0,31,13,16
leu,0,3,0,ER,9,255,1395,9920,0,1,0,31,17,20
leu,0,3,0,ER,10,255,1638,12276,0,0,0,31,22,18
leu,0,3,0,ER,11,255,451,3080,0,1,0,28,11,11
leu,0,3,0,ER,12,255,2077,14322,0,0,0,31,21,22
leu,0,3,0,ER,13,255,256,1408,9,0,0,31,8,8
leu,0,3,0,ER,14,255,1994,12648,0,1,1,31,25,18
leu,0,3,0,ER,15,255,1295,8246,0,0,0,31,19,14
leu,0,3,0,ER,16,255,2384,16275,0,1,1,31,22,26
leu,0,3,0,ER,17,255,1373,7378,0,0,0,31,14,17
leu,0,3,0,ER,18,255,2137,16275,0,0,1,31,21,26
leu,0,3,0,ER,19,255,1899,14322,0,1,0,31,23,21
leu,0,3,0,ER,20,255,1867,11191,0,1,1,31,20,20
leu,0,3,0,ER,21,255,1397,8959,0,0,0,31,17,17
leu,0,3,0,ER,22,255,1959,12369,0,0,1,31,21,20
leu,0,3,0,ER,23,255,6063,42408,0,0,0,31,38,36
leu,0,3,0,ER,24,255,580,3828,0,0,0,29,12,11
leu,0,3,0,ER,25,255,1907,12958,0,0,0,31,19,22
leu,0,3,0,ER,26,255,1448,10013,0,0,0,31,19,17
leu,0,3,0,ER,27,255,1326,6851,0,1,1,31,14,18
leu,0,3,0,ER,28,255,866,4092,0,0,0,31,11,12
leu,0,3,0,ER,29,255,750,4464,0,0,1,31,12,13
leu,0,3,0,ER,31,255,551,2976,0,0,0,31,8,12
leu,0,3,0,ER,32,255,1628,9486,0,2,0,31,19,18
leu,0,3,0,ER,33,255,1177,6510,0,0,1,31,14,16
leu,0,3,0,ER,34,255,1306,7378,0,0,0,31,14,17
leu,0,3,0,ER,35,255,1547,10013,0,0,0,31,19,17
leu,0,3,0,ER,36,255,1664,9300,0,0,1,31,15,21
leu,0,3,0,ER,37,255,1621,13547,0,0,0,31,19,23
leu,0,3,0,ER,38,255,1814,12958,0,0,0,31,22,19
leu,0,3,0,ER,39,255,1899,12121,0,0,0,31,23,17
leu,0,3,0,ER,40,255,1499,8928,0,0,0,31,16,18
leu,0,3,0,ER,41,255,2182,15686,0,0,0,31,23,22
leu,0,3,0,ER,42,255,1913,13640,0,2,3,31,22,25
leu,0,3,0,ER,43,255,2594,19964,0,0,0,31,23,28
leu,0,3,0,ER,44,255,2233,16926,0,0,0,31,21,26
leu,0,3,0,ER,45,255,1460,7440,0,0,3,31,15,19
leu,0,3,0,ER,46,255,713,4092,0,0,1,31,11,13
leu,0,3,0,ER,47,255,793,4464,0,1,0,31,13,12
leu,0,3,0,ER,48,255,1274,7905,0,1,1,31,18,16
leu,0,3,0,ER,49,255,1814,10540,0,0,0,31,20,17
leu,0,3,0,ER,50,255,2566,18600,0,0,0,31,25,24
leu,0,3,0,ER,51,255,1597,10602,0,1,1,31,19,20
leu,0,3,0,ER,52,255,959,6851,0,0,0,31,17,13
leu,0,3,0,ER,53,255,826,5488,3,0,1,31,14,15
leu,0,3,0,ER,54,255,2230,19964,0,0,0,31,23,28
leu,0,3,0,ER,55,255,337,2160,1,1,0,31,10,8
leu,0,3,0,ER,56,255,1215,6851,0,1,1,31,14,18
leu,0,3,0,ER,57,255,1311,7254,0,1,0,31,14,18
leu,0,3,0,ER,58,255,1599,11160,0,0,1,31,20,19
leu,0,3,0,ER,59,255,2042,13020,0,0,0,31,21,20
leu,0,3,0,ER,60,255,1241,9486,0,0,0,31,18,17
leu,0,3,0,ER,61,255,1479,8246,0,1,0,31,15,19
