experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,25,3,5,LD,1,1,2,2,0,2,13,1,3,15
leu,25,3,5,LD,1,4,4,6,0,7,7,1,10,9
leu,25,3,5,LD,1,5,3,4,0,10,8,2,11,10
leu,25,3,5,LD,1,49,2,2,0,7,7,2,8,8
leu,25,3,5,LD,1,50,1,1,1,10,9,2,11,10
leu,25,3,5,LD,1,124,5,12,2,10,7,5,12,9
leu,25,3,5,LD,1,250,7,18,4,5,6,7,8,8
leu,25,3,5,LD,1,252,10,12,4,9,3,7,11,5
leu,25,3,5,LD,1,336,4,6,6,10,3,8,11,6
leu,25,3,5,LD,1,419,13,18,6,10,8,9,12,11
leu,25,3,5,LD,1,514,9,18,7,9,3,10,11,6
leu,25,3,5,LD,1,613,2,2,9,2,14,10,4,15
leu,25,3,5,LD,1,614,17,54,4,5,5,10,8,8
leu,25,3,5,LD,1,615,9,18,8,10,8,11,12,11
leu,25,3,5,LD,1,718,15,27,9,5,5,12,8,8
leu,25,3,5,LD,1,719,2,2,10,12,5,11,13,7
leu,25,3,5,LD,1,824,1,1,11,0,9,12,1,10
leu,25,3,5,LD,1,827,1,1,11,11,10,12,12,11
leu,25,3,5,LD,1,938,1,1,12,1,9,13,2,10
leu,25,3,5,LD,1,1068,25,45,12,5,5,17,8,8
leu,25,3,5,LD,1,1071,9,18,11,10,8,14,12,11
leu,25,3,5,LD,1,1072,14,45,10,11,6,15,14,9
leu,25,3,5,LD,1,1292,15,48,14,11,4,18,14,8
leu,25,3,5,LD,1,1511,11,36,16,10,5,19,13,9
leu,25,3,5,LD,1,1644,21,54,17,5,5,23,8,8
leu,25,3,5,LD,1,1765,23,60,17,9,5,22,13,8
leu,25,3,5,LD,1,2175,1,1,23,9,6,24,10,7
leu,25,3,5,LD,1,2351,1,1,25,6,8,26,7,9
leu,25,3,5,LD,2,2,1,1,0,4,16,1,5,17
leu,25,3,5,LD,2,7,1,1,0,13,14,1,14,15
leu,25,3,5,LD,2,48,1,1,1,4,7,2,5,8
leu,25,3,5,LD,2,73,1,1,2,6,7,3,7,8
leu,25,3,5,LD,2,75,2,2,2,15,10,4,16,11
leu,25,3,5,LD,2,251,43,147,2,5,6,9,8,13
leu,25,3,5,LD,2,253,2,2,4,13,15,6,14,16
leu,25,3,5,LD,2,335,3,4,5,8,14,7,10,15
leu,25,3,5,LD,2,338,17,54,2,10,4,8,13,7
leu,25,3,5,LD,2,422,1,1,7,15,5,8,16,6
leu,25,3,5,LD,2,512,8,15,7,2,7,12,3,10
leu,25,3,5,LD,2,515,33,84,6,7,14,13,11,17
leu,25,3,5,LD,2,516,3,4,7,11,4,9,12,6
leu,25,3,5,LD,2,825,7,16,9,4,11,13,6,13
leu,25,3,5,LD,2,826,26,120,7,7,3,15,12,6
leu,25,3,5,LD,2,939,2,2,11,5,10,13,6,11
leu,25,3,5,LD,2,1070,9,24,12,8,14,16,10,17
leu,25,3,5,LD,2,1074,24,45,11,12,5,16,15,8
leu,25,3,5,LD,2,1178,2,2,14,10,1,16,11,2
leu,25,3,5,LD,2,1289,14,36,13,3,10,17,6,13
leu,25,3,5,LD,2,1290,5,6,14,5,10,17,7,11
leu,25,3,5,LD,2,1291,4,4,14,6,2,16,7,4
leu,25,3,5,LD,2,1400,13,30,14,8,4,19,10,7
leu,25,3,5,LD,2,1402,3,4,16,13,7,18,14,9
leu,25,3,5,LD,2,1512,16,32,15,12,5,19,14,9
leu,25,3,5,LD,2,1645,9,16,16,5,9,20,7,11
leu,25,3,5,LD,2,1763,17,60,17,5,7,22,8,11
leu,25,3,5,LD,2,1764,16,72,17,6,5,23,10,8
leu,25,3,5,LD,2,1766,6,16,18,12,6,22,14,8
leu,25,3,5,LD,2,2070,6,8,21,11,6,23,13,8
leu,25,3,5,LD,2,2283,3,3,24,7,7,25,10,8
leu,25,3,5,LD,4,8,2,2,0,9,18,1,10,20
leu,25,3,5,LD,4,10,1,1,0,19,13,1,20,14
leu,25,3,5,LD,4,11,1,1,0,20,5,1,21,6
leu,25,3,5,LD,4,52,8,12,0,12,9,2,15,11
leu,25,3,5,LD,4,178,10,18,3,3,13,6,6,15
leu,25,3,5,LD,4,179,2,2,4,7,3,5,9,4
leu,25,3,5,LD,4,180,7,8,3,12,15,5,14,17
leu,25,3,5,LD,4,181,19,54,4,13,11,10,16,14
leu,25,3,5,LD,4,254,22,75,4,12,12,9,15,17
leu,25,3,5,LD,4,255,66,180,0,12,6,9,16,11
leu,25,3,5,LD,4,334,13,24,5,3,12,9,5,15
leu,25,3,5,LD,4,513,1,1,8,3,12,9,4,13
leu,25,3,5,LD,4,517,21,48,7,13,13,10,17,17
leu,25,3,5,LD,4,519,5,8,7,19,6,11,20,8
leu,25,3,5,LD,4,619,3,4,8,15,7,10,16,9
leu,25,3,5,LD,4,720,15,24,8,13,5,11,17,7
leu,25,3,5,LD,4,830,15,60,9,12,13,14,16,16
leu,25,3,5,LD,4,943,25,54,10,13,14,16,16,17
leu,25,3,5,LD,4,1069,1,1,13,2,12,14,3,13
leu,25,3,5,LD,4,1075,59,160,9,13,5,19,17,9
leu,25,3,5,LD,4,1403,4,4,16,14,8,18,15,10
leu,25,3,5,LD,4,1404,22,96,15,13,13,21,17,17
leu,25,3,5,LD,4,1514,1,1,17,13,10,18,14,11
leu,25,3,5,LD,4,1515,14,60,16,13,12,21,16,16
leu,25,3,5,LD,4,1646,12,30,15,5,13,20,8,15
leu,25,3,5,LD,4,1648,11,36,18,13,5,22,16,8
leu,25,3,5,LD,5,51,4,8,0,8,5,2,10,7
leu,25,3,5,LD,5,77,6,16,1,12,12,5,14,14
leu,25,3,5,LD,5,125,23,36,1,3,8,5,6,11
leu,25,3,5,LD,5,127,17,48,1,8,4,5,12,7
leu,25,3,5,LD,5,182,3,4,3,10,4,5,12,5
leu,25,3,5,LD,5,256,4,6,4,12,13,6,15,14
leu,25,3,5,LD,5,341,36,60,4,11,4,10,13,9
