experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
leu,25,3,3,3,331,22.163141993957705,193.0,12,182,33,204,0.4758710080470396
leu,25,3,3,4,418,40.569377990430624,201.85885167464116,29,191,53,214,0.30916664611356387
leu,25,3,3,5,277,42.935018050541515,408.71119133574007,34,399,53,419,0.38343453433580577
leu,25,3,3,6,179,44.84357541899441,218.53631284916202,37,211,54,226,0.5893965945444698
leu,25,3,3,7,278,46.05395683453237,233.3884892086331,37,225,56,243,0.4626942888800461
leu,25,3,3,8,213,55.31924882629108,190.77464788732394,47,183,64,200,0.36772524981312715
leu,25,3,3,9,180,57.90555555555556,210.73333333333332,51,204,66,219,0.4823396703176691
leu,25,3,3,10,260,77.51923076923077,224.59230769230768,69,216,87,234,0.4619443346198724
leu,25,3,3,11,232,80.37068965517241,208.41379310344828,72,200,89,217,0.5014365422250523
leu,25,3,3,12,183,105.32786885245902,119.44808743169399,99,111,113,129,0.6419132985909575
leu,25,3,3,13,176,105.80113636363636,172.32954545454547,99,165,114,181,0.43147147763003246
leu,25,3,3,14,212,107.91037735849056,73.26886792452831,100,66,117,82,0.47983945458958915
leu,25,3,3,15,248,116.63306451612904,131.72177419354838,108,123,127,142,0.5440449328008226
leu,25,3,3,16,210,119.08571428571429,179.03809523809525,111,171,129,188,0.45226544184395695
leu,25,3,3,17,236,125.1822033898305,155.3177966101695,116,147,135,164,0.5769591055205391
leu,25,3,3,18,284,126.86971830985915,433.2112676056338,118,424,138,443,0.20979094878917365
leu,25,3,3,19,335,131.17014925373135,123.15223880597014,121,113,142,135,0.4781858394707622
leu,25,3,3,20,206,129.82038834951456,140.7378640776699,122,134,139,150,0.4538444749802959
leu,25,3,3,21,284,130.69366197183098,415.9401408450704,122,407,140,427,0.41512879411065284
leu,25,3,3,22,177,130.7683615819209,169.72881355932202,124,162,138,179,0.40459341679329114
leu,25,3,3,23,120,132.71666666666667,183.15,127,178,140,190,0.3042861906774522
leu,25,3,3,24,253,141.95652173913044,150.55731225296444,134,141,151,161,0.4848785419297745
leu,25,3,3,25,162,141.820987654321,428.64814814814815,135,421,149,437,0.40219431149840484
leu,25,3,3,26,222,145.5045045045045,133.9189189189189,138,125,154,143,0.416645583740983
leu,25,3,3,27,244,145.24180327868854,395.49590163934425,138,386,154,406,0.5270922239756886
leu,25,3,3,28,133,148.69924812030075,416.77443609022555,143,411,156,424,0.4059038876484521
leu,25,3,3,29,205,202.88292682926829,320.7121951219512,195,313,213,329,0.5721654924773807
leu,25,3,3,30,276,208.96376811594203,67.8623188405797,200,58,219,78,0.4725444441249873
leu,25,3,3,31,242,213.33471074380165,51.34710743801653,205,43,222,61,0.3518734887344914
leu,25,3,3,32,208,215.27403846153845,299.6875,207,293,225,308,0.5311721342352959
leu,25,3,3,33,273,220.63369963369962,398.54578754578756,211,390,231,408,0.5160080424912776
