experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,75,3,6,golgi,5,32,3,4,3,12,7,5,13,9
leu,75,3,6,golgi,5,108,15,24,5,9,2,9,11,5
leu,75,3,6,golgi,5,464,9,16,11,10,14,15,12,16
leu,75,3,6,golgi,6,109,1,1,6,11,11,7,12,12
leu,75,3,6,golgi,6,210,8,18,7,11,11,10,13,14
leu,75,3,6,golgi,6,334,5,6,9,12,10,11,13,13
leu,75,3,6,golgi,6,466,26,75,9,10,9,14,13,14
leu,75,3,6,golgi,6,600,21,32,13,11,10,17,13,14
leu,75,3,6,golgi,6,766,4,6,16,12,10,18,13,13
leu,75,3,6,golgi,6,984,4,4,18,1,6,20,2,8
leu,75,3,6,golgi,6,986,24,72,16,10,9,22,13,13
leu,75,3,6,golgi,6,1226,1,1,23,0,10,24,1,11
leu,75,3,6,golgi,7,64,2,2,5,7,4,7,8,5
leu,75,3,6,golgi,7,208,2,2,7,5,5,9,6,6
leu,75,3,6,golgi,7,465,29,84,9,6,11,16,10,14
leu,75,3,6,golgi,8,599,36,96,12,1,1,18,5,5
leu,75,3,6,golgi,8,912,6,18,17,3,1,20,6,3
leu,75,3,6,golgi,8,1053,21,72,18,1,1,24,5,4
leu,75,3,6,golgi,8,1110,14,45,19,2,1,24,5,4
leu,75,3,6,golgi,9,110,2,4,6,19,5,7,21,7
leu,75,3,6,golgi,9,335,3,4,10,11,16,12,13,17
leu,75,3,6,golgi,9,535,30,72,11,10,15,17,13,19
leu,75,3,6,golgi,9,601,8,18,14,10,15,17,13,17
leu,75,3,6,golgi,9,838,6,18,16,10,16,19,12,19
leu,75,3,6,golgi,9,911,7,12,17,2,4,20,4,6
leu,75,3,6,golgi,9,985,2,2,19,2,4,20,3,6
leu,75,3,6,golgi,9,1109,7,12,20,2,4,23,4,6
leu,75,3,6,golgi,10,155,3,3,7,6,12,8,9,13
leu,75,3,6,golgi,10,156,8,16,5,11,1,9,13,3
leu,75,3,6,golgi,10,209,2,2,7,1,9,9,2,10
leu,75,3,6,golgi,10,211,4,6,7,8,10,9,9,13
leu,75,3,6,golgi,10,212,7,18,7,11,1,10,14,3
leu,75,3,6,golgi,10,274,15,24,7,7,10,11,9,13
leu,75,3,6,golgi,10,336,14,27,9,11,1,12,14,4
leu,75,3,6,golgi,10,398,1,1,11,15,9,12,16,10
leu,75,3,6,golgi,11,33,53,105,1,1,6,8,4,11
leu,75,3,6,golgi,11,65,12,30,3,0,8,8,2,11
leu,75,3,6,golgi,11,397,6,12,10,2,10,12,5,12
leu,75,3,6,golgi,11,534,20,45,11,1,9,16,4,12
leu,75,3,6,golgi,11,1054,64,128,17,1,1,25,5,5
leu,75,3,6,golgi,12,213,31,63,5,1,3,12,4,6
leu,75,3,6,golgi,12,276,3,3,8,7,12,11,8,13
leu,75,3,6,golgi,12,537,5,8,13,13,6,15,15,8
leu,75,3,6,golgi,12,839,6,12,16,1,4,20,2,7
leu,75,3,6,golgi,12,987,49,96,15,5,3,21,9,7
leu,75,3,6,golgi,12,1055,21,36,20,5,3,23,9,6
leu,75,3,6,golgi,12,1172,19,36,22,5,3,26,8,6
leu,75,3,6,golgi,13,1,8,16,2,10,9,6,12,11
leu,75,3,6,golgi,13,275,32,60,6,4,15,11,8,18
leu,75,3,6,golgi,13,536,53,72,11,4,15,17,8,18
leu,75,3,6,golgi,13,681,22,30,13,10,17,18,13,19
leu,75,3,6,golgi,13,913,1,1,18,1,11,19,2,12
leu,75,3,6,golgi,13,989,21,30,17,9,17,22,12,19
leu,75,3,6,golgi,14,110,1,1,6,1,7,7,2,8
leu,75,3,6,golgi,14,214,21,54,6,4,14,12,7,17
leu,75,3,6,golgi,14,399,29,60,9,7,12,14,10,16
leu,75,3,6,golgi,14,400,57,150,7,10,3,13,15,8
leu,75,3,6,golgi,14,538,57,140,10,9,1,17,13,6
leu,75,3,6,golgi,14,841,18,24,16,8,1,20,11,3
leu,75,3,6,golgi,15,66,5,12,4,7,2,6,9,5
leu,75,3,6,golgi,15,157,42,96,4,4,1,10,8,5
leu,75,3,6,golgi,15,337,1,1,10,8,10,11,9,11
leu,75,3,6,golgi,15,767,1,1,16,16,12,17,17,13
leu,75,3,6,golgi,15,914,23,60,14,6,12,19,9,16
leu,75,3,6,golgi,15,991,35,96,16,6,13,24,10,16
leu,75,3,6,golgi,16,12,21,54,0,14,7,6,17,10
leu,75,3,6,golgi,16,13,10,16,2,18,6,6,20,8
leu,75,3,6,golgi,16,67,3,3,5,7,14,8,8,15
leu,75,3,6,golgi,16,113,12,16,4,14,8,8,16,10
leu,75,3,6,golgi,16,277,1,1,9,9,1,10,10,2
leu,75,3,6,golgi,16,469,38,63,10,12,6,17,15,9
leu,75,3,6,golgi,16,682,6,9,15,12,8,18,15,9
leu,75,3,6,golgi,16,840,12,27,16,2,10,19,5,13
leu,75,3,6,golgi,16,842,5,6,16,12,7,19,13,9
leu,75,3,6,golgi,16,988,26,60,18,1,9,23,4,13
leu,75,3,6,golgi,17,467,37,81,10,1,2,19,4,5
leu,75,3,6,golgi,17,990,9,16,18,0,8,22,2,10
leu,75,3,6,golgi,18,111,16,24,5,2,10,8,6,12
leu,75,3,6,golgi,18,112,20,45,4,3,2,9,6,5
leu,75,3,6,golgi,18,158,23,64,5,2,3,9,6,7
leu,75,3,6,golgi,18,215,1,1,8,1,9,9,2,10
leu,75,3,6,golgi,18,278,3,4,8,4,10,10,5,12
leu,75,3,6,golgi,18,339,2,2,10,3,11,11,5,12
leu,75,3,6,golgi,18,340,25,90,8,2,3,14,7,6
leu,75,3,6,golgi,18,341,2,2,10,13,13,12,14,14
leu,75,3,6,golgi,18,401,2,2,11,3,12,12,5,13
leu,75,3,6,golgi,18,402,19,75,10,2,2,15,7,5
leu,75,3,6,golgi,18,468,11,18,12,2,3,15,5,5
leu,75,3,6,golgi,18,539,13,27,11,3,10,14,6,13
leu,75,3,6,golgi,19,338,2,2,10,1,12,12,2,13
leu,75,3,6,golgi,19,471,52,128,9,13,1,17,17,5
leu,75,3,6,golgi,19,770,15,45,15,10,13,20,13,16
leu,75,3,6,golgi,20,36,33,80,2,4,3,7,8,7
leu,75,3,6,golgi,20,160,18,36,6,4,3,9,8,6
leu,75,3,6,golgi,20,404,1,1,11,18,19,12,19,20
leu,75,3,6,golgi,20,542,6,8,12,18,18,16,19,20
leu,75,3,6,golgi,20,683,8,18,15,7,2,18,9,5
leu,75,3,6,golgi,20,684,2,2,15,12,3,16,14,4
leu,75,3,6,golgi,20,768,3,3,15,7,4,18,8,5
leu,75,3,6,golgi,20,772,4,6,15,13,3,18,14,5
leu,75,3,6,golgi,20,773,20,45,14,13,11,19,16,14
leu,75,3,6,golgi,20,915,7,18,17,7,4,20,10,6
leu,75,3,6,golgi,20,1056,8,12,18,13,13,22,14,16
leu,75,3,6,golgi,21,34,15,36,2,4,5,8,7,7
leu,75,3,6,golgi,21,35,8,10,3,4,16,8,6,17
leu,75,3,6,golgi,21,68,10,20,3,2,9,8,4,11
leu,75,3,6,golgi,21,159,6,12,6,1,11,9,3,13
leu,75,3,6,golgi,21,540,35,60,10,12,4,15,16,7
leu,75,3,6,golgi,21,685,20,48,14,12,3,18,15,7
leu,75,3,6,golgi,21,771,5,6,15,12,17,18,13,19
leu,75,3,6,golgi,21,994,8,18,18,12,4,20,15,7
leu,75,3,6,golgi,21,1112,18,54,17,11,16,23,14,19
leu,75,3,6,golgi,22,403,50,108,9,12,3,15,15,9
leu,75,3,6,golgi,22,602,2,2,14,1,8,15,2,10
leu,75,3,6,golgi,22,604,1,1,14,8,9,15,9,10
leu,75,3,6,golgi,22,686,21,60,14,12,3,19,15,7
leu,75,3,6,golgi,22,769,5,12,14,7,9,17,9,11
leu,75,3,6,golgi,22,992,1,1,19,0,10,20,1,11
leu,75,3,6,golgi,22,993,3,4,19,5,9,21,7,10
leu,75,3,6,golgi,23,216,4,6,8,8,17,11,10,18
leu,75,3,6,golgi,23,342,2,2,10,9,17,12,10,18
leu,75,3,6,golgi,23,470,6,12,10,7,17,13,9,19
leu,75,3,6,golgi,23,603,9,24,13,2,16,17,4,19
leu,75,3,6,golgi,23,843,5,6,16,2,15,18,3,18
leu,75,3,6,golgi,23,917,11,30,16,6,6,21,8,9
leu,75,3,6,golgi,23,918,16,45,17,10,11,22,13,14
leu,75,3,6,golgi,23,1174,2,2,21,10,13,23,11,14
leu,75,3,6,golgi,24,162,46,96,4,11,3,12,15,6
leu,75,3,6,golgi,24,606,2,2,14,13,5,16,14,6
leu,75,3,6,golgi,24,916,21,48,16,1,7,20,4,11
leu,75,3,6,golgi,24,1111,7,18,20,1,7,23,3,10
leu,75,3,6,golgi,24,1173,1,1,22,1,7,23,2,8
leu,75,3,6,golgi,25,2,5,6,1,1,3,3,2,6
leu,75,3,6,golgi,25,3,2,2,2,9,3,3,10,5
leu,75,3,6,golgi,25,15,18,36,2,7,2,6,10,5
leu,75,3,6,golgi,25,37,2,2,3,1,5,5,2,6
leu,75,3,6,golgi,25,69,27,56,2,1,3,9,3,7
leu,75,3,6,golgi,25,71,19,54,4,10,6,10,13,9
leu,75,3,6,golgi,25,280,4,8,8,1,3,10,3,5
leu,75,3,6,golgi,25,341,3,3,9,1,6,12,2,7
leu,75,3,6,golgi,25,343,17,45,9,1,6,14,4,9
leu,75,3,6,golgi,25,689,32,72,13,11,5,19,15,8
leu,75,3,6,golgi,26,218,1,1,8,10,5,9,11,6
leu,75,3,6,golgi,26,220,24,54,6,10,6,12,13,9
leu,75,3,6,golgi,26,472,20,40,10,10,4,15,12,8
leu,75,3,6,golgi,26,997,3,4,19,7,5,20,9,7
leu,75,3,6,golgi,26,1057,2,2,19,8,10,21,9,11
leu,75,3,6,golgi,27,14,6,6,2,1,8,5,2,10
leu,75,3,6,golgi,27,73,4,8,5,11,8,7,13,10
leu,75,3,6,golgi,27,283,18,45,7,6,1,12,9,4
leu,75,3,6,golgi,27,544,10,18,13,5,5,16,7,8
leu,75,3,6,golgi,27,844,8,18,16,5,4,19,7,7
leu,75,3,6,golgi,27,995,28,48,17,0,10,21,4,13
leu,75,3,6,golgi,27,1113,19,36,21,0,10,25,3,13
leu,75,3,6,golgi,28,17,13,24,2,7,10,6,10,12
leu,75,3,6,golgi,28,115,14,27,5,0,11,8,3,14
leu,75,3,6,golgi,28,164,4,6,6,11,5,9,12,7
leu,75,3,6,golgi,28,217,5,12,8,1,11,10,3,14
leu,75,3,6,golgi,28,344,12,12,9,2,5,12,4,7
leu,75,3,6,golgi,28,405,16,36,8,11,8,12,14,11
leu,75,3,6,golgi,28,473,33,96,8,11,8,16,15,11
leu,75,3,6,golgi,28,541,18,60,11,0,10,16,3,14
leu,75,3,6,golgi,28,543,1,1,13,2,5,14,3,6
leu,75,3,6,golgi,28,605,4,6,13,2,4,16,4,5
leu,75,3,6,golgi,28,687,3,4,15,0,10,17,1,12
leu,75,3,6,golgi,28,688,6,9,14,2,4,17,3,7
leu,75,3,6,golgi,28,846,1,1,17,12,11,18,13,12
leu,75,3,6,golgi,28,919,38,72,15,0,12,21,4,15
leu,75,3,6,golgi,28,922,2,2,17,12,12,19,13,13
leu,75,3,6,golgi,28,999,9,16,17,8,3,21,10,5
leu,75,3,6,golgi,28,1115,42,100,19,0,12,24,5,16
leu,75,3,6,golgi,28,1175,6,12,22,0,12,24,2,15
leu,75,3,6,golgi,29,38,10,24,3,7,6,7,9,9
leu,75,3,6,golgi,29,545,4,6,12,9,9,15,11,10
leu,75,3,6,golgi,29,691,6,8,13,10,8,17,11,10
leu,75,3,6,golgi,29,776,9,18,15,8,2,18,11,4
leu,75,3,6,golgi,29,845,10,36,15,8,1,19,11,4
leu,75,3,6,golgi,29,996,1,1,19,3,6,20,4,7
leu,75,3,6,golgi,29,1000,12,27,18,8,1,21,11,4
leu,75,3,6,golgi,30,70,9,12,2,2,8,6,5,9
leu,75,3,6,golgi,30,72,8,18,4,4,11,7,7,13
leu,75,3,6,golgi,30,163,2,2,7,4,12,8,6,13
leu,75,3,6,golgi,30,282,67,176,2,1,8,13,5,12
leu,75,3,6,golgi,30,404,14,60,10,0,7,13,5,11
leu,75,3,6,golgi,30,542,18,45,12,0,8,17,3,11
leu,75,3,6,golgi,30,775,7,18,15,2,9,18,4,12
leu,75,3,6,golgi,30,921,11,27,16,2,10,19,5,13
leu,75,3,6,golgi,30,998,17,36,18,3,10,22,6,13
leu,75,3,6,golgi,31,4,1,1,2,3,15,3,4,16
leu,75,3,6,golgi,31,16,10,24,2,3,15,6,6,17
leu,75,3,6,golgi,31,75,38,72,3,12,19,9,16,22
leu,75,3,6,golgi,31,778,10,16,14,14,15,18,16,17
leu,75,3,6,golgi,31,1002,70,180,14,11,14,23,16,18
leu,75,3,6,golgi,32,221,1,1,8,10,4,9,11,5
leu,75,3,6,golgi,32,693,37,63,10,11,10,17,14,13
leu,75,3,6,golgi,32,777,6,6,15,14,9,18,15,11
leu,75,3,6,golgi,32,847,33,60,16,12,9,21,15,13
leu,75,3,6,golgi,32,1177,8,9,21,14,9,24,15,12
leu,75,3,6,golgi,33,285,5,5,6,16,10,11,17,11
leu,75,3,6,golgi,33,607,29,60,10,4,2,15,8,5
leu,75,3,6,golgi,33,692,52,128,13,5,2,21,9,6
leu,75,3,6,golgi,33,1116,7,12,20,2,6,23,4,8
leu,75,3,6,golgi,33,1176,6,16,20,2,6,24,4,8
leu,75,3,6,golgi,34,74,5,8,3,2,10,7,3,12
leu,75,3,6,golgi,34,346,15,36,8,14,4,12,17,7
leu,75,3,6,golgi,34,474,14,24,11,11,3,15,14,5
leu,75,3,6,golgi,34,475,6,12,11,15,4,14,17,6
leu,75,3,6,golgi,34,612,5,9,13,14,4,16,17,5
leu,75,3,6,golgi,34,696,8,16,13,11,2,17,13,4
leu,75,3,6,golgi,34,1001,2,2,19,4,4,20,5,6
leu,75,3,6,golgi,35,18,5,8,2,6,2,4,8,4
leu,75,3,6,golgi,35,39,27,54,1,4,2,7,7,5
leu,75,3,6,golgi,35,117,4,4,5,10,10,7,12,11
leu,75,3,6,golgi,35,165,15,36,6,4,2,9,8,5
leu,75,3,6,golgi,35,286,46,96,6,7,0,14,11,3
leu,75,3,6,golgi,35,694,13,36,14,1,3,18,4,6
leu,75,3,6,golgi,35,695,19,45,13,4,11,18,7,14
leu,75,3,6,golgi,35,1059,1,1,20,11,2,21,12,3
leu,75,3,6,golgi,35,1180,20,36,19,12,3,25,14,6
leu,75,3,6,golgi,36,78,9,18,3,7,0,6,10,2
leu,75,3,6,golgi,36,79,66,160,1,7,3,9,12,7
leu,75,3,6,golgi,36,116,3,3,5,4,9,8,5,10
leu,75,3,6,golgi,36,167,50,200,4,7,0,12,12,5
leu,75,3,6,golgi,36,284,31,42,7,0,2,14,2,5
leu,75,3,6,golgi,36,608,5,6,13,1,1,15,2,4
leu,75,3,6,golgi,36,923,9,18,17,7,14,20,9,17
leu,75,3,6,golgi,38,40,25,48,3,5,2,7,9,5
leu,75,3,6,golgi,38,77,1,1,5,5,4,6,6,5
leu,75,3,6,golgi,38,166,6,12,6,6,2,9,8,4
leu,75,3,6,golgi,38,222,2,2,8,6,5,10,7,6
leu,75,3,6,golgi,38,546,21,36,12,4,2,16,7,5
leu,75,3,6,golgi,38,609,14,36,14,4,3,17,8,6
leu,75,3,6,golgi,38,1178,1,1,22,5,5,23,6,6
leu,75,3,6,golgi,38,1227,4,8,22,4,4,24,6,6
leu,75,3,6,golgi,39,285,55,80,3,5,18,13,7,22
leu,75,3,6,golgi,39,611,21,36,12,7,5,18,10,7
leu,75,3,6,golgi,39,697,40,120,12,5,0,18,10,4
leu,75,3,6,golgi,39,1004,22,45,17,5,1,22,8,4
leu,75,3,6,golgi,39,1117,7,12,21,0,7,23,3,9
leu,75,3,6,golgi,39,1118,5,12,20,6,2,23,8,4
leu,75,3,6,golgi,39,1179,11,18,21,4,1,24,7,3
leu,75,3,6,golgi,39,1228,11,32,22,5,2,26,9,4
leu,75,3,6,golgi,39,1265,1,1,25,8,3,26,9,4
leu,75,3,6,golgi,40,345,6,6,9,6,1,11,9,2
leu,75,3,6,golgi,40,406,27,60,9,5,1,14,9,4
leu,75,3,6,golgi,40,610,14,36,13,5,2,17,8,5
leu,75,3,6,golgi,40,848,6,6,16,6,1,19,7,3
leu,75,3,6,golgi,40,1058,2,2,19,6,4,21,7,5
leu,75,3,6,golgi,41,170,1,1,7,10,7,8,11,8
leu,75,3,6,golgi,41,1229,5,8,23,5,2,25,7,4
leu,75,3,6,golgi,42,168,47,84,3,7,12,10,10,16
leu,75,3,6,golgi,42,223,33,56,5,1,10,12,3,14
leu,75,3,6,golgi,42,347,28,60,8,8,12,13,11,16
leu,75,3,6,golgi,42,613,13,30,12,8,14,17,10,17
leu,75,3,6,golgi,42,698,4,6,15,9,14,17,10,17
leu,75,3,6,golgi,42,849,2,2,17,7,15,18,9,16
leu,75,3,6,golgi,42,924,2,2,17,1,14,19,2,15
leu,75,3,6,golgi,42,1003,3,4,18,1,13,20,2,15
leu,75,3,6,golgi,43,409,7,9,10,12,4,13,13,7
leu,75,3,6,golgi,43,925,57,160,15,7,15,23,12,19
leu,75,3,6,golgi,43,1060,7,12,20,10,15,23,12,17
leu,75,3,6,golgi,44,41,5,6,3,5,9,6,6,11
leu,75,3,6,golgi,44,169,18,60,4,1,6,9,5,9
leu,75,3,6,golgi,44,224,1,1,8,4,8,9,5,9
leu,75,3,6,golgi,44,288,1,1,9,4,8,10,5,9
leu,75,3,6,golgi,44,290,13,24,8,11,8,12,14,10
leu,75,3,6,golgi,44,407,3,4,11,4,2,13,6,3
leu,75,3,6,golgi,44,410,4,4,11,13,8,13,14,10
leu,75,3,6,golgi,44,699,41,105,12,5,0,19,10,3
leu,75,3,6,golgi,44,850,3,4,16,4,10,18,5,12
leu,75,3,6,golgi,45,287,28,54,6,0,2,12,3,5
leu,75,3,6,golgi,46,118,48,125,2,2,8,7,7,13
leu,75,3,6,golgi,46,225,90,245,6,3,8,13,10,13
leu,75,3,6,golgi,46,348,9,24,9,6,13,13,8,16
leu,75,3,6,golgi,46,349,2,2,10,9,11,11,10,13
leu,75,3,6,golgi,46,408,2,2,11,6,14,12,7,16
leu,75,3,6,golgi,46,476,12,36,10,5,12,14,8,15
leu,75,3,6,golgi,46,547,8,16,12,9,3,16,11,5
leu,75,3,6,golgi,46,780,3,3,15,9,9,18,10,10
leu,75,3,6,golgi,46,781,3,3,15,10,8,18,11,9
leu,75,3,6,golgi,46,852,15,60,15,7,2,20,10,6
leu,75,3,6,golgi,47,119,25,60,4,3,5,9,6,9
leu,75,3,6,golgi,47,171,7,12,7,3,5,9,6,7
leu,75,3,6,golgi,47,226,5,6,6,12,3,9,13,5
leu,75,3,6,golgi,47,289,25,60,8,2,6,13,6,9
leu,75,3,6,golgi,47,292,19,30,6,11,4,11,13,7
leu,75,3,6,golgi,47,293,84,176,5,12,0,16,16,4
leu,75,3,6,golgi,47,782,10,16,14,10,13,18,12,15
leu,75,3,6,golgi,48,19,2,2,2,8,10,4,9,11
leu,75,3,6,golgi,48,82,8,24,4,6,7,8,8,10
leu,75,3,6,golgi,48,291,2,2,8,8,8,10,9,9
leu,75,3,6,golgi,48,614,2,2,13,3,12,15,4,13
leu,75,3,6,golgi,48,615,23,54,12,6,0,18,9,3
leu,75,3,6,golgi,48,926,7,18,17,2,10,20,5,12
