experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,0,3,8,mitochondria,2,5,3,4,0,2,5,1,4,7
leu,0,3,8,mitochondria,2,6,3,4,0,15,7,1,17,9
leu,0,3,8,mitochondria,2,270,13,45,1,5,1,6,8,4
leu,0,3,8,mitochondria,2,271,2384,11400,1,0,0,31,20,19
leu,0,3,8,mitochondria,2,343,1,1,2,10,9,3,11,10
leu,0,3,8,mitochondria,2,344,5,9,2,13,2,3,16,5
leu,0,3,8,mitochondria,2,509,1,1,4,5,15,5,6,16
leu,0,3,8,mitochondria,2,544,3,4,5,11,12,7,13,13
leu,0,3,8,mitochondria,2,676,6,9,28,1,5,31,2,8
leu,0,3,8,mitochondria,3,7,4,6,0,5,1,2,6,4
leu,0,3,8,mitochondria,3,451,3,4,3,3,2,5,4,4
leu,0,3,8,mitochondria,3,568,418,1449,8,0,0,31,7,9
leu,0,3,8,mitochondria,4,10,46,440,0,2,2,8,13,7
leu,0,3,8,mitochondria,4,12,1,1,0,18,6,1,19,7
leu,0,3,8,mitochondria,4,272,7,12,1,13,18,3,16,20
leu,0,3,8,mitochondria,4,273,2,2,1,16,15,3,17,16
leu,0,3,8,mitochondria,4,346,10,18,2,18,12,5,20,15
leu,0,3,8,mitochondria,4,452,1,1,3,5,9,4,6,10
leu,0,3,8,mitochondria,4,453,2,2,3,14,2,4,16,3
leu,0,3,8,mitochondria,4,510,5,12,4,3,12,7,5,14
leu,0,3,8,mitochondria,4,512,2528,12474,4,0,0,31,21,22
leu,0,3,8,mitochondria,4,514,3,4,4,14,4,6,16,5
leu,0,3,8,mitochondria,4,515,1,1,4,17,17,5,18,18
leu,0,3,8,mitochondria,4,545,2,2,5,8,7,6,9,9
leu,0,3,8,mitochondria,4,565,1,1,7,9,2,8,10,3
leu,0,3,8,mitochondria,4,664,18,36,25,2,6,31,4,9
leu,0,3,8,mitochondria,5,8,1266,5850,0,0,0,30,13,15
leu,0,3,8,mitochondria,7,11,2,2,0,11,5,2,12,6
leu,0,3,8,mitochondria,7,13,1666,8835,0,0,1,31,15,20
leu,0,3,8,mitochondria,7,14,2,2,0,13,14,1,15,15
leu,0,3,8,mitochondria,7,345,3,4,2,3,7,4,4,9
leu,0,3,8,mitochondria,7,513,8,27,4,6,5,7,9,8
leu,0,3,8,mitochondria,7,683,4,8,29,2,5,31,4,7
leu,0,3,8,mitochondria,7,694,1,1,30,2,16,31,3,17
leu,0,3,8,mitochondria,7,695,2,2,30,9,2,31,11,3
leu,0,3,8,mitochondria,8,15,1,1,0,3,15,1,4,16
leu,0,3,8,mitochondria,8,16,2449,14973,0,1,1,31,22,24
leu,0,3,8,mitochondria,8,19,3,4,0,9,4,2,11,5
leu,0,3,8,mitochondria,8,21,3,3,0,12,20,3,13,21
leu,0,3,8,mitochondria,8,23,2,2,0,16,2,2,17,3
leu,0,3,8,mitochondria,8,347,11,24,2,5,6,4,9,9
leu,0,3,8,mitochondria,8,348,1,1,2,15,5,3,16,6
leu,0,3,8,mitochondria,8,351,1,1,2,18,3,3,19,4
leu,0,3,8,mitochondria,8,454,4,6,3,4,9,6,5,11
leu,0,3,8,mitochondria,8,516,4,8,4,7,19,6,9,21
leu,0,3,8,mitochondria,8,546,2,2,5,8,5,6,9,7
leu,0,3,8,mitochondria,8,576,4,12,9,11,0,11,14,2
leu,0,3,8,mitochondria,8,577,6,18,9,15,0,11,18,3
leu,0,3,8,mitochondria,8,590,1,1,10,4,5,11,5,6
leu,0,3,8,mitochondria,8,684,2,2,29,3,7,30,4,9
leu,0,3,8,mitochondria,9,17,2963,13640,0,0,1,31,22,21
leu,0,3,8,mitochondria,9,18,4,4,0,3,5,1,5,7
leu,0,3,8,mitochondria,9,20,2,2,0,6,9,1,8,10
leu,0,3,8,mitochondria,9,22,1,1,0,10,19,1,11,20
leu,0,3,8,mitochondria,9,350,1,1,2,12,19,3,13,20
leu,0,3,8,mitochondria,9,696,2,2,30,1,8,31,3,9
leu,0,3,8,mitochondria,10,24,2409,11780,0,1,0,31,20,20
leu,0,3,8,mitochondria,10,25,4,6,0,5,14,1,8,16
leu,0,3,8,mitochondria,10,28,3,4,0,10,13,1,12,15
leu,0,3,8,mitochondria,10,274,10,48,1,13,15,5,17,18
leu,0,3,8,mitochondria,10,275,2,2,1,15,8,2,17,9
leu,0,3,8,mitochondria,10,353,3,12,2,11,3,4,14,5
leu,0,3,8,mitochondria,10,455,1,1,3,8,15,4,9,16
leu,0,3,8,mitochondria,10,517,1,1,4,6,16,5,7,17
leu,0,3,8,mitochondria,10,547,2,2,5,15,7,6,16,9
leu,0,3,8,mitochondria,10,598,1,1,12,18,9,13,19,10
leu,0,3,8,mitochondria,12,26,1,1,0,4,11,1,5,12
leu,0,3,8,mitochondria,12,27,2142,9920,0,0,0,31,16,20
leu,0,3,8,mitochondria,12,612,3,4,15,3,4,16,5,6
leu,0,3,8,mitochondria,13,29,6,12,0,6,2,3,8,4
leu,0,3,8,mitochondria,13,30,2,4,0,7,11,1,9,13
leu,0,3,8,mitochondria,13,31,1,1,0,9,9,1,10,10
leu,0,3,8,mitochondria,13,352,4,12,2,2,4,4,4,7
leu,0,3,8,mitochondria,13,354,1035,4524,2,0,1,31,12,14
leu,0,3,8,mitochondria,13,518,2,2,4,8,11,6,9,12
leu,0,3,8,mitochondria,14,34,1702,9424,0,0,0,31,19,16
leu,0,3,8,mitochondria,14,35,1,1,0,9,2,1,10,3
leu,0,3,8,mitochondria,14,36,3,4,0,10,9,1,12,11
leu,0,3,8,mitochondria,14,40,2,2,0,15,10,1,17,11
leu,0,3,8,mitochondria,14,276,1,1,1,11,2,2,12,3
leu,0,3,8,mitochondria,14,356,21,64,2,4,9,6,8,13
leu,0,3,8,mitochondria,14,357,4,8,2,13,2,4,15,4
leu,0,3,8,mitochondria,14,456,2,4,3,2,8,5,3,10
leu,0,3,8,mitochondria,14,457,1,1,3,3,5,4,4,6
leu,0,3,8,mitochondria,14,458,2,2,3,9,7,4,10,9
leu,0,3,8,mitochondria,14,459,4,6,3,9,11,4,12,13
leu,0,3,8,mitochondria,14,460,1,1,3,15,11,4,16,12
leu,0,3,8,mitochondria,14,519,7,12,4,16,4,6,18,7
leu,0,3,8,mitochondria,14,677,7,27,28,9,1,31,12,4
leu,0,3,8,mitochondria,15,32,1,1,0,3,13,1,4,14
leu,0,3,8,mitochondria,15,33,2563,13175,0,0,0,31,17,25
leu,0,3,8,mitochondria,15,37,1,1,0,13,4,1,14,5
leu,0,3,8,mitochondria,15,355,1,1,2,3,7,3,4,8
leu,0,3,8,mitochondria,15,639,2,2,21,0,7,23,1,8
leu,0,3,8,mitochondria,15,697,2,2,30,9,19,31,10,21
leu,0,3,8,mitochondria,16,38,2377,10602,0,1,0,31,20,18
leu,0,3,8,mitochondria,16,39,1,1,0,5,16,1,6,17
leu,0,3,8,mitochondria,16,42,3,4,0,10,3,2,11,5
leu,0,3,8,mitochondria,16,627,1,1,19,9,11,20,10,12
leu,0,3,8,mitochondria,16,646,13,24,22,9,10,28,11,12
leu,0,3,8,mitochondria,16,685,3,4,29,16,4,31,17,6
leu,0,3,8,mitochondria,17,41,5,12,0,4,7,4,5,10
leu,0,3,8,mitochondria,17,278,16,45,1,8,4,4,11,9
leu,0,3,8,mitochondria,17,358,4,9,2,3,4,5,6,5
leu,0,3,8,mitochondria,17,359,2,2,2,8,9,4,9,10
leu,0,3,8,mitochondria,17,461,1,1,3,12,5,4,13,6
leu,0,3,8,mitochondria,17,548,1,1,5,10,5,6,11,6
leu,0,3,8,mitochondria,17,569,944,3312,8,0,1,31,12,13
leu,0,3,8,mitochondria,17,698,1,1,30,6,12,31,7,13
leu,0,3,8,mitochondria,18,33,2944,12000,0,2,0,30,22,20
leu,0,3,8,mitochondria,18,43,3,4,0,6,16,1,8,18
leu,0,3,8,mitochondria,18,44,2,2,0,8,2,1,10,3
leu,0,3,8,mitochondria,18,47,1,1,0,10,6,1,11,7
leu,0,3,8,mitochondria,18,51,1,1,0,17,12,1,18,13
leu,0,3,8,mitochondria,18,616,2,2,16,13,7,17,14,9
leu,0,3,8,mitochondria,19,45,1,1,0,4,5,1,5,6
leu,0,3,8,mitochondria,19,46,3,4,0,5,11,1,7,13
leu,0,3,8,mitochondria,19,48,1,1,0,9,13,1,10,14
leu,0,3,8,mitochondria,19,53,2,2,0,15,15,2,16,16
leu,0,3,8,mitochondria,19,55,1,1,0,16,1,1,17,2
