experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,50,3,5,peroxisome,3,281,26,64,12,0,8,20,2,12
leu,50,3,5,peroxisome,4,1,13,27,0,10,4,3,13,7
leu,50,3,5,peroxisome,4,46,62,96,0,1,5,8,4,9
leu,50,3,5,peroxisome,6,2,23,36,0,4,4,4,7,7
leu,50,3,5,peroxisome,6,186,2,2,11,5,16,13,6,17
leu,50,3,5,peroxisome,6,220,22,36,11,15,5,17,18,7
leu,50,3,5,peroxisome,7,3,17,36,0,5,3,4,8,6
leu,50,3,5,peroxisome,7,145,15,36,6,3,1,10,6,4
leu,50,3,5,peroxisome,7,186,11,16,10,4,1,14,6,3
leu,50,3,5,peroxisome,7,425,39,63,21,8,7,28,11,10
leu,50,3,5,peroxisome,8,164,72,144,5,13,8,17,16,12
leu,50,3,5,peroxisome,9,4,2,2,0,18,7,2,19,8
leu,50,3,5,peroxisome,9,36,10,30,0,14,16,5,16,19
leu,50,3,5,peroxisome,9,47,8,20,1,17,6,6,19,8
leu,50,3,5,peroxisome,9,80,14,30,4,16,16,9,19,18
leu,50,3,5,peroxisome,9,146,24,63,5,19,8,12,22,11
leu,50,3,5,peroxisome,9,426,9,12,22,12,3,25,14,5
leu,50,3,5,peroxisome,10,410,44,84,20,3,9,27,7,12
leu,50,3,5,peroxisome,11,302,19,54,15,11,9,21,14,12
leu,50,3,5,peroxisome,11,318,7,18,18,11,9,21,13,12
leu,50,3,5,peroxisome,11,338,22,28,15,1,12,22,3,14
leu,50,3,5,peroxisome,13,165,80,144,5,7,0,17,11,3
leu,50,3,5,peroxisome,13,353,54,96,16,12,3,24,15,7
leu,50,3,5,peroxisome,15,49,60,112,0,1,6,7,5,10
leu,50,3,5,peroxisome,17,6,40,96,0,11,5,6,15,9
leu,50,3,5,peroxisome,17,22,4,6,0,4,6,3,6,7
leu,50,3,5,peroxisome,17,58,8,10,2,9,20,7,11,21
leu,50,3,5,peroxisome,17,166,47,84,5,4,19,12,8,22
leu,50,3,5,peroxisome,17,243,36,45,12,5,19,17,8,22
leu,50,3,5,peroxisome,17,282,20,36,16,4,18,19,7,22
leu,50,3,5,peroxisome,17,354,40,96,18,3,18,24,7,22
leu,50,3,5,peroxisome,19,5,19,45,0,2,6,5,5,9
leu,50,3,5,peroxisome,19,81,29,63,2,13,4,9,16,7
leu,50,3,5,peroxisome,20,221,4,4,10,7,10,12,9,11
leu,50,3,5,peroxisome,20,244,5,8,13,6,7,17,7,9
leu,50,3,5,peroxisome,20,245,24,45,12,6,8,17,9,11
leu,50,3,5,peroxisome,20,264,18,24,12,0,1,18,1,5
leu,50,3,5,peroxisome,21,37,49,84,0,10,10,7,13,14
leu,50,3,5,peroxisome,21,59,27,72,0,15,13,9,19,15
leu,50,3,5,peroxisome,21,115,6,10,6,16,10,11,17,12
leu,50,3,5,peroxisome,21,116,13,36,4,17,13,10,20,15
leu,50,3,5,peroxisome,21,320,30,63,14,16,2,21,19,5
leu,50,3,5,peroxisome,21,321,8,16,16,16,9,20,18,11
leu,50,3,5,peroxisome,22,205,14,28,9,13,6,16,15,8
leu,50,3,5,peroxisome,22,319,8,16,16,0,6,20,2,8
leu,50,3,5,peroxisome,22,411,4,4,22,7,7,24,8,9
leu,50,3,5,peroxisome,22,427,20,54,22,5,7,28,8,10
leu,50,3,5,peroxisome,23,50,25,54,0,2,13,6,5,16
leu,50,3,5,peroxisome,23,59,17,21,1,5,4,8,8,5
leu,50,3,5,peroxisome,23,187,2,2,10,10,20,12,11,21
leu,50,3,5,peroxisome,23,246,6,16,12,16,2,16,18,4
leu,50,3,5,peroxisome,23,303,8,20,15,2,15,20,4,17
leu,50,3,5,peroxisome,23,428,6,8,23,15,11,27,17,12
leu,50,3,5,peroxisome,24,396,55,108,18,6,13,27,9,17
leu,50,3,5,peroxisome,25,7,6,8,0,12,2,1,14,6
leu,50,3,5,peroxisome,25,23,57,112,0,10,2,7,14,6
leu,50,3,5,peroxisome,25,205,14,18,9,5,15,15,6,18
leu,50,3,5,peroxisome,25,304,23,54,15,17,7,21,20,10
leu,50,3,5,peroxisome,26,8,6,6,0,9,9,3,11,10
leu,50,3,5,peroxisome,26,206,3,4,11,12,10,13,13,12
leu,50,3,5,peroxisome,28,188,25,60,8,10,2,13,14,5
leu,50,3,5,peroxisome,28,322,13,36,16,3,15,20,6,18
leu,50,3,5,peroxisome,28,429,23,54,21,1,10,27,4,13
leu,50,3,5,peroxisome,29,167,1,1,10,4,3,11,5,4
leu,50,3,5,peroxisome,29,207,2,2,12,2,5,14,3,6
leu,50,3,5,peroxisome,29,381,2,2,21,2,11,22,4,12
leu,50,3,5,peroxisome,29,430,8,8,22,2,11,26,4,12
leu,50,3,5,peroxisome,29,470,27,45,26,8,10,31,11,13
leu,50,3,5,peroxisome,30,147,46,60,7,6,10,12,10,13
leu,50,3,5,peroxisome,30,222,40,81,8,4,10,17,7,13
leu,50,3,5,peroxisome,30,283,79,180,12,6,9,21,10,14
leu,50,3,5,peroxisome,30,382,10,30,18,15,5,23,17,8
leu,50,3,5,peroxisome,30,397,2,2,21,3,3,23,4,4
leu,50,3,5,peroxisome,30,412,5,12,22,3,3,25,5,5
leu,50,3,5,peroxisome,30,413,3,4,23,16,6,25,17,8
leu,50,3,5,peroxisome,30,431,1,1,24,4,4,25,5,5
leu,50,3,5,peroxisome,30,442,4,6,25,4,4,28,5,6
leu,50,3,5,peroxisome,31,265,42,105,12,15,4,19,18,9
leu,50,3,5,peroxisome,31,284,17,63,13,14,3,20,17,6
leu,50,3,5,peroxisome,31,339,44,72,15,3,11,24,5,15
leu,50,3,5,peroxisome,31,414,31,72,20,12,7,26,15,11
leu,50,3,5,peroxisome,32,51,3,3,1,3,6,4,4,7
leu,50,3,5,peroxisome,32,168,6,12,8,5,2,11,7,4
leu,50,3,5,peroxisome,32,382,9,12,18,5,15,24,6,17
leu,50,3,5,peroxisome,33,223,5,6,12,11,11,15,12,13
leu,50,3,5,peroxisome,33,286,7,10,14,10,15,19,12,16
leu,50,3,5,peroxisome,33,356,10,16,18,5,13,22,7,15
leu,50,3,5,peroxisome,34,60,40,96,0,0,9,6,4,13
leu,50,3,5,peroxisome,34,148,56,96,6,0,9,14,3,13
leu,50,3,5,peroxisome,34,266,23,42,12,1,3,19,3,6
