experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,0,3,6,vacuole,2,0,18,25,16,2,2,16,7,7
leu,0,3,6,vacuole,3,0,238,342,13,1,2,13,19,21
leu,0,3,6,vacuole,4,0,62,90,13,12,4,13,21,14
leu,0,3,6,vacuole,5,0,131,180,17,2,3,17,14,18
leu,0,3,6,vacuole,6,0,63,100,15,2,3,15,12,13
leu,0,3,6,vacuole,7,0,9,9,22,1,2,22,4,5
leu,0,3,6,vacuole,8,0,83,110,17,2,2,17,12,13
leu,0,3,6,vacuole,9,0,36,49,18,1,2,18,8,9
leu,0,3,6,vacuole,10,0,220,306,14,1,2,14,18,20
leu,0,3,6,vacuole,11,0,173,240,18,1,2,18,17,17
leu,0,3,6,vacuole,12,0,73,96,20,0,3,20,12,11
leu,0,3,6,vacuole,13,0,198,288,16,1,1,16,17,19
leu,0,3,6,vacuole,14,0,167,238,16,2,2,16,19,16
leu,0,3,6,vacuole,15,0,58,81,13,2,3,13,11,12
leu,0,3,6,vacuole,16,0,44,56,16,0,5,16,8,12
leu,0,3,6,vacuole,17,0,215,300,12,4,1,12,19,21
leu,0,3,6,vacuole,18,0,81,121,22,1,3,22,12,14
leu,0,3,6,vacuole,19,0,100,132,16,1,5,16,13,16
leu,0,3,6,vacuole,20,0,158,255,12,1,3,12,16,20
leu,0,3,6,vacuole,21,0,127,168,18,1,6,18,15,18
leu,0,3,6,vacuole,22,0,49,80,19,1,2,19,9,12
leu,0,3,6,vacuole,24,0,81,120,22,5,3,22,15,15
leu,0,3,6,vacuole,25,0,17,42,13,3,5,13,9,12
leu,0,3,6,vacuole,26,0,151,182,16,3,3,16,17,16
leu,0,3,6,vacuole,27,0,40,54,13,3,3,13,9,12
leu,0,3,6,vacuole,28,0,174,252,13,0,2,13,18,16
leu,0,3,6,vacuole,29,0,79,130,16,1,5,16,11,18
leu,0,3,6,vacuole,30,0,98,143,15,1,6,15,14,17
leu,0,3,6,vacuole,31,0,11,16,12,1,2,12,5,6
leu,0,3,6,vacuole,32,0,143,180,16,1,7,16,13,22
leu,0,3,6,vacuole,33,0,67,100,15,7,2,15,17,12
leu,0,3,6,vacuole,34,0,14,16,16,2,2,16,6,6
leu,0,3,6,vacuole,35,0,86,132,17,3,2,17,15,13
leu,0,3,6,vacuole,37,0,121,210,17,2,1,17,17,15
leu,0,3,6,vacuole,39,0,288,380,19,1,2,19,21,21
leu,0,3,6,vacuole,40,0,94,154,19,1,2,19,12,16
leu,0,3,6,vacuole,41,0,32,54,13,3,10,13,12,16
leu,0,3,6,vacuole,42,0,237,361,19,0,3,19,19,22
leu,0,3,6,vacuole,43,0,168,225,16,1,2,16,16,17
leu,0,3,6,vacuole,44,0,41,48,15,2,0,15,10,6
leu,0,3,6,vacuole,45,0,21,25,14,2,2,14,7,7
leu,0,3,6,vacuole,46,0,105,132,17,0,5,17,11,17
leu,0,3,6,vacuole,47,0,78,108,14,6,1,14,15,13
leu,0,3,6,vacuole,48,0,99,176,17,2,2,17,13,18
leu,0,3,6,vacuole,50,0,25,35,18,3,1,18,8,8
leu,0,3,6,vacuole,51,0,181,224,19,1,2,19,15,18
leu,0,3,6,vacuole,52,0,73,132,19,0,2,19,12,13
leu,0,3,6,vacuole,53,0,70,121,18,1,5,18,12,16
leu,0,3,6,vacuole,54,0,86,121,18,2,3,18,13,14
leu,0,3,6,vacuole,55,0,228,336,18,1,1,18,22,17
leu,0,3,6,vacuole,56,0,104,143,11,3,7,11,16,18
leu,0,3,6,vacuole,57,0,68,110,15,0,1,15,10,12
leu,0,3,6,vacuole,58,0,162,240,14,1,6,14,21,18
leu,0,3,6,vacuole,59,0,33,36,13,1,3,13,7,9
leu,0,3,6,vacuole,60,0,47,63,19,2,2,19,9,11
leu,0,3,6,vacuole,61,0,92,126,12,2,3,12,16,12
leu,0,3,6,vacuole,62,0,228,336,20,1,2,20,22,18
leu,0,3,6,vacuole,63,0,1,1,12,5,3,12,6,4
leu,0,3,6,vacuole,64,0,133,182,17,1,2,17,14,16
leu,0,3,6,vacuole,65,0,173,273,14,4,3,14,25,16
leu,0,3,6,vacuole,66,0,56,72,16,6,3,16,14,12
leu,0,3,6,vacuole,67,0,12,12,23,1,10,23,4,14
leu,0,3,6,vacuole,68,0,147,234,19,1,5,19,14,23
leu,0,3,6,vacuole,69,0,69,156,16,1,1,16,14,13
leu,0,3,6,vacuole,70,0,1,1,13,7,2,13,8,3
leu,0,3,6,vacuole,71,0,164,224,19,3,2,19,19,16
leu,0,3,6,vacuole,72,0,131,169,20,1,6,20,14,19
leu,0,3,6,vacuole,73,0,33,42,17,1,2,17,7,9
leu,0,3,6,vacuole,75,0,12,12,18,2,2,18,5,6
