experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,200,3,1,ER,2,255,1111,8288,0,1,0,37,15,16
rpmc,200,3,1,ER,3,255,1119,6552,1,1,0,37,15,13
rpmc,200,3,1,ER,4,255,865,5600,12,1,0,37,15,16
rpmc,200,3,1,ER,5,255,798,4620,2,0,0,37,12,11
rpmc,200,3,1,ER,6,255,1251,9990,0,0,0,37,15,18
rpmc,200,3,1,ER,7,255,894,5291,0,0,0,37,11,13
rpmc,200,3,1,ER,8,255,1374,8704,5,1,0,37,17,17
rpmc,200,3,1,ER,9,255,749,5880,9,0,0,37,14,15
rpmc,200,3,1,ER,10,255,493,3542,14,4,0,37,18,11
rpmc,200,3,1,ER,11,255,1201,7696,0,0,0,37,16,13
rpmc,200,3,1,ER,12,255,727,4620,0,1,0,35,13,11
rpmc,200,3,1,ER,13,255,1630,11988,0,0,1,37,18,19
rpmc,200,3,1,ER,14,255,643,3864,14,0,0,37,14,12
rpmc,200,3,1,ER,15,255,1327,9435,0,0,0,37,15,17
rpmc,200,3,1,ER,16,255,217,1440,17,0,1,37,9,9
rpmc,200,3,1,ER,18,255,1195,8288,0,0,0,37,14,16
rpmc,200,3,1,ER,19,255,705,3740,1,1,0,35,11,11
rpmc,200,3,1,ER,20,255,951,5772,0,1,0,37,14,12
rpmc,200,3,1,ER,21,255,1272,8288,0,0,0,37,16,14
rpmc,200,3,1,ER,22,255,1109,7560,1,1,0,37,16,14
rpmc,200,3,1,ER,23,255,1111,8160,3,0,0,37,16,15
rpmc,200,3,1,ER,24,255,1190,7770,0,0,1,37,15,15
rpmc,200,3,1,ER,25,255,1184,7056,1,2,0,37,16,14
rpmc,200,3,1,ER,26,255,967,5040,2,1,0,37,13,12
rpmc,200,3,1,ER,27,255,247,2160,10,0,0,37,8,10
rpmc,200,3,1,ER,28,255,914,5915,2,1,0,37,14,13
rpmc,200,3,1,ER,29,255,829,5184,1,1,0,37,13,12
rpmc,200,3,1,ER,31,255,1232,8288,0,0,0,37,16,14
rpmc,200,3,1,ER,33,255,1594,11840,0,1,0,37,21,16
rpmc,200,3,1,ER,34,255,1415,10064,0,1,0,37,17,17
rpmc,200,3,1,ER,35,255,546,3588,14,1,0,37,14,12
rpmc,200,3,1,ER,36,255,985,7104,0,1,0,37,13,16
rpmc,200,3,1,ER,37,255,1269,8880,0,2,0,37,17,16
rpmc,200,3,1,ER,38,255,1507,9180,1,2,0,37,19,15
rpmc,200,3,1,ER,39,255,802,4896,3,0,0,37,12,12
rpmc,200,3,1,ER,40,255,774,5460,11,2,0,37,17,14
rpmc,200,3,1,ER,41,255,219,1800,2,1,0,27,9,9
rpmc,200,3,1,ER,42,255,547,3630,0,2,0,33,12,11
rpmc,200,3,1,ER,43,255,1569,10064,0,1,0,37,17,17
rpmc,200,3,1,ER,44,255,276,1870,20,0,0,37,10,11
rpmc,200,3,1,ER,45,255,1274,8352,8,0,2,37,18,18
rpmc,200,3,1,ER,46,255,1951,13357,0,0,1,37,19,20
rpmc,200,3,1,ER,47,255,1958,12312,1,2,1,37,20,20
rpmc,200,3,1,ER,48,255,974,7215,0,0,0,37,13,15
rpmc,200,3,1,ER,49,255,1122,7020,1,0,0,37,15,13
rpmc,200,3,1,ER,50,255,1140,8415,4,0,1,37,17,16
rpmc,200,3,1,ER,51,255,1686,12312,1,2,0,37,20,19
rpmc,200,3,1,ER,52,255,943,5915,0,2,0,35,15,13
rpmc,200,3,1,ER,53,255,819,7168,5,1,0,37,15,16
rpmc,200,3,1,ER,54,255,1051,7215,0,1,0,37,14,15
rpmc,200,3,1,ER,55,255,481,3696,9,0,0,37,12,11
rpmc,200,3,1,ER,56,255,98,798,5,2,0,24,9,6
rpmc,200,3,1,ER,57,255,1166,8806,0,0,0,37,17,14
rpmc,200,3,1,ER,58,255,1436,9472,0,2,0,37,18,16
rpmc,200,3,1,ER,59,255,745,4356,1,2,0,37,13,11
rpmc,200,3,1,ER,60,255,1071,6370,2,1,0,37,15,13
rpmc,200,3,1,ER,61,255,345,5148,4,0,0,37,13,12
rpmc,200,3,1,ER,62,255,1210,8806,0,0,0,37,17,14
rpmc,200,3,1,ER,63,255,1196,7020,1,1,0,37,16,13
rpmc,200,3,1,ER,64,255,1523,10710,2,1,0,37,18,18
rpmc,200,3,1,ER,65,255,1197,7696,0,0,0,37,13,16
rpmc,200,3,1,ER,67,255,610,4114,1,1,0,35,12,11
rpmc,200,3,1,ER,68,255,439,3000,2,1,0,32,11,10
rpmc,200,3,1,ER,69,255,1386,9720,1,1,0,37,16,18
rpmc,200,3,1,ER,70,255,1260,7344,1,2,0,37,14,17
rpmc,200,3,1,ER,71,255,1354,9450,2,1,0,37,16,18
rpmc,200,3,1,ER,73,255,1053,6300,2,2,0,37,17,12
rpmc,200,3,1,ER,74,255,1108,9216,1,1,0,37,17,16
rpmc,200,3,1,ER,76,255,1436,7875,2,2,0,37,17,15
rpmc,200,3,1,ER,77,255,1444,11322,0,0,0,37,18,17
rpmc,200,3,1,ER,78,255,848,5175,14,0,0,37,15,15
rpmc,200,3,1,ER,79,255,1525,11322,0,0,0,37,17,18
rpmc,200,3,1,ER,80,255,600,3330,0,0,0,37,10,9
rpmc,200,3,1,ER,81,255,1291,7854,4,1,0,37,15,17
rpmc,200,3,1,ER,82,255,1498,10944,1,1,0,37,20,16
rpmc,200,3,1,ER,83,255,730,6045,6,0,0,37,15,13
rpmc,200,3,1,ER,84,255,1536,11664,1,0,0,37,18,18
rpmc,200,3,1,ER,85,255,858,5460,7,1,0,37,15,13
rpmc,200,3,1,ER,86,255,1239,8820,2,0,0,37,18,14
rpmc,200,3,1,ER,87,255,1072,7252,0,0,0,37,14,14
rpmc,200,3,1,ER,88,255,1141,7056,1,0,0,37,14,14
rpmc,200,3,1,ER,89,255,878,5005,2,2,0,37,13,13
rpmc,200,3,1,ER,91,255,1432,10032,4,2,0,37,18,19
rpmc,200,3,1,ER,92,255,1258,6825,2,0,0,37,13,15
rpmc,200,3,1,ER,93,255,1267,7680,5,0,0,37,16,15
rpmc,200,3,1,ER,94,255,680,3744,13,0,0,37,13,12
rpmc,200,3,1,ER,95,255,1112,6552,1,1,0,37,15,13
rpmc,200,3,1,ER,96,255,1147,9792,5,1,1,37,19,18
rpmc,200,3,1,ER,97,255,1170,9504,4,0,0,37,16,18
rpmc,200,3,1,ER,98,255,651,3500,2,0,0,37,10,10
rpmc,200,3,1,ER,100,255,1550,9792,3,0,0,37,18,16
rpmc,200,3,1,ER,101,255,1286,8704,3,0,0,37,16,16
