experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,100,3,3,LD,1,5,1,1,9,7,9,10,8,10
rpmc,100,3,3,LD,1,35,6,12,9,6,3,11,8,6
rpmc,100,3,3,LD,1,116,1,1,11,4,5,12,5,6
rpmc,100,3,3,LD,1,117,2,2,10,10,3,12,11,4
rpmc,100,3,3,LD,1,252,5,8,11,2,9,13,4,11
rpmc,100,3,3,LD,1,253,1,1,12,6,2,13,7,3
rpmc,100,3,3,LD,1,421,3,3,12,4,10,15,5,11
rpmc,100,3,3,LD,1,610,3,4,13,2,10,15,3,12
rpmc,100,3,3,LD,1,611,4,4,14,8,5,16,10,6
rpmc,100,3,3,LD,1,612,1,1,14,10,4,15,11,5
rpmc,100,3,3,LD,1,797,7,12,14,0,8,16,3,10
rpmc,100,3,3,LD,1,798,5,8,13,5,2,17,7,3
rpmc,100,3,3,LD,1,976,1,1,16,4,3,17,5,4
rpmc,100,3,3,LD,1,977,2,2,16,6,12,17,7,14
rpmc,100,3,3,LD,1,1190,1,1,17,3,12,18,4,13
rpmc,100,3,3,LD,1,1192,2,2,17,7,2,18,9,3
rpmc,100,3,3,LD,1,1408,5,6,17,15,5,20,16,7
rpmc,100,3,3,LD,1,1591,103,330,12,0,3,23,5,9
rpmc,100,3,3,LD,1,1789,3,3,19,6,1,22,7,2
rpmc,100,3,3,LD,1,1790,4,4,20,10,3,22,11,5
rpmc,100,3,3,LD,1,1965,5,6,20,1,11,23,3,12
rpmc,100,3,3,LD,1,1966,11,36,21,2,2,24,5,6
rpmc,100,3,3,LD,1,2331,22,72,21,2,2,25,8,5
rpmc,100,3,3,LD,1,2337,1,1,23,16,12,24,17,13
rpmc,100,3,3,LD,1,2499,4,6,23,0,6,25,1,9
rpmc,100,3,3,LD,1,2500,1,1,24,6,6,25,7,7
rpmc,100,3,3,LD,1,2501,2,2,24,9,5,25,10,7
rpmc,100,3,3,LD,1,2504,3,4,23,15,12,25,17,13
rpmc,100,3,3,LD,1,2820,5,8,26,4,2,28,6,4
rpmc,100,3,3,LD,1,2822,3,4,26,5,2,28,7,3
rpmc,100,3,3,LD,1,2981,2,2,26,15,10,28,16,11
rpmc,100,3,3,LD,1,3437,4,8,31,2,4,33,4,6
rpmc,100,3,3,LD,1,3438,2,2,30,7,1,32,8,2
