experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
rpmc,100,3,2,1,157,15.10828025477707,448.6687898089172,9,441,22,458,0.6297068036500345
rpmc,100,3,2,2,245,21.163265306122447,431.71836734693875,14,422,30,442,0.5342910930042787
rpmc,100,3,2,3,96,22.697916666666668,311.5833333333333,17,307,29,317,0.469718302103178
rpmc,100,3,2,4,282,28.638297872340427,292.8723404255319,20,284,39,303,0.4591005564660206
rpmc,100,3,2,5,171,31.157894736842106,418.3859649122807,23,412,40,426,0.5889211567783785
rpmc,100,3,2,6,261,35.019157088122604,40.3448275862069,26,32,45,49,0.44311817687290417
rpmc,100,3,2,7,236,36.152542372881356,275.29237288135596,28,267,45,285,0.4437295393428059
rpmc,100,3,2,8,150,35.78,315.03333333333336,29,309,43,322,0.46890005598827195
rpmc,100,3,2,9,144,41.4375,302.05555555555554,34,297,50,309,0.7637736666988542
rpmc,100,3,2,11,135,45.82222222222222,289.44444444444446,40,283,53,296,0.533661553836835
rpmc,100,3,2,12,81,47.20987654320987,324.87654320987656,42,321,53,330,0.4945205436348476
rpmc,100,3,2,13,181,50.95580110497237,311.24309392265195,44,304,59,319,0.5326211310815407
rpmc,100,3,2,14,207,52.54589371980676,267.3623188405797,45,259,62,276,0.5917350918574442
rpmc,100,3,2,16,174,59.04597701149425,283.8965517241379,51,277,68,291,0.6590093346887453
rpmc,100,3,2,17,58,55.8448275862069,247.13793103448276,52,243,61,252,0.35414093677994024
rpmc,100,3,2,18,108,57.2962962962963,297.43518518518516,52,292,63,304,0.45640486846337075
rpmc,100,3,2,19,177,58.97175141242938,331.80790960451975,52,324,67,340,0.646108683049335
rpmc,100,3,2,20,255,65.28627450980392,257.7372549019608,56,249,75,267,0.5454047050165715
rpmc,100,3,2,21,61,62.540983606557376,314.0163934426229,59,310,67,319,0.520526568654177
rpmc,100,3,2,22,154,66.76623376623377,346.65584415584414,59,341,75,353,0.6102658546064661
rpmc,100,3,2,23,187,69.27807486631016,273.71122994652404,61,267,78,282,0.5327005639738964
rpmc,100,3,2,24,116,69.5603448275862,324.75,63,319,77,331,0.711099039242817
rpmc,100,3,2,25,140,70.38571428571429,295.2857142857143,64,289,78,302,0.4139283412495851
rpmc,100,3,2,26,276,77.18840579710145,311.3007246376812,68,303,88,321,0.42766049724334015
rpmc,100,3,2,27,146,75.14383561643835,238.36301369863014,69,232,83,245,0.5307432644831188
rpmc,100,3,2,28,170,79.42941176470588,340.9823529411765,73,333,87,350,0.6898808659818594
rpmc,100,3,2,29,195,81.08205128205128,252.75384615384615,75,245,89,263,0.6555254348080561
rpmc,100,3,2,30,275,84.85454545454546,459.3709090909091,75,451,95,469,0.47913152737871634
rpmc,100,3,2,31,269,84.20074349442379,286.19330855018586,76,277,94,296,0.3438598884811995
rpmc,100,3,2,32,66,81.33333333333333,353.74242424242425,77,349,86,359,0.39355668296645957
rpmc,100,3,2,33,196,85.19897959183673,326.5612244897959,78,318,94,335,0.45896264648784724
rpmc,100,3,2,34,238,89.32352941176471,230.48739495798318,81,223,99,240,0.40355997927135484
rpmc,100,3,2,35,222,89.77927927927928,268.7117117117117,82,261,99,277,0.4289966743981134
rpmc,100,3,2,36,333,95.5945945945946,302.3123123123123,86,293,107,313,0.2763504350423571
rpmc,100,3,2,37,216,100.26388888888889,320.375,92,313,109,329,0.4260601152722131
rpmc,100,3,2,38,172,99.92441860465117,153.24418604651163,93,146,108,162,0.5758553391810993
rpmc,100,3,2,39,75,97.62666666666667,280.28,93,276,103,286,0.3512201554671028
rpmc,100,3,2,40,189,105.92592592592592,440.35449735449737,97,434,115,447,0.6839502308138317
rpmc,100,3,2,41,214,104.58411214953271,456.28504672897196,97,449,113,466,0.33022089412348343
rpmc,100,3,2,42,142,104.04225352112677,196.61971830985917,98,190,111,204,0.38584519728542177
rpmc,100,3,2,43,162,104.67283950617283,236.34567901234567,98,229,112,244,0.35017878858244156
rpmc,100,3,2,44,180,108.06111111111112,472.3722222222222,101,465,116,480,0.5944234861035523
rpmc,100,3,2,45,135,109.19259259259259,162.34074074074073,102,156,116,169,0.5877640325246358
rpmc,100,3,2,46,189,110.24867724867725,183.2010582010582,102,175,119,191,0.2888684112485866
rpmc,100,3,2,47,103,106.93203883495146,486.00970873786406,102,481,113,492,0.36819682161935713
rpmc,100,3,2,48,231,115.3030303030303,329.67965367965365,106,322,125,338,0.5693637440556979
rpmc,100,3,2,49,217,119.48387096774194,196.53917050691246,112,187,127,206,0.6566601923015016
rpmc,100,3,2,50,257,124.19844357976653,160.4669260700389,116,152,134,170,0.40325719458907494
rpmc,100,3,2,51,172,122.70930232558139,313.26162790697674,116,306,130,322,0.5260677458450205
rpmc,100,3,2,52,203,125.09852216748769,143.98029556650246,118,136,134,152,0.286374434884863
rpmc,100,3,2,53,170,124.92941176470588,176.12941176470588,118,170,133,185,0.5127364563386416
rpmc,100,3,2,54,103,129.5242718446602,334.5242718446602,124,329,136,341,0.4212249932832931
rpmc,100,3,2,55,292,134.68493150684932,191.3527397260274,126,180,143,204,0.7461915706009025
rpmc,100,3,2,56,176,138.4659090909091,152.83522727272728,131,145,146,161,0.41786090097756134
rpmc,100,3,2,57,250,139.284,307.492,131,299,149,317,0.6563971888841496
rpmc,100,3,2,58,206,141.39320388349515,324.9805825242718,133,318,150,334,0.5325423172829747
rpmc,100,3,2,59,1139,153.08955223880596,169.82791922739244,135,139,172,203,0.9162790972494123
rpmc,100,3,2,60,143,143.1818181818182,406.3776223776224,137,400,150,414,0.557814632833509
rpmc,100,3,2,61,201,144.43781094527364,422.7313432835821,137,415,153,431,0.531363562296152
rpmc,100,3,2,62,216,145.50925925925927,210.24074074074073,138,202,154,219,0.4124525384641948
rpmc,100,3,2,63,284,151.10915492957747,136.78521126760563,142,128,162,148,0.6360186086293268
rpmc,100,3,2,64,192,157.41145833333334,494.0677083333333,149,487,166,502,0.5495364777395457
rpmc,100,3,2,65,154,155.5909090909091,314.0779220779221,150,307,163,322,0.6485472703945195
rpmc,100,3,2,66,213,159.79342723004694,19.591549295774648,152,12,169,28,0.4373231813215282
rpmc,100,3,2,67,215,161.1906976744186,298.6186046511628,153,291,171,307,0.4641656369735374
rpmc,100,3,2,68,109,168.5137614678899,275.72477064220186,163,271,175,282,0.4835144148560122
rpmc,100,3,2,69,122,168.4344262295082,312.11475409836066,163,306,175,319,0.47088446664226125
rpmc,100,3,2,71,255,176.36470588235295,288.8666666666667,168,280,186,299,0.3202582742637104
rpmc,100,3,2,72,244,182.10655737704917,306.3606557377049,174,297,191,316,0.48328761635388806
rpmc,100,3,2,73,216,183.77314814814815,272.4537037037037,176,265,193,282,0.42873157454890265
rpmc,100,3,2,74,134,182.50746268656715,49.33582089552239,177,43,190,57,0.4692680170893975
rpmc,100,3,2,75,235,190.88510638297873,62.829787234042556,182,55,201,71,0.5543070302724984
rpmc,100,3,2,76,131,194.12977099236642,9.335877862595419,188,4,201,16,0.4096017251183176
rpmc,100,3,2,77,148,200.6081081081081,496.86486486486484,194,491,208,504,0.41536475860044114
rpmc,100,3,2,78,245,205.2734693877551,51.68163265306122,196,44,215,61,0.45391350764862354
rpmc,100,3,2,79,153,214.18300653594773,477.9542483660131,208,471,221,486,0.5834753373443975
rpmc,100,3,2,80,236,218.0593220338983,493.2669491525424,209,486,228,502,0.46879408530803723
rpmc,100,3,2,81,208,219.73557692307693,228.54326923076923,212,221,228,237,0.26561647174421854
rpmc,100,3,2,82,193,220.55958549222797,16.253886010362695,214,8,228,26,0.5855707324347442
rpmc,100,3,2,83,263,226.9315589353612,321.9847908745247,218,314,237,331,0.6149461336231797
rpmc,100,3,2,85,128,230.5546875,217.890625,225,212,237,226,0.48452256825137563
rpmc,100,3,2,87,202,236.48019801980197,232.04455445544554,228,225,246,240,0.7232988729091464
rpmc,100,3,2,88,231,236.69264069264068,392.64069264069263,228,385,246,401,0.4493329337873275
rpmc,100,3,2,89,308,239.17532467532467,449.0551948051948,230,440,249,460,0.3743281594371538
rpmc,100,3,2,90,168,239.17857142857142,281.2202380952381,232,275,248,289,0.5447677206480246
rpmc,100,3,2,91,203,240.0591133004926,490.6009852216749,232,482,248,499,0.3133535945752728
rpmc,100,3,2,93,117,240.10256410256412,265.3076923076923,235,259,247,272,0.4982564427120663
rpmc,100,3,2,95,126,246.76190476190476,292.468253968254,240,287,254,299,0.5407214677370619
rpmc,100,3,2,96,177,249.36158192090394,255.02824858757063,242,248,257,263,0.41689369628031436
rpmc,100,3,2,98,206,253.35922330097088,85.33980582524272,245,78,263,93,0.5783559950964503
rpmc,100,3,2,99,176,252.33522727272728,388.02840909090907,246,381,260,397,0.561224283583987
rpmc,100,3,2,100,218,254.87155963302752,275.95871559633025,247,268,264,285,0.3431043261535138
rpmc,100,3,2,101,239,256.673640167364,240.88702928870293,248,233,265,251,0.4962297220957285
rpmc,100,3,2,104,222,263.15765765765764,291.2027027027027,255,283,272,300,0.2539443587537848
rpmc,100,3,2,105,222,268.05405405405406,67.09009009009009,259,59,278,75,0.5997953621329263
rpmc,100,3,2,106,125,267.464,52.624,262,47,274,59,0.20590182215886835
rpmc,100,3,2,107,98,267.3673469387755,80.42857142857143,262,76,274,87,0.5393724626472176
rpmc,100,3,2,108,155,270.2967741935484,424.9161290322581,263,419,278,432,0.5503092118974777
rpmc,100,3,2,109,188,272.8085106382979,92.59574468085107,266,85,281,101,0.38807154145155714
rpmc,100,3,2,110,303,275.0561056105611,239.04290429042905,266,229,285,250,0.45225211954196815
rpmc,100,3,2,111,124,281.6290322580645,80.0,276,74,288,87,0.40343132082763
rpmc,100,3,2,112,162,292.35185185185185,191.4506172839506,286,185,300,200,0.42327922429455533
rpmc,100,3,2,113,197,293.9086294416244,309.20304568527916,287,302,302,318,0.36323049881855674
rpmc,100,3,2,114,70,293.1857142857143,295.54285714285714,289,291,298,301,0.46437749089016783
rpmc,100,3,2,115,182,297.532967032967,375.9230769230769,290,369,306,384,0.431950844988271
rpmc,100,3,2,116,225,299.46666666666664,149.32888888888888,292,141,308,159,0.4836135361880221
rpmc,100,3,2,117,159,302.9811320754717,40.937106918238996,297,34,310,49,0.5976987200123226
rpmc,100,3,2,118,226,304.9159292035398,203.2920353982301,297,195,313,212,0.3779981976412374
rpmc,100,3,2,119,190,303.7,219.67894736842106,297,212,312,228,0.4596997749212749
rpmc,100,3,2,120,207,307.6280193236715,237.81642512077295,300,230,317,246,0.5648481324082251
rpmc,100,3,2,121,236,310.8813559322034,60.690677966101696,303,53,320,70,0.3094838234370627
rpmc,100,3,2,122,214,312.4859813084112,352.4158878504673,304,345,322,360,0.5890880000874129
rpmc,100,3,2,123,162,312.3024691358025,134.40740740740742,305,128,321,141,0.6872230712179335
rpmc,100,3,2,124,235,317.8085106382979,44.03404255319149,309,36,327,53,0.45288405592877
rpmc,100,3,2,125,86,316.4651162790698,228.1627906976744,311,224,322,234,0.38522425225707346
rpmc,100,3,2,126,81,316.85185185185185,217.69135802469137,312,213,323,223,0.5780059908376782
rpmc,100,3,2,127,182,321.3626373626374,427.7912087912088,314,421,330,436,0.46902977969967347
rpmc,100,3,2,128,303,324.34323432343234,205.7194719471947,315,197,335,216,0.5134047370740853
rpmc,100,3,2,129,268,326.839552238806,242.69402985074626,317,235,338,252,0.6172205263120798
rpmc,100,3,2,130,109,324.35779816513764,121.74311926605505,319,116,331,128,0.422463272670543
rpmc,100,3,2,131,96,324.5,64.77083333333333,320,59,330,71,0.4864273088041819
rpmc,100,3,2,132,214,330.0607476635514,451.196261682243,323,443,339,460,0.48736392141818413
rpmc,100,3,2,133,156,332.0,226.5,326,220,339,234,0.39786254994413783
rpmc,100,3,2,134,194,336.37628865979383,130.86082474226805,328,124,345,139,0.5067791957528442
rpmc,100,3,2,135,141,335.0,418.6737588652482,328,413,344,425,0.6385729523787583
rpmc,100,3,2,136,274,337.2080291970803,435.7992700729927,328,426,347,446,0.5997863236708207
rpmc,100,3,2,137,238,338.65546218487395,195.8235294117647,331,187,347,207,0.6396060178985303
rpmc,100,3,2,138,271,340.48339483394835,91.5719557195572,332,82,350,102,0.6714339054442556
rpmc,100,3,2,139,318,340.17295597484275,112.44025157232704,332,102,350,124,0.5644309945281732
rpmc,100,3,2,141,178,341.08988764044943,179.80898876404495,333,173,350,187,0.6543313069173557
rpmc,100,3,2,142,241,346.60165975103735,274.2157676348548,338,266,356,283,0.4823751350754767
rpmc,100,3,2,143,228,347.9429824561403,339.469298245614,339,332,357,348,0.5832881856109423
rpmc,100,3,2,144,239,348.01673640167365,409.31799163179915,340,401,357,419,0.3699441721230865
rpmc,100,3,2,145,288,348.7083333333333,455.2291666666667,340,446,358,466,0.551238113976373
rpmc,100,3,2,146,170,349.3941176470588,426.4823529411765,342,420,358,435,0.5240994691502486
rpmc,100,3,2,147,72,348.5833333333333,206.13888888888889,344,202,354,211,0.41471912475559203
rpmc,100,3,2,148,154,353.7207792207792,77.55844155844156,346,71,362,84,0.6474727120484749
rpmc,100,3,2,149,108,353.5462962962963,98.39814814814815,348,93,361,105,0.47172584104424764
rpmc,100,3,2,150,285,357.23508771929824,126.71929824561404,348,118,368,136,0.5394957018776007
rpmc,100,3,2,151,197,355.65482233502536,357.3705583756345,348,350,364,366,0.4952374302996572
rpmc,100,3,2,152,139,360.0863309352518,144.23021582733813,354,138,367,152,0.5198133383011047
rpmc,100,3,2,153,246,362.6707317073171,435.0975609756098,354,427,372,444,0.5742898495070516
rpmc,100,3,2,154,224,363.45982142857144,109.50446428571429,355,101,372,119,0.47181054613062806
rpmc,100,3,2,155,104,361.0769230769231,419.2692307692308,355,414,367,425,0.4718870264820467
rpmc,100,3,2,157,175,365.50857142857143,450.7314285714286,358,445,374,458,0.580420868082909
rpmc,100,3,2,158,200,367.185,45.85,359,38,376,54,0.6089029162927094
rpmc,100,3,2,159,227,366.6651982378855,89.62995594713657,359,81,375,99,0.45609910208421056
rpmc,100,3,2,160,58,365.8965517241379,409.91379310344826,362,406,371,415,0.31544090041868106
rpmc,100,3,2,161,261,375.0191570881226,73.05747126436782,366,65,385,83,0.4553995245014852
rpmc,100,3,2,162,224,375.88392857142856,124.66964285714286,368,117,385,134,0.4127710835510091
rpmc,100,3,2,163,179,373.83240223463685,148.75977653631284,368,141,381,158,0.6101799118303746
rpmc,100,3,2,165,342,378.1578947368421,420.01461988304095,368,411,390,430,0.45478413556607494
rpmc,100,3,2,166,116,375.9051724137931,101.18103448275862,370,95,382,108,0.42786911095819175
rpmc,100,3,2,167,312,381.54487179487177,439.0769230769231,371,431,393,448,0.6247197479612889
rpmc,100,3,2,168,202,381.7227722772277,46.51485148514851,374,39,391,55,0.46828558354631933
rpmc,100,3,2,169,234,383.27777777777777,456.1068376068376,375,449,393,465,0.5713318588089088
rpmc,100,3,2,170,170,382.68823529411765,88.45882352941176,376,81,390,97,0.43694842862425515
rpmc,100,3,2,172,111,386.5045045045045,213.018018018018,381,208,393,219,0.49830293652066404
rpmc,100,3,2,173,183,395.8415300546448,93.77595628415301,390,85,403,103,0.7129090854258475
rpmc,100,3,2,174,354,401.8474576271187,205.35310734463278,391,195,413,216,0.3530462256015675
rpmc,100,3,2,175,247,399.6356275303644,413.1255060728745,391,405,409,422,0.5034980702283717
rpmc,100,3,2,176,239,399.9916317991632,44.89121338912134,392,36,409,55,0.5371539132584423
rpmc,100,3,2,178,165,401.969696969697,429.08484848484846,395,423,410,437,0.40583644357329424
rpmc,100,3,2,179,207,403.9951690821256,448.77777777777777,396,442,413,457,0.5465498661926607
rpmc,100,3,2,181,215,410.33488372093024,480.27441860465115,401,473,420,488,0.647685600080719
rpmc,100,3,2,182,217,414.31797235023043,144.61751152073734,406,138,425,152,0.6669512162308434
rpmc,100,3,2,183,235,416.17446808510635,128.0,407,120,425,137,0.4126016555476644
rpmc,100,3,2,184,93,412.61290322580646,437.40860215053766,407,432,419,444,0.35345067736143393
rpmc,100,3,2,186,129,419.0232558139535,466.5813953488372,414,460,425,475,0.6614331014502433
rpmc,100,3,2,187,213,429.24413145539904,207.62910798122067,421,200,438,216,0.5906462067865733
rpmc,100,3,2,188,192,427.8802083333333,270.4947916666667,421,263,436,279,0.4237586487874858
rpmc,100,3,2,189,128,435.09375,257.015625,429,251,442,264,0.38777940707693104
rpmc,100,3,2,190,202,442.6980198019802,277.05445544554453,435,269,451,286,0.3951720706852994
rpmc,100,3,2,191,394,461.1243654822335,101.48223350253807,451,91,473,113,0.2457647451829742
rpmc,100,3,2,192,306,465.94444444444446,80.25816993464052,456,71,476,90,0.24714151956044056
rpmc,100,3,2,193,257,465.3540856031128,263.9455252918288,456,255,476,273,0.6271011385574287
rpmc,100,3,2,194,179,468.70949720670393,120.60335195530726,462,113,477,129,0.574510026912858
rpmc,100,3,2,195,193,479.4922279792746,144.2642487046632,471,137,489,152,0.5889053234807293
rpmc,100,3,2,196,259,481.5405405405405,112.13899613899613,473,103,491,123,0.44734594666780436
rpmc,100,3,2,197,146,484.21232876712327,96.0958904109589,478,90,491,103,0.45275714361767533
rpmc,100,3,2,199,226,493.1504424778761,245.83185840707964,486,237,502,255,0.4953782806257057
