experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,200,3,5,golgi,2,49,3,4,5,6,5,6,8,7
rpmc,200,3,5,golgi,2,246,2,2,7,4,8,9,5,9
rpmc,200,3,5,golgi,2,384,85,280,5,8,2,19,12,7
rpmc,200,3,5,golgi,2,446,4,4,12,7,1,14,9,2
rpmc,200,3,5,golgi,2,507,45,180,11,2,5,20,6,10
rpmc,200,3,5,golgi,2,573,39,108,9,4,7,18,7,11
rpmc,200,3,5,golgi,2,716,10,24,14,7,0,18,10,2
rpmc,200,3,5,golgi,2,850,5,6,18,5,9,21,7,10
rpmc,200,3,5,golgi,2,916,4,4,18,2,2,20,4,3
rpmc,200,3,5,golgi,2,1223,9,12,20,2,2,26,4,3
rpmc,200,3,5,golgi,2,1488,3,4,27,1,4,29,2,6
rpmc,200,3,5,golgi,2,1490,2,2,27,5,9,28,6,11
rpmc,200,3,5,golgi,2,1551,1,1,28,1,5,29,2,6
rpmc,200,3,5,golgi,2,1823,21,63,27,1,2,34,4,5
rpmc,200,3,5,golgi,2,1937,8,12,34,2,3,37,4,5
rpmc,200,3,5,golgi,3,47,1,1,5,2,7,6,3,8
rpmc,200,3,5,golgi,3,48,1,1,5,2,11,6,3,12
rpmc,200,3,5,golgi,3,51,1,1,5,6,8,6,7,9
rpmc,200,3,5,golgi,3,52,1,1,5,8,14,6,9,15
rpmc,200,3,5,golgi,3,1225,130,375,15,3,8,30,8,13
rpmc,200,3,5,golgi,3,1226,1,1,23,10,3,24,11,4
rpmc,200,3,5,golgi,3,1612,2,2,27,5,15,29,6,16
rpmc,200,3,5,golgi,3,1683,83,260,24,1,7,37,5,12
rpmc,200,3,5,golgi,4,5,4,8,4,4,14,6,6,16
rpmc,200,3,5,golgi,4,50,8,18,5,4,8,8,6,11
rpmc,200,3,5,golgi,4,53,16,48,4,5,3,8,9,6
rpmc,200,3,5,golgi,4,54,6,9,4,9,9,7,10,12
rpmc,200,3,5,golgi,4,55,2,2,5,10,3,7,11,4
rpmc,200,3,5,golgi,4,56,4,8,5,10,5,7,12,7
rpmc,200,3,5,golgi,4,247,5,12,7,8,3,10,10,5
rpmc,200,3,5,golgi,4,292,6,12,8,7,3,10,10,5
rpmc,200,3,5,golgi,4,293,6,16,7,8,9,11,10,11
rpmc,200,3,5,golgi,4,339,8,27,9,7,4,12,10,7
rpmc,200,3,5,golgi,4,385,25,72,9,8,1,15,12,4
rpmc,200,3,5,golgi,4,449,1,1,12,13,9,13,14,10
rpmc,200,3,5,golgi,4,575,4,4,14,11,2,15,13,4
rpmc,200,3,5,golgi,4,640,23,105,14,13,7,21,16,12
rpmc,200,3,5,golgi,4,779,16,24,15,9,1,19,12,3
rpmc,200,3,5,golgi,4,780,24,48,15,8,13,21,12,15
rpmc,200,3,5,golgi,4,849,10,16,17,0,8,21,2,10
rpmc,200,3,5,golgi,4,1006,6,12,19,10,13,22,12,15
rpmc,200,3,5,golgi,4,1224,5,12,23,3,2,25,6,4
rpmc,200,3,5,golgi,4,1229,1,1,23,15,7,24,16,8
rpmc,200,3,5,golgi,4,1288,6,12,23,2,2,25,5,4
