experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,100,3,4,mitochondria,1,10,970,5208,4,0,0,35,14,12
rpmc,100,3,4,mitochondria,1,287,5,8,17,6,5,19,8,7
rpmc,100,3,4,mitochondria,1,538,5,16,29,3,9,33,5,11
rpmc,100,3,4,mitochondria,1,556,1,1,30,8,11,31,9,12
rpmc,100,3,4,mitochondria,2,9,317,2079,4,0,2,25,11,11
rpmc,100,3,4,mitochondria,2,327,2,2,19,8,2,21,9,3
rpmc,100,3,4,mitochondria,2,466,7,16,25,8,6,29,10,8
rpmc,100,3,4,mitochondria,2,521,5,8,28,2,6,32,3,8
rpmc,100,3,4,mitochondria,2,557,17,60,30,5,3,34,10,6
rpmc,100,3,4,mitochondria,3,11,610,4466,4,2,0,33,13,14
rpmc,100,3,4,mitochondria,3,229,4,8,14,3,4,16,5,6
rpmc,100,3,4,mitochondria,3,522,1,1,28,1,6,29,2,7
rpmc,100,3,4,mitochondria,3,539,18,30,29,5,2,34,7,5
rpmc,100,3,4,mitochondria,3,540,14,36,29,8,3,33,11,6
rpmc,100,3,4,mitochondria,4,40,247,1008,5,0,5,33,4,14
rpmc,100,3,4,mitochondria,4,131,6,16,7,8,4,11,10,6
rpmc,100,3,4,mitochondria,4,132,100,324,7,10,10,25,13,16
rpmc,100,3,4,mitochondria,4,162,29,192,8,2,12,16,8,16
rpmc,100,3,4,mitochondria,4,328,1,1,19,5,5,20,6,6
rpmc,100,3,4,mitochondria,4,441,1,1,25,10,2,26,11,3
rpmc,100,3,4,mitochondria,4,488,21,45,26,9,7,31,12,10
rpmc,100,3,4,mitochondria,4,523,3,4,28,10,11,30,11,13
rpmc,100,3,4,mitochondria,5,41,647,5670,5,0,2,32,15,16
rpmc,100,3,4,mitochondria,5,80,17,60,6,7,1,11,11,4
rpmc,100,3,4,mitochondria,5,288,1,1,17,3,10,18,4,11
rpmc,100,3,4,mitochondria,5,487,2,2,26,4,10,27,6,11
rpmc,100,3,4,mitochondria,6,12,477,2349,4,1,5,33,10,14
rpmc,100,3,4,mitochondria,6,133,5,9,7,8,4,10,9,7
rpmc,100,3,4,mitochondria,6,195,2,2,12,9,5,13,11,6
rpmc,100,3,4,mitochondria,6,289,2,2,17,3,4,19,4,5
rpmc,100,3,4,mitochondria,6,352,75,280,20,2,2,34,7,6
rpmc,100,3,4,mitochondria,6,419,2,2,23,8,6,25,9,7
rpmc,100,3,4,mitochondria,6,558,2,2,30,3,7,31,4,9
rpmc,100,3,4,mitochondria,7,42,506,4312,5,3,1,33,17,12
rpmc,100,3,4,mitochondria,7,79,68,240,6,3,8,18,7,13
rpmc,100,3,4,mitochondria,7,134,8,10,7,9,11,12,11,12
rpmc,100,3,4,mitochondria,7,190,4,8,11,9,8,13,11,10
rpmc,100,3,4,mitochondria,7,202,2,2,13,8,11,15,9,12
rpmc,100,3,4,mitochondria,7,418,38,216,23,3,3,32,7,9
rpmc,100,3,4,mitochondria,7,420,2,2,23,8,13,25,9,14
rpmc,100,3,4,mitochondria,7,504,2,2,27,10,11,29,11,12
rpmc,100,3,4,mitochondria,8,43,1309,7830,5,0,0,34,18,15
rpmc,100,3,4,mitochondria,9,82,1013,5850,6,1,0,36,14,15
rpmc,100,3,4,mitochondria,9,588,1,1,32,9,12,33,10,13
rpmc,100,3,4,mitochondria,9,627,1,1,36,11,5,37,12,6
rpmc,100,3,4,mitochondria,10,13,277,2288,4,0,2,30,11,10
rpmc,100,3,4,mitochondria,10,524,6,8,28,5,8,32,7,9
rpmc,100,3,4,mitochondria,10,576,8,16,31,2,2,35,4,4
rpmc,100,3,4,mitochondria,11,44,164,1287,5,2,0,18,13,9
rpmc,100,3,4,mitochondria,11,81,18,42,6,2,2,13,4,5
rpmc,100,3,4,mitochondria,11,203,127,480,13,9,0,29,14,6
rpmc,100,3,4,mitochondria,11,230,194,1540,14,0,1,34,11,8
rpmc,100,3,4,mitochondria,11,489,1,1,26,4,8,27,5,9
rpmc,100,3,4,mitochondria,12,43,585,2349,5,1,0,34,10,9
rpmc,100,3,4,mitochondria,12,263,1,1,16,1,5,17,2,6
rpmc,100,3,4,mitochondria,12,264,9,16,16,6,3,20,8,5
rpmc,100,3,4,mitochondria,12,443,4,6,24,7,0,27,8,2
rpmc,100,3,4,mitochondria,14,13,442,2700,4,0,1,22,10,16
rpmc,100,3,4,mitochondria,14,353,1,1,20,1,5,21,2,6
rpmc,100,3,4,mitochondria,14,442,3,4,24,1,9,26,2,11
rpmc,100,3,4,mitochondria,14,467,11,24,25,2,3,29,4,6
rpmc,100,3,4,mitochondria,14,559,5,18,30,2,1,32,5,4
rpmc,100,3,4,mitochondria,14,577,1,1,31,7,2,32,8,3
rpmc,100,3,4,mitochondria,15,83,1878,11200,6,0,0,34,20,20
rpmc,100,3,4,mitochondria,16,85,884,7072,6,1,0,32,18,16
rpmc,100,3,4,mitochondria,16,135,1,1,7,3,7,8,4,8
rpmc,100,3,4,mitochondria,16,177,5,12,9,10,10,12,12,12
rpmc,100,3,4,mitochondria,16,178,1,1,9,12,14,10,13,15
rpmc,100,3,4,mitochondria,16,185,1,1,10,6,16,11,7,17
rpmc,100,3,4,mitochondria,16,191,1,1,11,9,13,12,10,14
rpmc,100,3,4,mitochondria,16,204,5,12,13,5,15,17,8,16
rpmc,100,3,4,mitochondria,16,205,7,12,13,12,14,16,14,16
rpmc,100,3,4,mitochondria,16,206,1,1,13,14,12,14,15,13
rpmc,100,3,4,mitochondria,16,407,4,6,22,14,3,25,16,4
rpmc,100,3,4,mitochondria,16,505,10,24,27,4,5,31,6,8
rpmc,100,3,4,mitochondria,17,14,1079,7395,5,1,0,34,18,15
rpmc,100,3,4,mitochondria,18,46,458,3510,5,5,0,32,15,13
rpmc,100,3,4,mitochondria,18,84,29,120,6,2,7,12,6,12
rpmc,100,3,4,mitochondria,18,179,1,1,9,8,12,10,9,13
rpmc,100,3,4,mitochondria,18,265,18,36,16,3,10,20,6,13
rpmc,100,3,4,mitochondria,18,307,110,784,18,5,0,34,12,7
rpmc,100,3,4,mitochondria,19,86,195,1100,6,3,10,26,14,15
rpmc,100,3,4,mitochondria,19,136,11,24,7,1,5,11,3,8
rpmc,100,3,4,mitochondria,19,137,309,2400,7,3,0,32,15,8
rpmc,100,3,4,mitochondria,19,163,2,2,8,12,11,10,13,12
rpmc,100,3,4,mitochondria,19,164,1,1,8,14,9,9,15,10
rpmc,100,3,4,mitochondria,19,186,14,48,10,12,8,18,14,11
rpmc,100,3,4,mitochondria,19,192,1,1,11,5,7,12,6,8
rpmc,100,3,4,mitochondria,19,231,19,48,14,4,3,20,8,5
rpmc,100,3,4,mitochondria,19,290,46,195,17,1,6,30,4,11
rpmc,100,3,4,mitochondria,19,380,2,2,21,4,5,23,5,6
rpmc,100,3,4,mitochondria,19,468,6,16,25,8,9,27,10,13
rpmc,100,3,4,mitochondria,19,541,1,1,29,6,13,30,7,14
rpmc,100,3,4,mitochondria,19,578,2,2,31,3,10,33,4,11
rpmc,100,3,4,mitochondria,20,45,1042,5040,5,1,0,35,15,12
rpmc,100,3,4,mitochondria,20,291,4,6,17,4,9,20,5,11
rpmc,100,3,4,mitochondria,20,421,1,1,23,2,9,24,3,10
rpmc,100,3,4,mitochondria,20,444,1,1,24,6,6,25,7,7
rpmc,100,3,4,mitochondria,20,628,2,2,36,3,3,37,4,5
rpmc,100,3,4,mitochondria,21,83,696,3828,6,0,0,35,11,12
rpmc,100,3,4,mitochondria,21,232,8,12,14,8,3,17,10,5
rpmc,100,3,4,mitochondria,21,445,1,1,24,6,10,25,7,11
rpmc,100,3,4,mitochondria,21,490,1,1,26,6,10,27,7,11
rpmc,100,3,4,mitochondria,23,46,341,2340,6,0,3,32,10,12
rpmc,100,3,4,mitochondria,23,408,51,192,22,5,2,34,9,6
rpmc,100,3,4,mitochondria,24,14,1091,4836,4,1,0,35,14,12
rpmc,100,3,4,mitochondria,25,49,837,4147,6,1,1,35,12,14
rpmc,100,3,4,mitochondria,26,47,1275,7888,5,0,1,34,16,18
rpmc,100,3,4,mitochondria,26,48,2,4,5,8,10,7,9,12
rpmc,100,3,4,mitochondria,26,354,1,1,20,14,5,21,15,6
rpmc,100,3,4,mitochondria,26,525,2,2,28,12,6,29,13,8
rpmc,100,3,4,mitochondria,26,542,21,48,29,7,0,33,10,4
rpmc,100,3,4,mitochondria,27,49,1047,5278,5,1,0,34,15,13
rpmc,100,3,4,mitochondria,27,196,1,1,12,4,3,13,5,4
rpmc,100,3,4,mitochondria,27,247,1,1,15,10,8,16,11,9
rpmc,100,3,4,mitochondria,27,292,4,4,17,2,4,19,3,6
rpmc,100,3,4,mitochondria,28,15,461,2310,4,1,1,25,12,11
rpmc,100,3,4,mitochondria,28,308,5,12,18,5,0,21,7,2
rpmc,100,3,4,mitochondria,28,355,2,2,20,8,10,21,10,11
rpmc,100,3,4,mitochondria,28,381,87,630,21,2,1,35,7,10
rpmc,100,3,4,mitochondria,28,506,72,240,27,8,3,37,12,9
rpmc,100,3,4,mitochondria,29,50,1249,7168,5,0,1,33,16,17
rpmc,100,3,4,mitochondria,29,356,17,48,20,9,14,28,12,16
rpmc,100,3,4,mitochondria,29,382,14,36,21,3,11,25,6,14
rpmc,100,3,4,mitochondria,29,469,2,2,25,5,12,26,7,13
rpmc,100,3,4,mitochondria,29,526,43,96,28,3,10,34,7,14
rpmc,100,3,4,mitochondria,29,543,13,48,29,8,13,33,12,16
rpmc,100,3,4,mitochondria,30,17,1021,6090,4,2,0,33,16,15
rpmc,100,3,4,mitochondria,30,266,1,1,16,9,3,17,10,4
rpmc,100,3,4,mitochondria,31,16,1419,7680,4,0,0,34,16,16
rpmc,100,3,4,mitochondria,31,383,5,6,21,11,6,23,12,9
rpmc,100,3,4,mitochondria,31,446,50,180,24,9,5,30,15,10
rpmc,100,3,4,mitochondria,32,87,1104,5278,6,2,0,35,16,13
rpmc,100,3,4,mitochondria,32,208,3,4,13,12,10,15,14,11
rpmc,100,3,4,mitochondria,32,209,2,2,13,15,6,14,16,8
rpmc,100,3,4,mitochondria,32,248,1,1,15,10,10,16,11,11
rpmc,100,3,4,mitochondria,32,329,9,15,19,7,8,24,8,11
rpmc,100,3,4,mitochondria,32,357,1,1,20,8,6,21,9,7
rpmc,100,3,4,mitochondria,33,1,4,8,3,12,6,5,14,8
rpmc,100,3,4,mitochondria,33,88,1061,5096,6,1,1,34,15,14
rpmc,100,3,4,mitochondria,33,207,1,1,13,3,9,14,4,10
rpmc,100,3,4,mitochondria,33,358,3,4,20,2,2,22,4,3
rpmc,100,3,4,mitochondria,33,491,1,1,26,4,10,27,5,11
rpmc,100,3,4,mitochondria,34,19,1688,8370,4,0,0,35,15,18
rpmc,100,3,4,mitochondria,34,629,1,1,36,10,1,37,11,2
rpmc,100,3,4,mitochondria,35,18,1358,6076,4,0,1,35,14,15
rpmc,100,3,4,mitochondria,36,23,1576,12180,4,0,0,33,21,20
rpmc,100,3,4,mitochondria,36,89,131,600,6,2,7,21,6,17
rpmc,100,3,4,mitochondria,36,210,2,4,13,1,9,15,3,10
rpmc,100,3,4,mitochondria,36,447,3,4,24,8,5,26,9,7
rpmc,100,3,4,mitochondria,37,87,1505,8700,6,0,0,35,15,20
rpmc,100,3,4,mitochondria,37,249,2,2,15,9,9,17,10,10
rpmc,100,3,4,mitochondria,37,267,1,1,16,2,14,17,3,15
rpmc,100,3,4,mitochondria,37,330,2,2,19,13,7,20,14,9
rpmc,100,3,4,mitochondria,37,331,2,2,19,13,11,20,15,12
rpmc,100,3,4,mitochondria,38,52,867,3480,6,1,0,35,13,10
rpmc,100,3,4,mitochondria,39,54,625,6960,5,4,6,34,20,21
rpmc,100,3,4,mitochondria,39,90,369,2730,6,1,1,32,8,16
rpmc,100,3,4,mitochondria,39,92,31,243,6,9,1,15,18,4
rpmc,100,3,4,mitochondria,39,233,1,1,14,4,3,15,5,4
rpmc,100,3,4,mitochondria,39,269,3,4,16,15,0,18,16,2
rpmc,100,3,4,mitochondria,39,293,2,2,17,1,8,18,2,10
