experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,400,3,4,peroxisome,1,102,41,81,5,6,9,14,9,12
rpmc,400,3,4,peroxisome,1,103,29,81,6,13,7,15,16,10
rpmc,400,3,4,peroxisome,1,168,25,48,6,12,11,14,14,14
rpmc,400,3,4,peroxisome,1,232,12,30,11,11,13,16,14,15
rpmc,400,3,4,peroxisome,1,282,24,63,8,3,13,15,6,16
rpmc,400,3,4,peroxisome,1,903,6,9,19,5,16,22,6,19
rpmc,400,3,4,peroxisome,1,972,15,30,20,4,16,25,6,19
rpmc,400,3,4,peroxisome,1,973,2,2,21,9,21,23,10,22
rpmc,400,3,4,peroxisome,1,1530,33,81,28,5,16,37,8,19
rpmc,400,3,4,peroxisome,1,1642,18,32,29,19,12,37,21,14
rpmc,400,3,4,peroxisome,4,233,16,42,7,14,15,14,16,18
rpmc,400,3,4,peroxisome,4,488,6,12,14,17,6,17,19,8
rpmc,400,3,4,peroxisome,4,687,5,6,16,18,6,19,19,8
rpmc,400,3,4,peroxisome,4,755,9,16,17,17,6,21,19,8
rpmc,400,3,4,peroxisome,4,905,11,18,20,17,5,23,19,8
rpmc,400,3,4,peroxisome,4,974,36,90,17,17,16,27,20,19
rpmc,400,3,4,peroxisome,4,1412,16,30,24,10,1,29,13,3
rpmc,400,3,4,peroxisome,4,1413,2,2,27,21,6,29,22,7
rpmc,400,3,4,peroxisome,4,1532,18,48,25,11,1,37,13,3
rpmc,400,3,4,peroxisome,4,1586,13,24,29,11,1,35,13,3
rpmc,400,3,4,peroxisome,4,1711,21,45,30,10,19,35,13,22
rpmc,400,3,4,peroxisome,4,1893,10,18,35,10,19,37,13,22
rpmc,400,3,4,peroxisome,6,284,1,1,12,9,8,13,10,9
rpmc,400,3,4,peroxisome,6,751,6,12,18,8,11,21,10,13
rpmc,400,3,4,peroxisome,6,822,4,8,19,8,11,21,10,13
rpmc,400,3,4,peroxisome,6,1828,1,1,35,12,9,36,13,10
rpmc,400,3,4,peroxisome,6,1889,20,42,30,1,5,37,4,7
rpmc,400,3,4,peroxisome,6,1890,56,160,29,5,1,37,10,5
rpmc,400,3,4,peroxisome,6,1891,2,2,35,7,16,37,8,17
rpmc,400,3,4,peroxisome,6,1895,2,2,36,11,9,37,13,10
rpmc,400,3,4,peroxisome,8,231,26,63,8,3,8,15,6,11
rpmc,400,3,4,peroxisome,8,686,98,225,10,11,1,25,14,6
rpmc,400,3,4,peroxisome,8,1531,16,32,25,4,0,33,6,2
rpmc,400,3,4,peroxisome,9,104,78,144,3,9,3,15,12,7
rpmc,400,3,4,peroxisome,9,490,3,3,14,15,8,17,16,9
rpmc,400,3,4,peroxisome,9,613,55,108,12,4,14,24,7,17
rpmc,400,3,4,peroxisome,9,1048,86,176,15,11,0,26,15,4
rpmc,400,3,4,peroxisome,9,1258,54,108,24,11,0,33,15,3
rpmc,400,3,4,peroxisome,10,1710,16,36,30,0,5,36,2,8
rpmc,400,3,4,peroxisome,10,1768,16,21,30,5,0,37,8,1
rpmc,400,3,4,peroxisome,12,107,11,20,7,14,12,12,16,14
rpmc,400,3,4,peroxisome,12,356,17,36,11,3,17,15,6,20
rpmc,400,3,4,peroxisome,12,486,5,8,15,3,17,17,5,19
rpmc,400,3,4,peroxisome,12,489,8,8,13,7,1,17,9,2
rpmc,400,3,4,peroxisome,12,614,21,54,16,2,17,22,5,20
rpmc,400,3,4,peroxisome,12,615,4,4,17,7,1,19,9,2
rpmc,400,3,4,peroxisome,12,975,27,42,17,13,1,24,16,3
rpmc,400,3,4,peroxisome,12,1046,9,24,20,0,12,26,2,14
rpmc,400,3,4,peroxisome,12,1126,14,63,22,14,1,29,17,4
rpmc,400,3,4,peroxisome,12,1193,20,36,24,13,1,30,16,3
rpmc,400,3,4,peroxisome,12,1587,8,18,30,1,5,33,3,8
rpmc,400,3,4,peroxisome,12,1899,6,18,35,9,7,37,12,10
rpmc,400,3,4,peroxisome,12,1900,14,36,33,11,2,37,14,5
rpmc,400,3,4,peroxisome,12,1903,10,24,35,14,7,37,17,11
rpmc,400,3,4,peroxisome,13,421,50,99,9,6,8,20,9,11
rpmc,400,3,4,peroxisome,13,1047,52,99,19,4,9,30,7,12
rpmc,400,3,4,peroxisome,13,1259,35,81,23,7,1,32,10,4
rpmc,400,3,4,peroxisome,13,1464,23,54,24,2,0,33,5,2
rpmc,400,3,4,peroxisome,14,60,2,2,8,5,5,10,6,6
rpmc,400,3,4,peroxisome,14,286,1,1,12,3,7,13,4,8
rpmc,400,3,4,peroxisome,14,289,35,90,9,8,8,19,11,11
rpmc,400,3,4,peroxisome,14,487,36,99,10,0,2,21,3,5
rpmc,400,3,4,peroxisome,14,685,2,2,18,2,8,19,3,10
rpmc,400,3,4,peroxisome,14,754,7,27,18,1,9,21,4,12
rpmc,400,3,4,peroxisome,14,1261,6,8,25,12,11,29,13,13
rpmc,400,3,4,peroxisome,14,1333,1,1,27,0,5,28,1,6
rpmc,400,3,4,peroxisome,14,1898,2,2,35,2,5,37,3,6
rpmc,400,3,4,peroxisome,14,1901,25,45,32,8,4,37,11,7
rpmc,400,3,4,peroxisome,15,491,26,60,11,18,12,21,20,15
rpmc,400,3,4,peroxisome,15,553,18,48,12,11,1,20,14,3
rpmc,400,3,4,peroxisome,15,825,15,54,17,16,8,23,19,11
rpmc,400,3,4,peroxisome,15,1049,31,81,19,8,15,28,11,18
rpmc,400,3,4,peroxisome,15,1125,11,18,21,1,5,30,2,7
rpmc,400,3,4,peroxisome,15,1194,138,304,16,14,2,35,18,6
rpmc,400,3,4,peroxisome,15,1260,3,3,26,6,16,29,7,17
rpmc,400,3,4,peroxisome,15,1465,1,1,29,6,16,30,7,17
rpmc,400,3,4,peroxisome,15,1904,18,54,31,10,2,37,13,5
rpmc,400,3,4,peroxisome,15,1905,29,54,31,13,8,37,16,11
rpmc,400,3,4,peroxisome,16,21,1,1,7,7,11,8,8,12
rpmc,400,3,4,peroxisome,16,105,5,8,9,6,12,11,8,14
rpmc,400,3,4,peroxisome,16,169,1,1,10,7,13,11,8,14
rpmc,400,3,4,peroxisome,16,234,3,3,10,15,5,13,16,6
rpmc,400,3,4,peroxisome,16,287,12,16,7,3,3,15,4,5
rpmc,400,3,4,peroxisome,16,358,1,1,13,15,5,14,16,6
rpmc,400,3,4,peroxisome,16,422,6,8,12,14,5,16,16,6
rpmc,400,3,4,peroxisome,16,1334,33,63,23,4,15,30,7,18
rpmc,400,3,4,peroxisome,16,1769,24,54,31,15,7,37,18,10
rpmc,400,3,4,peroxisome,17,170,39,96,5,4,2,13,8,5
rpmc,400,3,4,peroxisome,17,359,45,81,10,13,12,19,16,15
rpmc,400,3,4,peroxisome,17,1127,8,10,22,12,16,27,14,17
rpmc,400,3,4,peroxisome,17,1336,4,6,26,14,14,29,16,15
rpmc,400,3,4,peroxisome,17,1467,8,12,28,13,14,31,15,16
rpmc,400,3,4,peroxisome,17,1588,6,12,31,13,14,34,15,16
rpmc,400,3,4,peroxisome,17,1902,1,1,36,5,5,37,6,6
rpmc,400,3,4,peroxisome,18,109,78,117,2,13,6,15,16,9
rpmc,400,3,4,peroxisome,18,425,11,30,12,17,7,17,20,9
rpmc,400,3,4,peroxisome,18,688,14,45,16,17,6,21,20,9
rpmc,400,3,4,peroxisome,18,977,5,8,19,18,8,23,20,9
rpmc,400,3,4,peroxisome,18,1335,1,1,27,13,2,28,14,3
rpmc,400,3,4,peroxisome,18,1466,26,48,26,10,18,34,13,20
rpmc,400,3,4,peroxisome,19,106,1,1,9,2,11,10,3,12
rpmc,400,3,4,peroxisome,19,235,1,1,11,16,12,12,17,13
rpmc,400,3,4,peroxisome,19,236,29,63,8,16,7,15,19,10
rpmc,400,3,4,peroxisome,19,288,1,1,12,1,9,13,2,10
rpmc,400,3,4,peroxisome,19,423,27,72,10,10,0,18,13,3
rpmc,400,3,4,peroxisome,19,492,3,3,14,18,18,17,19,19
rpmc,400,3,4,peroxisome,19,552,34,54,11,1,13,20,3,16
rpmc,400,3,4,peroxisome,19,757,67,144,13,18,6,25,21,10
rpmc,400,3,4,peroxisome,19,1337,5,6,26,19,6,29,20,8
rpmc,400,3,4,peroxisome,19,1414,5,6,27,18,13,30,19,15
rpmc,400,3,4,peroxisome,20,976,4,12,21,1,1,24,3,3
rpmc,400,3,4,peroxisome,21,108,54,160,4,4,10,14,8,14
rpmc,400,3,4,peroxisome,21,290,3,4,12,10,5,14,12,6
rpmc,400,3,4,peroxisome,21,424,1,1,14,10,5,15,11,6
rpmc,400,3,4,peroxisome,21,829,22,63,16,12,3,23,15,6
rpmc,400,3,4,peroxisome,21,1468,17,54,27,12,3,33,15,6
rpmc,400,3,4,peroxisome,21,1906,22,54,31,1,9,37,4,12
rpmc,400,3,4,peroxisome,22,171,4,4,9,9,2,13,10,3
rpmc,400,3,4,peroxisome,22,291,1,1,12,11,9,13,12,10
rpmc,400,3,4,peroxisome,22,360,2,2,13,6,1,14,7,3
rpmc,400,3,4,peroxisome,22,690,39,81,14,13,6,23,16,9
rpmc,400,3,4,peroxisome,22,828,1,1,20,10,0,21,11,1
