experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,1000,3,1,vacuole,3,0,56,72,12,2,4,12,10,13
rpmc,1000,3,1,vacuole,4,0,154,196,23,1,2,23,15,16
rpmc,1000,3,1,vacuole,7,0,115,144,23,0,6,23,12,18
rpmc,1000,3,1,vacuole,8,0,95,132,19,0,3,19,11,15
rpmc,1000,3,1,vacuole,11,0,63,90,15,5,4,15,14,14
rpmc,1000,3,1,vacuole,12,0,60,72,14,6,5,14,14,14
rpmc,1000,3,1,vacuole,13,0,81,100,16,3,0,16,13,10
rpmc,1000,3,1,vacuole,14,0,102,132,19,2,1,19,14,12
rpmc,1000,3,1,vacuole,15,0,99,132,22,2,3,22,14,14
rpmc,1000,3,1,vacuole,16,0,92,121,20,2,1,20,13,12
rpmc,1000,3,1,vacuole,17,0,50,56,18,3,1,18,10,9
rpmc,1000,3,1,vacuole,19,0,86,110,22,3,4,22,13,15
rpmc,1000,3,1,vacuole,22,0,104,121,18,4,2,18,15,13
rpmc,1000,3,1,vacuole,23,0,32,36,15,4,5,15,10,11
rpmc,1000,3,1,vacuole,24,0,49,56,17,0,6,17,8,13
rpmc,1000,3,1,vacuole,25,0,80,110,15,3,4,15,14,14
rpmc,1000,3,1,vacuole,26,0,24,36,17,1,4,17,7,10
rpmc,1000,3,1,vacuole,27,0,75,99,17,7,2,17,16,13
rpmc,1000,3,1,vacuole,28,0,24,36,18,4,3,18,10,9
rpmc,1000,3,1,vacuole,31,0,104,144,21,4,1,21,16,13
rpmc,1000,3,1,vacuole,32,0,125,156,22,1,2,22,13,15
rpmc,1000,3,1,vacuole,33,0,35,48,12,4,5,12,10,13
rpmc,1000,3,1,vacuole,34,0,99,110,23,2,4,23,12,15
rpmc,1000,3,1,vacuole,35,0,79,90,22,5,3,22,14,13
rpmc,1000,3,1,vacuole,36,0,12,16,10,6,5,10,10,9
rpmc,1000,3,1,vacuole,40,0,10,12,19,3,8,19,7,11
rpmc,1000,3,1,vacuole,41,0,134,168,22,2,2,22,16,14
rpmc,1000,3,1,vacuole,42,0,89,121,19,3,5,19,14,16
rpmc,1000,3,1,vacuole,45,0,93,121,22,1,1,22,12,12
rpmc,1000,3,1,vacuole,47,0,36,49,20,3,2,20,10,9
rpmc,1000,3,1,vacuole,48,0,31,35,21,5,2,21,10,9
rpmc,1000,3,1,vacuole,51,0,74,90,10,3,4,10,13,13
rpmc,1000,3,1,vacuole,52,0,87,120,17,1,5,17,13,15
rpmc,1000,3,1,vacuole,53,0,80,108,22,2,1,22,14,10
rpmc,1000,3,1,vacuole,55,0,62,81,13,2,3,13,11,12
rpmc,1000,3,1,vacuole,56,0,50,63,11,7,3,11,14,12
rpmc,1000,3,1,vacuole,57,0,7,8,12,2,3,12,4,7
rpmc,1000,3,1,vacuole,58,0,133,195,21,2,1,21,15,16
rpmc,1000,3,1,vacuole,60,0,98,132,19,4,4,19,16,15
rpmc,1000,3,1,vacuole,61,0,49,56,15,2,3,15,9,11
rpmc,1000,3,1,vacuole,62,0,89,121,23,4,6,23,15,17
rpmc,1000,3,1,vacuole,65,0,120,156,20,2,3,20,14,16
rpmc,1000,3,1,vacuole,66,0,1,1,4,11,12,4,12,13
rpmc,1000,3,1,vacuole,67,0,85,99,19,3,1,19,12,12
rpmc,1000,3,1,vacuole,68,0,90,121,20,2,2,20,13,13
rpmc,1000,3,1,vacuole,69,0,91,110,14,1,3,14,11,14
rpmc,1000,3,1,vacuole,70,0,2,4,14,4,14,14,6,16
rpmc,1000,3,1,vacuole,71,0,70,81,24,6,1,24,15,10
rpmc,1000,3,1,vacuole,72,0,22,25,10,4,3,10,9,8
rpmc,1000,3,1,vacuole,74,0,22,30,9,6,3,9,11,9
rpmc,1000,3,1,vacuole,75,0,98,110,21,4,1,21,15,11
rpmc,1000,3,1,vacuole,76,0,110,144,22,3,5,22,15,17
rpmc,1000,3,1,vacuole,77,0,87,108,18,5,2,18,14,14
rpmc,1000,3,1,vacuole,78,0,98,120,17,3,2,17,13,14
rpmc,1000,3,1,vacuole,81,0,153,182,21,1,3,21,15,16
rpmc,1000,3,1,vacuole,82,0,55,90,17,2,1,17,11,11
rpmc,1000,3,1,vacuole,83,0,121,156,20,3,1,20,16,13
rpmc,1000,3,1,vacuole,84,0,133,168,18,2,2,18,14,16
rpmc,1000,3,1,vacuole,87,0,57,81,17,0,1,17,9,10
rpmc,1000,3,1,vacuole,88,0,49,72,21,4,3,21,12,12
rpmc,1000,3,1,vacuole,89,0,95,132,18,0,1,18,11,13
rpmc,1000,3,1,vacuole,92,0,102,144,23,2,3,23,14,15
rpmc,1000,3,1,vacuole,93,0,22,25,10,4,2,10,9,7
rpmc,1000,3,1,vacuole,94,0,4,6,16,6,3,16,9,5
rpmc,1000,3,1,vacuole,96,0,26,42,20,2,1,20,9,7
rpmc,1000,3,1,vacuole,97,0,18,20,33,1,2,33,5,7
rpmc,1000,3,1,vacuole,99,0,122,156,25,2,2,25,15,14
rpmc,1000,3,1,vacuole,101,0,89,121,19,1,1,19,12,12
rpmc,1000,3,1,vacuole,102,0,134,169,21,3,3,21,16,16
rpmc,1000,3,1,vacuole,103,0,126,168,17,5,4,17,17,18
rpmc,1000,3,1,vacuole,107,0,74,90,19,3,0,19,12,10
rpmc,1000,3,1,vacuole,108,0,37,48,20,5,1,20,11,9
rpmc,1000,3,1,vacuole,109,0,52,64,17,8,2,17,16,10
rpmc,1000,3,1,vacuole,110,0,86,100,17,3,4,17,13,14
rpmc,1000,3,1,vacuole,111,0,140,196,23,2,5,23,16,19
rpmc,1000,3,1,vacuole,112,0,122,144,17,6,2,17,18,14
rpmc,1000,3,1,vacuole,113,0,64,80,12,4,7,12,14,15
rpmc,1000,3,1,vacuole,114,0,93,110,23,2,4,23,13,14
rpmc,1000,3,1,vacuole,115,0,95,121,23,2,2,23,13,13
rpmc,1000,3,1,vacuole,116,0,93,120,19,5,3,19,15,15
rpmc,1000,3,1,vacuole,117,0,65,80,16,1,1,16,9,11
rpmc,1000,3,1,vacuole,120,0,150,210,19,5,0,19,19,15
rpmc,1000,3,1,vacuole,121,0,73,100,25,4,2,25,14,12
rpmc,1000,3,1,vacuole,122,0,72,90,18,1,1,18,11,10
rpmc,1000,3,1,vacuole,123,0,1,1,24,5,7,24,6,8
rpmc,1000,3,1,vacuole,125,0,67,90,22,1,2,22,10,12
rpmc,1000,3,1,vacuole,126,0,135,169,21,5,3,21,18,16
rpmc,1000,3,1,vacuole,127,0,131,169,18,3,3,18,16,16
rpmc,1000,3,1,vacuole,129,0,125,182,25,2,2,25,15,16
rpmc,1000,3,1,vacuole,133,0,53,72,12,2,2,12,10,11
rpmc,1000,3,1,vacuole,134,0,88,121,21,1,2,21,12,13
rpmc,1000,3,1,vacuole,137,0,132,169,20,3,2,20,16,15
rpmc,1000,3,1,vacuole,138,0,83,100,23,2,1,23,12,11
rpmc,1000,3,1,vacuole,139,0,47,72,21,2,2,21,11,10
rpmc,1000,3,1,vacuole,140,0,113,154,18,1,2,18,15,13
rpmc,1000,3,1,vacuole,141,0,13,16,29,3,3,29,7,7
rpmc,1000,3,1,vacuole,142,0,72,90,20,0,1,20,9,11
rpmc,1000,3,1,vacuole,143,0,61,72,22,2,3,22,10,12
rpmc,1000,3,1,vacuole,144,0,60,81,25,2,3,25,11,12
rpmc,1000,3,1,vacuole,145,0,29,35,25,3,2,25,8,9
rpmc,1000,3,1,vacuole,147,0,156,210,18,2,2,18,17,16
rpmc,1000,3,1,vacuole,149,0,13,16,22,1,2,22,5,6
rpmc,1000,3,1,vacuole,150,0,82,110,20,0,3,20,10,14
rpmc,1000,3,1,vacuole,151,0,67,90,18,1,5,18,11,14
rpmc,1000,3,1,vacuole,152,0,49,64,18,3,2,18,11,10
rpmc,1000,3,1,vacuole,153,0,87,110,18,2,3,18,13,13
rpmc,1000,3,1,vacuole,154,0,69,90,18,2,2,18,12,11
rpmc,1000,3,1,vacuole,155,0,63,70,23,2,2,23,9,12
rpmc,1000,3,1,vacuole,156,0,25,30,9,1,1,9,7,6
rpmc,1000,3,1,vacuole,159,0,1,1,15,8,7,15,9,8
rpmc,1000,3,1,vacuole,160,0,94,121,23,2,1,23,13,12
rpmc,1000,3,1,vacuole,161,0,110,144,20,6,1,20,18,13
rpmc,1000,3,1,vacuole,163,0,26,30,17,0,0,17,5,6
