experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,200,3,2,ER,1,255,1057,6720,4,0,0,36,14,15
rpmc,200,3,2,ER,2,255,763,7140,3,0,0,37,14,15
rpmc,200,3,2,ER,3,255,271,2475,8,1,0,33,10,11
rpmc,200,3,2,ER,4,255,928,13860,4,0,0,37,21,20
rpmc,200,3,2,ER,5,255,927,7392,4,0,0,37,14,16
rpmc,200,3,2,ER,6,255,1234,9826,3,0,0,37,17,17
rpmc,200,3,2,ER,7,255,782,8415,4,0,0,37,17,15
rpmc,200,3,2,ER,8,255,499,9424,5,0,0,36,16,19
rpmc,200,3,2,ER,9,255,744,8092,3,0,0,37,14,17
rpmc,200,3,2,ER,10,255,756,5850,5,0,0,35,15,13
rpmc,200,3,2,ER,11,255,414,3828,7,0,1,36,12,12
rpmc,200,3,2,ER,12,255,873,5544,4,1,0,37,15,12
rpmc,200,3,2,ER,13,255,827,10032,2,0,0,35,19,16
rpmc,200,3,2,ER,14,255,321,6510,6,0,1,37,15,15
rpmc,200,3,2,ER,15,255,834,6720,3,0,0,35,15,14
rpmc,200,3,2,ER,16,255,719,6370,2,0,0,37,14,13
rpmc,200,3,2,ER,17,255,333,2160,5,0,0,29,10,9
rpmc,200,3,2,ER,18,255,1156,7920,2,0,0,35,16,15
rpmc,200,3,2,ER,19,255,700,5642,4,0,0,35,14,13
rpmc,200,3,2,ER,20,255,2082,16150,3,0,0,37,25,19
rpmc,200,3,2,ER,21,255,1521,15540,0,0,0,37,21,20
rpmc,200,3,2,ER,22,255,1603,12240,3,1,1,37,21,19
rpmc,200,3,2,ER,23,255,929,9300,4,1,0,35,16,20
rpmc,200,3,2,ER,24,255,1043,8415,4,1,0,37,16,17
rpmc,200,3,2,ER,25,255,1938,16800,2,0,0,37,24,20
rpmc,200,3,2,ER,26,255,1081,11322,0,0,0,37,17,18
rpmc,200,3,2,ER,27,255,1006,7168,3,0,0,35,16,14
rpmc,200,3,2,ER,29,255,1022,7650,3,0,0,37,15,15
rpmc,200,3,2,ER,30,255,736,5712,3,1,0,37,15,12
rpmc,200,3,2,ER,31,255,630,5824,5,0,0,37,14,13
rpmc,200,3,2,ER,32,255,730,6448,4,1,0,35,17,13
rpmc,200,3,2,ER,33,255,617,3751,4,1,0,35,12,11
rpmc,200,3,2,ER,34,255,1354,9690,3,0,0,37,19,15
rpmc,200,3,2,ER,36,255,819,7722,2,1,0,35,19,13
rpmc,200,3,2,ER,37,255,778,7616,3,0,0,37,16,14
rpmc,200,3,2,ER,38,255,1267,10944,4,0,1,36,18,20
rpmc,200,3,2,ER,40,255,803,6468,4,0,0,37,14,14
rpmc,200,3,2,ER,41,255,823,5040,5,0,0,35,14,12
rpmc,200,3,2,ER,42,255,254,2640,4,0,2,34,11,10
rpmc,200,3,2,ER,43,255,398,2900,4,0,0,33,10,10
rpmc,200,3,2,ER,46,255,718,7920,4,0,1,37,15,17
rpmc,200,3,2,ER,47,255,1243,9690,3,1,0,37,16,19
rpmc,200,3,2,ER,48,255,502,3575,10,1,0,35,12,13
rpmc,200,3,2,ER,49,255,748,6510,5,0,0,36,14,15
rpmc,200,3,2,ER,50,255,1246,8910,4,2,0,37,20,15
rpmc,200,3,2,ER,52,255,429,3080,5,0,0,33,10,11
rpmc,200,3,2,ER,53,255,789,8370,5,0,0,36,15,18
rpmc,200,3,2,ER,55,255,1176,10032,4,0,0,37,19,16
rpmc,200,3,2,ER,56,255,1007,7350,2,1,0,37,15,15
rpmc,200,3,2,ER,57,255,853,6006,4,0,0,37,13,14
rpmc,200,3,2,ER,58,255,714,4608,5,1,0,37,13,12
rpmc,200,3,2,ER,60,255,1148,10368,5,0,0,37,18,18
rpmc,200,3,2,ER,61,255,895,7072,3,1,0,35,14,17
rpmc,200,3,2,ER,62,255,247,1449,14,0,0,37,9,7
rpmc,200,3,2,ER,64,255,1037,6825,2,1,0,37,14,15
rpmc,200,3,2,ER,65,255,1181,11913,4,2,0,37,21,19
rpmc,200,3,2,ER,67,255,782,5304,3,1,0,37,13,13
rpmc,200,3,2,ER,68,255,995,7072,3,0,0,37,16,13
rpmc,200,3,2,ER,69,255,806,7920,4,1,0,37,16,16
rpmc,200,3,2,ER,70,255,1258,8670,3,1,0,37,16,17
rpmc,200,3,2,ER,71,255,783,5304,3,2,0,37,14,13
rpmc,200,3,2,ER,73,255,1141,8092,3,0,0,37,17,14
rpmc,200,3,2,ER,75,255,947,9900,4,0,0,37,20,15
rpmc,200,3,2,ER,76,255,1155,10336,3,0,0,35,17,19
rpmc,200,3,2,ER,77,255,1222,9248,3,0,0,37,16,17
rpmc,200,3,2,ER,78,255,1019,8976,2,1,0,35,18,16
rpmc,200,3,2,ER,80,255,1216,8448,3,1,0,36,17,16
rpmc,200,3,2,ER,81,255,1328,11220,4,1,1,37,18,21
rpmc,200,3,2,ER,82,255,1432,9248,3,1,0,37,18,16
rpmc,200,3,2,ER,83,255,2134,16905,2,2,0,37,25,21
rpmc,200,3,2,ER,85,255,1023,9504,4,1,0,37,19,16
rpmc,200,3,2,ER,86,255,236,1440,6,4,0,30,10,10
rpmc,200,3,2,ER,87,255,908,6664,3,3,0,37,17,14
rpmc,200,3,2,ER,88,255,1009,7657,4,0,0,35,13,19
rpmc,200,3,2,ER,89,255,954,7140,3,1,0,37,15,15
rpmc,200,3,2,ER,90,255,954,7854,3,0,0,36,14,17
rpmc,200,3,2,ER,91,255,653,5115,4,0,0,35,15,11
rpmc,200,3,2,ER,92,255,663,4464,5,1,1,36,13,13
rpmc,200,3,2,ER,93,255,1191,9180,3,1,0,37,16,18
rpmc,200,3,2,ER,94,255,943,7392,4,1,0,37,15,16
rpmc,200,3,2,ER,95,255,900,5408,4,1,0,36,14,13
rpmc,200,3,2,ER,96,255,990,6120,3,1,0,37,13,15
rpmc,200,3,2,ER,97,255,705,5148,4,1,0,37,14,12
