experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
rpmc,250,3,6,1,341,28.331378299120235,29.096774193548388,18,19,39,40,0.544120875652426
rpmc,250,3,6,2,252,30.357142857142858,444.25396825396825,22,435,40,454,0.43888734112452715
rpmc,250,3,6,3,150,38.36666666666667,458.73333333333335,32,452,46,466,0.3500853651254401
rpmc,250,3,6,4,141,50.92198581560284,433.78723404255317,45,427,59,441,0.22584718388745692
rpmc,250,3,6,5,461,57.67245119305857,208.41431670281995,46,196,70,222,0.35030798057397045
rpmc,250,3,6,6,404,59.32178217821782,407.28712871287127,49,396,71,419,0.4051879388262692
rpmc,250,3,6,7,445,66.11235955056179,43.58426966292135,55,31,78,57,0.40566820486656735
rpmc,250,3,6,8,204,64.48039215686275,425.7352941176471,56,418,73,434,0.4104112915902851
rpmc,250,3,6,9,57,61.73684210526316,60.3859649122807,58,57,67,65,0.45952029776224174
rpmc,250,3,6,10,193,75.23316062176166,393.83937823834196,67,387,84,402,0.5142101981329893
rpmc,250,3,6,11,348,80.35344827586206,411.7902298850575,71,401,91,423,0.3907150578223482
rpmc,250,3,6,12,173,83.71676300578035,431.3121387283237,77,424,91,440,0.5603041487318493
rpmc,250,3,6,13,186,107.2741935483871,337.48387096774195,100,330,115,346,0.15381955646988754
rpmc,250,3,6,14,112,121.61607142857143,103.82142857142857,116,99,129,110,0.45702296269661574
rpmc,250,3,6,15,338,125.36686390532545,335.26331360946745,116,325,136,347,0.5655804145926199
rpmc,250,3,6,16,195,129.82564102564103,115.53333333333333,122,109,139,123,0.6071370760175577
rpmc,250,3,6,17,327,136.10703363914374,131.49847094801223,126,122,148,142,0.5255200111393724
rpmc,250,3,6,18,402,137.82835820895522,248.90547263681592,127,239,150,260,0.3738117316153121
rpmc,250,3,6,19,276,135.77898550724638,483.28985507246375,127,475,145,493,0.11874184787087862
rpmc,250,3,6,20,257,138.16342412451363,101.74708171206225,129,94,149,111,0.5810900922626236
rpmc,250,3,6,21,226,137.6637168141593,229.79646017699116,129,222,147,238,0.4432307117546342
rpmc,250,3,6,22,206,137.2378640776699,466.1650485436893,129,458,146,474,0.5811455175767994
rpmc,250,3,6,24,290,140.41724137931035,365.40344827586205,131,357,151,375,0.49881408613784084
rpmc,250,3,6,25,103,140.33009708737865,266.06796116504853,135,261,146,273,0.562671726829472
rpmc,250,3,6,26,222,148.36936936936937,116.81531531531532,140,109,157,126,0.2596911971604083
rpmc,250,3,6,27,206,150.82038834951456,141.16504854368932,143,133,159,150,0.33935094470252963
rpmc,250,3,6,28,241,152.51452282157678,332.3195020746888,143,325,162,341,0.5434658422347282
rpmc,250,3,6,29,311,153.88745980707395,460.91961414790995,144,452,165,471,0.4561621728724426
rpmc,250,3,6,30,329,155.32522796352583,480.33738601823705,145,471,167,491,0.44567280882395716
rpmc,250,3,6,31,385,156.74545454545455,224.6025974025974,146,214,168,237,0.2493460608692727
rpmc,250,3,6,32,318,158.23270440251574,441.685534591195,148,432,169,452,0.39590293583079933
rpmc,250,3,6,33,207,155.32367149758454,499.40579710144925,148,492,164,508,0.31933446751535266
rpmc,250,3,6,34,116,156.69827586206895,367.8103448275862,151,362,164,374,0.2845903837944953
rpmc,250,3,6,35,422,173.27488151658767,69.11137440758294,162,59,186,81,0.44235542224185254
rpmc,250,3,6,36,238,170.53361344537817,491.046218487395,162,482,180,501,0.4220516409326341
rpmc,250,3,6,37,270,172.44444444444446,455.1740740740741,163,446,182,465,0.40102108297751554
rpmc,250,3,6,38,136,169.77941176470588,470.875,163,465,177,479,0.4464824522115097
rpmc,250,3,6,39,217,172.963133640553,428.3410138248848,164,421,182,437,0.5644575398163653
rpmc,250,3,6,40,166,179.53012048192772,440.86746987951807,171,435,188,448,0.7140974494490241
rpmc,250,3,6,41,167,181.55089820359282,478.05389221556885,175,471,189,486,0.465096629952072
rpmc,250,3,6,42,270,187.45925925925926,82.99259259259259,178,74,197,93,0.21600786416250706
rpmc,250,3,6,43,247,189.81376518218624,455.7570850202429,183,446,198,467,0.6953494682118055
rpmc,250,3,6,44,78,190.28205128205127,145.15384615384616,186,141,197,151,0.42999898607913023
rpmc,250,3,6,45,276,202.93115942028984,150.4963768115942,192,142,213,160,0.4237782605983667
rpmc,250,3,6,46,271,216.17343173431735,382.57564575645756,208,373,226,393,0.5358655145642456
rpmc,250,3,6,47,160,218.90625,399.64375,212,393,226,408,0.44579108533905204
rpmc,250,3,6,48,246,243.6788617886179,404.4593495934959,236,396,253,414,0.34360783635503234
rpmc,250,3,6,50,406,257.08620689655174,326.3374384236453,246,316,270,338,0.5237125535291232
rpmc,250,3,6,51,210,261.4952380952381,307.7857142857143,254,300,270,317,0.4421289806790095
rpmc,250,3,6,52,407,278.965601965602,318.95331695331697,268,308,291,331,0.3068672180618725
rpmc,250,3,6,53,215,331.69767441860466,446.9488372093023,324,439,341,456,0.4639951046171581
rpmc,250,3,6,54,324,339.3611111111111,473.858024691358,329,465,351,484,0.4933102871390654
rpmc,250,3,6,55,263,346.03041825095056,455.6045627376426,337,446,355,466,0.39178643256613
rpmc,250,3,6,56,334,348.94610778443115,353.5,339,344,360,364,0.30591094415455233
rpmc,250,3,6,57,345,355.5913043478261,252.79420289855074,346,242,366,264,0.37116529672177817
rpmc,250,3,6,58,68,350.19117647058823,441.94117647058823,346,438,355,447,0.47539153580072324
rpmc,250,3,6,59,301,358.9435215946844,272.64119601328906,349,264,369,283,0.3798491722732399
rpmc,250,3,6,60,346,376.71676300578036,135.48554913294797,367,125,387,147,0.4572691214652887
rpmc,250,3,6,61,177,373.22033898305085,252.77401129943502,367,246,381,261,0.351407577298474
rpmc,250,3,6,62,192,376.4114583333333,156.28125,370,148,384,165,0.5908956120215567
rpmc,250,3,6,63,328,406.1341463414634,99.52439024390245,396,90,417,110,0.299071188244458
rpmc,250,3,6,64,102,417.04901960784315,370.02941176470586,412,365,423,376,0.41299798705555624
rpmc,250,3,6,65,336,423.19940476190476,283.6517857142857,413,274,434,294,0.23660364822747443
rpmc,250,3,6,66,244,423.85655737704917,324.72131147540983,415,317,434,333,0.5733185861077315
rpmc,250,3,6,67,111,423.7567567567568,300.23423423423424,418,295,430,307,0.4388566964686314
rpmc,250,3,6,68,266,427.70676691729324,382.5,419,374,437,392,0.30189493808010837
rpmc,250,3,6,69,336,434.13690476190476,364.25,424,355,445,375,0.4315024319714881
rpmc,250,3,6,71,208,433.05288461538464,145.99519230769232,426,138,441,155,0.3998671107392019
rpmc,250,3,6,72,202,446.4752475247525,184.36633663366337,439,177,455,193,0.5303300788330536
