experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,150,3,6,golgi,1,514,4,8,16,3,0,18,5,2
rpmc,150,3,6,golgi,1,659,2,2,18,5,4,19,7,5
rpmc,150,3,6,golgi,1,795,8,8,18,3,0,20,5,2
rpmc,150,3,6,golgi,1,1631,2,2,26,1,3,28,2,4
rpmc,150,3,6,golgi,1,1749,1,1,27,1,2,28,2,3
rpmc,150,3,6,golgi,2,114,3,3,12,11,4,15,12,5
rpmc,150,3,6,golgi,2,198,13,30,12,11,4,17,14,6
rpmc,150,3,6,golgi,2,407,19,45,14,5,11,19,8,14
rpmc,150,3,6,golgi,2,515,9,24,16,6,12,20,9,14
rpmc,150,3,6,golgi,2,1040,6,9,20,14,6,23,15,9
rpmc,150,3,6,golgi,2,1155,45,90,18,5,10,28,8,13
rpmc,150,3,6,golgi,2,1157,6,8,20,17,8,24,18,10
rpmc,150,3,6,golgi,2,1278,83,192,18,8,1,30,12,5
rpmc,150,3,6,golgi,2,1632,10,30,25,1,9,30,3,12
rpmc,150,3,6,golgi,2,1635,13,54,22,8,11,28,11,14
rpmc,150,3,6,golgi,2,1637,10,20,26,16,9,31,18,11
rpmc,150,3,6,golgi,2,1751,4,8,26,8,11,28,10,13
rpmc,150,3,6,golgi,2,1969,8,8,28,8,10,30,10,12
rpmc,150,3,6,golgi,2,2130,17,24,30,8,10,34,10,13
rpmc,150,3,6,golgi,3,660,18,48,15,7,9,23,10,11
rpmc,150,3,6,golgi,3,914,3,3,20,9,9,23,10,10
rpmc,150,3,6,golgi,4,291,40,72,11,7,4,19,10,7
rpmc,150,3,6,golgi,4,913,5,12,18,0,13,21,2,15
rpmc,150,3,6,golgi,4,915,28,72,16,11,11,24,14,14
rpmc,150,3,6,golgi,4,1037,5,8,20,0,13,22,2,15
rpmc,150,3,6,golgi,4,1156,12,20,22,10,12,27,12,14
rpmc,150,3,6,golgi,4,1512,17,32,22,0,10,26,2,14
rpmc,150,3,6,golgi,4,1633,14,36,23,4,4,27,7,7
rpmc,150,3,6,golgi,4,1750,51,90,25,0,10,35,3,13
rpmc,150,3,6,golgi,4,1968,30,72,27,4,4,35,7,7
rpmc,150,3,6,golgi,4,2059,26,54,26,2,14,35,5,16
rpmc,150,3,6,golgi,5,67,7,12,11,1,3,14,3,5
rpmc,150,3,6,golgi,5,68,7,12,11,4,0,13,7,2
rpmc,150,3,6,golgi,5,113,6,12,13,1,3,15,3,6
rpmc,150,3,6,golgi,5,197,7,16,13,4,0,17,6,2
rpmc,150,3,6,golgi,5,516,2,2,16,4,0,18,5,1
rpmc,150,3,6,golgi,5,1038,15,18,20,3,7,23,6,9
rpmc,150,3,6,golgi,5,2060,1,1,30,0,4,31,1,5
rpmc,150,3,6,golgi,6,661,8,12,17,2,1,20,4,3
rpmc,150,3,6,golgi,6,1279,4,8,22,5,14,24,7,16
rpmc,150,3,6,golgi,6,1634,28,96,22,1,1,30,5,4
rpmc,150,3,6,golgi,6,1636,48,90,23,5,7,33,8,10
rpmc,150,3,6,golgi,7,33,8,12,9,5,6,12,7,8
rpmc,150,3,6,golgi,7,69,1,1,12,3,7,13,4,8
rpmc,150,3,6,golgi,7,517,4,4,16,4,1,18,6,2
rpmc,150,3,6,golgi,7,1039,13,18,20,2,0,23,5,2
rpmc,150,3,6,golgi,7,1042,3,4,21,6,0,22,8,2
