experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,250,3,6,mitochondria,1,42,1656,9720,10,1,0,37,21,18
rpmc,250,3,6,mitochondria,1,58,1,1,12,20,14,13,21,15
rpmc,250,3,6,mitochondria,1,102,1,1,21,2,8,22,3,9
rpmc,250,3,6,mitochondria,2,13,1550,8208,8,1,0,35,17,19
rpmc,250,3,6,mitochondria,2,195,8,18,33,2,4,36,4,7
rpmc,250,3,6,mitochondria,3,13,959,4212,8,1,0,35,13,13
rpmc,250,3,6,mitochondria,3,71,1,1,16,7,4,17,8,5
rpmc,250,3,6,mitochondria,3,77,2,2,17,2,8,18,4,9
rpmc,250,3,6,mitochondria,4,2,942,4004,7,0,1,35,13,12
rpmc,250,3,6,mitochondria,4,43,4,8,10,5,5,12,7,7
rpmc,250,3,6,mitochondria,5,14,3996,15950,8,2,0,37,24,25
rpmc,250,3,6,mitochondria,5,44,1,1,10,10,19,11,11,20
rpmc,250,3,6,mitochondria,5,79,1,1,17,15,10,18,16,11
rpmc,250,3,6,mitochondria,5,81,1,1,18,15,12,19,16,13
rpmc,250,3,6,mitochondria,5,114,1,1,23,9,8,24,10,9
rpmc,250,3,6,mitochondria,5,136,3,4,25,20,18,26,22,20
rpmc,250,3,6,mitochondria,5,143,1,1,26,13,11,27,14,12
rpmc,250,3,6,mitochondria,5,173,2,2,29,12,14,30,13,16
rpmc,250,3,6,mitochondria,5,179,3,4,30,14,13,32,16,14
rpmc,250,3,6,mitochondria,6,3,2516,13068,8,0,0,35,22,22
rpmc,250,3,6,mitochondria,6,61,4,8,13,10,16,15,12,18
rpmc,250,3,6,mitochondria,6,68,2,2,15,12,14,17,13,15
rpmc,250,3,6,mitochondria,6,80,1,1,18,6,14,19,7,15
rpmc,250,3,6,mitochondria,6,137,1,1,25,17,7,26,18,8
rpmc,250,3,6,mitochondria,7,15,3319,15950,8,1,0,37,23,25
rpmc,250,3,6,mitochondria,7,51,1,1,11,20,19,12,21,20
rpmc,250,3,6,mitochondria,7,94,2,2,20,4,20,22,5,21
rpmc,250,3,6,mitochondria,7,126,3,4,24,21,10,26,22,12
rpmc,250,3,6,mitochondria,7,163,3,3,28,15,9,31,16,10
rpmc,250,3,6,mitochondria,8,2,1191,5616,8,1,1,35,17,14
rpmc,250,3,6,mitochondria,8,27,48,144,9,1,2,15,5,8
rpmc,250,3,6,mitochondria,8,50,10,54,11,6,6,17,9,9
rpmc,250,3,6,mitochondria,8,64,2,2,14,2,6,16,3,7
rpmc,250,3,6,mitochondria,8,72,1,1,16,8,4,17,9,5
rpmc,250,3,6,mitochondria,8,78,8,12,17,2,3,20,4,5
rpmc,250,3,6,mitochondria,8,115,3,4,23,8,3,25,9,5
rpmc,250,3,6,mitochondria,9,15,582,1872,11,0,0,37,9,8
rpmc,250,3,6,mitochondria,10,3,1396,6272,8,1,0,36,17,14
rpmc,250,3,6,mitochondria,10,16,1,1,8,6,13,9,7,14
rpmc,250,3,6,mitochondria,10,108,1,1,22,9,4,23,10,5
rpmc,250,3,6,mitochondria,11,3,2266,11760,7,0,1,35,20,22
rpmc,250,3,6,mitochondria,11,95,1,1,20,2,3,21,3,4
rpmc,250,3,6,mitochondria,11,154,6,16,27,7,8,31,9,10
rpmc,250,3,6,mitochondria,11,155,1,1,27,13,2,28,14,3
rpmc,250,3,6,mitochondria,11,197,1,1,34,18,10,35,19,11
rpmc,250,3,6,mitochondria,12,3,1542,5850,7,1,0,37,14,15
rpmc,250,3,6,mitochondria,13,17,1551,5292,8,1,0,35,15,14
rpmc,250,3,6,mitochondria,13,189,1,1,32,6,7,33,7,8
rpmc,250,3,6,mitochondria,14,20,1012,3510,9,0,0,36,13,10
rpmc,250,3,6,mitochondria,15,17,2543,11340,8,0,0,35,20,21
rpmc,250,3,6,mitochondria,15,144,18,36,26,10,10,30,13,13
rpmc,250,3,6,mitochondria,15,198,1,1,34,2,9,35,3,10
rpmc,250,3,6,mitochondria,16,20,1566,5824,9,1,0,35,17,14
rpmc,250,3,6,mitochondria,16,87,1,1,19,8,6,20,9,7
rpmc,250,3,6,mitochondria,16,138,1,1,25,8,7,26,9,8
rpmc,250,3,6,mitochondria,17,20,2240,12122,8,0,0,37,22,19
rpmc,250,3,6,mitochondria,17,97,1,1,20,16,16,21,17,17
rpmc,250,3,6,mitochondria,17,180,2,2,30,14,7,31,16,8
rpmc,250,3,6,mitochondria,18,6,3300,13398,7,1,0,36,23,21
rpmc,250,3,6,mitochondria,18,65,1,1,14,15,13,15,16,14
rpmc,250,3,6,mitochondria,18,96,6,8,20,14,14,22,16,16
rpmc,250,3,6,mitochondria,19,4,1461,7616,7,1,0,35,18,16
rpmc,250,3,6,mitochondria,19,199,3,4,34,6,6,35,8,8
rpmc,250,3,6,mitochondria,20,20,2273,9180,9,0,0,36,20,17
rpmc,250,3,6,mitochondria,20,127,1,1,24,3,2,25,4,3
rpmc,250,3,6,mitochondria,21,6,2091,8160,7,1,0,37,18,16
rpmc,250,3,6,mitochondria,21,156,7,8,27,11,6,29,13,8
rpmc,250,3,6,mitochondria,21,205,2,2,36,3,12,37,4,14
rpmc,250,3,6,mitochondria,22,5,1750,7424,7,1,0,36,17,16
rpmc,250,3,6,mitochondria,22,19,2,4,8,11,8,10,13,9
rpmc,250,3,6,mitochondria,24,18,2013,10080,8,0,0,36,20,18
rpmc,250,3,6,mitochondria,24,52,2,2,11,14,17,13,15,18
rpmc,250,3,6,mitochondria,24,82,1,1,18,14,9,19,15,10
rpmc,250,3,6,mitochondria,24,109,27,128,22,13,7,30,17,11
rpmc,250,3,6,mitochondria,25,6,952,3388,8,0,0,36,11,11
rpmc,250,3,6,mitochondria,25,128,1,1,24,10,4,25,11,5
rpmc,250,3,6,mitochondria,25,206,1,1,36,2,2,37,3,3
rpmc,250,3,6,mitochondria,26,20,1712,7344,9,1,0,36,17,17
rpmc,250,3,6,mitochondria,26,45,1,1,10,1,6,11,2,7
rpmc,250,3,6,mitochondria,26,164,15,32,28,11,5,32,13,9
rpmc,250,3,6,mitochondria,27,20,2152,6300,8,1,1,36,16,16
rpmc,250,3,6,mitochondria,28,8,2077,7830,7,1,0,36,19,15
rpmc,250,3,6,mitochondria,28,208,1,1,36,18,6,37,19,7
rpmc,250,3,6,mitochondria,29,4,1437,8892,8,2,0,34,21,18
rpmc,250,3,6,mitochondria,29,22,2,2,8,14,13,10,15,14
rpmc,250,3,6,mitochondria,29,66,1,1,14,12,5,15,13,6
rpmc,250,3,6,mitochondria,29,129,1,1,24,2,5,25,3,6
rpmc,250,3,6,mitochondria,29,130,1,1,24,3,12,25,4,13
rpmc,250,3,6,mitochondria,30,4,1497,10032,9,0,0,33,22,19
rpmc,250,3,6,mitochondria,30,53,53,140,11,11,0,18,15,5
rpmc,250,3,6,mitochondria,30,98,1,1,20,13,1,21,14,2
rpmc,250,3,6,mitochondria,30,103,1,1,21,2,10,22,3,11
rpmc,250,3,6,mitochondria,30,112,1,1,22,21,10,23,22,11
rpmc,250,3,6,mitochondria,30,116,2,2,23,18,12,24,19,14
rpmc,250,3,6,mitochondria,30,131,12,18,24,16,2,27,19,4
rpmc,250,3,6,mitochondria,31,6,3361,13398,8,1,0,37,22,22
rpmc,250,3,6,mitochondria,31,88,1,1,19,13,8,20,14,9
rpmc,250,3,6,mitochondria,31,104,138,546,21,8,7,34,14,14
rpmc,250,3,6,mitochondria,31,207,1,1,36,4,5,37,5,6
rpmc,250,3,6,mitochondria,31,209,1,1,36,21,10,37,22,11
rpmc,250,3,6,mitochondria,32,7,2010,10640,7,2,0,35,21,20
rpmc,250,3,6,mitochondria,33,21,1293,5880,8,1,0,36,15,15
rpmc,250,3,6,mitochondria,33,111,1,1,22,15,7,23,16,8
rpmc,250,3,6,mitochondria,33,145,1,1,26,12,5,27,13,6
rpmc,250,3,6,mitochondria,33,157,8,9,27,13,7,30,14,10
rpmc,250,3,6,mitochondria,33,165,8,8,28,13,3,32,14,5
rpmc,250,3,6,mitochondria,33,174,1,1,29,12,1,30,13,2
