experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,250,3,6,peroxisome,1,82,2,2,15,2,4,17,3,5
rpmc,250,3,6,peroxisome,1,239,5,8,16,2,3,20,3,5
rpmc,250,3,6,peroxisome,1,275,8,18,20,2,2,23,4,5
rpmc,250,3,6,peroxisome,1,361,4,4,22,3,2,24,4,4
rpmc,250,3,6,peroxisome,1,432,5,12,23,2,2,26,4,4
rpmc,250,3,6,peroxisome,1,466,4,8,25,3,2,27,5,4
rpmc,250,3,6,peroxisome,1,548,1,1,27,3,2,28,4,3
rpmc,250,3,6,peroxisome,1,614,68,117,23,16,11,36,19,14
rpmc,250,3,6,peroxisome,1,664,70,108,25,12,14,37,15,17
rpmc,250,3,6,peroxisome,1,720,53,96,26,4,3,34,8,6
rpmc,250,3,6,peroxisome,1,721,21,30,27,13,2,32,16,4
rpmc,250,3,6,peroxisome,1,787,64,160,27,9,1,37,13,5
rpmc,250,3,6,peroxisome,1,788,17,18,32,13,2,35,16,4
rpmc,250,3,6,peroxisome,1,812,28,48,33,5,2,37,8,6
rpmc,250,3,6,peroxisome,1,824,9,18,35,13,1,37,16,4
rpmc,250,3,6,peroxisome,2,83,85,156,8,6,12,21,9,16
rpmc,250,3,6,peroxisome,2,206,200,400,10,12,10,30,16,15
rpmc,250,3,6,peroxisome,3,128,39,112,11,6,5,18,10,9
rpmc,250,3,6,peroxisome,3,276,52,112,17,6,6,24,10,10
rpmc,250,3,6,peroxisome,3,433,58,168,23,6,6,30,10,12
rpmc,250,3,6,peroxisome,3,615,15,18,29,7,6,32,9,9
rpmc,250,3,6,peroxisome,3,665,5,9,29,8,9,32,9,12
rpmc,250,3,6,peroxisome,3,759,12,24,29,7,3,35,9,5
rpmc,250,3,6,peroxisome,4,172,92,126,10,9,4,24,12,7
rpmc,250,3,6,peroxisome,5,4,1,1,12,9,8,13,10,9
rpmc,250,3,6,peroxisome,5,5,2,2,11,14,16,13,15,17
rpmc,250,3,6,peroxisome,5,10,1,1,13,6,13,14,7,14
rpmc,250,3,6,peroxisome,5,11,4,4,12,8,8,16,9,9
rpmc,250,3,6,peroxisome,5,39,57,144,12,1,14,21,5,18
rpmc,250,3,6,peroxisome,5,42,18,36,11,14,16,17,17,18
rpmc,250,3,6,peroxisome,5,84,2,2,15,8,22,17,9,23
rpmc,250,3,6,peroxisome,5,129,4,6,16,6,23,18,9,24
rpmc,250,3,6,peroxisome,5,174,126,256,10,8,0,26,12,4
rpmc,250,3,6,peroxisome,5,207,54,81,14,17,3,23,20,6
rpmc,250,3,6,peroxisome,5,240,58,90,15,3,19,25,6,22
rpmc,250,3,6,peroxisome,5,434,1,1,24,1,14,25,2,15
rpmc,250,3,6,peroxisome,5,467,2,2,25,1,13,26,2,15
rpmc,250,3,6,peroxisome,5,510,14,36,25,2,16,29,5,19
rpmc,250,3,6,peroxisome,5,511,26,54,26,8,0,32,11,3
