experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
rpmc,250,3,1,vacuole,2,0,61,81,21,2,2,21,11,11
rpmc,250,3,1,vacuole,3,0,39,48,23,1,3,23,7,11
rpmc,250,3,1,vacuole,4,0,84,99,28,3,2,28,14,11
rpmc,250,3,1,vacuole,5,0,120,210,16,1,5,16,15,20
rpmc,250,3,1,vacuole,7,0,79,90,23,2,2,23,11,12
rpmc,250,3,1,vacuole,8,0,32,49,14,1,2,14,8,9
rpmc,250,3,1,vacuole,9,0,62,72,18,5,3,18,13,12
rpmc,250,3,1,vacuole,10,0,81,120,27,0,4,27,12,14
rpmc,250,3,1,vacuole,14,0,64,81,17,3,1,17,12,10
rpmc,250,3,1,vacuole,16,0,35,42,20,5,1,20,11,8
rpmc,250,3,1,vacuole,17,0,71,96,18,5,0,18,13,12
rpmc,250,3,1,vacuole,18,0,164,208,22,4,2,22,17,18
rpmc,250,3,1,vacuole,19,0,42,49,23,2,1,23,9,8
rpmc,250,3,1,vacuole,20,0,71,99,21,5,1,21,14,12
rpmc,250,3,1,vacuole,22,0,80,100,18,3,4,18,13,14
rpmc,250,3,1,vacuole,23,0,24,36,21,2,1,21,8,7
rpmc,250,3,1,vacuole,24,0,106,165,22,1,0,22,12,15
rpmc,250,3,1,vacuole,25,0,4,4,25,2,4,25,4,6
rpmc,250,3,1,vacuole,26,0,37,48,18,3,3,18,11,9
rpmc,250,3,1,vacuole,27,0,69,81,19,2,0,19,11,9
rpmc,250,3,1,vacuole,28,0,37,49,24,5,3,24,12,10
rpmc,250,3,1,vacuole,30,0,94,132,18,0,1,18,12,12
rpmc,250,3,1,vacuole,32,0,118,154,20,2,1,20,13,15
rpmc,250,3,1,vacuole,33,0,83,121,18,2,0,18,13,11
rpmc,250,3,1,vacuole,34,0,95,110,26,2,1,26,13,11
rpmc,250,3,1,vacuole,35,0,115,168,20,2,1,20,14,15
rpmc,250,3,1,vacuole,37,0,71,81,22,3,5,22,12,14
rpmc,250,3,1,vacuole,38,0,86,110,20,5,5,20,15,16
rpmc,250,3,1,vacuole,39,0,40,49,25,5,2,25,12,9
rpmc,250,3,1,vacuole,40,0,1,1,11,7,1,11,8,2
rpmc,250,3,1,vacuole,41,0,2,2,24,2,2,24,4,3
rpmc,250,3,1,vacuole,42,0,45,81,28,4,1,28,13,10
rpmc,250,3,1,vacuole,43,0,34,42,16,3,3,16,10,9
rpmc,250,3,1,vacuole,44,0,35,36,21,3,5,21,9,11
rpmc,250,3,1,vacuole,45,0,105,144,20,1,0,20,13,12
rpmc,250,3,1,vacuole,47,0,80,110,20,1,3,20,12,13
rpmc,250,3,1,vacuole,48,0,114,144,21,3,1,21,15,13
rpmc,250,3,1,vacuole,49,0,90,121,22,1,2,22,12,13
rpmc,250,3,1,vacuole,50,0,17,20,25,3,4,25,8,8
rpmc,250,3,1,vacuole,53,0,68,90,20,3,4,20,13,13
rpmc,250,3,1,vacuole,55,0,42,56,23,4,2,23,11,10
rpmc,250,3,1,vacuole,56,0,25,25,22,2,1,22,7,6
rpmc,250,3,1,vacuole,57,0,156,195,22,1,2,22,14,17
rpmc,250,3,1,vacuole,58,0,35,42,16,0,3,16,6,10
rpmc,250,3,1,vacuole,59,0,137,169,25,2,1,25,15,14
rpmc,250,3,1,vacuole,60,0,158,208,23,1,2,23,17,15
