experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,2,ER,1,255,696,5460,3,0,1,33,14,14
glu,0-5,3,2,ER,2,255,727,5616,1,0,2,37,13,14
glu,0-5,3,2,ER,3,255,617,6664,0,0,2,34,14,16
glu,0-5,3,2,ER,4,255,307,2800,2,0,0,37,8,10
glu,0-5,3,2,ER,5,255,180,1638,0,0,0,26,7,9
glu,0-5,3,2,ER,6,255,362,2673,3,0,0,36,9,9
glu,0-5,3,2,ER,7,255,1118,8432,2,0,1,33,16,18
glu,0-5,3,2,ER,8,255,752,7168,2,0,1,34,16,15
glu,0-5,3,2,ER,9,255,280,2511,1,0,0,32,9,9
glu,0-5,3,2,ER,10,255,366,2464,2,0,0,30,8,11
glu,0-5,3,2,ER,11,255,259,2430,4,0,2,31,10,11
glu,0-5,3,2,ER,12,255,299,2048,1,0,1,33,8,9
glu,0-5,3,2,ER,13,255,594,4488,2,0,1,36,12,12
glu,0-5,3,2,ER,14,255,901,6435,1,0,0,34,13,15
glu,0-5,3,2,ER,15,255,1061,9405,2,0,0,35,15,19
glu,0-5,3,2,ER,16,255,387,4356,1,0,2,37,11,13
glu,0-5,3,2,ER,17,255,167,1566,6,0,0,35,6,9
glu,0-5,3,2,ER,18,255,349,2754,1,0,2,35,9,11
glu,0-5,3,2,ER,19,255,308,1792,1,0,0,33,7,8
glu,0-5,3,2,ER,20,255,620,4992,2,0,0,34,13,12
glu,0-5,3,2,ER,21,255,540,3564,1,0,0,34,9,12
glu,0-5,3,2,ER,22,255,720,5880,1,0,0,36,14,12
glu,0-5,3,2,ER,23,255,1028,8976,1,0,1,34,16,18
glu,0-5,3,2,ER,24,255,589,4356,2,0,1,35,11,13
glu,0-5,3,2,ER,25,255,178,1400,6,0,1,31,7,9
glu,0-5,3,2,ER,26,255,337,2048,3,0,2,35,8,10
glu,0-5,3,2,ER,27,255,857,10080,0,0,0,35,16,18
glu,0-5,3,2,ER,28,255,972,7200,2,0,0,34,15,15
glu,0-5,3,2,ER,29,255,711,5445,2,0,0,35,11,15
glu,0-5,3,2,ER,30,255,489,3060,1,0,1,35,10,10
glu,0-5,3,2,ER,31,255,253,2016,1,0,2,37,7,10
glu,0-5,3,2,ER,32,255,522,3744,2,0,1,34,9,14
glu,0-5,3,2,ER,33,255,317,3150,1,0,0,36,10,9
glu,0-5,3,2,ER,34,255,375,2700,0,0,1,30,10,10
glu,0-5,3,2,ER,35,255,937,8415,2,0,1,35,15,18
glu,0-5,3,2,ER,36,255,1098,8160,1,0,1,35,15,17
glu,0-5,3,2,ER,37,255,535,4080,2,0,2,36,10,14
glu,0-5,3,2,ER,38,255,352,3600,1,0,0,37,10,10
glu,0-5,3,2,ER,39,255,199,1152,5,1,2,29,9,8
glu,0-5,3,2,ER,40,255,391,3300,1,0,1,31,11,11
glu,0-5,3,2,ER,41,255,515,4732,2,1,3,30,14,16
glu,0-5,3,2,ER,42,255,584,4114,1,0,1,35,11,12
glu,0-5,3,2,ER,43,255,3,4,5,4,0,7,6,1
glu,0-5,3,2,ER,44,255,275,1848,0,0,1,33,8,8
glu,0-5,3,2,ER,45,255,500,3840,2,1,0,34,11,12
glu,0-5,3,2,ER,46,255,622,3861,2,0,2,35,9,15
glu,0-5,3,2,ER,47,255,410,2592,1,0,2,33,9,11
glu,0-5,3,2,ER,48,255,838,7392,2,0,1,35,16,15
glu,0-5,3,2,ER,49,255,452,3100,4,0,0,35,10,10
glu,0-5,3,2,ER,50,255,772,6552,1,0,1,37,14,14
glu,0-5,3,2,ER,51,255,547,4488,1,0,1,35,11,13
glu,0-5,3,2,ER,52,255,347,2610,1,0,1,30,9,11
glu,0-5,3,2,ER,53,255,1177,8925,1,0,1,36,15,18
glu,0-5,3,2,ER,54,255,767,6468,1,0,2,34,14,16
glu,0-5,3,2,ER,55,255,663,5408,1,0,2,33,13,15
glu,0-5,3,2,ER,56,255,1040,6930,2,0,2,35,14,17
glu,0-5,3,2,ER,57,255,425,2480,2,0,2,33,10,10
glu,0-5,3,2,ER,58,255,1415,9216,2,1,2,34,17,20
glu,0-5,3,2,ER,59,255,726,7840,1,4,2,36,20,16
glu,0-5,3,2,ER,60,255,911,6468,2,0,0,35,14,14
glu,0-5,3,2,ER,61,255,893,6120,1,0,1,35,12,16
glu,0-5,3,2,ER,62,255,497,4224,1,0,2,33,11,14
glu,0-5,3,2,ER,63,255,906,9450,0,0,1,35,15,19
glu,0-5,3,2,ER,64,255,413,2880,2,0,0,34,9,10
glu,0-5,3,2,ER,65,255,574,3240,1,1,1,37,11,10
glu,0-5,3,2,ER,66,255,347,2268,1,1,1,29,10,10
glu,0-5,3,2,ER,67,255,1048,8704,1,0,1,33,16,18
glu,0-5,3,2,ER,68,255,593,4092,3,0,0,34,12,11
glu,0-5,3,2,ER,69,255,652,4896,1,1,1,35,13,13
glu,0-5,3,2,ER,70,255,593,3993,1,0,0,34,11,11
glu,0-5,3,2,ER,71,255,371,2700,1,0,1,31,9,11
glu,0-5,3,2,ER,72,255,317,1890,1,0,2,31,9,9
glu,0-5,3,2,ER,73,255,362,2673,0,0,1,33,9,10
glu,0-5,3,2,ER,74,255,361,2700,1,0,1,31,10,10
glu,0-5,3,2,ER,75,255,530,3720,0,0,2,31,10,14
glu,0-5,3,2,ER,76,255,537,3960,1,1,2,31,12,14
glu,0-5,3,2,ER,77,255,1067,8415,1,1,2,34,16,19
glu,0-5,3,2,ER,78,255,1013,7425,1,1,2,34,16,17
glu,0-5,3,2,ER,79,255,844,5445,1,1,2,34,16,13
glu,0-5,3,2,ER,80,255,345,1872,9,0,0,35,9,8
glu,0-5,3,2,ER,81,255,942,7140,0,0,1,34,15,15
glu,0-5,3,2,ER,82,255,1408,9900,1,1,1,34,16,21
glu,0-5,3,2,ER,83,255,276,1449,1,0,1,24,9,8
glu,0-5,3,2,ER,84,255,886,7350,0,0,2,35,15,16
glu,0-5,3,2,ER,85,255,897,6240,2,0,0,34,13,15
glu,0-5,3,2,ER,86,255,292,1421,2,1,1,31,8,8
glu,0-5,3,2,ER,87,255,880,6528,1,0,1,35,12,17
glu,0-5,3,2,ER,88,255,406,3240,3,0,0,33,9,12
glu,0-5,3,2,ER,89,255,530,3267,1,0,1,34,11,10
glu,0-5,3,2,ER,90,255,976,6510,2,0,2,33,14,17
glu,0-5,3,2,ER,91,255,406,2916,0,0,0,36,9,9
glu,0-5,3,2,ER,92,255,1085,7840,1,0,2,36,16,16
glu,0-5,3,2,ER,93,255,909,6720,1,0,1,33,15,15
glu,0-5,3,2,ER,94,255,278,1792,2,0,1,30,8,9
glu,0-5,3,2,ER,95,255,266,2160,1,1,1,31,9,10
glu,0-5,3,2,ER,96,255,533,3993,1,1,1,34,12,12
glu,0-5,3,2,ER,97,255,1126,10404,1,0,2,35,17,20
glu,0-5,3,2,ER,98,255,231,1568,7,1,2,35,9,9
