experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,200,3,4,ER,1,255,689,5880,2,0,1,32,14,15
glu,200,3,4,ER,2,255,1125,11191,1,0,2,32,19,21
glu,200,3,4,ER,3,255,461,5400,2,0,3,32,15,15
glu,200,3,4,ER,4,255,718,8064,3,0,0,35,18,14
glu,200,3,4,ER,5,255,425,6272,2,0,2,30,14,18
glu,200,3,4,ER,6,255,679,5655,3,0,1,32,15,14
glu,200,3,4,ER,7,255,308,2871,3,0,2,32,11,11
glu,200,3,4,ER,8,255,746,7378,2,0,1,33,14,18
glu,200,3,4,ER,9,255,1012,12920,3,0,1,37,19,21
glu,200,3,4,ER,10,255,1176,13547,1,0,2,32,19,25
glu,200,3,4,ER,11,255,607,4680,3,0,1,29,15,13
glu,200,3,4,ER,12,255,815,7695,2,0,1,29,15,20
glu,200,3,4,ER,13,255,683,6435,1,0,1,34,15,14
glu,200,3,4,ER,14,255,731,6048,2,0,1,29,16,15
glu,200,3,4,ER,15,255,738,8316,2,0,1,35,18,15
glu,200,3,4,ER,16,255,728,6720,2,0,2,32,16,16
glu,200,3,4,ER,17,255,470,4608,2,0,1,34,12,13
glu,200,3,4,ER,18,255,149,1127,3,0,1,26,7,8
glu,200,3,4,ER,19,255,717,9300,2,1,0,33,16,20
glu,200,3,4,ER,20,255,584,5642,2,0,0,33,14,13
glu,200,3,4,ER,21,255,572,5460,2,1,2,30,16,15
glu,200,3,4,ER,22,255,467,4992,3,0,1,35,13,13
glu,200,3,4,ER,23,255,706,6300,2,0,1,32,14,16
glu,200,3,4,ER,24,255,957,8816,2,0,1,31,16,20
glu,200,3,4,ER,25,255,624,5850,2,1,1,32,16,14
glu,200,3,4,ER,26,255,405,4860,2,0,1,29,15,13
glu,200,3,4,ER,27,255,838,8670,2,0,1,32,17,18
glu,200,3,4,ER,28,255,653,7200,2,0,0,32,15,16
glu,200,3,4,ER,29,255,953,10200,3,1,0,33,18,20
glu,200,3,4,ER,30,255,715,7395,2,0,0,31,15,17
glu,200,3,4,ER,31,255,323,2430,2,0,1,29,10,10
glu,200,3,4,ER,32,255,668,7344,2,0,1,29,16,18
glu,200,3,4,ER,33,255,427,4147,2,1,1,31,12,14
glu,200,3,4,ER,34,255,982,8840,3,0,2,29,20,19
glu,200,3,4,ER,35,255,1137,13110,1,0,1,31,23,20
glu,200,3,4,ER,36,255,875,8381,2,0,1,31,17,18
glu,200,3,4,ER,37,255,1082,11400,2,0,1,32,20,20
glu,200,3,4,ER,38,255,722,7344,3,0,0,30,16,17
glu,200,3,4,ER,39,255,603,5070,3,0,1,33,13,14
glu,200,3,4,ER,40,255,680,5655,3,0,1,32,15,14
glu,200,3,4,ER,41,255,632,5070,2,1,1,32,14,14
glu,200,3,4,ER,42,255,538,4147,1,1,1,30,12,14
glu,200,3,4,ER,43,255,597,5005,2,1,1,37,14,12
glu,200,3,4,ER,44,255,700,7140,2,0,0,32,14,17
glu,200,3,4,ER,45,255,723,5760,2,1,1,34,13,16
glu,200,3,4,ER,46,255,143,3036,4,0,0,27,12,11
glu,200,3,4,ER,47,255,834,6630,3,1,1,37,14,16
glu,200,3,4,ER,48,255,460,4032,3,1,1,31,13,13
glu,200,3,4,ER,49,255,317,2790,2,0,1,33,10,10
glu,200,3,4,ER,50,255,290,2430,3,0,1,30,10,10
glu,200,3,4,ER,51,255,479,3564,3,1,1,30,12,13
glu,200,3,4,ER,52,255,555,3960,3,0,2,33,11,14
glu,200,3,4,ER,53,255,738,8265,2,1,1,31,20,16
glu,200,3,4,ER,54,255,757,7560,3,0,1,33,18,15
glu,200,3,4,ER,55,255,873,8100,2,1,1,32,19,16
glu,200,3,4,ER,56,255,882,7056,3,0,2,31,14,20
glu,200,3,4,ER,57,255,788,7140,2,0,0,30,17,15
glu,200,3,4,ER,58,255,1134,12400,2,1,0,33,21,20
glu,200,3,4,ER,59,255,489,3960,3,0,1,33,12,12
glu,200,3,4,ER,60,255,966,11400,3,1,2,33,20,22
glu,200,3,4,ER,61,255,530,4212,4,0,1,31,12,14
glu,200,3,4,ER,62,255,1230,12600,2,0,1,32,21,21
glu,200,3,4,ER,63,255,799,8190,2,0,0,37,13,18
glu,200,3,4,ER,64,255,730,6496,3,1,1,32,15,17
glu,200,3,4,ER,65,255,721,7344,3,1,1,37,19,13
glu,200,3,4,ER,66,255,875,7140,2,1,0,30,18,15
glu,200,3,4,ER,67,255,243,1944,3,0,0,27,9,9
glu,200,3,4,ER,68,255,386,3025,5,0,1,30,11,12
glu,200,3,4,ER,69,255,957,9918,3,1,0,32,20,18
glu,200,3,4,ER,70,255,719,7616,1,0,2,35,14,18
glu,200,3,4,ER,71,255,726,9009,3,0,1,36,13,22
glu,200,3,4,ER,72,255,274,2430,3,0,0,30,9,10
glu,200,3,4,ER,73,255,681,6630,3,0,0,37,13,15
glu,200,3,4,ER,74,255,115,1104,3,0,2,26,8,8
glu,200,3,4,ER,75,255,270,1944,6,0,1,33,8,10
glu,200,3,4,ER,76,255,335,2700,3,0,1,30,10,11
glu,200,3,4,ER,77,255,905,7803,3,1,0,30,18,17
glu,200,3,4,ER,78,255,400,4092,3,0,0,34,11,12
glu,200,3,4,ER,79,255,366,3080,3,0,1,31,11,11
glu,200,3,4,ER,80,255,287,2480,4,0,1,35,8,11
glu,200,3,4,ER,81,255,638,4785,3,0,2,32,15,13
glu,200,3,4,ER,82,255,660,5070,3,0,1,33,13,14
glu,200,3,4,ER,83,255,553,6860,2,1,1,37,15,15
glu,200,3,4,ER,84,255,685,5265,4,0,1,31,15,14
glu,200,3,4,ER,85,255,668,6975,3,0,1,34,15,16
glu,200,3,4,ER,86,255,787,7395,3,1,1,32,18,16
glu,200,3,4,ER,87,255,702,7650,3,1,2,37,16,17
glu,200,3,4,ER,88,255,684,5850,3,0,0,33,15,13
glu,200,3,4,ER,89,255,834,7344,3,0,1,30,17,17
glu,200,3,4,ER,90,255,563,4896,2,0,1,36,12,13
glu,200,3,4,ER,91,255,901,10080,2,0,1,37,18,17
glu,200,3,4,ER,92,255,538,4056,3,0,0,29,13,12
glu,200,3,4,ER,93,255,408,3388,2,0,1,30,11,12
glu,200,3,4,ER,94,255,472,4536,2,0,0,29,12,14
glu,200,3,4,ER,95,255,441,3960,3,0,0,33,12,11
glu,200,3,4,ER,96,255,530,4680,4,1,1,34,14,13
glu,200,3,4,ER,97,255,887,7616,2,0,0,36,16,14
glu,200,3,4,ER,98,255,265,2970,3,0,1,30,11,11
