experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,1,LD,1,11,2,2,2,3,6,3,5,7
glu,0-5,3,1,LD,1,2790,2,2,8,3,8,10,4,9
glu,0-5,3,1,LD,1,2791,17,27,9,3,1,12,6,4
glu,0-5,3,1,LD,1,3564,11,18,9,1,4,12,3,7
glu,0-5,3,1,LD,1,4420,3,4,11,1,6,12,3,8
glu,0-5,3,1,LD,1,4421,1,1,11,2,7,12,3,8
glu,0-5,3,1,LD,1,4422,2,2,11,5,2,12,6,4
glu,0-5,3,1,LD,1,5322,5,12,12,1,5,15,3,7
glu,0-5,3,1,LD,1,5323,2,2,12,4,2,13,6,3
glu,0-5,3,1,LD,1,5324,19,24,10,3,6,13,7,8
glu,0-5,3,1,LD,1,7235,2,2,14,2,3,15,3,5
glu,0-5,3,1,LD,1,7237,2,2,14,7,7,16,8,8
glu,0-5,3,1,LD,1,8312,1,1,15,1,5,16,2,6
glu,0-5,3,1,LD,1,8313,15,45,14,1,4,17,4,9
glu,0-5,3,1,LD,1,9326,4,8,15,6,6,17,8,8
glu,0-5,3,1,LD,1,15067,9,16,22,1,4,24,3,8
glu,0-5,3,1,LD,1,16635,8,12,23,3,5,26,5,7
glu,0-5,3,1,LD,1,17347,2,2,24,4,5,26,5,6
glu,0-5,3,1,LD,2,1030,1,1,6,2,8,7,3,9
glu,0-5,3,1,LD,2,1562,3,4,7,2,7,9,3,9
glu,0-5,3,1,LD,2,1563,8,18,7,2,5,9,5,8
glu,0-5,3,1,LD,2,2133,13,48,7,5,7,11,8,11
glu,0-5,3,1,LD,2,2794,17,48,8,6,6,12,9,10
glu,0-5,3,1,LD,2,3565,7,18,9,0,5,12,2,8
glu,0-5,3,1,LD,2,3566,3,3,8,1,8,11,2,9
glu,0-5,3,1,LD,2,3568,15,27,8,4,4,11,7,7
glu,0-5,3,1,LD,2,4424,2,2,11,4,10,12,6,11
glu,0-5,3,1,LD,2,4429,3,4,10,7,6,12,9,7
glu,0-5,3,1,LD,2,4430,3,4,11,6,9,13,8,10
glu,0-5,3,1,LD,2,5325,8,18,11,2,10,14,5,12
glu,0-5,3,1,LD,2,5327,5,6,11,6,9,14,7,11
glu,0-5,3,1,LD,2,5328,14,18,11,7,6,14,9,9
glu,0-5,3,1,LD,2,6229,1,1,13,6,3,14,7,4
glu,0-5,3,1,LD,2,7238,1,1,14,6,4,15,7,5
glu,0-5,3,1,LD,2,7240,8,18,14,7,6,17,9,9
glu,0-5,3,1,LD,2,8314,2,2,15,1,9,16,2,11
glu,0-5,3,1,LD,2,8318,15,54,14,6,6,17,9,12
glu,0-5,3,1,LD,2,9323,1,1,16,1,9,17,2,10
glu,0-5,3,1,LD,2,9324,1,1,16,3,4,17,4,5
glu,0-5,3,1,LD,2,9325,27,80,14,3,1,18,8,5
glu,0-5,3,1,LD,2,9333,8,18,15,7,7,18,9,10
glu,0-5,3,1,LD,2,11329,11,18,16,1,2,19,4,4
glu,0-5,3,1,LD,2,11331,2,2,17,4,11,19,5,12
glu,0-5,3,1,LD,2,11334,2,2,18,6,10,19,7,12
glu,0-5,3,1,LD,2,11339,1,1,18,9,7,19,10,8
glu,0-5,3,1,LD,2,12287,25,96,16,1,3,24,5,6
glu,0-5,3,1,LD,2,12288,35,100,17,3,1,22,8,5
glu,0-5,3,1,LD,2,12290,1,1,19,6,11,20,7,12
glu,0-5,3,1,LD,2,14148,3,4,21,8,7,22,10,9
glu,0-5,3,1,LD,2,15069,2,2,22,5,6,23,7,7
glu,0-5,3,1,LD,2,15869,3,4,22,1,3,24,2,5
glu,0-5,3,1,LD,2,15870,20,36,21,2,1,24,5,5
glu,0-5,3,1,LD,2,16636,16,36,23,1,2,27,4,5
glu,0-5,3,1,LD,2,16637,27,72,22,3,1,28,7,4
glu,0-5,3,1,LD,2,17346,1,1,25,1,8,26,2,9
glu,0-5,3,1,LD,2,17348,8,18,24,3,10,27,6,12
glu,0-5,3,1,LD,2,17350,10,24,24,5,3,28,7,6
glu,0-5,3,1,LD,2,17351,2,2,25,6,9,26,7,11
glu,0-5,3,1,LD,2,18000,7,18,25,7,6,28,9,9
glu,0-5,3,1,LD,2,19066,17,45,26,3,2,31,6,5
glu,0-5,3,1,LD,2,19457,2,2,29,1,7,31,2,8
glu,0-5,3,1,LD,3,155,2,2,3,2,7,4,4,8
glu,0-5,3,1,LD,3,157,1,1,3,4,8,4,5,9
glu,0-5,3,1,LD,3,1032,1,1,6,2,6,7,3,7
glu,0-5,3,1,LD,3,2137,2,2,8,6,6,9,8,7
glu,0-5,3,1,LD,3,2792,8,16,9,0,3,11,2,7
glu,0-5,3,1,LD,3,2797,9,36,7,6,4,11,9,7
glu,0-5,3,1,LD,3,3567,3,4,10,0,6,11,2,8
glu,0-5,3,1,LD,3,3573,7,27,9,7,5,12,10,8
glu,0-5,3,1,LD,3,4423,2,2,11,1,3,12,3,4
glu,0-5,3,1,LD,3,4431,5,9,10,5,3,13,8,4
glu,0-5,3,1,LD,3,5329,28,100,10,5,3,14,10,8
glu,0-5,3,1,LD,3,5332,5,8,11,8,7,13,10,9
glu,0-5,3,1,LD,3,6228,4,6,12,1,3,15,3,4
glu,0-5,3,1,LD,3,7244,21,60,13,5,2,17,10,5
glu,0-5,3,1,LD,3,7245,42,150,11,5,4,17,10,9
glu,0-5,3,1,LD,3,8319,5,12,13,5,4,16,7,6
glu,0-5,3,1,LD,3,8320,8,18,14,5,6,17,7,9
glu,0-5,3,1,LD,3,9327,2,2,16,3,2,18,4,3
glu,0-5,3,1,LD,3,10320,1,1,17,5,7,18,6,8
glu,0-5,3,1,LD,3,11330,9,12,17,0,5,20,2,7
glu,0-5,3,1,LD,3,11337,5,12,17,5,6,19,7,9
glu,0-5,3,1,LD,3,11342,41,105,14,8,3,21,11,8
glu,0-5,3,1,LD,3,12292,4,6,18,5,6,21,7,7
glu,0-5,3,1,LD,3,12297,2,2,19,7,2,20,8,4
glu,0-5,3,1,LD,3,12298,18,48,17,5,6,21,9,9
glu,0-5,3,1,LD,3,12301,5,6,19,10,4,21,11,7
glu,0-5,3,1,LD,3,13209,30,80,19,7,2,24,11,6
glu,0-5,3,1,LD,3,14145,8,27,20,1,3,23,4,6
glu,0-5,3,1,LD,3,14152,13,36,20,8,5,24,11,8
glu,0-5,3,1,LD,3,15068,1,1,22,2,4,23,3,5
glu,0-5,3,1,LD,3,15070,7,18,21,3,4,24,6,6
glu,0-5,3,1,LD,3,15872,7,12,22,2,3,24,5,5
glu,0-5,3,1,LD,3,15876,9,27,22,7,6,25,10,9
glu,0-5,3,1,LD,3,15878,1,1,23,9,5,24,10,6
glu,0-5,3,1,LD,3,16638,1,1,24,3,7,25,4,8
glu,0-5,3,1,LD,3,16640,10,18,23,3,7,26,6,9
glu,0-5,3,1,LD,3,16642,10,30,23,5,3,26,10,5
glu,0-5,3,1,LD,3,16643,2,2,24,8,4,25,10,5
glu,0-5,3,1,LD,3,17352,3,4,24,6,7,26,8,8
glu,0-5,3,1,LD,4,1031,3,3,5,1,9,8,2,10
glu,0-5,3,1,LD,4,1033,13,24,5,1,9,9,3,12
glu,0-5,3,1,LD,4,1036,1,1,6,6,9,7,7,10
glu,0-5,3,1,LD,4,4428,17,32,10,3,3,14,5,7
glu,0-5,3,1,LD,4,4436,1,1,11,9,6,12,10,7
glu,0-5,3,1,LD,4,5326,2,2,12,0,8,13,1,10
glu,0-5,3,1,LD,4,6230,3,4,13,3,5,15,5,6
glu,0-5,3,1,LD,4,7239,5,8,13,3,3,15,5,5
glu,0-5,3,1,LD,4,7250,1,1,14,8,11,15,9,12
glu,0-5,3,1,LD,4,7253,1,1,14,10,7,15,11,8
glu,0-5,3,1,LD,4,9336,1,1,16,7,2,17,8,3
glu,0-5,3,1,LD,4,10325,4,8,17,7,6,19,9,8
glu,0-5,3,1,LD,4,11336,7,18,18,3,2,21,6,4
glu,0-5,3,1,LD,4,12296,6,12,17,5,7,21,8,8
glu,0-5,3,1,LD,4,12300,1,1,19,8,11,20,9,12
glu,0-5,3,1,LD,4,13208,16,48,19,6,1,23,9,5
glu,0-5,3,1,LD,4,14147,1,1,21,4,8,22,5,9
glu,0-5,3,1,LD,4,14151,13,36,20,7,4,23,10,8
glu,0-5,3,1,LD,4,15071,25,72,20,4,6,26,8,9
glu,0-5,3,1,LD,4,15875,22,60,21,5,1,26,8,5
glu,0-5,3,1,LD,4,17349,2,2,25,2,6,27,3,7
glu,0-5,3,1,LD,4,17355,15,48,23,6,4,27,9,8
glu,0-5,3,1,LD,4,18001,19,48,25,5,2,29,9,5
glu,0-5,3,1,LD,4,18002,22,64,26,4,4,30,8,8
glu,0-5,3,1,LD,4,18579,13,27,26,3,2,29,6,5
glu,0-5,3,1,LD,4,19458,6,18,29,5,5,32,8,7
glu,0-5,3,1,LD,4,20003,3,4,31,5,4,32,7,6
glu,0-5,3,1,LD,5,373,1,1,4,4,4,5,5,5
glu,0-5,3,1,LD,5,1564,3,4,7,0,5,9,2,6
glu,0-5,3,1,LD,5,2134,4,6,8,2,3,11,4,4
glu,0-5,3,1,LD,5,2135,7,12,7,3,5,9,6,7
glu,0-5,3,1,LD,5,4432,6,9,10,3,3,13,6,4
glu,0-5,3,1,LD,5,5330,43,140,10,4,4,17,8,9
glu,0-5,3,1,LD,5,6226,10,18,12,0,3,14,3,6
glu,0-5,3,1,LD,5,6232,14,30,10,4,3,15,6,6
glu,0-5,3,1,LD,5,7236,1,1,14,1,4,15,2,5
glu,0-5,3,1,LD,5,8317,25,75,14,1,3,19,6,6
glu,0-5,3,1,LD,5,9332,12,24,15,3,3,19,6,5
glu,0-5,3,1,LD,5,10322,4,6,17,5,7,20,7,8
glu,0-5,3,1,LD,5,11333,3,4,18,2,3,20,3,5
glu,0-5,3,1,LD,5,11338,4,6,17,4,4,19,7,5
glu,0-5,3,1,LD,5,11340,6,12,18,6,5,20,8,8
glu,0-5,3,1,LD,5,13206,7,18,19,2,3,22,5,5
glu,0-5,3,1,LD,5,14146,8,18,20,1,3,23,4,5
glu,0-5,3,1,LD,6,156,1,1,3,2,10,4,3,11
glu,0-5,3,1,LD,6,158,8,12,3,8,9,6,10,11
glu,0-5,3,1,LD,6,374,5,12,3,3,10,6,5,12
glu,0-5,3,1,LD,6,644,2,2,5,8,10,6,10,11
glu,0-5,3,1,LD,6,1035,10,18,5,5,4,8,7,7
glu,0-5,3,1,LD,6,1044,2,2,6,9,10,7,11,11
glu,0-5,3,1,LD,6,1045,2,2,6,11,7,7,12,9
glu,0-5,3,1,LD,6,1565,2,2,7,6,5,8,7,7
glu,0-5,3,1,LD,6,1566,4,4,7,7,13,9,9,14
glu,0-5,3,1,LD,6,2136,53,96,5,2,9,11,6,13
glu,0-5,3,1,LD,6,3570,4,8,10,3,3,12,5,5
glu,0-5,3,1,LD,6,4425,2,2,11,1,8,13,2,9
glu,0-5,3,1,LD,6,4426,6,8,9,1,9,13,2,11
glu,0-5,3,1,LD,6,4427,17,36,9,1,10,13,4,13
glu,0-5,3,1,LD,6,4434,19,60,10,4,10,13,8,15
glu,0-5,3,1,LD,6,6227,2,2,13,0,10,14,2,11
glu,0-5,3,1,LD,6,6233,5,8,12,6,13,14,8,15
glu,0-5,3,1,LD,6,7241,2,2,14,4,9,16,5,10
glu,0-5,3,1,LD,6,7243,9,18,13,4,13,16,7,15
glu,0-5,3,1,LD,6,7252,1,1,14,9,7,15,10,8
glu,0-5,3,1,LD,6,8315,8,18,14,0,9,17,2,12
glu,0-5,3,1,LD,6,8316,3,4,14,1,11,16,2,13
glu,0-5,3,1,LD,6,8322,2,2,15,6,13,16,7,15
glu,0-5,3,1,LD,6,8325,1,1,15,10,1,16,11,2
glu,0-5,3,1,LD,6,8331,12,32,14,12,4,18,14,8
glu,0-5,3,1,LD,6,9330,2,2,15,2,5,17,3,6
glu,0-5,3,1,LD,6,9331,8,30,15,2,3,20,4,6
glu,0-5,3,1,LD,6,9334,1,1,16,4,9,17,5,10
glu,0-5,3,1,LD,6,9335,2,2,16,6,2,18,7,3
glu,0-5,3,1,LD,6,9346,3,4,15,10,1,17,12,2
glu,0-5,3,1,LD,6,9350,1,1,16,12,11,17,13,12
glu,0-5,3,1,LD,6,9352,4,6,16,12,4,19,14,5
glu,0-5,3,1,LD,6,9353,9,18,15,13,5,18,15,8
glu,0-5,3,1,LD,6,10324,7,18,16,5,11,19,7,14
glu,0-5,3,1,LD,6,10333,2,2,17,13,7,18,15,8
glu,0-5,3,1,LD,6,12289,5,12,18,0,10,20,3,12
glu,0-5,3,1,LD,6,12291,7,12,19,2,9,21,5,11
glu,0-5,3,1,LD,6,12295,10,36,18,4,12,22,7,15
glu,0-5,3,1,LD,6,12299,1,1,19,6,15,20,7,16
glu,0-5,3,1,LD,6,12306,15,25,18,13,4,23,14,9
glu,0-5,3,1,LD,6,13205,11,18,19,1,9,22,3,12
