experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,200,3,0,LD,1,495,3,4,7,5,4,9,6,6
glu,200,3,0,LD,1,609,7,16,7,5,4,11,7,6
glu,200,3,0,LD,1,878,2,2,11,5,3,13,6,4
glu,200,3,0,LD,1,1321,1,1,14,6,3,15,7,4
glu,200,3,0,LD,2,96,1,1,3,6,21,4,7,22
glu,200,3,0,LD,2,97,2,2,3,7,5,5,8,6
glu,200,3,0,LD,2,151,2,2,3,6,4,5,7,5
glu,200,3,0,LD,2,210,1,1,5,8,7,6,9,8
glu,200,3,0,LD,2,396,10,27,6,5,15,9,8,18
glu,200,3,0,LD,2,397,21,48,5,5,4,9,9,7
glu,200,3,0,LD,2,496,2,2,8,5,15,9,6,17
glu,200,3,0,LD,2,497,2,2,8,6,4,10,7,5
glu,200,3,0,LD,2,498,31,60,5,5,9,10,9,12
glu,200,3,0,LD,2,750,39,80,6,5,4,11,9,8
glu,200,3,0,LD,2,879,11,24,10,6,4,14,9,6
glu,200,3,0,LD,2,880,71,216,6,5,6,15,9,12
glu,200,3,0,LD,2,881,7,8,9,7,18,13,8,20
glu,200,3,0,LD,2,1025,73,210,12,5,6,19,10,12
glu,200,3,0,LD,2,1465,2,2,14,5,17,16,6,18
glu,200,3,0,LD,2,1620,20,60,14,4,8,17,9,12
glu,200,3,0,LD,2,1621,8,32,15,6,5,19,10,7
glu,200,3,0,LD,2,1790,6,12,16,3,22,19,5,24
glu,200,3,0,LD,2,1791,16,48,17,8,5,21,11,9
glu,200,3,0,LD,2,1792,14,45,15,9,16,20,12,19
glu,200,3,0,LD,2,1933,63,180,17,4,7,23,9,13
glu,200,3,0,LD,2,2179,4,6,19,5,16,22,7,17
glu,200,3,0,LD,2,2180,8,18,19,5,17,22,7,20
glu,200,3,0,LD,2,2286,1,1,21,6,16,22,7,17
glu,200,3,0,LD,2,2287,5,8,20,7,6,22,9,8
glu,200,3,0,LD,2,2288,1,1,21,9,6,22,10,7
glu,200,3,0,LD,2,2357,1,1,22,5,17,23,6,18
glu,200,3,0,LD,2,2358,9,18,21,5,23,24,7,26
glu,200,3,0,LD,2,2359,1,1,22,9,15,23,10,16
glu,200,3,0,LD,2,2435,2,2,23,7,6,24,8,8
