experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
glu,0-5,3,5,1,147,10.503401360544217,450.1224489795918,4,444,18,457,0.49145282155984377
glu,0-5,3,5,2,142,12.809859154929578,160.0,6,154,20,167,0.5791601571269049
glu,0-5,3,5,3,260,15.319230769230769,102.74615384615385,7,94,25,112,0.5874622200907925
glu,0-5,3,5,4,194,17.81958762886598,268.819587628866,10,261,26,277,0.35996978435879223
glu,0-5,3,5,5,57,17.210526315789473,196.33333333333334,13,193,22,201,0.5044560855836666
glu,0-5,3,5,6,197,21.6497461928934,25.82741116751269,14,19,30,34,0.47570349622490465
glu,0-5,3,5,7,197,20.928934010152282,246.08629441624365,14,238,29,256,0.6245175870018419
glu,0-5,3,5,8,268,28.574626865671643,165.36567164179104,20,156,39,175,0.6350133169078497
glu,0-5,3,5,9,284,30.573943661971832,197.81338028169014,22,188,40,208,0.46889826540651147
glu,0-5,3,5,10,252,31.841269841269842,41.86904761904762,23,33,41,51,0.47867937834658125
glu,0-5,3,5,11,236,32.63135593220339,59.94915254237288,25,52,42,69,0.5762321167298802
glu,0-5,3,5,12,84,31.071428571428573,253.0952380952381,26,248,36,259,0.5148914541447505
glu,0-5,3,5,13,74,31.486486486486488,496.4054054054054,26,493,38,501,0.7234176888424628
glu,0-5,3,5,14,72,31.5,113.0,27,109,37,118,0.5373023640765825
glu,0-5,3,5,15,76,33.10526315789474,239.5,29,235,38,245,0.4724431340996661
glu,0-5,3,5,16,237,38.20675105485232,141.49789029535864,30,133,47,151,0.5718616806693092
glu,0-5,3,5,17,90,35.13333333333333,80.5,31,75,41,87,0.6068540256425297
glu,0-5,3,5,18,132,40.81060606060606,158.56060606060606,35,152,47,166,0.6507151793609393
glu,0-5,3,5,19,106,41.15094339622642,430.97169811320754,36,426,48,437,0.42551673604975093
glu,0-5,3,5,20,73,49.56164383561644,101.47945205479452,45,97,55,107,0.35113755232519356
glu,0-5,3,5,21,225,54.39555555555555,405.9111111111111,46,398,63,415,0.5700025671937091
glu,0-5,3,5,22,145,54.13793103448276,161.17241379310346,48,155,62,169,0.6045791086664644
glu,0-5,3,5,23,72,55.22222222222222,93.22222222222223,51,89,60,99,0.5093498459612694
glu,0-5,3,5,24,205,60.551219512195125,352.90731707317076,53,345,69,362,0.5676436733987685
glu,0-5,3,5,25,99,60.80808080808081,437.5151515151515,56,432,67,444,0.45618431327283276
glu,0-5,3,5,26,260,65.25,20.192307692307693,57,11,75,30,0.578466203303561
glu,0-5,3,5,27,160,66.2375,181.01875,58,175,75,188,0.6711261103661441
