experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
glu,50,3,3,1,56,6.678571428571429,335.85714285714283,3,332,11,341,0.5728426237020569
glu,50,3,3,2,205,14.321951219512195,40.13170731707317,5,32,24,49,0.7547437751794849
glu,50,3,3,3,198,11.853535353535353,267.0858585858586,5,259,20,277,0.6899188078056843
glu,50,3,3,4,287,16.76306620209059,119.26829268292683,8,110,26,130,0.4734279854128642
glu,50,3,3,5,121,14.008264462809917,242.0909090909091,8,236,21,249,0.3155502104962298
glu,50,3,3,6,306,19.42156862745098,342.9117647058824,11,333,29,354,0.4949390567546071
glu,50,3,3,7,105,19.83809523809524,252.9142857142857,14,248,27,259,0.5827292167978755
glu,50,3,3,8,238,21.668067226890756,280.05882352941177,14,271,30,290,0.5487321878249588
glu,50,3,3,9,174,22.24712643678161,394.6954022988506,16,387,30,403,0.6076045823505305
glu,50,3,3,10,51,23.725490196078432,408.1764705882353,20,405,29,413,0.45263905435479024
glu,50,3,3,11,171,30.614035087719298,244.83625730994152,24,237,38,254,0.5684195618417782
glu,50,3,3,12,294,33.363945578231295,445.4421768707483,24,436,44,456,0.21005736704721517
glu,50,3,3,13,198,33.66161616161616,124.24242424242425,27,116,42,134,0.6174776302736903
glu,50,3,3,14,270,39.63703703703704,286.94444444444446,31,278,51,297,0.4578808563305356
glu,50,3,3,15,184,39.40217391304348,461.82608695652175,32,454,47,470,0.10158697786551878
glu,50,3,3,16,258,48.07364341085271,69.03875968992249,40,60,57,79,0.5814548483789963
glu,50,3,3,17,246,50.6219512195122,300.8414634146341,41,293,61,309,0.6418146954271305
glu,50,3,3,18,159,55.0125786163522,42.704402515723274,49,35,62,51,0.6181510201659782
glu,50,3,3,19,337,58.16913946587537,87.9020771513353,49,77,68,99,0.4877471658834383
glu,50,3,3,20,215,58.44186046511628,323.13023255813954,51,315,67,333,0.5694052338516321
glu,50,3,3,21,236,60.33050847457627,500.5974576271187,52,493,70,509,0.4575729684631673
glu,50,3,3,22,61,58.80327868852459,486.6885245901639,55,483,64,491,0.3309012950464433
glu,50,3,3,23,127,63.74803149606299,310.1653543307087,57,304,71,317,0.5980570545658285
glu,50,3,3,24,199,68.1859296482412,32.57788944723618,59,26,78,40,0.6645586052935524
glu,50,3,3,25,167,66.68862275449102,438.8862275449102,59,433,75,446,0.6434462747828691
glu,50,3,3,26,238,68.30252100840336,59.09243697478992,60,51,78,68,0.4372498282173365
glu,50,3,3,27,187,68.79679144385027,74.5187165775401,61,68,77,83,0.639175652424519
glu,50,3,3,28,69,65.6376811594203,45.7536231884058,62,41,70,51,0.6330554166312339
glu,50,3,3,29,140,72.80714285714286,330.23571428571427,66,324,80,337,0.4775496863897697
glu,50,3,3,30,129,74.69767441860465,88.72093023255815,69,82,81,96,0.48635651148480485
glu,50,3,3,31,162,77.09876543209876,45.98765432098765,70,39,85,54,0.6692364222708489
glu,50,3,3,32,161,76.36024844720497,164.80124223602485,70,158,84,173,0.4130912122720828
glu,50,3,3,33,172,78.50581395348837,318.22093023255815,71,311,87,326,0.6205531901927515
glu,50,3,3,34,144,80.9375,220.26388888888889,74,214,89,227,0.5882201538325689
glu,50,3,3,35,64,79.90625,437.421875,76,434,85,442,0.44949006959676596
glu,50,3,3,36,217,84.7557603686636,73.7741935483871,77,66,93,83,0.6406048180078731
glu,50,3,3,37,106,83.17924528301887,58.971698113207545,78,53,89,65,0.288942814353623
glu,50,3,3,38,306,87.27450980392157,178.61764705882354,79,168,97,190,0.6039793233601981
glu,50,3,3,39,232,88.08189655172414,283.6034482758621,80,275,97,294,0.672060246473767
glu,50,3,3,40,179,87.44692737430168,39.39664804469274,81,31,95,49,0.7990479349658209
