experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,1,golgi,3,279,1,1,10,2,2,11,3,3
glu,0-5,3,1,golgi,5,971,34,72,15,2,5,23,5,8
glu,0-5,3,1,golgi,6,2,7,12,2,4,9,5,6,11
glu,0-5,3,1,golgi,6,21,12,24,4,4,9,8,6,12
glu,0-5,3,1,golgi,6,79,2,2,7,5,10,9,6,11
glu,0-5,3,1,golgi,6,82,5,8,6,5,11,10,7,12
glu,0-5,3,1,golgi,6,432,2,2,12,6,12,13,8,13
glu,0-5,3,1,golgi,6,433,42,84,9,7,1,16,11,4
glu,0-5,3,1,golgi,6,514,18,45,12,5,12,17,8,15
glu,0-5,3,1,golgi,6,743,9,27,15,6,11,18,9,14
glu,0-5,3,1,golgi,6,813,2,2,17,10,3,19,11,4
glu,0-5,3,1,golgi,6,897,15,24,17,8,11,21,11,13
glu,0-5,3,1,golgi,6,1030,41,135,15,6,1,24,11,4
glu,0-5,3,1,golgi,7,80,68,160,2,4,12,12,8,16
glu,0-5,3,1,golgi,7,83,7,16,4,6,15,8,8,17
glu,0-5,3,1,golgi,7,1363,42,63,20,0,8,27,3,11
glu,0-5,3,1,golgi,7,1447,31,75,27,1,6,32,4,11
glu,0-5,3,1,golgi,8,81,53,90,3,1,4,13,4,7
glu,0-5,3,1,golgi,8,672,69,132,8,3,14,19,7,17
glu,0-5,3,1,golgi,8,746,20,45,13,13,11,18,16,14
glu,0-5,3,1,golgi,8,898,19,36,17,13,10,21,16,13
glu,0-5,3,1,golgi,8,972,38,96,15,5,14,21,9,18
glu,0-5,3,1,golgi,8,1101,19,48,21,6,14,25,9,18
glu,0-5,3,1,golgi,8,1182,10,18,22,6,16,25,9,18
glu,0-5,3,1,golgi,8,1364,15,36,24,5,14,27,9,17
glu,0-5,3,1,golgi,8,1448,21,36,26,6,14,30,9,17
glu,0-5,3,1,golgi,9,48,11,30,3,1,9,8,3,12
glu,0-5,3,1,golgi,10,744,3,4,15,8,9,17,10,10
glu,0-5,3,1,golgi,10,814,13,32,16,8,8,20,10,12
glu,0-5,3,1,golgi,12,1031,38,81,16,1,1,25,4,4
glu,0-5,3,1,golgi,12,1310,6,12,23,1,2,26,3,4
glu,0-5,3,1,golgi,12,1406,4,6,26,1,2,29,2,4
glu,0-5,3,1,golgi,14,211,11,16,7,1,7,11,3,9
glu,0-5,3,1,golgi,15,515,72,150,7,8,6,17,11,11
glu,0-5,3,1,golgi,15,599,21,63,12,3,1,19,6,4
glu,0-5,3,1,golgi,15,745,36,84,13,4,1,20,8,4
glu,0-5,3,1,golgi,15,816,31,45,16,8,8,21,11,11
glu,0-5,3,1,golgi,15,1032,15,48,19,3,1,23,7,4
glu,0-5,3,1,golgi,15,1479,11,16,25,6,9,29,8,11
glu,0-5,3,1,golgi,16,815,12,27,16,7,10,19,10,13
glu,0-5,3,1,golgi,16,1246,46,90,18,8,10,28,11,13
glu,0-5,3,1,golgi,16,1502,4,6,29,8,4,32,9,6
glu,0-5,3,1,golgi,17,598,1,1,14,0,7,15,1,8
glu,0-5,3,1,golgi,17,817,13,18,17,9,3,20,11,6
glu,0-5,3,1,golgi,17,973,10,18,18,0,6,21,2,9
glu,0-5,3,1,golgi,17,1033,11,18,19,9,3,22,11,6
glu,0-5,3,1,golgi,17,1245,32,54,20,0,6,26,3,9
glu,0-5,3,1,golgi,17,1407,10,18,26,0,6,29,2,9
glu,0-5,3,1,golgi,18,4,17,24,3,2,11,7,4,14
glu,0-5,3,1,golgi,18,85,2,2,6,6,5,8,7,6
glu,0-5,3,1,golgi,18,149,2,2,7,2,12,9,3,13
glu,0-5,3,1,golgi,18,212,9,20,7,3,2,12,5,4
glu,0-5,3,1,golgi,18,350,6,8,10,1,7,14,2,9
glu,0-5,3,1,golgi,18,434,48,81,8,7,13,17,10,16
glu,0-5,3,1,golgi,19,22,10,27,4,1,5,7,4,8
glu,0-5,3,1,golgi,19,49,2,2,5,1,7,7,2,8
glu,0-5,3,1,golgi,19,148,9,24,6,0,6,10,2,9
glu,0-5,3,1,golgi,19,150,21,54,4,3,3,10,6,6
glu,0-5,3,1,golgi,19,351,16,40,8,0,7,13,2,11
glu,0-5,3,1,golgi,19,516,44,144,9,3,1,18,7,5
glu,0-5,3,1,golgi,19,673,15,16,13,10,10,17,12,12
glu,0-5,3,1,golgi,19,974,2,2,19,10,4,20,11,6
glu,0-5,3,1,golgi,19,1311,14,48,22,8,5,26,11,9
glu,0-5,3,1,golgi,19,1449,60,176,20,8,5,31,12,9
glu,0-5,3,1,golgi,21,352,2,2,10,5,7,12,6,8
glu,0-5,3,1,golgi,21,1034,11,14,16,7,5,23,8,7
glu,0-5,3,1,golgi,23,50,1,1,6,2,4,7,3,5
glu,0-5,3,1,golgi,23,213,18,50,7,0,4,12,5,6
glu,0-5,3,1,golgi,23,353,6,18,10,3,4,13,6,6
glu,0-5,3,1,golgi,24,436,26,30,8,6,8,13,9,10
glu,0-5,3,1,golgi,24,600,27,54,13,6,7,19,9,10
glu,0-5,3,1,golgi,24,674,6,16,14,3,2,18,5,4
glu,0-5,3,1,golgi,24,747,1,1,16,4,2,17,5,3
