experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,100,3,1,golgi,1,47,15,36,4,1,11,8,4,14
glu,100,3,1,golgi,1,95,5,12,7,2,12,9,5,14
glu,100,3,1,golgi,1,96,14,30,6,8,11,11,10,14
glu,100,3,1,golgi,1,149,13,30,8,3,12,13,5,15
glu,100,3,1,golgi,1,150,57,176,5,2,14,16,6,18
glu,100,3,1,golgi,1,151,2,2,8,7,10,10,8,11
glu,100,3,1,golgi,1,278,25,54,8,7,10,14,10,13
glu,100,3,1,golgi,1,1098,48,144,19,4,9,28,8,13
glu,100,3,1,golgi,1,1099,3,3,21,8,16,24,9,17
glu,100,3,1,golgi,1,1186,23,54,20,4,3,26,7,6
glu,100,3,1,golgi,2,20,9,16,5,3,13,9,5,15
glu,100,3,1,golgi,3,152,56,132,3,0,3,14,3,7
glu,100,3,1,golgi,3,279,60,220,7,1,1,18,5,6
glu,100,3,1,golgi,3,798,6,6,17,1,2,19,2,5
glu,100,3,1,golgi,3,872,37,108,17,1,2,26,4,6
glu,100,3,1,golgi,4,153,13,24,6,2,2,10,4,5
glu,100,3,1,golgi,4,214,33,90,6,0,2,16,3,5
glu,100,3,1,golgi,4,280,4,4,10,6,4,12,8,5
glu,100,3,1,golgi,4,447,28,54,10,5,2,16,8,5
glu,100,3,1,golgi,4,800,12,18,16,6,2,19,8,5
glu,100,3,1,golgi,4,873,17,60,16,4,2,21,8,5
glu,100,3,1,golgi,4,1026,9,18,19,5,1,22,8,3
glu,100,3,1,golgi,4,1100,48,112,20,5,1,27,9,5
glu,100,3,1,golgi,5,48,5,6,6,2,5,8,3,8
glu,100,3,1,golgi,5,154,40,105,6,2,5,13,5,10
glu,100,3,1,golgi,5,215,13,32,10,2,8,14,6,10
glu,100,3,1,golgi,5,364,8,18,11,2,4,14,4,7
glu,100,3,1,golgi,5,521,16,36,13,1,8,17,4,11
glu,100,3,1,golgi,5,522,16,48,13,3,3,17,7,6
glu,100,3,1,golgi,5,592,8,12,15,5,3,17,7,6
glu,100,3,1,golgi,5,736,7,16,16,2,7,20,4,9
glu,100,3,1,golgi,5,799,6,18,18,1,7,21,3,10
glu,100,3,1,golgi,5,874,1,1,19,2,9,20,3,10
glu,100,3,1,golgi,5,875,2,2,19,4,6,20,5,8
glu,100,3,1,golgi,5,1027,93,288,16,4,2,28,8,8
glu,100,3,1,golgi,6,1029,88,156,15,7,8,28,11,11
glu,100,3,1,golgi,6,1312,2,2,25,3,7,26,5,8
glu,100,3,1,golgi,6,1430,6,6,26,3,7,29,4,9
glu,100,3,1,golgi,6,1566,3,4,31,5,7,32,7,9
glu,100,3,1,golgi,7,216,65,200,7,2,7,15,7,12
glu,100,3,1,golgi,7,217,31,84,6,9,3,13,12,7
glu,100,3,1,golgi,7,672,8,18,15,4,9,18,6,12
glu,100,3,1,golgi,7,737,12,27,16,3,10,19,6,13
glu,100,3,1,golgi,7,876,17,36,15,15,3,21,18,5
glu,100,3,1,golgi,7,949,2,2,19,7,10,21,8,11
glu,100,3,1,golgi,7,950,5,12,20,15,4,22,18,6
glu,100,3,1,golgi,7,1028,15,36,19,3,10,22,7,13
glu,100,3,1,golgi,7,1101,32,84,21,3,9,28,7,12
glu,100,3,1,golgi,7,1102,5,12,21,15,5,24,17,7
glu,100,3,1,golgi,7,1187,23,72,19,6,10,27,9,13
glu,100,3,1,golgi,7,1250,25,60,22,13,5,27,17,8
glu,100,3,1,golgi,7,1481,21,36,25,7,4,31,10,6
glu,100,3,1,golgi,7,1565,2,2,31,2,9,32,4,10
glu,100,3,1,golgi,8,365,2,2,14,4,9,16,5,10
glu,100,3,1,golgi,8,593,62,90,9,3,3,19,6,6
glu,100,3,1,golgi,8,738,6,9,15,4,9,18,7,10
glu,100,3,1,golgi,8,801,15,27,18,3,2,21,6,5
glu,100,3,1,golgi,9,97,35,84,5,0,7,12,3,11
glu,100,3,1,golgi,9,802,2,2,18,5,15,20,6,16
glu,100,3,1,golgi,9,803,32,54,16,6,10,22,9,13
glu,100,3,1,golgi,11,6,38,96,2,3,6,8,7,10
glu,100,3,1,golgi,11,98,50,140,7,4,6,14,8,11
glu,100,3,1,golgi,11,281,5,6,10,10,5,13,11,7
glu,100,3,1,golgi,11,951,4,8,20,3,2,22,5,4
glu,100,3,1,golgi,11,1030,2,2,21,3,2,22,4,4
glu,100,3,1,golgi,12,5,13,36,4,1,5,8,4,8
glu,100,3,1,golgi,12,218,7,12,7,1,5,11,2,8
glu,100,3,1,golgi,12,448,9,18,13,6,2,16,8,5
glu,100,3,1,golgi,12,523,3,4,13,0,7,15,1,9
glu,100,3,1,golgi,12,1031,39,81,16,4,11,25,7,14
glu,100,3,1,golgi,13,99,2,2,8,12,11,9,14,12
glu,100,3,1,golgi,13,155,9,27,8,12,11,11,15,14
glu,100,3,1,golgi,13,594,73,132,11,9,14,22,13,17
glu,100,3,1,golgi,13,673,56,220,11,1,9,22,5,14
glu,100,3,1,golgi,13,1032,11,18,21,1,12,24,4,14
glu,100,3,1,golgi,13,1103,102,260,16,8,1,29,13,5
glu,100,3,1,golgi,13,1431,7,12,26,5,10,28,8,12
glu,100,3,1,golgi,13,1482,15,27,27,5,11,30,8,14
glu,100,3,1,golgi,14,953,44,81,16,11,13,25,14,16
glu,100,3,1,golgi,15,100,60,81,4,4,11,13,7,14
glu,100,3,1,golgi,15,804,25,48,16,0,3,20,3,7
glu,100,3,1,golgi,15,952,23,63,18,0,9,25,3,12
glu,100,3,1,golgi,16,282,8,12,9,0,8,12,2,10
glu,100,3,1,golgi,16,366,6,12,11,0,8,14,2,10
glu,100,3,1,golgi,16,367,33,54,9,8,6,15,11,9
glu,100,3,1,golgi,16,674,8,18,14,8,6,17,11,8
glu,100,3,1,golgi,16,739,65,176,14,7,11,25,11,15
glu,100,3,1,golgi,16,740,18,30,15,8,7,20,11,9
glu,100,3,1,golgi,16,741,1,1,17,9,16,18,10,17
glu,100,3,1,golgi,16,1033,18,36,19,8,5,23,11,8
glu,100,3,1,golgi,16,1104,3,4,22,7,13,24,9,14
glu,100,3,1,golgi,16,1188,3,4,23,7,12,25,8,14
glu,100,3,1,golgi,16,1314,1,1,25,8,11,26,9,12
glu,100,3,1,golgi,16,1483,9,18,26,6,10,29,9,12
glu,100,3,1,golgi,16,1518,16,40,27,5,11,32,9,13
glu,100,3,1,golgi,17,284,5,12,10,8,2,13,10,4
glu,100,3,1,golgi,17,285,14,16,9,12,5,13,14,7
glu,100,3,1,golgi,17,368,3,4,12,13,5,14,14,7
glu,100,3,1,golgi,17,524,20,60,12,7,2,17,10,6
glu,100,3,1,golgi,17,877,36,96,15,7,0,23,10,4
glu,100,3,1,golgi,17,1433,15,24,24,13,7,28,15,10
glu,100,3,1,golgi,17,1519,23,36,28,12,7,32,15,10
glu,100,3,1,golgi,18,283,3,4,11,2,4,13,3,6
glu,100,3,1,golgi,18,1034,26,42,18,4,2,25,7,4
glu,100,3,1,golgi,18,1313,15,28,21,2,2,28,4,4
glu,100,3,1,golgi,18,1432,2,2,26,5,8,28,6,9
glu,100,3,1,golgi,19,1105,18,30,19,7,3,24,9,6
glu,100,3,1,golgi,19,1251,39,90,19,0,2,29,3,5
glu,100,3,1,golgi,20,879,7,16,18,4,6,22,6,8
glu,100,3,1,golgi,20,1035,1,1,21,5,6,22,6,7
glu,100,3,1,golgi,20,1315,34,63,22,0,3,29,3,6
glu,100,3,1,golgi,21,451,79,160,9,9,3,19,13,7
glu,100,3,1,golgi,21,596,35,96,15,10,3,23,13,7
glu,100,3,1,golgi,21,954,7,18,19,3,4,21,6,7
glu,100,3,1,golgi,21,1253,59,120,21,3,4,29,6,9
glu,100,3,1,golgi,22,101,46,120,3,1,5,13,5,8
glu,100,3,1,golgi,22,449,13,36,11,1,9,15,4,12
glu,100,3,1,golgi,22,595,18,24,14,1,10,18,4,12
glu,100,3,1,golgi,22,1254,22,63,20,6,8,27,9,11
glu,100,3,1,golgi,22,1255,23,63,20,7,10,27,10,13
glu,100,3,1,golgi,22,1316,9,27,24,6,7,27,9,10
glu,100,3,1,golgi,22,1364,5,12,26,5,6,28,8,8
glu,100,3,1,golgi,22,1434,2,2,27,6,6,28,8,7
glu,100,3,1,golgi,22,1484,7,27,27,6,6,30,9,9
glu,100,3,1,golgi,22,1485,14,36,27,7,8,31,10,11
glu,100,3,1,golgi,23,156,39,72,6,6,8,14,9,11
glu,100,3,1,golgi,23,450,52,81,9,4,3,18,7,6
glu,100,3,1,golgi,23,675,6,8,15,2,11,17,4,13
glu,100,3,1,golgi,23,676,21,30,14,11,8,19,13,11
glu,100,3,1,golgi,23,878,28,54,15,1,9,21,4,12
glu,100,3,1,golgi,23,1189,21,48,20,1,10,24,5,13
glu,100,3,1,golgi,23,1252,42,128,21,1,9,29,5,13
glu,100,3,1,golgi,24,369,66,132,7,0,2,18,4,5
glu,100,3,1,golgi,24,1365,63,99,21,5,9,32,8,12
glu,100,3,1,golgi,25,370,52,120,8,1,7,18,5,10
glu,100,3,1,golgi,25,452,18,45,11,8,0,16,11,3
glu,100,3,1,golgi,25,525,5,6,12,6,5,15,7,7
glu,100,3,1,golgi,25,526,9,27,14,9,0,17,12,3
glu,100,3,1,golgi,25,956,26,48,18,9,1,24,13,3
glu,100,3,1,golgi,25,1546,39,81,25,8,6,34,11,9
glu,100,3,1,golgi,26,157,31,45,6,7,10,11,10,13
glu,100,3,1,golgi,26,286,48,140,8,7,10,15,12,14
glu,100,3,1,golgi,26,527,3,4,14,7,11,15,9,13
glu,100,3,1,golgi,26,597,12,24,14,7,12,17,11,14
glu,100,3,1,golgi,26,805,25,40,16,7,12,21,11,14
glu,100,3,1,golgi,26,955,6,12,20,2,3,22,4,6
glu,100,3,1,golgi,26,957,30,36,20,6,12,26,9,14
glu,100,3,1,golgi,26,1106,10,12,21,1,3,23,3,6
glu,100,3,1,golgi,26,1108,70,99,17,11,5,28,14,8
glu,100,3,1,golgi,27,102,7,12,7,2,4,10,4,6
glu,100,3,1,golgi,27,371,3,4,11,10,16,13,11,18
glu,100,3,1,golgi,27,453,5,12,11,10,16,14,12,18
glu,100,3,1,golgi,27,598,9,18,13,10,16,16,13,18
glu,100,3,1,golgi,27,1036,11,24,20,2,7,24,5,9
glu,100,3,1,golgi,27,1107,5,8,22,1,7,24,5,8
glu,100,3,1,golgi,27,1190,6,12,23,1,6,25,3,9
glu,100,3,1,golgi,27,1256,29,80,20,8,5,25,12,9
glu,100,3,1,golgi,27,1317,2,2,25,1,9,26,2,11
glu,100,3,1,golgi,27,1366,2,2,25,2,10,27,3,11
glu,100,3,1,golgi,27,1368,62,165,23,7,6,34,12,9
glu,100,3,1,golgi,27,1435,1,1,27,2,5,28,3,6
glu,100,3,1,golgi,28,158,24,36,7,10,6,11,13,9
glu,100,3,1,golgi,28,219,48,96,7,4,10,15,7,14
glu,100,3,1,golgi,28,220,12,27,10,9,5,13,12,8
glu,100,3,1,golgi,28,528,25,63,12,12,12,19,15,15
glu,100,3,1,golgi,28,958,7,12,19,9,3,21,12,5
glu,100,3,1,golgi,28,1367,16,45,23,3,5,28,6,8
glu,100,3,1,golgi,28,1486,42,99,23,4,4,34,7,7
glu,100,3,1,golgi,29,221,16,36,7,1,2,13,4,4
glu,100,3,1,golgi,30,7,41,108,1,2,6,10,6,9
glu,100,3,1,golgi,30,21,45,84,6,1,6,13,5,9
glu,100,3,1,golgi,30,103,12,27,7,4,8,10,7,11
glu,100,3,1,golgi,30,287,3,4,11,0,5,13,1,7
glu,100,3,1,golgi,30,959,12,36,18,7,4,21,11,7
glu,100,3,1,golgi,30,1038,8,12,20,9,4,23,11,6
glu,100,3,1,golgi,30,1110,2,2,22,9,4,23,11,5
glu,100,3,1,golgi,30,1257,4,8,23,4,11,25,6,13
glu,100,3,1,golgi,30,1258,7,18,23,7,3,26,10,5
glu,100,3,1,golgi,30,1318,21,90,21,6,3,27,11,6
glu,100,3,1,golgi,31,159,7,12,7,3,4,10,5,6
glu,100,3,1,golgi,31,288,17,45,9,3,3,14,6,6
glu,100,3,1,golgi,31,289,12,24,8,7,5,12,9,8
glu,100,3,1,golgi,31,372,30,84,9,5,4,16,8,8
glu,100,3,1,golgi,31,599,23,54,12,5,16,18,8,19
glu,100,3,1,golgi,31,742,4,6,15,2,5,18,4,6
glu,100,3,1,golgi,31,806,11,24,16,1,5,20,3,8
glu,100,3,1,golgi,31,880,8,18,18,1,5,21,3,8
glu,100,3,1,golgi,31,1037,9,24,20,1,6,24,3,9
glu,100,3,1,golgi,31,1109,4,6,22,2,6,24,3,9
glu,100,3,1,golgi,31,1191,6,6,21,5,16,27,6,17
glu,100,3,1,golgi,31,1192,24,84,20,5,14,27,8,18
glu,100,3,1,golgi,31,1436,10,16,26,6,10,30,8,12
glu,100,3,1,golgi,31,1567,10,24,29,6,9,33,8,12
glu,100,3,1,golgi,32,373,3,4,12,4,2,14,6,3
glu,100,3,1,golgi,32,454,51,162,9,3,2,18,6,8
glu,100,3,1,golgi,32,529,25,63,12,0,4,19,3,7
glu,100,3,1,golgi,32,743,18,48,15,2,6,19,6,9
glu,100,3,1,golgi,32,807,18,48,18,1,4,22,4,8
glu,100,3,1,golgi,33,223,26,63,7,12,8,14,15,11
glu,100,3,1,golgi,33,601,9,18,14,7,14,17,9,17
glu,100,3,1,golgi,33,812,16,36,16,14,9,20,17,12
glu,100,3,1,golgi,33,963,40,96,18,13,8,26,16,12
glu,100,3,1,golgi,33,1196,5,6,23,13,8,26,15,9
glu,100,3,1,golgi,34,49,11,36,5,3,4,9,6,7
glu,100,3,1,golgi,34,160,22,48,7,2,2,11,5,6
glu,100,3,1,golgi,34,530,2,2,13,1,6,15,2,7
glu,100,3,1,golgi,34,600,88,260,10,1,1,23,6,5
glu,100,3,1,golgi,34,677,7,18,15,1,6,18,4,8
glu,100,3,1,golgi,34,808,12,16,17,2,6,21,4,8
glu,100,3,1,golgi,35,290,39,140,8,4,11,15,9,15
glu,100,3,1,golgi,35,374,16,24,10,6,2,13,8,6
glu,100,3,1,golgi,35,456,25,60,10,7,2,15,10,6
glu,100,3,1,golgi,35,602,26,48,14,7,1,18,10,5
glu,100,3,1,golgi,35,882,31,72,17,6,2,23,9,6
