experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,5,mitochondria,1,231,357,2400,3,0,2,27,10,12
glu,0-5,3,5,mitochondria,1,490,21,84,10,7,2,17,11,5
glu,0-5,3,5,mitochondria,1,491,11,12,10,10,8,13,12,10
glu,0-5,3,5,mitochondria,1,597,2,2,14,3,11,16,4,12
glu,0-5,3,5,mitochondria,1,678,2,2,16,12,6,17,13,8
glu,0-5,3,5,mitochondria,1,960,1,1,22,4,7,23,5,8
glu,0-5,3,5,mitochondria,1,1189,1,1,27,7,6,28,8,7
glu,0-5,3,5,mitochondria,1,1233,27,60,28,2,9,33,6,12
glu,0-5,3,5,mitochondria,2,232,1034,4464,3,1,1,34,13,13
glu,0-5,3,5,mitochondria,3,341,505,4784,4,1,1,27,14,17
glu,0-5,3,5,mitochondria,3,471,23,48,9,12,14,17,14,17
glu,0-5,3,5,mitochondria,3,511,1,1,11,1,9,12,2,10
glu,0-5,3,5,mitochondria,3,635,6,9,15,1,4,18,2,7
glu,0-5,3,5,mitochondria,3,636,21,40,15,15,10,20,17,14
glu,0-5,3,5,mitochondria,3,846,1,1,20,4,6,21,5,7
glu,0-5,3,5,mitochondria,3,1234,17,36,28,7,3,31,11,6
glu,0-5,3,5,mitochondria,3,1263,10,18,29,2,10,32,4,13
glu,0-5,3,5,mitochondria,3,1307,1,1,30,10,14,31,11,15
glu,0-5,3,5,mitochondria,3,1308,1,1,30,12,12,31,13,13
glu,0-5,3,5,mitochondria,4,234,1004,6076,3,1,2,34,15,16
glu,0-5,3,5,mitochondria,4,799,116,520,19,1,3,32,5,13
glu,0-5,3,5,mitochondria,4,800,10,24,19,1,10,23,3,13
glu,0-5,3,5,mitochondria,4,801,1,1,19,9,7,20,10,8
glu,0-5,3,5,mitochondria,5,233,392,1323,3,0,1,24,9,8
glu,0-5,3,5,mitochondria,6,235,1182,5850,3,0,0,33,15,13
glu,0-5,3,5,mitochondria,6,1347,5,12,31,5,8,33,8,10
glu,0-5,3,5,mitochondria,6,1348,1,1,31,9,3,32,10,4
glu,0-5,3,5,mitochondria,7,43,1399,6656,2,1,2,34,14,18
glu,0-5,3,5,mitochondria,7,1153,3,4,26,11,11,28,12,13
glu,0-5,3,5,mitochondria,8,44,2081,10368,2,0,1,34,18,19
glu,0-5,3,5,mitochondria,8,534,12,16,12,8,8,16,10,10
glu,0-5,3,5,mitochondria,8,598,13,24,14,7,11,18,9,14
glu,0-5,3,5,mitochondria,8,803,8,12,19,6,9,21,9,11
glu,0-5,3,5,mitochondria,8,1011,5,12,23,1,4,26,3,6
glu,0-5,3,5,mitochondria,8,1309,1,1,30,8,8,31,9,9
glu,0-5,3,5,mitochondria,8,1387,1,1,33,7,4,34,8,5
glu,0-5,3,5,mitochondria,9,45,744,6048,2,0,3,29,14,19
glu,0-5,3,5,mitochondria,9,343,15,40,4,14,10,8,16,15
glu,0-5,3,5,mitochondria,9,396,4,8,5,8,11,7,10,13
glu,0-5,3,5,mitochondria,9,446,8,18,8,14,13,11,16,16
glu,0-5,3,5,mitochondria,9,513,73,640,11,13,8,27,17,18
glu,0-5,3,5,mitochondria,9,599,1,1,14,7,3,15,8,4
glu,0-5,3,5,mitochondria,9,962,4,8,22,4,17,24,6,19
glu,0-5,3,5,mitochondria,9,1012,4,6,23,12,17,26,13,19
glu,0-5,3,5,mitochondria,9,1190,26,84,27,2,9,33,4,16
glu,0-5,3,5,mitochondria,9,1191,2,2,27,4,10,28,6,11
glu,0-5,3,5,mitochondria,9,1235,10,18,28,12,8,31,14,11
glu,0-5,3,5,mitochondria,9,1310,2,2,30,13,12,31,14,14
glu,0-5,3,5,mitochondria,10,342,97,480,4,4,2,12,14,8
glu,0-5,3,5,mitochondria,10,395,21,64,5,4,10,9,8,14
glu,0-5,3,5,mitochondria,10,397,13,54,5,10,9,8,13,15
glu,0-5,3,5,mitochondria,10,492,47,270,10,7,11,15,16,17
glu,0-5,3,5,mitochondria,10,533,10,30,12,3,12,17,5,15
glu,0-5,3,5,mitochondria,10,637,238,1330,15,6,10,34,16,17
glu,0-5,3,5,mitochondria,10,680,3,4,16,15,7,18,16,9
glu,0-5,3,5,mitochondria,10,714,9,12,17,8,1,21,11,2
glu,0-5,3,5,mitochondria,10,758,1,1,18,9,10,19,10,11
glu,0-5,3,5,mitochondria,10,802,27,196,19,1,8,26,5,15
glu,0-5,3,5,mitochondria,10,961,2,2,22,3,3,24,4,4
glu,0-5,3,5,mitochondria,10,1054,27,84,24,4,3,31,7,7
glu,0-5,3,5,mitochondria,10,1192,6,18,27,8,11,30,10,14
glu,0-5,3,5,mitochondria,10,1266,1,1,29,12,8,30,13,9
glu,0-5,3,5,mitochondria,11,236,965,7440,3,0,0,34,15,16
glu,0-5,3,5,mitochondria,11,847,19,45,20,2,12,25,5,15
glu,0-5,3,5,mitochondria,11,1264,21,48,29,5,11,33,9,14
glu,0-5,3,5,mitochondria,12,47,918,2970,2,1,1,35,10,11
glu,0-5,3,5,mitochondria,13,512,255,756,11,1,3,32,10,7
glu,0-5,3,5,mitochondria,14,46,921,2187,2,0,0,29,9,9
glu,0-5,3,5,mitochondria,15,1,1071,2430,1,0,1,31,9,10
glu,0-5,3,5,mitochondria,16,237,1166,8160,3,0,1,33,16,18
glu,0-5,3,5,mitochondria,16,679,1,1,16,2,4,17,3,5
glu,0-5,3,5,mitochondria,16,848,2,8,20,3,2,22,5,4
glu,0-5,3,5,mitochondria,16,1102,13,36,25,1,4,28,4,8
glu,0-5,3,5,mitochondria,16,1265,62,315,29,2,6,34,9,15
glu,0-5,3,5,mitochondria,16,1311,10,24,30,6,4,34,9,6
glu,0-5,3,5,mitochondria,16,1312,1,1,30,11,5,31,12,6
glu,0-5,3,5,mitochondria,17,238,606,2160,3,0,1,30,8,11
glu,0-5,3,5,mitochondria,17,715,1,1,17,2,9,18,3,10
glu,0-5,3,5,mitochondria,18,239,651,3627,3,3,1,34,12,14
glu,0-5,3,5,mitochondria,19,48,965,3520,2,0,1,34,11,11
glu,0-5,3,5,mitochondria,20,240,688,2560,3,1,0,35,9,10
glu,0-5,3,5,mitochondria,20,1155,1,1,26,6,3,27,7,4
glu,0-5,3,5,mitochondria,21,50,191,840,2,5,2,26,12,7
glu,0-5,3,5,mitochondria,21,242,75,432,3,6,9,12,14,15
glu,0-5,3,5,mitochondria,21,419,1,1,6,11,5,7,12,6
glu,0-5,3,5,mitochondria,21,431,1,1,7,5,9,8,6,10
glu,0-5,3,5,mitochondria,21,447,1,1,8,11,4,9,12,5
glu,0-5,3,5,mitochondria,21,563,39,108,13,6,13,22,10,16
glu,0-5,3,5,mitochondria,21,600,1,1,14,15,12,15,16,13
glu,0-5,3,5,mitochondria,21,850,47,120,20,3,5,30,6,9
glu,0-5,3,5,mitochondria,22,49,992,4992,2,0,1,34,13,13
glu,0-5,3,5,mitochondria,22,638,11,30,15,2,1,20,5,3
glu,0-5,3,5,mitochondria,22,851,6,12,20,7,2,22,10,4
glu,0-5,3,5,mitochondria,22,905,1,1,21,2,2,22,3,3
glu,0-5,3,5,mitochondria,22,1013,27,90,23,6,3,29,11,6
glu,0-5,3,5,mitochondria,23,241,456,1728,3,0,2,35,9,8
glu,0-5,3,5,mitochondria,23,564,8,27,13,4,7,16,7,10
glu,0-5,3,5,mitochondria,24,2,1660,6930,1,1,2,34,15,17
glu,0-5,3,5,mitochondria,24,759,1,1,18,11,10,19,12,11
glu,0-5,3,5,mitochondria,24,1103,1,1,25,12,7,26,13,8
glu,0-5,3,5,mitochondria,25,243,749,2790,3,1,2,34,10,12
glu,0-5,3,5,mitochondria,26,344,876,7140,4,0,3,34,17,17
glu,0-5,3,5,mitochondria,26,345,108,1120,4,3,0,18,13,8
glu,0-5,3,5,mitochondria,26,804,1,1,19,3,14,20,4,15
glu,0-5,3,5,mitochondria,26,805,39,192,19,2,1,31,6,5
glu,0-5,3,5,mitochondria,26,852,18,224,20,8,10,28,12,17
glu,0-5,3,5,mitochondria,26,1267,8,12,29,3,7,32,4,11
