experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,50,3,0,mitochondria,1,7,2,2,0,10,13,2,11,14
glu,50,3,0,mitochondria,2,2,69,264,0,1,8,11,7,12
glu,50,3,0,mitochondria,2,6,16,24,0,8,4,4,10,7
glu,50,3,0,mitochondria,2,796,1,1,8,7,3,9,8,4
glu,50,3,0,mitochondria,2,1247,14,40,23,4,6,28,8,8
glu,50,3,0,mitochondria,3,3,61,180,0,3,3,9,7,8
glu,50,3,0,mitochondria,3,9,8,24,0,10,7,2,12,13
glu,50,3,0,mitochondria,3,614,12,18,4,11,12,7,13,15
glu,50,3,0,mitochondria,4,1,16,32,0,0,7,4,2,11
glu,50,3,0,mitochondria,4,5,3,4,0,5,5,1,7,7
glu,50,3,0,mitochondria,4,14,11,24,0,12,6,4,15,8
glu,50,3,0,mitochondria,4,15,14,16,0,13,15,4,15,17
glu,50,3,0,mitochondria,4,1047,18,36,14,8,18,20,11,20
glu,50,3,0,mitochondria,4,1212,2,2,21,10,17,23,11,18
glu,50,3,0,mitochondria,4,1280,1,1,24,11,6,25,12,7
glu,50,3,0,mitochondria,5,797,22,42,8,11,9,15,13,12
glu,50,3,0,mitochondria,5,977,2,2,12,4,2,14,5,3
glu,50,3,0,mitochondria,6,4,95,840,0,0,3,20,6,10
glu,50,3,0,mitochondria,6,1227,27,54,22,7,8,28,10,11
glu,50,3,0,mitochondria,6,1326,4,6,25,3,7,28,4,9
glu,50,3,0,mitochondria,7,8,11,18,0,2,9,2,5,12
glu,50,3,0,mitochondria,7,615,9,18,4,7,13,7,10,15
glu,50,3,0,mitochondria,7,978,1,1,12,9,14,13,10,15
glu,50,3,0,mitochondria,7,1046,1,1,14,1,6,15,2,7
glu,50,3,0,mitochondria,8,651,1,1,5,14,13,6,15,14
glu,50,3,0,mitochondria,8,752,1,1,7,13,14,8,14,15
glu,50,3,0,mitochondria,8,799,9,16,8,15,8,12,17,10
glu,50,3,0,mitochondria,8,1178,44,81,19,11,11,28,14,14
glu,50,3,0,mitochondria,9,10,35,140,0,4,8,7,9,12
glu,50,3,0,mitochondria,9,650,2,2,5,9,5,6,10,7
glu,50,3,0,mitochondria,9,851,4,8,9,8,10,11,10,12
glu,50,3,0,mitochondria,9,1014,1,1,13,9,9,14,10,10
glu,50,3,0,mitochondria,10,11,32,105,0,2,6,7,5,11
glu,50,3,0,mitochondria,10,17,5,8,0,8,13,2,10,15
glu,50,3,0,mitochondria,10,1250,6,12,23,14,10,26,16,12
glu,50,3,0,mitochondria,11,616,73,240,4,2,4,19,6,8
glu,50,3,0,mitochondria,12,12,55,162,0,2,4,9,5,10
glu,50,3,0,mitochondria,12,18,28,48,0,8,4,3,12,8
glu,50,3,0,mitochondria,12,572,9,16,3,12,15,7,14,17
glu,50,3,0,mitochondria,12,618,49,240,4,9,4,12,15,9
glu,50,3,0,mitochondria,12,695,2,2,6,6,3,8,7,4
glu,50,3,0,mitochondria,12,941,46,160,11,3,3,19,8,7
glu,50,3,0,mitochondria,12,942,4,12,11,12,16,14,14,18
glu,50,3,0,mitochondria,12,1213,10,32,21,6,5,25,10,7
glu,50,3,0,mitochondria,12,1249,7,8,23,11,12,25,13,14
glu,50,3,0,mitochondria,13,13,6,8,0,2,10,2,4,12
glu,50,3,0,mitochondria,13,16,3,3,0,6,15,3,7,16
glu,50,3,0,mitochondria,13,617,9,16,4,5,4,8,7,6
glu,50,3,0,mitochondria,13,850,24,81,9,1,9,18,4,12
glu,50,3,0,mitochondria,13,1015,1,1,13,8,3,14,9,4
glu,50,3,0,mitochondria,13,1177,3,4,19,3,6,21,4,8
glu,50,3,0,mitochondria,13,1248,17,24,23,6,14,27,9,16
glu,50,3,0,mitochondria,14,20,110,540,0,4,7,18,10,12
glu,50,3,0,mitochondria,14,798,2,2,8,2,8,10,3,9
glu,50,3,0,mitochondria,15,19,1,1,0,4,8,1,5,9
glu,50,3,0,mitochondria,15,21,2,2,0,7,8,1,9,9
glu,50,3,0,mitochondria,15,536,151,630,2,2,2,23,8,7
glu,50,3,0,mitochondria,15,537,31,81,2,6,11,11,9,14
glu,50,3,0,mitochondria,15,852,2,2,9,9,6,10,10,8
glu,50,3,0,mitochondria,15,1281,4,6,24,4,10,27,5,12
glu,50,3,0,mitochondria,15,1389,6,8,26,5,5,28,7,7
