experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,1,peroxisome,1,227,4,18,12,6,0,15,9,2
glu,0-5,3,1,peroxisome,1,492,6,8,15,5,0,19,7,1
glu,0-5,3,1,peroxisome,1,566,6,12,18,4,0,22,7,1
glu,0-5,3,1,peroxisome,1,750,5,12,20,5,2,23,7,4
glu,0-5,3,1,peroxisome,1,812,45,128,19,3,0,27,7,4
glu,0-5,3,1,peroxisome,2,946,2,2,26,0,8,28,1,9
glu,0-5,3,1,peroxisome,2,1424,4,4,32,0,4,34,1,6
glu,0-5,3,1,peroxisome,3,283,5,5,12,1,3,17,2,4
glu,0-5,3,1,peroxisome,3,1123,61,120,22,1,1,32,5,4
glu,0-5,3,1,peroxisome,4,169,44,72,9,3,10,17,6,13
glu,0-5,3,1,peroxisome,4,814,15,22,16,3,12,27,5,13
glu,0-5,3,1,peroxisome,6,227,26,54,9,1,12,18,4,14
glu,0-5,3,1,peroxisome,6,351,44,72,11,7,11,19,10,14
glu,0-5,3,1,peroxisome,6,748,3,3,20,0,7,23,1,8
glu,0-5,3,1,peroxisome,6,1063,3,3,25,4,2,28,5,3
glu,0-5,3,1,peroxisome,7,28,52,108,4,6,11,13,10,14
glu,0-5,3,1,peroxisome,7,229,52,81,8,9,10,17,12,13
glu,0-5,3,1,peroxisome,7,422,146,224,11,4,1,25,8,5
glu,0-5,3,1,peroxisome,7,1325,39,72,27,9,9,35,12,12
glu,0-5,3,1,peroxisome,8,64,9,24,8,6,3,12,9,5
glu,0-5,3,1,peroxisome,8,228,129,300,6,0,6,26,3,11
glu,0-5,3,1,peroxisome,8,350,101,208,10,2,1,23,6,5
glu,0-5,3,1,peroxisome,8,689,34,72,16,4,15,24,7,18
glu,0-5,3,1,peroxisome,9,63,35,96,5,1,6,13,4,10
glu,0-5,3,1,peroxisome,9,114,5,12,9,1,8,12,3,10
glu,0-5,3,1,peroxisome,9,349,9,10,12,1,8,17,2,10
glu,0-5,3,1,peroxisome,9,623,42,96,15,3,1,23,7,4
glu,0-5,3,1,peroxisome,9,950,39,112,21,6,2,28,10,6
glu,0-5,3,1,peroxisome,9,1010,64,176,21,6,2,32,10,6
glu,0-5,3,1,peroxisome,9,1371,12,30,28,5,8,33,7,11
glu,0-5,3,1,peroxisome,9,1372,72,160,27,5,9,37,9,13
glu,0-5,3,1,peroxisome,9,1425,30,63,30,4,8,37,7,11
glu,0-5,3,1,peroxisome,9,1426,16,24,33,6,11,37,9,13
glu,0-5,3,1,peroxisome,10,690,87,210,14,3,0,28,8,3
glu,0-5,3,1,peroxisome,10,1009,22,36,21,2,0,30,4,2
glu,0-5,3,1,peroxisome,11,284,51,117,9,0,3,22,3,6
glu,0-5,3,1,peroxisome,11,493,29,60,13,0,10,23,2,13
glu,0-5,3,1,peroxisome,11,951,89,144,19,5,0,31,9,3
glu,0-5,3,1,peroxisome,11,1184,73,120,23,10,12,33,14,15
glu,0-5,3,1,peroxisome,12,65,5,8,9,2,3,13,3,5
glu,0-5,3,1,peroxisome,12,816,29,54,19,3,9,25,6,12
glu,0-5,3,1,peroxisome,12,871,10,24,20,10,8,26,12,10
glu,0-5,3,1,peroxisome,12,1065,20,36,24,2,9,30,5,11
glu,0-5,3,1,peroxisome,13,949,24,36,20,2,1,29,4,3
glu,0-5,3,1,peroxisome,15,115,5,6,10,2,3,13,3,5
glu,0-5,3,1,peroxisome,15,352,116,208,10,3,10,23,7,14
glu,0-5,3,1,peroxisome,15,495,43,72,11,0,8,23,2,11
glu,0-5,3,1,peroxisome,16,494,13,18,12,0,7,21,1,9
glu,0-5,3,1,peroxisome,16,815,13,48,19,0,8,27,2,11
glu,0-5,3,1,peroxisome,16,1064,34,81,22,0,2,31,3,5
glu,0-5,3,1,peroxisome,16,1326,35,63,28,7,2,35,10,5
glu,0-5,3,1,peroxisome,17,624,102,192,14,10,6,26,14,10
glu,0-5,3,1,peroxisome,17,948,29,33,19,0,4,30,1,7
glu,0-5,3,1,peroxisome,17,1373,83,160,27,4,10,37,8,14
glu,0-5,3,1,peroxisome,17,1375,4,4,30,9,10,34,10,11
glu,0-5,3,1,peroxisome,17,1427,39,54,31,1,5,37,4,8
glu,0-5,3,1,peroxisome,18,29,86,144,4,1,4,16,4,8
