experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,200,3,4,peroxisome,1,19,126,260,6,2,9,19,7,13
glu,200,3,4,peroxisome,1,228,10,16,17,1,1,21,3,3
glu,200,3,4,peroxisome,2,48,23,54,9,5,16,15,8,19
glu,200,3,4,peroxisome,2,77,43,96,10,1,15,18,4,19
glu,200,3,4,peroxisome,2,372,55,96,20,1,14,32,3,18
glu,200,3,4,peroxisome,2,435,32,96,23,8,15,29,12,19
glu,200,3,4,peroxisome,2,483,38,132,23,8,15,34,12,18
glu,200,3,4,peroxisome,2,513,59,90,25,6,15,35,9,18
glu,200,3,4,peroxisome,2,551,70,99,25,1,11,36,4,14
glu,200,3,4,peroxisome,3,552,2,2,30,5,10,32,6,11
glu,200,3,4,peroxisome,4,125,40,84,13,10,8,20,14,11
glu,200,3,4,peroxisome,5,108,164,240,7,6,2,22,10,6
glu,200,3,4,peroxisome,5,460,16,30,23,4,2,28,6,5
glu,200,3,4,peroxisome,5,484,5,6,27,8,7,30,10,8
glu,200,3,4,peroxisome,5,514,27,42,28,4,2,35,6,5
glu,200,3,4,peroxisome,6,20,32,54,8,8,3,14,11,6
glu,200,3,4,peroxisome,6,78,53,96,9,8,8,17,11,12
glu,200,3,4,peroxisome,6,541,23,30,28,2,7,33,5,9
glu,200,3,4,peroxisome,7,305,42,72,18,1,6,26,4,9
glu,200,3,4,peroxisome,8,21,50,96,7,4,11,15,7,15
glu,200,3,4,peroxisome,8,49,32,54,9,1,4,15,4,7
glu,200,3,4,peroxisome,8,341,2,2,22,1,14,24,2,15
glu,200,3,4,peroxisome,8,373,1,1,24,1,14,25,2,15
glu,200,3,4,peroxisome,8,403,21,42,21,1,4,28,4,6
glu,200,3,4,peroxisome,8,515,53,80,25,1,4,35,5,6
glu,200,3,4,peroxisome,9,306,17,20,18,8,1,28,10,2
glu,200,3,4,peroxisome,9,436,57,128,19,3,6,35,5,10
