experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,2,vacuole,1,0,36,49,14,1,4,14,8,11
glu,0-5,3,2,vacuole,2,0,1,1,12,2,5,12,3,6
glu,0-5,3,2,vacuole,3,0,37,42,13,2,7,13,9,13
glu,0-5,3,2,vacuole,7,0,17,20,13,4,5,13,8,10
glu,0-5,3,2,vacuole,8,0,60,72,19,1,3,19,10,11
glu,0-5,3,2,vacuole,9,0,8,9,18,0,1,18,3,4
glu,0-5,3,2,vacuole,11,0,13,20,24,2,5,24,7,9
glu,0-5,3,2,vacuole,12,0,10,12,16,1,3,16,4,7
glu,0-5,3,2,vacuole,13,0,1,1,15,6,5,15,7,6
glu,0-5,3,2,vacuole,14,0,18,20,18,1,7,18,6,11
glu,0-5,3,2,vacuole,15,0,34,42,12,2,7,12,9,13
glu,0-5,3,2,vacuole,16,0,25,30,14,1,6,14,6,12
glu,0-5,3,2,vacuole,19,0,1,1,24,0,3,24,1,4
glu,0-5,3,2,vacuole,20,0,30,42,20,3,2,20,10,8
glu,0-5,3,2,vacuole,21,0,17,20,21,0,3,21,5,7
glu,0-5,3,2,vacuole,22,0,15,20,21,3,1,21,7,6
glu,0-5,3,2,vacuole,23,0,56,72,19,1,3,19,10,11
glu,0-5,3,2,vacuole,24,0,17,20,27,2,3,27,6,8
glu,0-5,3,2,vacuole,26,0,13,16,19,0,3,19,4,7
glu,0-5,3,2,vacuole,27,0,89,156,18,0,2,18,12,15
glu,0-5,3,2,vacuole,28,0,28,30,24,2,2,24,7,8
glu,0-5,3,2,vacuole,29,0,26,36,18,2,2,18,8,8
glu,0-5,3,2,vacuole,30,0,18,20,18,2,3,18,6,8
glu,0-5,3,2,vacuole,32,0,1,1,14,3,6,14,4,7
glu,0-5,3,2,vacuole,34,0,12,16,16,1,4,16,5,8
glu,0-5,3,2,vacuole,35,0,41,49,20,3,8,20,10,15
glu,0-5,3,2,vacuole,36,0,34,42,21,2,3,21,9,9
glu,0-5,3,2,vacuole,37,0,20,30,23,0,6,23,6,11
glu,0-5,3,2,vacuole,38,0,13,16,24,1,3,24,5,7
glu,0-5,3,2,vacuole,41,0,39,49,18,4,3,18,11,10
glu,0-5,3,2,vacuole,42,0,14,20,18,0,3,18,5,7
glu,0-5,3,2,vacuole,45,0,30,42,17,1,2,17,7,9
glu,0-5,3,2,vacuole,46,0,8,9,19,1,3,19,4,6
glu,0-5,3,2,vacuole,47,0,12,16,18,1,4,18,5,8
glu,0-5,3,2,vacuole,48,0,55,80,14,3,3,14,13,11
glu,0-5,3,2,vacuole,49,0,1,1,20,2,3,20,3,4
glu,0-5,3,2,vacuole,50,0,41,49,17,3,4,17,10,11
glu,0-5,3,2,vacuole,51,0,10,12,13,3,4,13,7,7
glu,0-5,3,2,vacuole,52,0,11,16,15,2,4,15,6,8
glu,0-5,3,2,vacuole,53,0,21,30,24,4,3,24,10,8
glu,0-5,3,2,vacuole,54,0,42,56,17,1,3,17,9,10
glu,0-5,3,2,vacuole,55,0,22,25,22,2,4,22,7,9
glu,0-5,3,2,vacuole,56,0,18,20,27,2,8,27,6,13
glu,0-5,3,2,vacuole,57,0,20,25,21,0,3,21,5,8
glu,0-5,3,2,vacuole,58,0,54,72,16,5,8,16,13,17
glu,0-5,3,2,vacuole,59,0,9,12,23,11,5,23,15,8
glu,0-5,3,2,vacuole,60,0,20,25,28,1,3,28,6,8
glu,0-5,3,2,vacuole,61,0,8,9,14,2,5,14,5,8
glu,0-5,3,2,vacuole,62,0,12,16,16,3,7,16,7,11
glu,0-5,3,2,vacuole,63,0,12,12,26,7,10,26,10,14
glu,0-5,3,2,vacuole,65,0,11,15,27,1,6,27,6,9
glu,0-5,3,2,vacuole,66,0,4,6,24,3,4,24,6,6
glu,0-5,3,2,vacuole,67,0,6,6,14,6,4,14,8,7
glu,0-5,3,2,vacuole,68,0,20,25,18,0,2,18,5,7
glu,0-5,3,2,vacuole,69,0,13,16,23,5,5,23,9,9
glu,0-5,3,2,vacuole,72,0,8,8,17,1,4,17,5,6
glu,0-5,3,2,vacuole,73,0,8,9,16,2,3,16,5,6
glu,0-5,3,2,vacuole,74,0,20,25,21,1,3,21,6,8
