experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,200,3,2,vacuole,1,0,51,63,24,2,4,24,11,11
glu,200,3,2,vacuole,2,0,63,81,23,3,4,23,12,13
glu,200,3,2,vacuole,4,0,19,25,18,1,4,18,6,9
glu,200,3,2,vacuole,5,0,16,20,15,1,4,15,5,9
glu,200,3,2,vacuole,6,0,82,110,26,1,3,26,11,14
glu,200,3,2,vacuole,10,0,31,36,21,1,3,21,7,9
glu,200,3,2,vacuole,12,0,18,20,24,2,7,24,6,12
glu,200,3,2,vacuole,13,0,65,80,15,3,4,15,11,14
glu,200,3,2,vacuole,14,0,15,20,23,4,3,23,8,8
glu,200,3,2,vacuole,16,0,32,42,21,2,2,21,8,9
glu,200,3,2,vacuole,17,0,9,12,17,3,2,17,6,6
glu,200,3,2,vacuole,18,0,38,49,21,5,5,21,12,12
glu,200,3,2,vacuole,21,0,105,140,23,0,3,23,14,13
glu,200,3,2,vacuole,22,0,20,25,18,4,6,18,9,11
glu,200,3,2,vacuole,24,0,24,25,19,6,4,19,11,9
glu,200,3,2,vacuole,25,0,118,156,22,1,2,22,14,14
glu,200,3,2,vacuole,26,0,1,1,20,2,5,20,3,6
glu,200,3,2,vacuole,27,0,90,121,22,3,2,22,14,13
glu,200,3,2,vacuole,28,0,141,182,21,1,2,21,14,16
glu,200,3,2,vacuole,29,0,17,20,16,0,4,16,4,9
glu,200,3,2,vacuole,32,0,88,100,21,1,3,21,11,13
glu,200,3,2,vacuole,33,0,60,72,22,0,6,22,8,15
glu,200,3,2,vacuole,34,0,25,36,24,8,3,24,14,9
glu,200,3,2,vacuole,35,0,80,100,22,3,5,22,13,15
glu,200,3,2,vacuole,36,0,38,49,16,3,2,16,10,9
glu,200,3,2,vacuole,38,0,19,25,16,3,3,16,8,8
glu,200,3,2,vacuole,40,0,16,16,22,7,4,22,11,8
glu,200,3,2,vacuole,41,0,39,49,17,0,3,17,7,10
glu,200,3,2,vacuole,42,0,53,72,21,1,2,21,10,10
glu,200,3,2,vacuole,43,0,27,30,17,4,2,17,10,7
glu,200,3,2,vacuole,44,0,22,25,20,3,2,20,8,7
glu,200,3,2,vacuole,45,0,36,42,17,2,5,17,8,12
glu,200,3,2,vacuole,47,0,68,108,22,1,2,22,13,11
glu,200,3,2,vacuole,48,0,83,100,20,1,5,20,11,15
glu,200,3,2,vacuole,49,0,5,6,16,5,4,16,7,7
glu,200,3,2,vacuole,50,0,32,35,20,2,6,20,9,11
glu,200,3,2,vacuole,51,0,19,30,23,3,1,23,9,6
glu,200,3,2,vacuole,52,0,161,240,17,0,3,17,15,19
glu,200,3,2,vacuole,54,0,12,16,15,5,7,15,9,11
glu,200,3,2,vacuole,55,0,17,20,22,4,10,22,9,14
glu,200,3,2,vacuole,56,0,56,72,18,1,7,18,10,15
glu,200,3,2,vacuole,57,0,78,88,18,5,3,18,13,14
glu,200,3,2,vacuole,58,0,9,12,26,3,9,26,6,13
glu,200,3,2,vacuole,59,0,42,56,22,0,2,22,8,9
glu,200,3,2,vacuole,61,0,85,110,23,4,3,23,14,14
glu,200,3,2,vacuole,62,0,34,42,19,0,2,19,6,9
glu,200,3,2,vacuole,63,0,67,121,25,1,2,25,12,13
glu,200,3,2,vacuole,64,0,1,1,18,3,5,18,4,6
glu,200,3,2,vacuole,66,0,169,240,22,0,5,22,16,20
glu,200,3,2,vacuole,67,0,16,16,26,3,5,26,7,9
glu,200,3,2,vacuole,69,0,1,1,11,3,7,11,4,8
glu,200,3,2,vacuole,70,0,67,81,23,2,4,23,11,13
glu,200,3,2,vacuole,71,0,21,30,13,5,3,13,10,9
glu,200,3,2,vacuole,72,0,8,9,21,3,2,21,6,5
glu,200,3,2,vacuole,73,0,16,16,21,2,3,21,6,7
glu,200,3,2,vacuole,74,0,32,48,18,3,3,18,11,9
glu,200,3,2,vacuole,78,0,54,64,17,3,3,17,11,11
glu,200,3,2,vacuole,79,0,45,56,17,3,1,17,10,9
glu,200,3,2,vacuole,80,0,66,90,21,1,1,21,11,10
glu,200,3,2,vacuole,81,0,36,49,19,2,1,19,9,8
glu,200,3,2,vacuole,82,0,56,72,23,4,2,23,12,11
glu,200,3,2,vacuole,83,0,20,25,26,3,3,26,8,8
glu,200,3,2,vacuole,84,0,21,24,23,5,3,23,9,9
glu,200,3,2,vacuole,85,0,20,25,17,7,6,17,12,11
glu,200,3,2,vacuole,86,0,27,36,27,1,4,27,7,10
glu,200,3,2,vacuole,87,0,67,80,22,0,4,22,8,14
glu,200,3,2,vacuole,89,0,48,72,17,1,2,17,9,11
glu,200,3,2,vacuole,90,0,23,24,25,2,3,25,6,9
glu,200,3,2,vacuole,92,0,25,30,23,5,4,23,10,10
glu,200,3,2,vacuole,93,0,79,130,21,0,2,21,13,12
glu,200,3,2,vacuole,94,0,61,88,16,6,2,16,14,13
glu,200,3,2,vacuole,95,0,25,36,25,1,2,25,7,8
glu,200,3,2,vacuole,96,0,110,154,19,1,2,19,12,16
glu,200,3,2,vacuole,97,0,78,132,16,2,1,16,14,12
glu,200,3,2,vacuole,99,0,23,30,24,1,5,24,7,10
glu,200,3,2,vacuole,100,0,10,12,25,1,2,25,4,6
glu,200,3,2,vacuole,101,0,34,42,16,2,3,16,8,10
glu,200,3,2,vacuole,104,0,55,64,21,2,4,21,10,12
glu,200,3,2,vacuole,106,0,17,20,15,4,4,15,9,8
glu,200,3,2,vacuole,107,0,15,16,18,1,6,18,5,10
glu,200,3,2,vacuole,108,0,10,12,21,2,5,21,6,8
glu,200,3,2,vacuole,110,0,18,24,21,5,7,21,9,13
glu,200,3,2,vacuole,111,0,62,99,21,2,6,21,11,17
glu,200,3,2,vacuole,112,0,50,64,27,1,3,27,9,11
glu,200,3,2,vacuole,113,0,113,154,22,1,2,22,15,13
glu,200,3,2,vacuole,114,0,1,1,26,3,7,26,4,8
glu,200,3,2,vacuole,116,0,54,64,21,2,6,21,10,14
glu,200,3,2,vacuole,117,0,31,42,19,5,5,19,12,11
glu,200,3,2,vacuole,118,0,114,143,22,3,3,22,14,16
glu,200,3,2,vacuole,121,0,28,42,20,2,8,20,9,14
glu,200,3,2,vacuole,122,0,83,99,21,2,6,21,13,15
glu,200,3,2,vacuole,123,0,47,90,17,0,2,17,9,12
glu,200,3,2,vacuole,124,0,9,12,16,2,6,16,6,9
glu,200,3,2,vacuole,125,0,85,110,22,5,2,22,15,13
glu,200,3,2,vacuole,126,0,10,12,20,0,3,20,4,6
glu,200,3,2,vacuole,127,0,49,56,24,5,0,24,12,8
glu,200,3,2,vacuole,129,0,18,20,25,5,2,25,10,6
glu,200,3,2,vacuole,130,0,18,25,25,0,3,25,5,8
glu,200,3,2,vacuole,132,0,77,90,25,4,5,25,14,14
glu,200,3,2,vacuole,133,0,39,49,24,2,0,24,9,7
