organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,1,321.0,65535,1643.0,12160.0,4,1,0,36,20,20
ER,2,253.0,65535,1400.0,10032.0,4,1,0,37,17,19
ER,3,187.0,65535,444.0,6045.0,5,0,0,36,13,15
ER,4,218.0,65535,876.0,7440.0,5,0,3,36,16,18
ER,5,339.0,65535,2096.0,16416.0,5,0,0,37,19,27
ER,6,182.0,65535,949.0,6851.0,6,0,0,37,13,17
ER,7,67.0,65535,263.0,1440.0,14,0,1,34,9,9
ER,8,59.0,65535,285.0,1536.0,6,0,2,30,8,10
ER,9,278.0,65535,736.0,9486.0,5,1,0,36,19,17
ER,10,131.0,65535,758.0,5040.0,5,0,1,35,14,13
ER,11,77.0,65535,308.0,2400.0,6,0,0,30,10,10
ER,12,183.0,65535,839.0,6448.0,4,0,0,35,16,13
ER,13,195.0,65535,938.0,7680.0,5,1,1,35,17,17
ER,14,214.0,65535,1099.0,8704.0,4,0,1,36,16,18
ER,15,215.0,65535,886.0,7650.0,4,0,1,34,15,18
ER,16,250.0,65535,1024.0,11264.0,5,0,0,37,16,22
ER,17,164.0,65535,963.0,5952.0,4,0,1,35,16,13
ER,18,268.0,65535,1409.0,8640.0,4,0,3,36,18,18
ER,19,176.0,65535,975.0,6240.0,4,1,0,36,16,13
ER,20,168.0,65535,887.0,5824.0,5,0,1,37,14,14
ER,21,186.0,65535,1050.0,6188.0,3,0,1,37,13,15
ER,22,184.0,65535,703.0,6448.0,4,0,1,35,16,14
ER,23,543.0,65535,2936.0,23064.0,4,0,2,35,31,26
ER,24,209.0,65535,1024.0,8432.0,5,0,0,36,16,17
ER,25,183.0,65535,955.0,7680.0,4,0,1,36,16,16
ER,26,210.0,65535,893.0,6525.0,5,0,2,34,15,17
ER,27,184.0,65535,1088.0,6864.0,4,0,1,37,13,17
ER,28,77.0,65535,202.0,1008.0,14,0,2,35,8,8
ER,29,172.0,65535,835.0,6300.0,5,0,2,35,15,16
ER,30,184.0,65535,775.0,6902.0,6,1,0,35,15,17
ER,31,115.0,65535,621.0,3780.0,4,1,1,34,10,15
ER,32,322.0,65535,1527.0,12096.0,5,0,0,37,18,21
ER,33,171.0,65535,994.0,6656.0,5,0,0,37,13,16
ER,34,119.0,65535,591.0,4290.0,5,0,1,35,13,12
ER,35,184.0,65535,854.0,7616.0,5,0,1,37,14,18
ER,36,233.0,65535,1057.0,10098.0,2,0,0,35,17,18
ER,37,149.0,65535,579.0,4774.0,4,0,1,35,14,12
ER,38,250.0,65535,3.0,24.0,17,3,4,20,5,8
ER,39,281.0,65535,1684.0,11286.0,4,1,0,37,20,18
ER,40,96.0,65535,490.0,2430.0,5,2,1,32,11,11
ER,41,143.0,65535,818.0,4464.0,6,0,1,37,12,13
ER,42,132.0,65535,762.0,4433.0,5,0,2,36,11,15
ER,43,96.0,65535,451.0,2160.0,7,1,2,31,11,11
ER,44,167.0,65535,990.0,6864.0,4,0,1,37,13,17
ER,45,107.0,65535,772.0,3630.0,5,0,1,35,11,12
ER,46,142.0,65535,736.0,4901.0,4,0,1,33,13,14
ER,47,174.0,65535,816.0,6750.0,7,0,0,37,15,15
ER,48,162.0,65535,631.0,6144.0,4,0,3,36,12,19
ER,49,92.0,65535,422.0,3300.0,6,0,0,36,11,10
ER,50,64.0,65535,249.0,1296.0,4,0,2,28,9,8
ER,51,125.0,65535,737.0,3960.0,4,1,2,34,12,14
ER,52,144.0,65535,875.0,4774.0,6,0,2,37,14,13
ER,53,199.0,65535,1035.0,7200.0,4,0,2,36,15,17
ER,54,168.0,65535,917.0,6944.0,6,0,1,37,14,17
ER,55,257.0,65535,1470.0,10336.0,4,0,1,36,19,18
ER,56,211.0,65535,1160.0,8064.0,5,0,1,37,14,19
ER,57,165.0,65535,944.0,5544.0,4,0,2,37,14,14
ER,58,470.0,65535,1156.0,12800.0,5,2,2,37,22,22
ER,59,255.0,65535,1384.0,9792.0,5,0,1,37,17,19
ER,60,111.0,65535,467.0,3190.0,6,2,1,35,12,12
ER,61,224.0,65535,1033.0,7812.0,4,1,1,35,15,19
ER,62,243.0,65535,833.0,7424.0,6,0,2,35,16,18
ER,63,149.0,65535,824.0,5376.0,5,0,1,37,12,15
ER,64,278.0,65535,1164.0,10602.0,5,0,0,36,18,19
ER,65,160.0,65535,7.0,2000.0,10,4,4,35,12,14
ER,66,270.0,65535,1205.0,9792.0,4,0,1,36,17,19
ER,67,67.0,65535,281.0,2268.0,6,1,0,34,10,9
ER,68,114.0,65535,590.0,3960.0,5,0,1,35,11,13
ER,69,419.0,65535,2245.0,20736.0,4,0,0,36,24,27
ER,70,119.0,65535,308.0,1740.0,7,1,2,36,11,8
ER,71,242.0,65535,1367.0,9537.0,4,0,1,37,17,18
ER,72,202.0,65535,1315.0,7920.0,4,0,0,37,16,15
ER,73,124.0,65535,1.0,1.0,18,1,7,19,2,8
ER,74,164.0,65535,894.0,5082.0,4,1,2,37,15,13
ER,75,261.0,65535,1308.0,8670.0,6,0,0,36,17,17
ER,76,222.0,65535,850.0,7200.0,4,0,2,34,15,18
ER,77,228.0,65535,1228.0,8704.0,5,0,1,37,16,18
ER,78,205.0,65535,1110.0,7392.0,4,1,2,37,15,18
ER,79,201.0,65535,1197.0,8160.0,5,0,0,37,15,17
ER,80,207.0,65535,1.0,1.0,19,1,8,20,2,9
ER,81,216.0,65535,8.0,2156.0,11,3,4,25,14,18
ER,82,113.0,65535,667.0,4004.0,5,0,1,33,11,14
ER,83,260.0,65535,1328.0,12800.0,5,1,0,37,21,20
ER,84,264.0,65535,1296.0,10692.0,4,0,1,37,18,19
ER,85,187.0,65535,974.0,6851.0,4,1,1,35,18,14
ER,86,313.0,65535,1139.0,10230.0,4,3,1,35,18,23
ER,87,100.0,65535,503.0,3300.0,4,0,2,34,11,12
ER,88,183.0,65535,10.0,2145.0,10,1,3,25,12,16
ER,89,261.0,65535,1273.0,10659.0,4,1,0,37,18,19
ER,90,251.0,65535,1376.0,9120.0,4,1,2,36,16,21
ER,91,108.0,65535,465.0,3520.0,4,0,1,36,11,11
ER,92,139.0,65535,843.0,4836.0,4,1,0,35,13,13
ER,93,82.0,65535,357.0,2340.0,5,1,0,31,11,9
ER,94,261.0,65535,1317.0,10032.0,4,0,0,37,19,16
ER,95,82.0,65535,415.0,2340.0,8,1,1,34,11,10
ER,96,229.0,65535,1444.0,8976.0,4,0,2,37,17,18
ER,97,277.0,65535,1469.0,12958.0,4,0,1,35,19,23
ER,98,137.0,65535,911.0,5408.0,4,0,0,36,13,13
ER,100,177.0,65535,1085.0,6045.0,6,0,1,37,13,16
ER,101,52.0,65535,288.0,1232.0,6,1,0,28,8,8
ER,102,147.0,65535,826.0,4928.0,4,0,1,36,14,12
ER,103,218.0,65535,1309.0,9600.0,4,0,0,36,15,20
ER,104,114.0,65535,705.0,3960.0,4,0,1,34,11,13
ER,105,219.0,65535,1223.0,9537.0,4,0,0,37,17,17
ER,106,281.0,65535,1364.0,11264.0,5,1,0,37,17,22
ER,107,193.0,65535,794.0,5880.0,5,0,3,33,14,18
ER,108,116.0,65535,605.0,3480.0,6,1,1,35,11,13
ER,109,111.0,65535,589.0,3751.0,5,0,1,36,11,12
ER,110,219.0,65535,1237.0,10336.0,4,1,0,36,18,19
ER,111,86.0,65535,524.0,3630.0,5,1,0,35,12,11
ER,112,100.0,65535,411.0,3564.0,4,0,0,31,11,12
ER,113,103.0,65535,718.0,4092.0,5,0,0,36,12,11
ER,114,147.0,65535,815.0,5760.0,4,1,0,36,13,15
ER,115,280.0,65535,1547.0,11220.0,4,2,0,37,19,20
ER,116,114.0,65535,782.0,4290.0,4,0,0,34,13,11
ER,117,262.0,65535,1612.0,10659.0,4,0,2,37,19,19
ER,118,190.0,65535,1067.0,7616.0,4,0,1,36,17,15
ER,119,302.0,65535,1444.0,11286.0,4,1,2,37,19,21
ER,120,136.0,65535,837.0,4928.0,3,0,0,35,14,11
ER,121,190.0,65535,1102.0,6851.0,4,1,0,35,14,17
ER,122,136.0,65535,841.0,5115.0,4,0,0,35,15,11
