organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,1,178.0,203,4.0,4.0,10,5,6,12,7,7
LD,1,178.0,420,7.0,18.0,11,6,11,14,8,14
LD,1,178.0,658,11.0,20.0,11,6,12,16,8,14
LD,1,178.0,999,5.0,6.0,13,11,7,16,12,9
LD,1,178.0,1357,1.0,1.0,15,7,11,16,8,12
LD,1,178.0,3592,66.0,180.0,14,1,7,29,5,10
LD,1,178.0,4765,3.0,3.0,24,2,9,27,3,10
LD,2,175.0,662,21.0,36.0,10,11,6,16,13,9
LD,2,175.0,998,2.0,2.0,14,4,13,16,5,14
LD,2,175.0,1358,4.0,6.0,14,1,11,17,2,13
LD,2,175.0,2043,7.0,16.0,16,1,11,20,3,13
LD,2,175.0,2476,3.0,3.0,17,5,2,20,6,3
LD,2,175.0,2480,16.0,36.0,15,6,7,19,9,10
LD,2,175.0,2484,1.0,1.0,18,11,10,19,12,11
LD,2,175.0,3594,14.0,60.0,19,4,12,23,9,15
LD,2,175.0,3596,18.0,45.0,19,6,7,24,9,10
LD,2,175.0,3944,35.0,84.0,21,6,6,28,10,9
LD,2,175.0,4513,15.0,50.0,22,4,12,27,9,14
LD,2,175.0,4514,4.0,4.0,24,7,12,26,9,13
LD,2,175.0,4766,3.0,3.0,24,10,5,27,11,6
LD,2,175.0,4767,23.0,72.0,22,10,4,30,13,7
LD,2,175.0,4997,4.0,4.0,26,6,13,28,8,14
LD,2,175.0,4998,3.0,4.0,26,7,12,28,9,13
LD,2,175.0,5353,6.0,8.0,28,6,5,30,8,7
LD,2,175.0,5483,6.0,12.0,28,4,8,31,5,12
LD,3,187.0,3249,3.0,4.0,19,1,13,21,2,15
LD,3,187.0,3595,9.0,16.0,20,4,7,24,6,9
LD,3,187.0,4245,2.0,2.0,23,2,14,25,3,15
LD,4,141.0,659,28.0,72.0,11,2,8,19,5,11
LD,4,141.0,660,47.0,120.0,10,6,5,18,9,10
LD,4,141.0,661,6.0,9.0,12,8,5,15,11,6
