organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,1,188.0,1259,6.0,12.0,14,6,2,16,8,5
golgi,1,188.0,1492,26.0,120.0,12,2,2,18,7,6
golgi,1,188.0,1746,28.0,42.0,13,0,3,20,3,5
golgi,1,188.0,1749,32.0,72.0,16,3,1,22,6,5
golgi,1,188.0,2515,14.0,48.0,19,0,1,23,4,4
golgi,1,188.0,3258,5.0,6.0,22,1,2,24,2,5
golgi,1,188.0,3261,126.0,300.0,17,2,9,29,7,14
golgi,1,188.0,3512,8.0,18.0,23,0,3,26,2,6
golgi,1,188.0,3964,26.0,36.0,24,0,4,30,2,7
golgi,1,188.0,4516,3.0,3.0,28,6,6,31,7,7
golgi,2,65.0,2252,52.0,144.0,15,0,3,24,4,7
golgi,2,65.0,3738,38.0,96.0,23,1,1,29,5,5
golgi,2,65.0,4163,22.0,36.0,26,3,2,30,6,5
golgi,3,194.0,13,2.0,2.0,6,5,9,7,7,10
golgi,3,194.0,46,7.0,18.0,6,5,9,9,7,12
golgi,3,194.0,88,12.0,18.0,7,3,3,10,5,6
golgi,3,194.0,165,2.0,2.0,8,4,10,10,5,11
golgi,3,194.0,795,9.0,12.0,10,1,8,16,2,10
golgi,3,194.0,796,3.0,3.0,12,8,10,15,9,11
golgi,3,194.0,1261,2.0,2.0,15,9,5,17,10,6
golgi,3,194.0,1751,1.0,1.0,17,13,13,18,14,14
golgi,3,194.0,2758,4.0,8.0,20,2,10,22,4,12
golgi,3,194.0,3262,3.0,3.0,22,5,2,25,6,3
golgi,3,194.0,3739,71.0,216.0,21,3,10,30,9,14
golgi,4,218.0,4517,9.0,20.0,27,5,8,32,7,10
golgi,5,247.0,1010,23.0,36.0,12,0,9,18,2,12
golgi,5,247.0,1499,22.0,42.0,13,10,10,20,12,13
golgi,5,247.0,1752,28.0,84.0,15,9,13,22,13,16
golgi,5,247.0,1753,7.0,16.0,15,13,13,19,15,15
golgi,5,247.0,2761,2.0,2.0,21,7,4,23,8,5
golgi,5,247.0,3013,6.0,20.0,21,10,0,26,12,2
golgi,5,247.0,3741,10.0,30.0,23,0,6,28,2,9
golgi,5,247.0,3745,2.0,2.0,24,11,12,26,12,13
golgi,5,247.0,4167,7.0,16.0,26,10,0,30,12,2
golgi,5,247.0,4168,3.0,3.0,29,11,0,32,12,1
golgi,5,247.0,4360,1.0,1.0,28,10,12,29,11,13
golgi,5,247.0,4519,36.0,63.0,25,5,2,32,8,5
golgi,5,247.0,4521,1.0,1.0,29,10,11,30,11,12
golgi,6,172.0,169,5.0,8.0,7,2,4,11,3,6
golgi,6,172.0,439,1.0,1.0,11,7,10,12,8,11
golgi,6,172.0,604,5.0,8.0,11,7,9,15,8,11
golgi,6,172.0,1011,17.0,24.0,11,2,8,15,4,11
golgi,6,172.0,1265,52.0,144.0,11,3,8,20,7,12
golgi,6,172.0,1266,18.0,56.0,12,5,11,19,7,15
golgi,6,172.0,1496,15.0,30.0,14,1,2,19,4,4
golgi,6,172.0,1497,35.0,120.0,10,5,12,20,8,16
golgi,6,172.0,2257,4.0,6.0,18,3,1,21,4,3
golgi,6,172.0,2521,13.0,32.0,19,4,8,23,8,10
golgi,6,172.0,3267,17.0,30.0,20,4,2,25,7,4
golgi,6,172.0,3743,59.0,150.0,21,2,8,31,7,11
golgi,6,172.0,3968,13.0,45.0,24,2,9,29,5,12
golgi,6,172.0,4645,2.0,2.0,29,6,7,31,7,8
golgi,7,119.0,1012,4.0,6.0,13,4,7,16,6,8
golgi,7,119.0,1263,3.0,3.0,13,1,3,16,2,4
golgi,7,119.0,1751,4.0,4.0,16,0,3,18,2,4
golgi,7,119.0,2519,7.0,9.0,18,0,3,21,1,6
golgi,7,119.0,4165,13.0,28.0,24,2,8,31,4,10
golgi,7,119.0,4520,3.0,3.0,28,4,2,31,5,3
golgi,8,287.0,170,7.0,9.0,7,9,4,10,10,7
golgi,8,287.0,272,20.0,36.0,8,9,4,12,12,7
golgi,8,287.0,799,30.0,54.0,12,9,4,18,12,7
golgi,8,287.0,1498,25.0,48.0,13,2,1,21,4,4
golgi,8,287.0,2526,11.0,36.0,17,10,3,21,13,6
golgi,8,287.0,2529,8.0,24.0,16,15,5,22,17,7
golgi,8,287.0,2765,11.0,20.0,19,10,3,24,12,5
golgi,8,287.0,3012,30.0,64.0,20,2,17,28,4,21
golgi,8,287.0,3013,19.0,42.0,19,3,19,26,6,21
golgi,8,287.0,3014,1.0,1.0,26,4,20,27,5,21
golgi,8,287.0,3271,28.0,63.0,21,11,13,28,14,16
golgi,8,287.0,3273,1.0,1.0,22,16,6,23,17,7
golgi,8,287.0,4166,38.0,64.0,24,3,7,32,5,11
golgi,8,287.0,4168,1.0,1.0,28,4,20,29,5,21
golgi,8,287.0,4170,12.0,24.0,26,12,9,32,14,11
golgi,8,287.0,4522,50.0,108.0,25,3,9,34,6,13
golgi,9,203.0,2258,11.0,16.0,16,11,4,20,13,6
golgi,9,203.0,3744,6.0,6.0,23,2,9,29,3,10
golgi,9,203.0,3746,1.0,1.0,25,15,7,26,16,8
golgi,10,104.0,1013,20.0,36.0,12,1,4,15,4,8
golgi,10,104.0,1268,4.0,6.0,14,7,9,17,9,10
golgi,10,104.0,1500,69.0,120.0,12,2,3,22,5,7
golgi,10,104.0,1504,2.0,2.0,16,8,8,18,9,9
golgi,10,104.0,1755,2.0,2.0,17,7,8,19,8,9
golgi,10,104.0,2763,1.0,1.0,21,4,2,22,5,3
golgi,10,104.0,3969,2.0,2.0,25,1,4,27,2,5
golgi,11,103.0,440,96.0,300.0,6,0,2,16,5,8
golgi,11,103.0,1014,13.0,30.0,13,2,2,15,5,7
golgi,11,103.0,1267,28.0,45.0,14,0,5,19,3,8
golgi,11,103.0,1502,56.0,180.0,14,2,1,20,8,6
golgi,11,103.0,1987,4.0,4.0,17,3,1,21,4,2
golgi,11,103.0,2522,22.0,40.0,18,0,4,23,2,8
golgi,11,103.0,2524,25.0,48.0,19,4,1,25,6,5
golgi,11,103.0,3268,7.0,12.0,22,0,2,26,1,5
golgi,11,103.0,3270,11.0,24.0,22,4,2,26,6,5
golgi,11,103.0,3970,1.0,1.0,26,2,4,27,3,5
