organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,188.0,488,6.0,12.0,6,2,9,8,4,12
mitochondria,1,188.0,491,6.0,30.0,6,7,1,8,10,6
mitochondria,1,188.0,492,2.0,8.0,6,13,2,8,15,4
mitochondria,1,188.0,665,1.0,1.0,7,5,12,8,6,13
mitochondria,1,188.0,942,33.0,144.0,15,11,0,18,17,8
mitochondria,1,188.0,1160,8.0,24.0,33,13,5,36,17,7
mitochondria,1,188.0,1230,1.0,1.0,35,8,4,36,9,5
mitochondria,1,188.0,1231,2.0,2.0,35,10,6,36,12,7
mitochondria,3,96.0,489,7.0,8.0,6,1,3,8,3,5
mitochondria,3,96.0,490,2.0,2.0,6,4,5,8,5,6
mitochondria,3,96.0,666,1.0,1.0,7,10,6,8,11,7
mitochondria,3,96.0,1158,27.0,75.0,33,1,3,36,6,8
mitochondria,4,129.0,768,2.0,4.0,8,9,3,10,10,5
mitochondria,4,129.0,864,321.0,1260.0,12,2,5,32,11,12
mitochondria,6,264.0,128,1079.0,7072.0,4,1,2,36,18,15
mitochondria,6,264.0,496,4.0,4.0,6,17,8,8,19,9
mitochondria,6,264.0,865,28.0,63.0,12,8,13,19,11,16
mitochondria,6,264.0,1013,19.0,32.0,20,8,14,28,10,16
mitochondria,7,176.0,29,74.0,294.0,3,6,5,10,12,12
mitochondria,7,176.0,130,288.0,3960.0,12,1,3,36,16,14
mitochondria,7,176.0,769,1.0,1.0,8,11,13,9,12,14
mitochondria,7,176.0,913,13.0,28.0,14,3,4,21,5,6
mitochondria,7,176.0,1048,1.0,1.0,23,11,3,24,12,4
mitochondria,7,176.0,1161,57.0,189.0,33,8,2,36,15,11
mitochondria,8,142.0,4,527.0,3146.0,2,1,3,28,12,14
mitochondria,8,142.0,1159,43.0,330.0,33,0,1,36,11,11
mitochondria,9,305.0,493,375.0,3000.0,6,4,1,36,14,11
mitochondria,9,305.0,495,61.0,165.0,6,9,9,17,12,14
mitochondria,9,305.0,770,137.0,380.0,8,9,17,27,14,21
mitochondria,9,305.0,812,2.0,2.0,9,5,12,11,6,13
mitochondria,9,305.0,813,5.0,9.0,9,6,15,10,9,18
mitochondria,9,305.0,866,93.0,224.0,12,4,14,26,8,18
mitochondria,9,305.0,1232,2.0,2.0,35,4,10,36,5,12
mitochondria,11,302.0,5,1185.0,10982.0,2,1,0,36,20,17
mitochondria,11,302.0,31,1.0,1.0,3,11,14,4,12,15
mitochondria,11,302.0,131,5.0,16.0,4,8,4,6,12,6
mitochondria,11,302.0,275,3.0,4.0,5,13,2,6,15,4
mitochondria,11,302.0,497,2.0,2.0,6,6,6,8,7,7
mitochondria,11,302.0,668,1.0,1.0,7,7,0,8,8,1
mitochondria,12,152.0,30,528.0,2592.0,3,1,4,27,13,13
mitochondria,12,152.0,667,2.0,2.0,7,4,1,8,6,2
mitochondria,12,152.0,1162,32.0,168.0,33,4,3,36,12,10
mitochondria,13,244.0,129,76.0,630.0,4,2,5,14,9,14
mitochondria,13,244.0,132,433.0,2304.0,4,10,2,36,18,11
mitochondria,13,244.0,274,30.0,140.0,5,7,12,10,14,16
mitochondria,13,244.0,494,5.0,12.0,6,2,3,8,5,5
mitochondria,13,244.0,498,4.0,8.0,6,8,0,8,10,2
mitochondria,13,244.0,914,252.0,1134.0,14,0,4,35,6,13
mitochondria,13,244.0,1024,80.0,360.0,21,12,7,36,15,15
mitochondria,13,244.0,1078,27.0,108.0,27,5,14,36,9,17
mitochondria,14,105.0,130,342.0,1680.0,4,0,1,28,10,8
mitochondria,14,105.0,669,1.0,1.0,7,2,5,8,3,6
mitochondria,14,105.0,1194,19.0,160.0,34,1,2,36,11,10
mitochondria,16,135.0,133,568.0,2880.0,4,3,1,36,12,11
mitochondria,16,135.0,1014,45.0,144.0,20,1,8,32,5,11
mitochondria,18,202.0,32,577.0,2970.0,3,2,3,36,12,12
mitochondria,18,202.0,670,7.0,27.0,7,5,15,10,8,18
mitochondria,18,202.0,771,1.0,1.0,8,11,14,9,12,15
mitochondria,19,73.0,30,258.0,1127.0,13,1,3,36,8,10
mitochondria,19,73.0,276,20.0,30.0,5,8,1,15,9,4
mitochondria,19,73.0,500,1.0,1.0,6,5,8,7,6,9
mitochondria,21,197.0,33,952.0,5568.0,3,4,1,32,16,17
mitochondria,21,197.0,276,16.0,60.0,5,1,4,9,4,9
mitochondria,21,197.0,279,1.0,1.0,5,7,9,6,8,10
mitochondria,21,197.0,501,12.0,30.0,6,5,0,8,10,3
mitochondria,21,197.0,503,2.0,2.0,6,16,7,7,17,9
mitochondria,21,197.0,671,1.0,1.0,7,8,4,8,9,5
mitochondria,21,197.0,1072,71.0,560.0,26,7,5,36,14,13
mitochondria,22,325.0,37,1034.0,10659.0,3,1,2,36,18,21
mitochondria,22,325.0,134,3.0,4.0,4,6,7,6,8,8
mitochondria,22,325.0,277,1.0,1.0,5,4,17,6,5,18
mitochondria,22,325.0,278,2.0,4.0,5,5,4,7,6,6
