organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,1,251.0,129,82.0,200.0,8,0,5,18,4,10
peroxisome,1,251.0,1211,53.0,156.0,20,0,6,33,2,12
peroxisome,1,251.0,1468,1.0,1.0,31,1,11,32,2,12
peroxisome,1,251.0,1594,3.0,4.0,35,4,7,37,6,8
peroxisome,2,238.0,827,14.0,16.0,18,0,9,26,1,11
peroxisome,2,238.0,829,16.0,36.0,16,3,16,22,6,18
peroxisome,2,238.0,913,27.0,80.0,21,2,16,31,6,18
peroxisome,3,79.0,830,40.0,72.0,19,4,3,25,7,7
peroxisome,3,79.0,1006,8.0,16.0,23,6,3,25,8,7
peroxisome,4,101.0,386,5.0,5.0,15,4,0,20,5,1
peroxisome,4,101.0,725,5.0,8.0,20,6,7,22,8,9
peroxisome,5,275.0,472,4.0,8.0,16,7,6,18,9,8
peroxisome,5,275.0,542,20.0,36.0,16,3,10,20,6,13
peroxisome,5,275.0,727,14.0,36.0,18,3,11,22,6,14
peroxisome,5,275.0,730,40.0,81.0,16,5,4,25,8,7
peroxisome,5,275.0,731,24.0,72.0,16,8,4,22,11,8
peroxisome,5,275.0,831,4.0,6.0,21,5,11,22,7,14
peroxisome,5,275.0,918,12.0,54.0,21,9,4,27,12,7
peroxisome,5,275.0,1386,105.0,260.0,23,5,5,36,10,9
peroxisome,6,179.0,470,53.0,96.0,14,5,10,20,9,14
peroxisome,6,179.0,1385,3.0,3.0,28,4,6,31,5,7
peroxisome,7,207.0,636,26.0,36.0,17,0,5,23,2,8
peroxisome,7,207.0,915,5.0,6.0,20,0,9,26,1,10
peroxisome,7,207.0,1335,27.0,81.0,23,2,13,32,5,16
peroxisome,9,226.0,471,20.0,21.0,13,0,7,20,1,10
peroxisome,10,170.0,44,2.0,2.0,10,7,10,12,8,11
peroxisome,10,170.0,194,18.0,27.0,12,8,2,15,11,5
peroxisome,10,170.0,252,3.0,4.0,13,10,4,15,12,5
peroxisome,10,170.0,1077,27.0,48.0,23,5,5,27,9,8
peroxisome,10,170.0,1142,25.0,48.0,25,4,5,29,8,8
peroxisome,14,193.0,253,21.0,36.0,12,4,2,16,7,5
peroxisome,14,193.0,832,40.0,80.0,20,5,0,25,9,4
peroxisome,14,193.0,833,25.0,45.0,18,7,14,23,10,17
peroxisome,14,193.0,921,8.0,12.0,22,7,14,24,9,17
peroxisome,14,193.0,1009,38.0,56.0,21,1,3,28,3,7
peroxisome,14,193.0,1143,23.0,48.0,24,6,0,28,9,4
peroxisome,15,158.0,82,1.0,1.0,11,12,8,12,13,9
peroxisome,15,158.0,135,3.0,4.0,11,12,7,13,13,9
peroxisome,15,158.0,1078,4.0,4.0,23,6,4,25,7,6
