organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,1,52.0,1237,1.0,1.0,16,3,5,17,4,6
golgi,1,52.0,1675,3.0,3.0,16,4,0,19,5,1
golgi,1,52.0,1676,2.0,2.0,17,4,4,19,5,5
golgi,1,52.0,1876,2.0,2.0,19,1,5,21,2,6
golgi,1,52.0,2272,1.0,1.0,21,1,4,22,2,5
golgi,1,52.0,3053,27.0,63.0,21,1,2,28,4,5
golgi,1,52.0,3245,2.0,2.0,25,7,3,27,8,4
golgi,1,52.0,3581,3.0,3.0,27,7,3,30,8,4
golgi,3,96.0,1041,3.0,4.0,15,4,3,17,5,5
golgi,3,96.0,1679,6.0,8.0,17,7,5,21,8,7
golgi,3,96.0,2070,2.0,2.0,20,6,5,22,7,6
golgi,3,96.0,2871,1.0,1.0,24,4,9,25,5,10
golgi,3,96.0,4047,1.0,1.0,31,4,5,32,5,6
golgi,4,71.0,58,28.0,60.0,7,1,4,12,4,8
golgi,4,71.0,283,26.0,48.0,11,2,4,15,5,8
golgi,4,71.0,1238,8.0,18.0,14,1,1,17,3,4
golgi,4,71.0,1449,10.0,24.0,15,2,2,19,5,4
golgi,4,71.0,1678,10.0,20.0,17,3,2,22,5,4
golgi,4,71.0,1877,4.0,8.0,18,4,6,20,6,8
golgi,4,71.0,2068,4.0,6.0,20,3,2,23,4,4
golgi,4,71.0,2472,2.0,2.0,21,3,7,23,4,8
golgi,4,71.0,2671,3.0,4.0,22,2,7,24,4,8
golgi,5,120.0,1450,3.0,3.0,16,3,3,19,4,4
golgi,7,282.0,59,9.0,12.0,8,5,5,11,7,7
golgi,7,282.0,1243,22.0,36.0,13,14,6,17,17,9
golgi,7,282.0,1682,38.0,84.0,16,14,6,23,17,10
golgi,7,282.0,2471,124.0,312.0,14,0,5,27,4,11
golgi,7,282.0,3248,10.0,16.0,25,12,11,29,14,13
golgi,7,282.0,4049,2.0,2.0,30,6,9,32,7,10
golgi,7,282.0,4050,13.0,24.0,27,11,9,33,13,11
golgi,9,287.0,284,2.0,2.0,10,1,8,12,2,9
golgi,9,287.0,826,1.0,1.0,14,8,10,15,9,11
golgi,9,287.0,1239,3.0,4.0,15,1,10,17,3,11
golgi,9,287.0,1240,3.0,4.0,15,8,10,17,10,11
golgi,9,287.0,2073,4.0,6.0,19,10,16,22,12,17
golgi,9,287.0,2674,2.0,2.0,23,4,14,24,5,16
golgi,9,287.0,2677,8.0,10.0,21,10,16,26,12,17
golgi,9,287.0,3055,5.0,5.0,24,14,12,29,15,13
golgi,9,287.0,3767,7.0,8.0,28,3,13,30,5,15
golgi,9,287.0,4048,3.0,3.0,30,3,13,33,4,14
golgi,9,287.0,4219,5.0,12.0,32,3,13,35,5,15
golgi,10,206.0,289,2.0,2.0,11,11,5,12,13,6
golgi,10,206.0,614,17.0,60.0,11,9,5,16,13,8
golgi,10,206.0,1677,15.0,36.0,15,0,5,21,2,8
golgi,10,206.0,1681,9.0,24.0,15,11,6,21,13,8
golgi,10,206.0,2069,2.0,2.0,20,0,7,22,1,8
golgi,10,206.0,2473,3.0,4.0,21,0,6,23,1,8
golgi,10,206.0,2672,12.0,30.0,22,0,5,27,2,8
golgi,10,206.0,2673,5.0,8.0,22,2,10,24,4,12
golgi,10,206.0,3246,20.0,54.0,23,3,10,29,6,13
golgi,10,206.0,3582,10.0,36.0,25,2,10,31,5,12
golgi,10,206.0,3766,3.0,4.0,29,3,11,31,5,12
golgi,10,206.0,3768,2.0,2.0,29,4,10,31,5,11
golgi,10,206.0,3911,3.0,4.0,30,3,11,32,5,12
golgi,10,206.0,3912,9.0,16.0,28,9,8,32,11,10
