organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,188.0,598,19.0,60.0,15,13,3,18,17,8
mitochondria,3,96.0,985,23.0,84.0,34,0,3,37,7,7
mitochondria,4,129.0,550,277.0,768.0,14,3,6,30,11,12
mitochondria,6,264.0,175,668.0,6656.0,5,2,2,37,18,15
mitochondria,6,264.0,551,9.0,12.0,14,8,14,18,11,15
mitochondria,6,264.0,819,1.0,1.0,25,2,12,26,3,13
mitochondria,6,264.0,852,36.0,150.0,27,2,7,37,5,12
mitochondria,6,264.0,906,1.0,1.0,31,7,4,32,8,5
mitochondria,7,176.0,176,24.0,36.0,5,7,7,9,10,10
mitochondria,7,176.0,497,140.0,2142.0,14,2,5,31,16,14
mitochondria,7,176.0,689,1.0,1.0,19,14,6,20,15,7
mitochondria,7,176.0,986,44.0,144.0,34,8,2,37,14,10
mitochondria,8,142.0,5,420.0,1980.0,3,1,4,25,11,13
mitochondria,8,142.0,1113,2.0,2.0,36,1,6,37,3,7
mitochondria,8,142.0,1114,14.0,24.0,36,4,4,37,10,8
mitochondria,8,142.0,1115,2.0,2.0,36,4,8,37,6,9
mitochondria,9,305.0,376,215.0,2000.0,7,4,1,32,14,9
mitochondria,9,305.0,378,31.0,72.0,7,9,10,16,11,14
mitochondria,9,305.0,426,102.0,225.0,9,9,17,24,14,20
mitochondria,9,305.0,520,54.0,132.0,13,4,15,24,8,18
mitochondria,9,305.0,1056,10.0,16.0,35,11,6,37,13,10
mitochondria,11,302.0,6,260.0,2717.0,3,3,2,22,16,13
mitochondria,11,302.0,179,158.0,1536.0,5,4,11,37,12,17
mitochondria,11,302.0,522,184.0,720.0,13,14,6,37,19,12
mitochondria,11,302.0,622,3.0,3.0,16,2,12,19,3,13
mitochondria,11,302.0,798,3.0,4.0,24,7,3,26,8,5
mitochondria,11,302.0,869,42.0,180.0,28,4,4,37,8,9
mitochondria,11,302.0,892,13.0,24.0,30,4,11,36,6,13
mitochondria,11,302.0,1117,1.0,1.0,36,5,14,37,6,15
mitochondria,12,152.0,49,391.0,1694.0,4,2,6,26,13,13
mitochondria,12,152.0,988,57.0,297.0,34,4,2,37,13,13
mitochondria,13,244.0,177,25.0,126.0,5,4,7,12,7,13
mitochondria,13,244.0,180,16.0,40.0,5,7,13,9,12,15
mitochondria,13,244.0,181,284.0,1116.0,5,10,2,36,16,8
mitochondria,13,244.0,182,1.0,1.0,5,13,9,6,14,10
mitochondria,13,244.0,649,131.0,630.0,17,1,4,31,6,13
mitochondria,13,244.0,800,29.0,63.0,24,12,12,31,15,15
mitochondria,13,244.0,987,5.0,24.0,34,4,14,37,8,16
mitochondria,13,244.0,989,1.0,1.0,34,13,10,35,14,11
