organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,188.0,530,19.0,60.0,15,13,3,18,17,8
mitochondria,4,129.0,482,277.0,768.0,14,3,6,30,11,12
mitochondria,6,264.0,5,523.0,5200.0,8,2,2,33,18,15
mitochondria,6,264.0,483,9.0,12.0,14,8,14,18,11,15
mitochondria,6,264.0,756,1.0,1.0,25,2,12,26,3,13
mitochondria,6,264.0,790,21.0,54.0,27,2,9,33,5,12
mitochondria,6,264.0,850,1.0,1.0,31,7,4,32,8,5
mitochondria,7,176.0,9,3.0,4.0,8,8,7,9,10,9
mitochondria,7,176.0,429,140.0,2142.0,14,2,5,31,16,14
mitochondria,7,176.0,623,1.0,1.0,19,14,6,20,15,7
mitochondria,8,142.0,6,339.0,1530.0,8,1,4,25,11,13
mitochondria,9,305.0,11,211.0,1920.0,8,4,1,32,14,9
mitochondria,9,305.0,16,30.0,64.0,8,9,10,16,11,14
mitochondria,9,305.0,358,102.0,225.0,9,9,17,24,14,20
mitochondria,9,305.0,452,54.0,132.0,13,4,15,24,8,18
mitochondria,11,302.0,15,130.0,900.0,8,4,11,33,10,17
mitochondria,11,302.0,23,38.0,100.0,8,11,9,13,16,13
mitochondria,11,302.0,24,186.0,1092.0,8,3,2,22,16,8
mitochondria,11,302.0,454,165.0,600.0,13,14,6,33,19,12
mitochondria,11,302.0,555,3.0,3.0,16,2,12,19,3,13
mitochondria,11,302.0,735,3.0,4.0,24,7,3,26,8,5
mitochondria,11,302.0,808,21.0,75.0,28,5,4,33,8,9
mitochondria,11,302.0,835,7.0,12.0,30,4,11,33,6,13
mitochondria,12,152.0,14,318.0,1386.0,8,2,6,26,13,13
mitochondria,13,244.0,17,10.0,24.0,8,4,9,12,7,11
mitochondria,13,244.0,18,3.0,3.0,8,8,14,9,11,15
mitochondria,13,244.0,21,240.0,900.0,8,10,2,33,16,8
mitochondria,13,244.0,582,131.0,630.0,17,1,4,31,6,13
mitochondria,13,244.0,737,29.0,63.0,24,12,12,31,15,15
mitochondria,14,105.0,429,195.0,882.0,12,0,1,26,9,8
mitochondria,16,135.0,30,1.0,1.0,8,5,4,9,6,5
mitochondria,16,135.0,31,364.0,1200.0,8,4,2,33,12,8
mitochondria,16,135.0,484,1.0,1.0,14,6,9,15,7,10
mitochondria,16,135.0,667,15.0,32.0,21,2,9,29,4,11
mitochondria,18,202.0,28,426.0,1500.0,8,2,4,33,12,10
mitochondria,19,73.0,32,1.0,1.0,8,8,2,9,9,3
mitochondria,19,73.0,401,2.0,2.0,11,8,2,13,9,3
mitochondria,19,73.0,532,153.0,630.0,15,1,3,30,8,9
mitochondria,21,197.0,32,2.0,2.0,8,2,6,9,3,8
