organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,1,178.0,134,3.0,4.0,12,7,12,14,8,14
LD,1,178.0,237,4.0,8.0,12,6,12,14,8,14
LD,1,178.0,1527,40.0,90.0,17,2,7,27,5,10
LD,2,175.0,242,6.0,6.0,12,11,6,15,12,8
LD,2,175.0,662,2.0,2.0,16,6,9,18,7,10
LD,2,175.0,975,8.0,18.0,17,6,7,19,9,10
LD,2,175.0,1284,3.0,4.0,19,8,8,21,9,10
LD,2,175.0,1413,11.0,30.0,19,6,7,24,8,10
LD,2,175.0,1414,32.0,108.0,18,6,6,27,10,9
LD,2,175.0,1729,8.0,8.0,22,5,13,26,7,14
LD,2,175.0,1804,4.0,6.0,23,11,5,26,12,7
LD,4,141.0,238,10.0,20.0,11,3,8,16,5,10
LD,4,141.0,239,42.0,84.0,10,6,5,17,9,9
LD,4,141.0,240,2.0,2.0,12,8,5,14,9,6
LD,4,141.0,373,3.0,4.0,13,8,5,15,10,6
LD,4,141.0,1528,4.0,6.0,21,3,5,24,4,7
LD,5,110.0,56,9.0,18.0,10,5,5,13,7,8
LD,5,110.0,241,12.0,24.0,12,5,6,15,9,8
LD,5,110.0,374,8.0,18.0,13,7,5,16,9,8
LD,5,110.0,974,5.0,6.0,18,2,4,21,3,6
LD,6,228.0,663,3.0,4.0,15,12,12,17,13,14
LD,6,228.0,1125,1.0,1.0,19,9,9,20,10,10
LD,6,228.0,1128,16.0,54.0,15,12,11,21,15,14
LD,8,146.0,57,2.0,2.0,10,7,5,12,8,6
LD,8,146.0,58,7.0,12.0,10,7,7,12,10,9
LD,8,146.0,135,15.0,36.0,10,7,5,14,10,8
LD,8,146.0,512,23.0,60.0,12,7,6,17,10,10
LD,8,146.0,664,14.0,32.0,14,8,6,18,10,10
LD,8,146.0,801,26.0,84.0,14,8,7,21,12,10
LD,8,146.0,1126,44.0,72.0,13,5,9,22,7,13
LD,8,146.0,1127,4.0,4.0,18,7,8,22,8,9
LD,8,146.0,1129,11.0,24.0,18,7,7,22,10,9
LD,8,146.0,1285,4.0,8.0,20,9,7,22,11,9
LD,10,192.0,59,10.0,18.0,10,6,11,13,9,13
LD,10,192.0,136,7.0,12.0,11,3,7,15,6,8
LD,10,192.0,243,10.0,16.0,11,7,11,15,9,13
LD,10,192.0,244,2.0,2.0,13,11,11,15,12,12
LD,10,192.0,375,1.0,1.0,14,7,7,15,8,8
LD,10,192.0,513,23.0,48.0,14,3,13,18,7,16
LD,10,192.0,514,6.0,8.0,15,7,7,17,9,9
LD,10,192.0,665,1.0,1.0,16,13,5,17,14,6
LD,10,192.0,1130,39.0,72.0,17,5,11,25,8,14
LD,10,192.0,1286,9.0,18.0,16,7,7,22,10,8
LD,11,343.0,1529,6.0,6.0,20,9,19,23,11,20
LD,11,343.0,1730,5.0,8.0,23,9,19,27,11,20
LD,12,154.0,802,4.0,4.0,17,8,10,19,10,11
LD,12,154.0,1287,29.0,45.0,17,8,11,22,11,14
LD,12,154.0,1530,11.0,36.0,22,8,11,26,11,14
LD,12,154.0,1805,9.0,20.0,22,7,7,27,9,9
LD,12,154.0,1869,2.0,2.0,26,8,7,27,9,9
LD,13,296.0,5,7.0,16.0,9,13,8,13,15,10
LD,13,296.0,61,9.0,27.0,10,13,6,13,16,9
LD,13,296.0,245,2.0,2.0,13,9,4,14,10,6
LD,13,296.0,249,3.0,4.0,13,13,8,15,15,9
LD,13,296.0,250,9.0,24.0,12,14,6,16,16,9
LD,13,296.0,978,14.0,36.0,17,11,2,23,14,4
LD,13,296.0,1131,2.0,2.0,19,3,14,21,4,15
LD,14,291.0,60,13.0,18.0,10,11,2,12,14,5
LD,14,291.0,246,15.0,45.0,11,10,7,16,13,10
LD,14,291.0,247,30.0,36.0,12,11,2,16,14,5
LD,14,291.0,248,12.0,24.0,11,12,8,15,14,11
LD,14,291.0,376,7.0,9.0,14,9,7,17,12,8
LD,14,291.0,667,9.0,16.0,14,13,8,18,15,10
LD,14,291.0,804,5.0,6.0,17,13,8,20,15,9
LD,14,291.0,977,11.0,20.0,16,9,7,21,13,8
LD,14,291.0,1288,1.0,1.0,20,9,7,21,10,8
LD,14,291.0,1289,11.0,27.0,19,12,7,22,15,10
LD,14,291.0,1290,1.0,1.0,20,13,14,21,14,15
LD,14,291.0,1415,3.0,4.0,21,13,13,23,14,15
LD,14,291.0,1532,12.0,16.0,21,13,7,25,15,9
LD,15,287.0,4,4.0,4.0,10,6,10,12,7,12
LD,15,287.0,6,14.0,24.0,9,10,10,13,13,12
LD,15,287.0,803,6.0,8.0,16,7,15,20,9,16
LD,15,287.0,1920,18.0,24.0,23,6,16,29,8,18
LD,17,231.0,137,7.0,12.0,11,8,8,14,10,10
LD,17,231.0,669,12.0,16.0,14,11,8,18,13,10
LD,17,231.0,979,1.0,1.0,18,8,16,19,9,17
LD,18,145.0,251,2.0,2.0,13,8,11,15,9,12
LD,18,145.0,668,21.0,60.0,13,8,8,18,11,12
LD,18,145.0,980,31.0,84.0,16,6,2,23,9,6
LD,18,145.0,1806,5.0,6.0,24,9,8,27,10,10
LD,19,78.0,666,34.0,96.0,14,2,4,20,6,8
LD,19,78.0,1132,6.0,12.0,18,4,4,21,6,6
LD,19,78.0,1531,10.0,24.0,20,4,3,24,7,5
LD,20,141.0,670,38.0,84.0,13,2,12,20,6,15
LD,20,141.0,981,3.0,3.0,17,6,7,20,7,8
LD,20,141.0,1291,69.0,189.0,16,1,6,25,4,13
LD,21,202.0,7,2.0,2.0,10,6,10,11,8,11
LD,21,202.0,138,26.0,36.0,10,4,10,14,7,13
LD,21,202.0,253,6.0,12.0,12,10,3,15,12,5
LD,21,202.0,377,14.0,36.0,13,4,9,17,7,12
LD,21,202.0,515,6.0,9.0,14,4,9,17,5,12
LD,21,202.0,516,16.0,45.0,13,10,3,18,13,6
LD,21,202.0,671,2.0,2.0,16,6,9,17,8,10
LD,21,202.0,1133,2.0,2.0,19,4,8,20,6,9
LD,21,202.0,1870,4.0,4.0,25,10,7,29,11,8
LD,22,283.0,62,95.0,270.0,8,3,8,17,8,14
LD,22,283.0,63,1.0,1.0,11,9,5,12,10,6
LD,22,283.0,139,33.0,60.0,12,3,11,16,8,14
LD,22,283.0,140,9.0,27.0,11,9,3,14,12,6
LD,22,283.0,252,1.0,1.0,13,7,15,14,8,16
LD,22,283.0,672,25.0,42.0,14,5,16,21,7,19
LD,22,283.0,673,38.0,112.0,12,5,3,19,9,7
LD,22,283.0,805,36.0,84.0,12,10,2,19,14,5
LD,22,283.0,982,23.0,40.0,17,9,3,22,13,5
LD,22,283.0,1416,13.0,18.0,21,10,3,24,13,5
LD,23,111.0,64,3.0,4.0,11,4,5,12,6,7
LD,24,89.0,517,22.0,42.0,12,7,6,19,9,9
LD,24,89.0,518,24.0,54.0,13,7,4,19,10,7
LD,24,89.0,983,3.0,4.0,18,7,6,20,8,8
LD,25,189.0,67,43.0,84.0,9,13,3,16,16,7
LD,25,189.0,519,5.0,8.0,14,9,5,18,11,6
LD,25,189.0,808,6.0,8.0,16,7,5,18,9,7
LD,25,189.0,810,9.0,12.0,17,7,3,19,9,6
LD,25,189.0,1533,10.0,24.0,21,7,8,25,9,11
LD,25,189.0,1534,7.0,12.0,21,7,8,25,10,9
LD,25,189.0,1731,15.0,36.0,21,7,3,27,10,5
LD,26,353.0,378,2.0,2.0,13,6,18,15,7,19
LD,26,353.0,807,1.0,1.0,17,6,18,18,7,19
LD,26,353.0,811,8.0,10.0,16,10,15,21,11,17
LD,26,353.0,987,8.0,24.0,17,16,11,21,18,14
LD,26,353.0,1421,2.0,2.0,20,16,11,22,17,12
LD,26,353.0,1643,19.0,30.0,20,10,15,25,12,18
LD,26,353.0,1807,3.0,4.0,24,5,17,26,6,19
LD,26,353.0,1809,16.0,24.0,24,10,16,28,13,18
LD,26,353.0,1871,16.0,20.0,24,15,6,29,17,8
LD,27,213.0,8,1.0,1.0,10,8,8,11,9,9
LD,27,213.0,675,5.0,6.0,15,10,14,18,12,15
LD,27,213.0,985,14.0,20.0,17,7,14,22,9,16
