organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,188.0,444,26.0,70.0,6,1,9,8,8,14
mitochondria,1,188.0,446,18.0,40.0,6,7,1,8,11,6
mitochondria,1,188.0,447,7.0,8.0,6,13,2,8,15,4
mitochondria,1,188.0,759,29.0,105.0,15,12,1,18,17,8
mitochondria,1,188.0,988,23.0,140.0,33,9,3,37,16,8
mitochondria,1,188.0,1078,5.0,8.0,35,5,3,37,7,5
mitochondria,1,188.0,1138,1.0,1.0,36,1,9,37,2,10
mitochondria,2,959.0,96,955.0,3510.0,4,2,26,31,15,36
mitochondria,2,959.0,448,99.0,175.0,6,18,19,11,23,26
mitochondria,2,959.0,450,87.0,175.0,6,19,35,11,24,42
mitochondria,2,959.0,563,758.0,3600.0,7,0,10,37,10,22
mitochondria,2,959.0,566,609.0,2860.0,7,12,1,33,23,11
mitochondria,2,959.0,567,38.0,168.0,7,29,26,13,33,33
mitochondria,2,959.0,616,7.0,12.0,8,10,27,11,12,29
mitochondria,2,959.0,617,17.0,24.0,8,12,20,10,15,24
mitochondria,2,959.0,620,8.0,18.0,8,23,18,10,26,21
mitochondria,2,959.0,621,3.0,3.0,8,24,32,9,25,35
mitochondria,2,959.0,683,507.0,1800.0,12,20,30,37,26,42
mitochondria,2,959.0,684,514.0,3025.0,12,15,18,37,26,29
mitochondria,2,959.0,731,256.0,1540.0,15,25,25,37,32,35
mitochondria,2,959.0,795,17.0,20.0,17,11,24,22,13,26
mitochondria,2,959.0,847,235.0,882.0,20,18,3,34,25,12
mitochondria,2,959.0,901,108.0,192.0,25,12,28,37,16,32
mitochondria,2,959.0,956,6.0,12.0,32,13,13,34,15,16
mitochondria,2,959.0,1080,19.0,50.0,35,19,4,37,24,9
mitochondria,2,959.0,1139,3.0,4.0,36,5,29,37,7,31
mitochondria,2,959.0,1140,4.0,4.0,36,7,10,37,9,12
mitochondria,2,959.0,1142,3.0,4.0,36,16,4,37,18,6
mitochondria,2,959.0,1143,2.0,2.0,36,18,10,37,20,11
mitochondria,3,96.0,445,20.0,40.0,6,1,3,8,6,7
mitochondria,3,96.0,987,63.0,168.0,33,0,2,37,7,8
mitochondria,4,129.0,564,6.0,8.0,7,7,10,9,9,12
mitochondria,4,129.0,565,9.0,18.0,7,8,3,10,11,5
mitochondria,4,129.0,729,347.0,816.0,14,3,6,31,11,12
mitochondria,4,129.0,934,2.0,2.0,29,4,1,31,5,2
mitochondria,5,629.0,7,34.0,75.0,3,21,8,18,26,9
mitochondria,5,629.0,97,668.0,3630.0,4,5,0,37,16,10
mitochondria,5,629.0,103,395.0,1848.0,4,14,18,28,25,25
mitochondria,5,629.0,107,366.0,1134.0,4,25,13,31,31,20
mitochondria,5,629.0,263,667.0,3200.0,5,0,15,37,10,25
mitochondria,5,629.0,452,3.0,4.0,6,20,16,7,22,18
