organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,1,52.0,681,1.0,1.0,1,5,5,2,6,6
golgi,1,52.0,995,2.0,2.0,2,3,0,4,4,1
golgi,1,52.0,2081,1.0,1.0,4,0,5,5,1,6
golgi,1,52.0,2772,2.0,2.0,5,6,4,6,7,6
golgi,1,52.0,4319,6.0,18.0,5,1,1,8,4,3
golgi,1,52.0,4324,3.0,3.0,4,6,6,7,7,7
golgi,1,52.0,6866,11.0,36.0,6,2,2,9,5,6
golgi,1,52.0,9179,18.0,48.0,7,0,3,11,3,7
golgi,1,52.0,10524,9.0,18.0,8,2,0,11,4,3
golgi,1,52.0,10525,26.0,75.0,7,3,0,12,6,5
golgi,1,52.0,12264,13.0,24.0,9,0,2,13,2,5
golgi,1,52.0,12265,11.0,27.0,10,1,0,13,4,3
golgi,1,52.0,12266,1.0,1.0,11,6,7,12,7,8
golgi,1,52.0,13061,19.0,60.0,10,0,2,14,5,5
golgi,1,52.0,15234,2.0,2.0,15,0,2,16,1,4
golgi,1,52.0,15920,39.0,96.0,11,1,4,17,5,8
golgi,1,52.0,17273,34.0,60.0,12,3,0,22,6,2
golgi,1,52.0,17274,41.0,180.0,15,1,2,21,6,8
golgi,1,52.0,17890,25.0,80.0,17,0,3,21,5,7
golgi,1,52.0,19107,8.0,12.0,20,0,3,22,2,6
golgi,1,52.0,19752,21.0,48.0,20,5,3,24,8,7
golgi,1,52.0,21702,138.0,390.0,20,0,1,33,6,6
golgi,1,52.0,22350,17.0,24.0,23,6,2,27,8,5
golgi,1,52.0,23604,32.0,84.0,27,5,2,34,8,6
golgi,1,52.0,29860,7.0,8.0,35,0,2,37,2,4
golgi,2,143.0,1,1.0,1.0,0,3,1,1,4,2
golgi,2,143.0,994,1.0,1.0,2,2,2,3,3,3
golgi,2,143.0,997,1.0,1.0,2,7,10,3,8,11
golgi,2,143.0,1541,1.0,1.0,3,0,5,4,1,6
golgi,2,143.0,1542,1.0,1.0,3,2,12,4,3,13
golgi,2,143.0,2085,1.0,1.0,4,7,6,5,8,7
golgi,2,143.0,2770,7.0,12.0,4,4,1,7,6,3
golgi,2,143.0,2771,5.0,6.0,4,5,0,7,6,2
golgi,2,143.0,2774,14.0,48.0,4,6,10,7,10,14
golgi,2,143.0,2779,3.0,4.0,4,9,3,6,11,4
golgi,2,143.0,4317,5.0,6.0,5,0,7,8,2,8
golgi,2,143.0,4318,3.0,4.0,5,1,10,7,2,12
golgi,2,143.0,4320,13.0,36.0,5,3,12,9,6,15
golgi,2,143.0,4329,24.0,60.0,4,6,0,9,10,3
golgi,2,143.0,4339,11.0,18.0,5,9,2,8,12,4
golgi,2,143.0,6865,1.0,1.0,7,0,7,8,1,8
golgi,2,143.0,6874,27.0,96.0,5,6,9,9,12,13
golgi,2,143.0,6877,18.0,36.0,5,9,5,9,12,8
golgi,2,143.0,9180,17.0,36.0,6,1,2,10,4,5
golgi,2,143.0,9181,16.0,36.0,6,1,7,9,4,11
golgi,2,143.0,9182,14.0,48.0,5,1,11,9,5,14
golgi,2,143.0,9184,6.0,18.0,7,3,6,9,6,9
golgi,2,143.0,9185,8.0,12.0,7,3,4,9,6,6
golgi,2,143.0,9191,2.0,2.0,8,7,12,9,9,13
golgi,2,143.0,11479,1.0,1.0,10,0,6,11,1,7
golgi,2,143.0,11483,1.0,1.0,10,7,3,11,8,4
golgi,2,143.0,11490,1.0,1.0,10,11,2,11,12,3
golgi,2,143.0,12267,1.0,1.0,11,6,14,12,7,15
golgi,2,143.0,12270,1.0,1.0,11,7,2,12,8,3
golgi,2,143.0,13068,1.0,1.0,12,8,6,13,9,7
golgi,2,143.0,14522,2.0,2.0,14,4,6,15,5,8
golgi,2,143.0,15236,1.0,1.0,15,8,2,16,9,3
golgi,2,143.0,19753,1.0,1.0,22,7,4,23,8,5
golgi,2,143.0,22952,3.0,4.0,26,1,10,28,3,11
golgi,2,143.0,25002,1.0,1.0,30,3,13,31,4,14
golgi,2,143.0,25696,2.0,2.0,31,1,11,32,3,12
golgi,2,143.0,25697,1.0,1.0,31,4,8,32,5,9
golgi,2,143.0,26388,1.0,1.0,32,2,3,33,3,4
golgi,2,143.0,27194,2.0,2.0,33,3,2,34,4,4
golgi,2,143.0,27196,2.0,2.0,33,8,2,34,10,3
golgi,2,143.0,28073,2.0,2.0,33,6,7,35,7,8
golgi,2,143.0,28080,1.0,1.0,34,9,4,35,10,5
golgi,2,143.0,28965,1.0,1.0,35,2,2,36,3,3
golgi,2,143.0,28966,8.0,27.0,34,4,12,37,7,15
golgi,2,143.0,28967,3.0,3.0,35,6,2,36,7,5
golgi,2,143.0,28971,6.0,18.0,34,7,0,37,10,2
golgi,2,143.0,28975,9.0,18.0,34,9,8,37,11,11
golgi,2,143.0,29859,1.0,1.0,36,0,8,37,1,9
golgi,2,143.0,29861,1.0,1.0,36,2,3,37,3,4
golgi,2,143.0,29862,3.0,4.0,35,2,9,37,3,11
golgi,2,143.0,29863,8.0,16.0,36,1,6,37,5,10
golgi,2,143.0,29864,2.0,2.0,36,3,13,37,5,14
golgi,2,143.0,29865,2.0,2.0,36,4,5,37,5,7
golgi,2,143.0,29866,2.0,2.0,36,4,14,37,6,15
golgi,2,143.0,29869,8.0,12.0,35,5,0,37,8,2
golgi,2,143.0,29875,4.0,6.0,36,7,9,37,9,12
golgi,2,143.0,29876,2.0,2.0,36,6,13,37,8,14
golgi,2,143.0,29884,10.0,32.0,35,7,10,37,11,14
golgi,2,143.0,29896,8.0,8.0,35,10,4,37,12,6
golgi,3,96.0,680,1.0,1.0,1,2,4,2,3,5
golgi,3,96.0,682,1.0,1.0,1,4,2,2,5,3
golgi,3,96.0,1005,1.0,1.0,2,10,4,3,11,5
golgi,3,96.0,2082,6.0,8.0,3,4,9,5,6,11
golgi,3,96.0,2769,3.0,4.0,4,1,7,6,2,9
golgi,3,96.0,4321,9.0,18.0,5,3,7,7,6,10
golgi,3,96.0,4325,9.0,12.0,4,4,1,7,6,3
golgi,3,96.0,4333,15.0,48.0,5,7,0,9,10,4
golgi,3,96.0,4334,29.0,80.0,5,7,6,9,11,11
golgi,3,96.0,6868,3.0,3.0,6,5,3,9,6,4
golgi,3,96.0,6872,4.0,6.0,6,5,2,8,8,3
golgi,3,96.0,9183,1.0,1.0,8,1,8,9,2,9
golgi,3,96.0,9186,5.0,8.0,7,3,9,9,5,11
golgi,3,96.0,9200,1.0,1.0,8,9,2,9,10,3
golgi,3,96.0,10537,3.0,4.0,8,9,3,10,11,4
golgi,3,96.0,11480,23.0,72.0,6,1,2,12,4,6
golgi,3,96.0,11481,8.0,24.0,9,2,7,13,5,9
golgi,3,96.0,13062,3.0,3.0,12,2,6,13,3,9
golgi,3,96.0,13063,31.0,90.0,11,1,2,14,7,7
golgi,3,96.0,13069,1.0,1.0,12,7,7,13,8,8
golgi,3,96.0,15235,69.0,240.0,13,1,1,21,7,6
golgi,3,96.0,17277,43.0,100.0,16,5,4,21,9,9
golgi,3,96.0,18517,10.0,18.0,19,2,1,22,4,4
golgi,3,96.0,18520,19.0,48.0,20,5,4,23,9,8
golgi,3,96.0,19109,44.0,240.0,12,3,7,24,8,11
golgi,3,96.0,19744,18.0,32.0,21,2,1,25,6,3
golgi,3,96.0,19745,33.0,105.0,17,2,8,24,7,11
golgi,3,96.0,19748,13.0,48.0,21,4,4,24,8,8
golgi,3,96.0,20399,16.0,45.0,20,0,4,25,3,7
golgi,3,96.0,20401,9.0,12.0,23,4,4,25,7,6
golgi,3,96.0,21067,44.0,105.0,23,2,8,30,7,11
golgi,3,96.0,21069,23.0,60.0,23,6,4,28,9,8
golgi,3,96.0,22351,11.0,27.0,25,5,3,28,8,6
golgi,3,96.0,22953,29.0,54.0,24,0,5,30,3,8
golgi,3,96.0,22954,5.0,6.0,26,2,1,29,3,3
golgi,3,96.0,22955,6.0,18.0,26,2,1,29,4,4
golgi,3,96.0,23605,8.0,27.0,28,5,3,31,8,6
golgi,3,96.0,23606,16.0,60.0,27,4,5,30,9,9
golgi,3,96.0,25699,85.0,360.0,26,0,4,34,9,9
