organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,1,251.0,259,93.0,176.0,8,0,5,19,4,9
peroxisome,1,251.0,374,1.0,1.0,13,14,11,14,15,12
peroxisome,1,251.0,488,2.0,2.0,13,14,10,15,15,11
peroxisome,1,251.0,744,9.0,18.0,15,13,9,18,15,12
peroxisome,1,251.0,1053,17.0,24.0,17,12,9,21,15,11
peroxisome,1,251.0,1620,1.0,1.0,21,3,13,22,4,14
peroxisome,1,251.0,1805,4.0,6.0,21,3,13,24,4,15
peroxisome,1,251.0,2490,60.0,150.0,19,0,6,34,2,11
peroxisome,1,251.0,3153,3.0,4.0,30,1,11,32,3,12
peroxisome,1,251.0,3471,19.0,45.0,32,0,10,37,3,13
peroxisome,1,251.0,3573,35.0,63.0,30,4,6,37,7,9
peroxisome,2,238.0,373,6.0,8.0,12,11,11,16,12,13
peroxisome,2,238.0,1617,13.0,16.0,18,0,9,26,1,11
peroxisome,2,238.0,1621,18.0,28.0,15,4,16,22,6,18
peroxisome,2,238.0,1806,29.0,96.0,21,2,16,33,6,18
peroxisome,2,238.0,2895,12.0,36.0,27,6,5,31,9,8
peroxisome,2,238.0,3154,5.0,6.0,30,6,5,32,9,6
peroxisome,2,238.0,3274,14.0,27.0,31,6,5,34,9,8
peroxisome,2,238.0,3473,1.0,1.0,34,5,10,35,6,11
peroxisome,3,79.0,1622,51.0,108.0,18,4,3,27,7,7
peroxisome,3,79.0,2007,15.0,20.0,23,6,3,28,7,7
peroxisome,4,101.0,601,1.0,1.0,14,4,0,15,5,1
peroxisome,4,101.0,741,7.0,7.0,15,4,0,22,5,1
peroxisome,4,101.0,1231,9.0,18.0,17,6,5,20,9,7
peroxisome,4,101.0,1415,44.0,108.0,18,6,6,27,9,10
peroxisome,5,275.0,487,7.0,12.0,13,3,8,15,5,11
peroxisome,5,275.0,907,11.0,18.0,15,7,5,18,9,8
peroxisome,5,275.0,1054,36.0,72.0,14,3,9,20,6,13
peroxisome,5,275.0,1417,18.0,60.0,18,3,11,23,7,14
peroxisome,5,275.0,1420,44.0,81.0,16,5,4,25,8,7
peroxisome,5,275.0,1422,41.0,144.0,15,7,4,24,11,8
peroxisome,5,275.0,1623,6.0,12.0,21,5,11,23,7,14
peroxisome,5,275.0,1812,20.0,54.0,21,9,4,27,12,7
peroxisome,5,275.0,2498,2.0,4.0,26,15,1,27,17,3
peroxisome,5,275.0,2636,1.0,1.0,27,15,1,28,16,2
peroxisome,5,275.0,2637,5.0,12.0,26,18,4,29,20,6
peroxisome,5,275.0,2901,113.0,300.0,22,6,5,37,11,9
peroxisome,5,275.0,3575,1.0,1.0,36,8,10,37,9,11
peroxisome,6,179.0,486,3.0,4.0,14,0,11,16,1,13
peroxisome,6,179.0,897,9.0,12.0,17,0,12,20,2,14
peroxisome,6,179.0,903,62.0,96.0,13,5,11,21,9,14
peroxisome,6,179.0,1815,6.0,18.0,21,13,11,24,16,13
peroxisome,6,179.0,2899,7.0,18.0,28,4,5,31,6,8
peroxisome,7,207.0,1233,38.0,60.0,14,0,5,24,2,8
peroxisome,7,207.0,1809,5.0,5.0,19,0,9,24,1,10
peroxisome,7,207.0,2776,15.0,52.0,21,2,13,34,4,15
peroxisome,8,133.0,2331,3.0,4.0,24,3,1,26,4,3
peroxisome,8,133.0,2900,10.0,36.0,27,1,2,31,4,5
peroxisome,8,133.0,3030,1.0,1.0,30,1,3,31,2,4
peroxisome,8,133.0,3031,2.0,4.0,30,1,7,31,3,9
peroxisome,8,133.0,3157,4.0,4.0,30,6,7,32,8,8
peroxisome,8,133.0,3275,3.0,3.0,30,7,6,33,8,7
peroxisome,8,133.0,3476,19.0,45.0,32,5,6,37,8,9
peroxisome,8,133.0,3576,3.0,3.0,36,5,6,37,8,7
peroxisome,9,226.0,167,24.0,54.0,8,7,7,14,10,10
peroxisome,9,226.0,906,36.0,88.0,10,0,6,21,2,10
peroxisome,9,226.0,1059,34.0,63.0,14,12,10,21,15,13
peroxisome,9,226.0,1427,13.0,36.0,20,12,9,24,15,12
peroxisome,9,226.0,2335,10.0,24.0,23,12,9,27,15,11
peroxisome,9,226.0,2902,2.0,2.0,29,6,11,30,7,13
peroxisome,9,226.0,3035,4.0,6.0,29,6,12,32,7,14
peroxisome,9,226.0,3536,1.0,1.0,35,5,12,36,6,13
peroxisome,10,170.0,104,25.0,45.0,9,6,9,14,9,12
peroxisome,10,170.0,375,38.0,90.0,10,7,2,16,12,5
peroxisome,10,170.0,490,9.0,12.0,13,10,4,16,12,6
peroxisome,10,170.0,2177,29.0,60.0,22,5,5,27,9,8
peroxisome,10,170.0,2178,9.0,20.0,23,10,2,28,12,4
peroxisome,10,170.0,2336,32.0,60.0,25,4,5,30,8,8
peroxisome,10,170.0,2337,3.0,3.0,25,11,2,28,12,3
peroxisome,11,182.0,3164,3.0,4.0,31,7,0,32,9,2
peroxisome,12,180.0,748,6.0,8.0,14,0,6,18,2,7
peroxisome,12,180.0,750,3.0,8.0,15,3,1,17,5,3
peroxisome,12,180.0,908,3.0,8.0,17,0,5,19,2,7
peroxisome,13,52.0,604,2.0,2.0,15,2,3,16,3,5
peroxisome,13,52.0,749,4.0,6.0,15,1,3,18,3,4
