organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,1,84.0,65535,248.0,2860.0,5,0,0,31,10,11
ER,2,99.0,65535,247.0,2500.0,0,0,1,25,10,11
ER,3,240.0,65535,569.0,9216.0,1,0,1,33,18,17
ER,4,216.0,65535,320.0,7616.0,2,0,0,30,16,17
ER,5,167.0,65535,448.0,5915.0,2,0,2,37,13,15
ER,6,50.0,65535,115.0,1056.0,2,0,0,24,8,6
ER,7,127.0,65535,348.0,4320.0,1,0,0,31,12,12
ER,8,188.0,65535,619.0,7168.0,0,0,1,32,14,17
ER,9,119.0,65535,195.0,2808.0,3,0,2,29,12,11
ER,10,193.0,65535,607.0,6975.0,2,0,1,33,15,16
ER,11,88.0,65535,241.0,2025.0,1,0,2,26,9,11
ER,12,151.0,65535,394.0,5423.0,1,0,0,30,11,17
ER,13,162.0,65535,332.0,4536.0,4,0,1,31,14,13
ER,14,82.0,65535,149.0,2080.0,4,0,1,30,8,11
ER,15,180.0,65535,458.0,5278.0,1,1,2,30,15,15
ER,16,171.0,65535,316.0,5880.0,0,0,2,30,14,16
ER,17,106.0,65535,233.0,2600.0,6,0,2,32,10,12
ER,18,70.0,65535,156.0,2106.0,7,0,0,33,9,9
ER,19,192.0,65535,512.0,7680.0,2,0,0,34,15,16
ER,20,102.0,65535,218.0,3300.0,3,0,0,28,12,11
ER,21,173.0,65535,360.0,5460.0,0,0,2,30,13,16
ER,22,169.0,65535,582.0,4992.0,3,1,2,35,13,15
ER,23,249.0,65535,751.0,7905.0,1,0,2,32,17,17
ER,24,187.0,65535,461.0,6720.0,2,0,0,34,14,15
ER,25,216.0,65535,677.0,7168.0,1,0,2,33,16,16
ER,26,161.0,65535,386.0,6336.0,2,0,1,35,12,17
ER,27,189.0,65535,491.0,5760.0,0,0,3,32,12,18
ER,28,183.0,65535,458.0,6300.0,2,0,1,32,14,16
ER,29,150.0,65535,297.0,5460.0,1,0,0,31,14,13
ER,30,58.0,65535,174.0,1386.0,3,0,1,25,9,8
ER,31,149.0,65535,385.0,4368.0,4,1,1,32,13,14
ER,32,189.0,65535,455.0,6510.0,0,1,1,31,16,15
ER,33,188.0,65535,576.0,6656.0,0,0,1,32,13,17
ER,34,124.0,65535,383.0,3696.0,1,0,2,29,12,13
ER,35,175.0,65535,591.0,6510.0,1,1,0,32,15,15
ER,36,136.0,65535,390.0,5544.0,1,0,0,34,14,12
ER,37,147.0,65535,449.0,5070.0,2,1,0,32,14,13
ER,38,161.0,65535,478.0,5684.0,3,0,0,32,14,14
ER,39,215.0,65535,754.0,6930.0,1,1,3,34,16,17
ER,40,187.0,65535,501.0,6944.0,3,0,0,34,16,14
ER,41,186.0,65535,563.0,6240.0,2,1,2,34,14,17
ER,42,168.0,65535,265.0,5239.0,1,1,2,32,14,15
ER,43,68.0,65535,92.0,1120.0,2,0,0,22,7,8
ER,44,86.0,65535,241.0,2970.0,1,0,1,28,11,11
ER,45,135.0,65535,385.0,4356.0,1,0,1,34,12,12
ER,46,171.0,65535,547.0,6188.0,0,1,1,34,14,15
ER,47,56.0,65535,187.0,1408.0,0,0,1,22,8,9
ER,48,250.0,65535,801.0,8670.0,0,1,2,34,18,17
ER,49,125.0,65535,452.0,5239.0,2,0,1,33,13,14
ER,50,132.0,65535,386.0,4464.0,2,1,2,33,13,14
ER,51,156.0,65535,349.0,7920.0,1,0,1,34,15,17
ER,52,205.0,65535,559.0,7905.0,1,0,1,32,17,16
ER,53,150.0,65535,386.0,4176.0,1,1,3,30,13,15
ER,54,182.0,65535,550.0,5850.0,2,0,1,32,15,14
ER,55,128.0,65535,304.0,3696.0,1,0,1,29,12,12
ER,56,195.0,65535,493.0,6720.0,1,0,1,31,14,17
ER,57,187.0,65535,554.0,6336.0,0,1,2,33,17,14
ER,58,226.0,65535,720.0,7168.0,0,1,2,32,17,16
ER,59,66.0,65535,209.0,1408.0,3,1,1,25,9,9
ER,60,144.0,65535,420.0,4290.0,2,3,0,32,14,13
ER,61,122.0,65535,374.0,4524.0,1,0,1,30,13,13
ER,62,111.0,65535,334.0,3509.0,4,0,2,33,11,13
ER,63,146.0,65535,460.0,4060.0,2,2,0,31,12,14
ER,64,233.0,65535,653.0,7680.0,0,1,1,32,16,17
ER,65,81.0,65535,211.0,2080.0,7,0,1,33,10,9
ER,66,159.0,65535,584.0,6336.0,0,1,1,33,13,17
ER,67,211.0,65535,759.0,6720.0,0,1,2,32,15,17
ER,68,194.0,65535,681.0,8246.0,1,0,2,32,14,21
ER,69,219.0,65535,678.0,8463.0,0,0,1,31,21,14
ER,70,180.0,65535,503.0,6264.0,3,0,0,32,12,18
ER,71,193.0,65535,407.0,5760.0,1,1,2,31,13,18
ER,72,220.0,65535,674.0,8415.0,0,0,1,33,17,16
ER,73,158.0,65535,467.0,5642.0,1,0,1,32,13,15
ER,74,121.0,65535,339.0,3960.0,2,0,1,32,12,12
ER,75,157.0,65535,484.0,5642.0,2,0,1,33,13,15
ER,76,57.0,65535,64.0,840.0,3,2,1,23,8,8
ER,77,289.0,65535,592.0,11552.0,2,0,0,34,19,19
ER,78,173.0,65535,513.0,7200.0,2,0,1,32,16,16
ER,79,180.0,65535,705.0,6435.0,0,0,1,33,15,14
ER,80,215.0,65535,579.0,8190.0,2,0,4,32,13,25
ER,81,118.0,65535,425.0,4224.0,3,0,1,35,12,12
ER,82,150.0,65535,403.0,6656.0,2,0,0,34,13,16
ER,83,139.0,65535,396.0,4774.0,3,0,1,34,14,12
ER,84,134.0,65535,592.0,4488.0,1,1,2,35,13,13
ER,85,172.0,65535,566.0,7350.0,1,0,1,36,15,15
ER,86,192.0,65535,510.0,6851.0,2,0,2,33,13,19
ER,87,198.0,65535,455.0,7680.0,0,0,1,32,16,16
ER,88,153.0,65535,355.0,5460.0,1,1,0,31,15,13
ER,89,159.0,65535,438.0,5239.0,2,0,1,33,13,14
ER,90,288.0,65535,1016.0,9424.0,1,1,2,32,17,21
ER,91,131.0,65535,452.0,4004.0,3,1,1,31,14,12
ER,92,76.0,65535,200.0,2250.0,4,0,1,29,10,10
ER,93,192.0,65535,518.0,7254.0,2,0,0,33,13,18
ER,94,256.0,65535,794.0,11220.0,1,1,1,35,23,16
ER,95,207.0,65535,750.0,8778.0,0,1,0,33,15,19
ER,96,98.0,65535,316.0,2700.0,1,1,1,28,11,11
ER,97,178.0,65535,563.0,6300.0,1,0,2,31,14,17
ER,98,128.0,65535,353.0,5239.0,1,0,1,32,13,14
ER,99,117.0,65535,274.0,4176.0,2,0,1,31,12,13
ER,100,190.0,65535,594.0,6944.0,2,2,1,33,16,17
ER,101,183.0,65535,567.0,7560.0,1,0,0,31,14,18
ER,102,281.0,65535,692.0,9216.0,1,1,2,33,19,18
ER,103,207.0,65535,570.0,6076.0,0,2,2,31,16,16
ER,104,160.0,65535,441.0,5239.0,1,0,2,32,13,15
ER,105,66.0,65535,247.0,1656.0,0,0,1,23,9,9
ER,106,243.0,65535,760.0,8192.0,0,2,1,32,18,17
ER,107,176.0,65535,594.0,6975.0,2,0,0,33,15,15
ER,108,120.0,65535,353.0,3828.0,1,1,0,30,13,11
