organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,1,139.0,1159,1.0,1.0,22,4,7,23,5,8
LD,1,139.0,1518,5.0,8.0,25,5,6,27,7,8
LD,1,139.0,1519,2.0,2.0,25,7,12,27,8,13
LD,2,122.0,392,2.0,2.0,16,2,7,18,3,8
LD,2,122.0,874,11.0,16.0,18,2,7,22,4,9
LD,4,159.0,615,3.0,4.0,18,8,6,20,10,7
LD,5,182.0,22,4.0,4.0,11,11,5,13,12,7
LD,5,182.0,289,1.0,1.0,15,13,4,16,14,5
LD,5,182.0,394,1.0,1.0,16,14,5,17,15,6
LD,5,182.0,616,120.0,312.0,13,8,4,26,14,8
LD,5,182.0,1422,1.0,1.0,24,6,13,25,7,14
LD,6,296.0,56,1.0,1.0,12,8,14,13,9,15
LD,6,296.0,57,2.0,2.0,12,13,8,14,14,9
LD,6,296.0,209,124.0,360.0,9,9,12,21,15,17
LD,6,296.0,288,1.0,1.0,15,7,4,16,8,5
LD,6,296.0,393,12.0,24.0,15,4,16,19,6,19
LD,6,296.0,617,44.0,126.0,15,8,3,22,14,6
LD,6,296.0,875,1.0,1.0,20,8,13,21,9,14
LD,6,296.0,876,33.0,42.0,17,10,18,24,13,20
LD,6,296.0,1024,104.0,385.0,16,11,6,27,16,13
LD,6,296.0,1025,1.0,1.0,21,13,4,22,14,5
LD,6,296.0,1027,16.0,36.0,19,15,6,25,18,8
LD,6,296.0,1289,20.0,72.0,23,12,6,29,16,9
LD,6,296.0,1423,5.0,8.0,24,11,18,26,13,20
LD,6,296.0,1520,7.0,12.0,25,12,8,27,14,11
LD,7,168.0,751,22.0,42.0,16,1,4,23,4,6
LD,8,58.0,752,8.0,20.0,17,1,4,22,3,6
LD,9,114.0,1023,2.0,2.0,21,7,5,23,8,6
LD,10,150.0,126,1.0,1.0,13,9,5,14,10,6
LD,10,150.0,877,32.0,63.0,17,6,10,24,9,13
LD,10,150.0,1028,1.0,1.0,21,12,7,22,13,8
LD,10,150.0,1424,13.0,24.0,23,6,9,27,8,12
LD,10,150.0,1521,4.0,6.0,25,6,9,27,7,12
LD,13,72.0,618,1.0,1.0,18,7,4,19,8,5
LD,13,72.0,1291,46.0,120.0,20,6,4,26,10,9
LD,13,72.0,1613,13.0,36.0,24,5,4,27,9,7
LD,14,174.0,395,1.0,1.0,16,2,10,17,3,11
LD,14,174.0,503,2.0,2.0,17,3,5,18,4,7
LD,14,174.0,753,1.0,1.0,19,3,5,20,4,6
LD,14,174.0,878,5.0,8.0,19,5,4,21,7,6
LD,15,245.0,58,7.0,18.0,11,3,5,14,5,8
LD,15,245.0,127,46.0,120.0,9,6,6,15,10,11
LD,15,245.0,130,1.0,1.0,13,13,13,14,14,14
LD,15,245.0,210,10.0,36.0,13,3,5,17,6,8
LD,15,245.0,211,10.0,18.0,12,8,6,15,10,9
LD,15,245.0,212,5.0,12.0,13,8,12,16,10,14
LD,15,245.0,290,6.0,12.0,15,3,6,17,6,8
LD,15,245.0,397,53.0,324.0,10,5,5,19,11,11
LD,15,245.0,621,46.0,96.0,16,7,6,24,11,9
LD,15,245.0,1292,7.0,10.0,21,6,15,26,7,17
LD,15,245.0,1294,1.0,1.0,23,9,7,24,10,8
LD,15,245.0,1614,1.0,1.0,26,6,15,27,7,16
LD,15,245.0,1676,6.0,12.0,26,6,14,29,8,16
LD,16,149.0,1029,22.0,36.0,20,8,7,24,11,10
LD,16,149.0,1293,3.0,4.0,23,8,9,25,10,10
LD,16,149.0,1522,10.0,32.0,24,7,7,28,11,9
LD,16,149.0,1716,1.0,1.0,28,8,4,29,9,5
LD,17,95.0,125,6.0,12.0,13,3,4,16,5,6
LD,17,95.0,396,4.0,4.0,15,3,5,17,5,6
LD,18,243.0,23,6.0,6.0,9,9,11,12,10,13
LD,18,243.0,60,3.0,4.0,12,7,13,14,8,15
LD,18,243.0,61,25.0,45.0,10,9,9,15,12,12
LD,18,243.0,62,5.0,8.0,11,11,7,13,13,9
LD,18,243.0,63,3.0,3.0,11,13,8,14,14,9
LD,18,243.0,129,34.0,96.0,10,8,6,16,12,10
LD,18,243.0,213,14.0,80.0,14,8,5,19,12,9
LD,18,243.0,399,3.0,3.0,16,9,2,19,10,3
LD,18,243.0,505,74.0,162.0,14,10,11,23,13,17
LD,18,243.0,622,25.0,60.0,16,9,5,21,13,8
LD,18,243.0,626,6.0,12.0,17,14,6,20,16,8
LD,18,243.0,754,7.0,8.0,17,7,12,21,8,14
LD,18,243.0,755,10.0,12.0,19,11,5,22,13,7
LD,18,243.0,1026,1.0,1.0,21,1,10,22,2,11
LD,18,243.0,1290,1.0,1.0,23,2,10,24,3,11
LD,18,243.0,1295,2.0,2.0,22,13,6,24,14,7
LD,18,243.0,1426,22.0,48.0,23,11,11,27,15,14
LD,18,243.0,1525,1.0,1.0,25,12,5,26,13,6
LD,18,243.0,1615,33.0,96.0,25,11,11,31,15,15
LD,18,243.0,1677,2.0,2.0,27,12,8,29,13,9
LD,18,243.0,1767,1.0,1.0,30,12,11,31,13,12
LD,21,157.0,59,1.0,1.0,12,1,2,13,2,3
LD,21,157.0,128,21.0,48.0,11,2,4,15,6,7
LD,21,157.0,131,9.0,12.0,12,9,10,15,11,12
LD,21,157.0,398,6.0,12.0,15,4,5,18,6,7
LD,21,157.0,504,1.0,1.0,17,7,10,18,8,11
LD,21,157.0,506,13.0,24.0,15,9,14,19,12,16
LD,21,157.0,619,2.0,2.0,18,2,6,19,4,7
LD,21,157.0,620,14.0,24.0,16,3,4,20,6,6
LD,21,157.0,623,4.0,4.0,18,9,17,20,10,19
LD,21,157.0,757,7.0,12.0,18,10,14,21,12,16
LD,21,157.0,1030,1.0,1.0,21,9,15,22,10,16
LD,21,157.0,1033,8.0,12.0,21,10,14,23,12,17
LD,22,141.0,624,8.0,16.0,17,8,8,21,10,10
LD,22,141.0,880,1.0,1.0,20,4,7,21,5,8
LD,22,141.0,1523,1.0,1.0,25,6,7,26,7,8
LD,23,154.0,214,3.0,3.0,14,8,5,17,9,6
LD,23,154.0,625,6.0,12.0,16,8,4,19,10,6
LD,23,154.0,881,17.0,36.0,19,7,4,23,10,7
LD,23,154.0,1032,6.0,16.0,20,7,5,24,9,7
LD,23,154.0,1425,4.0,6.0,23,6,5,26,8,6
LD,23,154.0,1524,25.0,48.0,22,5,2,28,7,6
LD,24,138.0,756,1.0,1.0,19,3,8,20,4,9
LD,24,138.0,758,2.0,2.0,19,9,2,20,11,3
LD,24,138.0,1161,2.0,2.0,22,10,2,24,11,3
LD,25,151.0,291,30.0,60.0,13,7,7,19,9,12
LD,25,151.0,507,1.0,1.0,17,3,6,18,4,7
LD,25,151.0,508,5.0,8.0,17,7,11,19,9,13
LD,25,151.0,1031,24.0,42.0,18,1,7,25,3,10
LD,25,151.0,1160,7.0,8.0,21,4,12,25,6,13
LD,25,151.0,1427,1.0,1.0,24,2,5,25,3,6
LD,25,151.0,1526,3.0,4.0,25,4,11,27,5,13
LD,25,151.0,1678,8.0,18.0,26,3,9,29,5,12
LD,26,219.0,64,28.0,48.0,10,1,14,14,4,18
LD,26,219.0,215,25.0,45.0,13,2,14,18,5,17
LD,26,219.0,216,7.0,12.0,12,7,8,15,8,12
LD,26,219.0,292,32.0,54.0,11,7,8,17,10,11
LD,26,219.0,627,5.0,8.0,17,6,13,19,8,15
LD,26,219.0,759,25.0,54.0,17,7,8,23,10,11
LD,26,219.0,1162,2.0,2.0,22,8,8,24,9,9
LD,27,215.0,133,1.0,1.0,13,22,8,14,23,9
LD,27,215.0,509,1.0,1.0,17,21,8,18,22,9
LD,27,215.0,760,3.0,3.0,18,25,8,21,26,9
LD,27,215.0,886,14.0,36.0,18,22,6,22,25,9
LD,27,215.0,1428,5.0,8.0,23,25,8,25,27,10
LD,28,80.0,132,1.0,1.0,13,2,6,14,3,7
LD,28,80.0,882,9.0,12.0,19,4,7,21,6,10
LD,28,80.0,1296,59.0,160.0,19,2,6,27,7,10
LD,29,201.0,884,4.0,8.0,20,11,11,22,13,13
LD,29,201.0,1034,1.0,1.0,21,12,11,22,13,12
LD,29,201.0,1297,3.0,4.0,22,9,4,24,10,6
LD,30,200.0,883,60.0,144.0,17,3,7,26,7,11
LD,30,200.0,1717,3.0,4.0,27,7,9,29,9,10
LD,33,104.0,628,7.0,9.0,17,6,6,20,9,7
LD,33,104.0,885,3.0,3.0,20,6,6,21,9,7
LD,33,104.0,1035,25.0,72.0,19,6,6,25,9,10
LD,33,104.0,1298,17.0,48.0,21,6,6,27,8,10
LD,34,72.0,1718,3.0,4.0,27,2,5,29,3,7
LD,35,227.0,890,34.0,54.0,17,16,5,23,19,8
LD,36,138.0,293,3.0,4.0,15,7,3,17,8,5
LD,36,138.0,513,4.0,6.0,16,7,3,19,9,4
LD,36,138.0,630,29.0,63.0,15,5,12,22,8,15
LD,36,138.0,1037,2.0,2.0,20,6,9,22,7,10
LD,36,138.0,1163,1.0,1.0,22,5,9,23,6,10
LD,36,138.0,1164,4.0,8.0,22,6,12,24,8,14
LD,36,138.0,1300,8.0,18.0,22,5,12,25,8,14
LD,37,130.0,217,2.0,2.0,13,4,7,15,5,8
LD,37,130.0,219,21.0,48.0,12,6,2,16,10,5
LD,37,130.0,511,5.0,8.0,17,5,3,19,7,5
LD,37,130.0,514,19.0,48.0,16,5,2,20,9,5
LD,37,130.0,761,10.0,24.0,18,4,3,22,7,5
LD,37,130.0,887,37.0,120.0,17,3,4,23,7,9
LD,37,130.0,888,12.0,20.0,19,6,3,24,8,5
LD,37,130.0,1038,1.0,1.0,21,9,9,22,10,10
LD,37,130.0,1165,8.0,24.0,21,5,5,25,7,8
LD,37,130.0,1166,3.0,4.0,22,6,3,24,8,4
LD,37,130.0,1302,1.0,1.0,23,8,8,24,9,9
LD,37,130.0,1430,3.0,4.0,24,8,7,26,9,9
LD,38,254.0,510,4.0,4.0,16,3,11,18,4,13
LD,39,373.0,220,7.0,18.0,13,12,15,16,14,18
LD,39,373.0,296,4.0,6.0,13,12,15,16,13,17
LD,39,373.0,401,3.0,4.0,16,11,13,18,12,15
LD,39,373.0,517,2.0,2.0,17,11,13,18,13,14
LD,39,373.0,518,31.0,128.0,14,17,11,22,21,15
LD,39,373.0,631,4.0,4.0,18,7,17,20,8,19
LD,39,373.0,764,5.0,12.0,18,11,15,21,13,17
LD,39,373.0,1041,32.0,96.0,18,9,12,24,13,16
LD,39,373.0,1042,1.0,1.0,21,18,14,22,19,15
LD,39,373.0,1431,4.0,8.0,24,10,13,26,12,15
LD,40,146.0,635,29.0,54.0,16,8,11,22,11,14
LD,40,146.0,1040,14.0,36.0,20,9,11,24,12,14
LD,40,146.0,1616,2.0,2.0,25,9,11,27,10,12
LD,40,146.0,1680,3.0,4.0,27,9,10,29,10,12
LD,41,172.0,1,2.0,2.0,9,8,7,10,9,9
LD,41,172.0,295,42.0,105.0,10,7,7,17,10,12
LD,41,172.0,763,40.0,81.0,15,7,5,24,10,8
LD,41,172.0,889,55.0,96.0,16,7,9,24,11,12
LD,41,172.0,1167,2.0,2.0,22,10,9,23,12,10
LD,41,172.0,1303,2.0,2.0,23,9,6,25,10,7
LD,41,172.0,1305,25.0,54.0,22,10,7,28,13,10
LD,42,99.0,400,1.0,1.0,16,6,6,17,7,7
LD,42,99.0,516,5.0,12.0,16,6,5,19,8,7
LD,42,99.0,629,3.0,3.0,16,1,7,19,2,8
LD,42,99.0,1301,2.0,2.0,23,5,3,25,6,4
LD,42,99.0,1304,3.0,3.0,22,9,8,25,10,9
LD,42,99.0,1429,31.0,72.0,22,1,4,28,4,8
LD,42,99.0,1719,1.0,1.0,28,4,7,29,5,8
LD,42,99.0,1746,1.0,1.0,29,5,8,30,6,9
LD,43,126.0,134,10.0,18.0,11,3,2,14,5,5
LD,43,126.0,218,41.0,140.0,11,3,1,18,8,5
LD,43,126.0,512,25.0,63.0,14,2,3,21,5,6
