organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,84.0,643,1.0,1.0,5,9,8,6,10,9
mitochondria,1,84.0,1055,148.0,390.0,13,3,5,26,9,10
mitochondria,1,84.0,1240,5.0,16.0,17,3,2,21,5,4
mitochondria,1,84.0,1794,11.0,64.0,30,1,5,34,5,9
mitochondria,1,84.0,1909,4.0,12.0,33,6,5,35,8,8
mitochondria,2,99.0,355,2.0,2.0,4,7,2,5,9,3
mitochondria,2,99.0,356,2.0,2.0,4,9,4,6,10,5
mitochondria,2,99.0,641,4.0,4.0,5,1,3,6,3,5
mitochondria,2,99.0,642,2.0,2.0,5,6,5,7,7,6
mitochondria,2,99.0,1007,6.0,8.0,12,3,1,16,5,2
mitochondria,2,99.0,1054,89.0,525.0,13,4,4,28,11,9
mitochondria,2,99.0,2209,6.0,12.0,36,5,6,37,9,9
mitochondria,3,240.0,357,169.0,1584.0,4,4,4,16,16,15
mitochondria,3,240.0,645,2.0,2.0,5,12,16,7,13,17
mitochondria,3,240.0,1145,51.0,120.0,15,14,6,23,17,11
mitochondria,3,240.0,1239,46.0,168.0,17,0,4,24,4,10
mitochondria,3,240.0,1413,16.0,36.0,21,13,4,27,15,7
mitochondria,3,240.0,1754,14.0,36.0,29,11,5,35,14,7
mitochondria,3,240.0,2109,3.0,4.0,35,13,10,37,14,12
mitochondria,3,240.0,2211,2.0,2.0,36,10,13,37,12,14
mitochondria,4,216.0,55,117.0,336.0,3,3,12,17,9,16
mitochondria,4,216.0,56,2.0,2.0,3,7,4,4,8,6
mitochondria,4,216.0,58,1.0,1.0,3,8,8,4,9,9
mitochondria,4,216.0,646,1.0,1.0,5,11,12,6,12,13
mitochondria,4,216.0,885,15.0,24.0,9,5,4,15,7,6
mitochondria,4,216.0,1195,1.0,1.0,16,3,5,17,4,6
mitochondria,4,216.0,1554,11.0,24.0,24,8,4,28,10,7
mitochondria,4,216.0,1602,2.0,2.0,25,11,15,27,12,16
mitochondria,4,216.0,1680,3.0,4.0,27,12,13,29,13,15
mitochondria,4,216.0,1753,24.0,96.0,29,4,11,35,8,15
mitochondria,4,216.0,1910,1.0,1.0,33,10,9,34,11,10
mitochondria,4,216.0,2210,2.0,2.0,36,4,8,37,5,10
mitochondria,5,167.0,57,25.0,90.0,3,6,4,13,9,7
mitochondria,5,167.0,644,1.0,1.0,5,7,12,6,8,13
mitochondria,5,167.0,1095,7.0,10.0,14,2,12,19,4,13
mitochondria,5,167.0,1375,5.0,12.0,20,12,8,22,14,11
mitochondria,5,167.0,1645,2.0,2.0,26,10,6,28,11,7
mitochondria,6,50.0,839,61.0,180.0,7,3,0,16,7,5
mitochondria,7,127.0,358,134.0,810.0,4,4,3,22,9,12
mitochondria,7,127.0,1096,27.0,32.0,14,5,1,22,7,3
mitochondria,7,127.0,1494,2.0,2.0,23,5,2,24,7,3
mitochondria,7,127.0,1495,11.0,36.0,23,5,9,27,8,12
mitochondria,7,127.0,1856,26.0,64.0,32,3,5,36,7,9
mitochondria,7,127.0,2212,6.0,8.0,36,8,6,37,10,10
mitochondria,8,188.0,59,123.0,840.0,3,3,7,15,10,17
mitochondria,8,188.0,359,4.0,8.0,4,8,4,6,10,6
mitochondria,8,188.0,1097,71.0,360.0,14,3,2,26,9,7
mitochondria,8,188.0,1146,6.0,12.0,15,11,7,18,13,9
mitochondria,8,188.0,1285,69.0,462.0,18,7,10,29,13,17
mitochondria,8,188.0,1857,49.0,330.0,32,4,4,37,10,15
mitochondria,9,119.0,1,104.0,300.0,2,2,6,12,8,11
mitochondria,9,119.0,360,1.0,1.0,4,12,4,5,13,5
mitochondria,9,119.0,1008,7.0,8.0,13,5,10,17,7,11
mitochondria,9,119.0,1241,72.0,225.0,17,4,3,26,9,8
mitochondria,9,119.0,2213,3.0,4.0,36,5,5,37,7,7
mitochondria,10,193.0,647,117.0,1100.0,5,0,4,27,10,9
mitochondria,10,193.0,648,4.0,8.0,5,5,11,7,7,13
mitochondria,10,193.0,650,2.0,2.0,5,9,11,6,11,12
mitochondria,10,193.0,1497,2.0,2.0,23,8,3,25,9,4
mitochondria,10,193.0,1555,37.0,320.0,24,4,11,34,12,15
mitochondria,10,193.0,2110,5.0,18.0,35,9,9,37,12,12
mitochondria,10,193.0,2214,1.0,1.0,36,4,6,37,5,7
mitochondria,11,88.0,60,162.0,882.0,3,0,2,24,6,9
mitochondria,11,88.0,1009,8.0,12.0,12,6,7,15,8,9
mitochondria,11,88.0,2215,15.0,24.0,36,2,4,37,6,10
mitochondria,12,151.0,2,115.0,702.0,2,3,8,15,9,17
mitochondria,12,151.0,1196,52.0,160.0,16,4,0,26,8,4
mitochondria,12,151.0,1603,3.0,4.0,25,7,5,27,9,6
mitochondria,12,151.0,1646,1.0,1.0,26,4,5,27,5,6
mitochondria,12,151.0,1795,25.0,100.0,30,3,5,35,7,10
mitochondria,13,162.0,649,2.0,2.0,5,3,11,6,5,12
