organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,8,1,204.0,65535,683.0,5280.0,5,1,0,27,17,15
ER,8,2,171.0,65535,303.0,3822.0,7,0,0,28,13,14
ER,8,3,93.0,65535,184.0,2000.0,7,0,0,27,10,10
ER,8,4,135.0,65535,607.0,3432.0,5,1,0,27,13,13
ER,8,5,211.0,65535,685.0,5610.0,5,0,0,27,17,15
ER,8,6,230.0,65535,737.0,6528.0,4,1,0,28,17,17
ER,8,7,256.0,65535,828.0,7140.0,6,1,0,27,21,17
ER,8,8,243.0,65535,908.0,6528.0,5,1,0,29,17,17
ER,8,9,204.0,65535,360.0,4420.0,8,0,1,28,13,18
ER,8,10,176.0,65535,732.0,4620.0,6,1,0,28,15,15
ER,8,12,197.0,65535,840.0,6000.0,5,0,0,30,16,15
ER,8,13,242.0,65535,913.0,7650.0,5,0,0,30,18,17
ER,8,14,223.0,65535,939.0,6480.0,5,0,0,29,18,15
ER,8,15,111.0,65535,710.0,3542.0,6,0,0,29,11,14
ER,8,16,186.0,65535,881.0,5520.0,6,0,0,29,16,15
ER,8,17,181.0,65535,605.0,4576.0,6,1,0,28,14,16
ER,8,18,236.0,65535,822.0,6120.0,5,0,0,29,17,15
ER,8,20,223.0,65535,767.0,5865.0,5,0,0,28,17,15
ER,8,21,102.0,65535,311.0,2904.0,7,1,0,29,12,12
ER,8,22,182.0,65535,792.0,5152.0,5,1,0,28,15,16
ER,8,23,197.0,65535,878.0,4928.0,6,0,0,28,14,16
ER,8,24,217.0,65535,996.0,7290.0,6,1,0,33,16,18
ER,8,25,229.0,65535,942.0,6528.0,5,1,0,29,17,17
ER,8,26,120.0,65535,709.0,3588.0,6,0,0,29,13,12
ER,8,27,360.0,65535,1659.0,9660.0,7,1,0,28,24,20
ER,8,28,373.0,65535,1528.0,12144.0,6,2,0,29,26,22
ER,8,29,103.0,65535,356.0,2310.0,7,1,0,28,12,10
ER,8,30,170.0,65535,883.0,4224.0,6,0,1,28,12,17
ER,8,31,181.0,65535,769.0,6496.0,6,0,0,35,14,16
ER,8,32,277.0,65535,1059.0,7429.0,5,2,1,28,19,20
ER,8,33,247.0,65535,893.0,6992.0,6,1,0,29,17,19
ER,8,34,210.0,65535,705.0,4410.0,6,1,3,27,16,17
ER,8,35,211.0,65535,869.0,6256.0,6,0,0,29,16,17
ER,8,37,262.0,65535,801.0,6720.0,7,1,0,28,21,16
ER,8,38,187.0,65535,832.0,4680.0,5,1,0,29,16,13
ER,8,39,388.0,65535,1475.0,12075.0,5,2,0,28,23,25
ER,8,40,261.0,65535,1222.0,6992.0,6,1,1,29,17,20
ER,8,41,196.0,65535,673.0,5175.0,6,0,0,29,15,15
ER,8,42,177.0,65535,777.0,5175.0,6,0,0,29,15,15
ER,8,43,648.0,65535,2322.0,19872.0,5,2,1,29,38,24
ER,8,44,193.0,65535,880.0,5376.0,6,1,0,30,17,14
ER,8,45,312.0,65535,1220.0,7296.0,5,2,0,29,18,19
ER,8,46,309.0,65535,1114.0,7128.0,5,2,0,27,20,18
ER,8,47,188.0,65535,1000.0,5850.0,3,1,0,29,16,15
ER,8,48,218.0,65535,861.0,5888.0,6,2,0,29,18,16
ER,8,49,292.0,65535,1626.0,9450.0,5,1,0,30,22,18
ER,8,51,227.0,65535,1452.0,7488.0,4,0,0,30,18,16
ER,8,52,273.0,65535,1336.0,7038.0,4,1,0,27,19,17
ER,8,53,128.0,65535,468.0,3168.0,5,2,1,29,13,13
ER,8,55,181.0,65535,745.0,4784.0,5,1,0,28,17,13
ER,8,56,192.0,65535,948.0,5760.0,5,0,0,29,16,15
ER,8,57,50.0,65535,299.0,1449.0,5,1,0,28,8,9
ER,8,58,265.0,65535,1317.0,7956.0,4,1,0,30,19,17
ER,8,60,234.0,65535,990.0,5865.0,5,1,0,28,18,15
ER,8,61,235.0,65535,956.0,5865.0,5,1,1,28,16,18
ER,8,63,219.0,65535,978.0,5928.0,4,2,0,28,15,19
ER,8,64,117.0,65535,581.0,3744.0,4,1,0,30,13,12
ER,8,65,180.0,65535,905.0,5760.0,5,0,0,29,15,16
ER,8,66,246.0,65535,832.0,6300.0,6,2,0,27,17,20
ER,8,67,261.0,65535,1228.0,7752.0,5,0,0,29,17,19
ER,8,69,151.0,65535,646.0,4186.0,5,0,0,28,13,14
ER,8,70,336.0,65535,1477.0,9614.0,6,0,1,28,23,20
ER,8,71,245.0,65535,1006.0,7020.0,4,1,0,30,19,15
ER,8,72,267.0,65535,1053.0,9044.0,1,1,0,29,20,17
ER,8,73,176.0,65535,1026.0,5040.0,5,1,0,29,15,15
ER,8,74,139.0,65535,633.0,3744.0,5,1,0,29,14,12
ER,8,75,231.0,65535,978.0,5984.0,6,0,0,28,17,16
ER,8,77,237.0,65535,828.0,6555.0,5,0,0,28,19,15
ER,8,78,242.0,65535,1005.0,6256.0,6,1,0,29,18,16
ER,8,79,195.0,65535,770.0,5940.0,6,0,0,28,15,18
ER,8,80,153.0,65535,655.0,4416.0,6,0,0,29,12,16
ER,8,81,156.0,65535,855.0,3900.0,5,0,0,31,15,10
ER,8,84,135.0,65535,530.0,3168.0,5,2,0,27,14,12
ER,8,85,183.0,65535,849.0,5040.0,5,0,0,29,14,15
ER,8,86,166.0,65535,783.0,4508.0,6,1,0,29,15,14
ER,8,87,206.0,65535,783.0,4928.0,6,1,0,28,17,14
ER,8,88,182.0,65535,846.0,5250.0,6,1,0,31,15,15
ER,8,89,199.0,65535,781.0,5400.0,6,1,0,30,16,15
ER,8,90,162.0,65535,770.0,4875.0,5,0,0,30,13,15
ER,8,92,139.0,65535,575.0,3864.0,6,0,0,29,14,12
ER,8,93,228.0,65535,1187.0,6384.0,5,1,0,29,15,19
ER,8,94,191.0,65535,779.0,5474.0,6,1,0,29,15,17
ER,8,96,280.0,65535,899.0,7040.0,5,1,0,27,17,20
ER,8,97,214.0,65535,81.0,2106.0,7,3,4,25,16,13
ER,8,98,250.0,65535,1020.0,6732.0,6,1,0,28,18,18
ER,8,100,77.0,65535,362.0,2300.0,6,0,0,29,10,10
ER,8,101,208.0,65535,897.0,5865.0,6,1,0,29,18,15
ER,8,102,129.0,65535,613.0,3718.0,6,0,0,28,13,13
ER,8,103,171.0,65535,628.0,5040.0,5,1,0,29,15,15
ER,8,104,264.0,65535,723.0,6688.0,6,1,0,28,20,16
ER,8,105,229.0,65535,933.0,6750.0,4,2,0,29,17,18
ER,8,107,213.0,65535,675.0,5280.0,7,0,0,29,16,15
ER,8,108,179.0,65535,624.0,4186.0,5,1,0,28,15,13
ER,8,110,195.0,65535,467.0,5175.0,8,2,0,31,17,15
ER,8,111,211.0,65535,688.0,5712.0,6,2,0,30,16,17
ER,8,112,209.0,65535,801.0,5888.0,7,0,0,30,16,16
ER,8,116,283.0,65535,959.0,7429.0,7,1,0,30,18,19
ER,8,118,308.0,65535,859.0,8360.0,7,1,0,29,21,19
ER,8,120,224.0,65535,634.0,5544.0,7,2,0,29,16,18
ER,8,121,192.0,65535,505.0,4576.0,7,1,0,29,14,16
ER,8,122,224.0,65535,811.0,5865.0,6,1,0,29,18,15
ER,8,123,178.0,65535,609.0,4416.0,7,1,0,30,17,12
ER,8,125,173.0,65535,514.0,5175.0,8,1,0,31,16,15
ER,8,126,220.0,65535,733.0,6000.0,8,2,0,33,17,16
ER,8,128,167.0,65535,384.0,3528.0,8,3,0,29,15,14
ER,8,132,99.0,65535,111.0,1900.0,10,2,0,29,12,10
ER,8,133,274.0,65535,770.0,6069.0,7,2,0,28,19,17
ER,8,134,304.0,65535,879.0,9000.0,7,1,0,31,16,25
ER,8,135,231.0,65535,702.0,5888.0,7,2,0,30,18,16
ER,8,136,278.0,65535,559.0,7728.0,8,1,1,29,24,17
ER,8,137,254.0,65535,900.0,5712.0,7,2,0,28,18,17
ER,8,138,260.0,65535,590.0,5940.0,8,2,0,30,20,15
ER,8,139,139.0,65535,528.0,3696.0,8,0,0,30,14,12
ER,8,140,350.0,65535,899.0,9614.0,7,0,0,29,23,19
ER,8,141,191.0,65535,573.0,4830.0,8,0,0,31,15,14
ER,8,142,74.0,65535,208.0,1863.0,8,0,0,31,9,9
ER,8,143,209.0,65535,377.0,5355.0,9,2,0,30,19,15
ER,8,144,152.0,65535,609.0,3864.0,7,1,0,30,13,14
ER,8,145,214.0,65535,617.0,4704.0,8,2,1,29,16,17
ER,8,146,255.0,65535,556.0,7106.0,7,0,0,29,19,17
ER,8,148,158.0,65535,66.0,2508.0,9,3,0,28,15,11
ER,8,149,107.0,65535,270.0,2520.0,7,2,0,28,12,12
ER,8,150,193.0,65535,834.0,5200.0,7,2,0,32,18,13
ER,8,151,239.0,65535,460.0,5852.0,7,2,1,29,16,20
ER,8,152,179.0,65535,519.0,4095.0,8,2,0,29,15,15
ER,8,153,212.0,65535,552.0,5355.0,8,0,0,29,17,15
