organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,8,1,204.0,14,2.0,2.0,9,7,8,11,8,9
LD,8,1,204.0,67,9.0,24.0,9,7,7,15,9,9
LD,8,1,204.0,68,22.0,45.0,10,13,7,15,16,10
LD,8,2,171.0,547,1.0,1.0,19,4,2,20,5,3
LD,8,2,171.0,595,1.0,1.0,20,5,2,21,6,3
LD,8,3,93.0,69,1.0,1.0,11,3,5,12,4,6
LD,8,3,93.0,449,1.0,1.0,17,2,3,18,3,4
LD,8,3,93.0,451,2.0,2.0,17,7,7,19,8,8
LD,8,4,135.0,17,15.0,45.0,9,8,1,14,11,4
LD,8,4,135.0,341,7.0,20.0,13,1,7,18,3,9
LD,8,4,135.0,343,1.0,1.0,15,8,3,16,9,4
LD,8,4,135.0,344,10.0,30.0,13,8,1,18,10,4
LD,8,4,135.0,510,3.0,4.0,18,7,3,19,9,5
LD,8,4,135.0,661,1.0,1.0,22,8,3,23,9,4
LD,8,5,211.0,16,2.0,2.0,10,7,5,11,9,6
LD,8,5,211.0,19,1.0,1.0,10,13,8,11,14,9
LD,8,5,211.0,70,2.0,2.0,11,7,10,13,8,11
LD,8,5,211.0,73,1.0,1.0,11,9,12,12,10,13
LD,8,5,211.0,147,1.0,1.0,12,13,9,13,14,10
LD,8,5,211.0,275,2.0,2.0,14,7,9,16,8,10
LD,8,5,211.0,342,1.0,1.0,15,7,10,16,8,11
LD,8,5,211.0,397,1.0,1.0,16,14,4,17,15,5
LD,8,5,211.0,509,3.0,3.0,18,7,10,21,8,11
LD,8,6,230.0,148,33.0,60.0,10,11,10,15,15,13
LD,8,7,256.0,18,3.0,4.0,10,8,3,12,10,4
LD,8,7,256.0,71,13.0,36.0,9,5,9,15,8,11
LD,8,7,256.0,144,14.0,27.0,11,4,11,14,7,14
LD,8,7,256.0,146,3.0,4.0,12,8,14,14,10,15
LD,8,7,256.0,223,2.0,2.0,12,11,0,14,12,1
LD,8,7,256.0,225,2.0,2.0,13,18,5,15,19,6
LD,8,7,256.0,398,5.0,8.0,15,16,11,19,18,12
LD,8,7,256.0,450,5.0,6.0,16,3,11,19,5,12
LD,8,7,256.0,548,21.0,54.0,14,5,7,23,7,10
LD,8,7,256.0,550,2.0,2.0,19,16,11,20,18,12
LD,8,7,256.0,693,8.0,18.0,22,5,8,25,8,10
LD,8,8,243.0,15,6.0,12.0,9,3,9,12,5,11
LD,8,8,243.0,72,2.0,2.0,11,4,10,12,5,12
LD,8,8,243.0,145,13.0,27.0,11,4,12,14,7,15
LD,8,8,243.0,276,3.0,4.0,13,10,0,15,12,1
LD,8,8,243.0,549,6.0,8.0,17,11,10,21,13,11
LD,8,8,243.0,628,1.0,1.0,21,12,2,22,13,3
LD,8,8,243.0,662,7.0,8.0,20,11,10,24,13,11
LD,8,8,243.0,694,6.0,6.0,22,12,1,25,13,3
LD,8,10,176.0,74,2.0,2.0,10,7,6,12,8,7
LD,8,10,176.0,224,3.0,3.0,12,3,3,15,4,4
LD,8,10,176.0,277,3.0,3.0,13,12,13,16,13,14
LD,8,10,176.0,399,1.0,1.0,16,9,12,17,10,13
LD,8,10,176.0,400,9.0,16.0,15,10,11,19,12,13
LD,8,12,197.0,150,19.0,45.0,10,8,3,15,11,6
LD,8,12,197.0,280,2.0,2.0,14,12,1,16,13,2
LD,8,12,197.0,663,5.0,6.0,21,3,6,24,4,8
LD,8,13,242.0,149,2.0,2.0,12,4,3,13,5,5
LD,8,13,242.0,226,1.0,1.0,13,4,4,14,5,5
LD,8,13,242.0,227,1.0,1.0,13,5,13,14,6,14
LD,8,13,242.0,278,5.0,6.0,13,2,5,16,4,6
LD,8,13,242.0,279,2.0,2.0,13,3,4,15,4,5
LD,8,13,242.0,664,13.0,24.0,20,2,5,24,4,8
LD,8,13,242.0,665,3.0,3.0,21,16,9,24,17,10
LD,8,14,223.0,20,1.0,1.0,10,4,5,11,5,6
LD,8,14,223.0,75,2.0,2.0,10,4,4,12,5,5
LD,8,14,223.0,76,5.0,8.0,11,3,10,13,5,12
LD,8,14,223.0,401,2.0,2.0,16,3,3,18,4,4
LD,8,14,223.0,452,1.0,1.0,17,3,2,18,4,3
LD,8,14,223.0,453,1.0,1.0,17,4,3,18,5,4
LD,8,15,111.0,2,28.0,45.0,8,5,5,13,8,8
LD,8,15,111.0,77,9.0,24.0,10,5,10,14,8,12
LD,8,15,111.0,151,3.0,4.0,12,5,10,14,6,12
LD,8,15,111.0,551,13.0,20.0,17,4,10,22,6,12
LD,8,15,111.0,721,9.0,20.0,22,4,3,27,6,5
LD,8,16,186.0,21,25.0,63.0,8,6,3,15,9,6
LD,8,16,186.0,281,5.0,6.0,12,14,7,15,15,9
LD,8,16,186.0,454,10.0,16.0,15,0,6,19,2,8
LD,8,16,186.0,511,4.0,6.0,16,11,13,19,12,15
LD,8,16,186.0,552,13.0,24.0,17,11,12,23,13,14
LD,8,16,186.0,596,17.0,36.0,17,8,1,23,10,4
LD,8,17,181.0,3,1.0,1.0,9,8,7,10,9,8
LD,8,17,181.0,22,1.0,1.0,10,8,8,11,9,9
LD,8,17,181.0,23,5.0,8.0,10,8,7,12,10,9
LD,8,17,181.0,152,5.0,12.0,11,9,1,14,11,3
LD,8,17,181.0,228,1.0,1.0,13,10,14,14,11,15
LD,8,17,181.0,455,1.0,1.0,17,12,12,18,13,13
LD,8,20,223.0,153,18.0,24.0,10,12,5,14,14,8
LD,8,21,102.0,402,3.0,3.0,15,8,3,18,9,4
LD,8,22,182.0,154,2.0,2.0,12,5,9,13,6,11
LD,8,22,182.0,403,2.0,2.0,16,4,11,17,6,12
LD,8,22,182.0,404,1.0,1.0,16,5,12,17,6,13
LD,8,22,182.0,629,6.0,16.0,19,3,7,23,5,9
LD,8,23,197.0,24,6.0,12.0,9,5,5,12,7,7
LD,8,23,197.0,345,4.0,6.0,14,1,8,17,3,9
LD,8,23,197.0,405,2.0,2.0,15,4,2,17,5,3
LD,8,24,217.0,4,1.0,1.0,9,6,10,10,7,11
LD,8,24,217.0,155,4.0,4.0,11,6,14,13,7,16
LD,8,24,217.0,229,26.0,48.0,10,6,14,16,10,16
LD,8,24,217.0,346,5.0,12.0,14,8,7,17,10,9
LD,8,24,217.0,347,4.0,6.0,15,9,5,17,12,6
LD,8,24,217.0,553,5.0,6.0,18,5,15,21,7,16
LD,8,25,229.0,156,7.0,16.0,10,6,4,14,8,6
LD,8,26,120.0,555,1.0,1.0,19,8,1,20,9,2
LD,8,26,120.0,556,10.0,18.0,17,10,3,23,11,6
LD,8,26,120.0,597,2.0,2.0,20,1,4,22,2,5
LD,8,26,120.0,630,2.0,2.0,21,10,3,23,11,4
LD,8,27,360.0,78,29.0,54.0,9,10,4,15,13,7
LD,8,27,360.0,157,2.0,2.0,11,7,5,13,8,6
LD,8,27,360.0,159,9.0,24.0,11,15,7,15,17,10
LD,8,27,360.0,230,1.0,1.0,13,5,16,14,6,17
LD,8,27,360.0,231,2.0,2.0,13,22,11,15,23,12
LD,8,27,360.0,352,3.0,3.0,14,15,9,17,16,10
LD,8,27,360.0,456,16.0,40.0,14,3,8,19,5,12
LD,8,27,360.0,513,16.0,20.0,16,8,14,21,10,16
LD,8,27,360.0,517,29.0,72.0,16,16,3,24,19,6
LD,8,27,360.0,554,15.0,40.0,19,4,8,23,6,13
LD,8,27,360.0,667,6.0,8.0,21,16,12,25,17,14
LD,8,28,373.0,5,2.0,2.0,9,15,10,10,16,12
LD,8,28,373.0,26,4.0,4.0,10,14,12,12,15,14
LD,8,28,373.0,27,6.0,12.0,9,14,9,12,16,11
LD,8,28,373.0,29,4.0,4.0,9,22,12,11,24,13
LD,8,28,373.0,80,2.0,2.0,10,15,11,12,16,12
LD,8,28,373.0,350,3.0,3.0,14,13,8,17,14,9
LD,8,28,373.0,516,2.0,2.0,18,15,4,20,16,5
LD,8,28,373.0,666,2.0,2.0,22,5,15,24,6,16
LD,8,28,373.0,668,2.0,2.0,21,15,4,23,16,5
LD,8,30,170.0,25,11.0,24.0,9,7,11,13,9,14
LD,8,30,170.0,282,3.0,3.0,13,1,7,16,2,8
LD,8,30,170.0,283,3.0,4.0,14,10,13,16,11,15
LD,8,30,170.0,349,3.0,3.0,15,10,14,18,11,15
LD,8,30,170.0,512,3.0,3.0,17,5,12,20,6,13
LD,8,31,181.0,457,9.0,16.0,14,5,13,18,7,15
LD,8,31,181.0,458,1.0,1.0,17,7,10,18,8,11
LD,8,31,181.0,514,13.0,45.0,17,5,12,22,8,15
LD,8,31,181.0,598,1.0,1.0,20,8,10,21,9,11
LD,8,32,277.0,28,1.0,1.0,10,11,16,11,12,17
LD,8,32,277.0,79,6.0,12.0,10,5,4,13,7,6
LD,8,32,277.0,160,22.0,120.0,10,8,15,15,14,19
LD,8,32,277.0,232,14.0,48.0,12,14,14,16,17,18
LD,8,32,277.0,284,5.0,6.0,12,4,4,15,6,5
LD,8,32,277.0,289,28.0,84.0,12,9,16,19,13,19
LD,8,32,277.0,290,1.0,1.0,14,15,14,15,16,15
LD,8,32,277.0,351,1.0,1.0,15,5,3,16,6,4
LD,8,32,277.0,408,2.0,2.0,16,15,17,18,16,18
LD,8,32,277.0,515,1.0,1.0,18,3,6,19,4,7
LD,8,32,277.0,518,1.0,1.0,18,14,5,19,15,6
LD,8,32,277.0,557,3.0,4.0,19,10,17,21,12,18
LD,8,32,277.0,632,2.0,2.0,21,17,15,22,19,16
LD,8,32,277.0,670,3.0,3.0,21,13,13,24,14,14
LD,8,33,247.0,158,1.0,1.0,12,4,2,13,5,3
LD,8,33,247.0,285,2.0,2.0,14,7,16,16,8,17
LD,8,34,210.0,459,1.0,1.0,17,3,4,18,4,5
LD,8,35,211.0,286,14.0,36.0,12,4,3,16,7,6
LD,8,35,211.0,287,2.0,2.0,13,7,15,15,8,16
LD,8,35,211.0,407,3.0,3.0,15,6,2,18,7,3
LD,8,35,211.0,409,9.0,20.0,13,14,9,18,16,11
LD,8,35,211.0,460,28.0,45.0,15,4,3,20,7,6
LD,8,35,211.0,461,5.0,6.0,17,15,9,20,16,11
LD,8,35,211.0,600,4.0,4.0,20,15,9,22,16,11
LD,8,35,211.0,669,1.0,1.0,22,7,4,23,8,5
LD,8,35,211.0,695,2.0,2.0,22,13,5,24,14,6
LD,8,35,211.0,722,1.0,1.0,24,5,10,25,6,11
LD,8,35,211.0,723,5.0,6.0,23,7,4,26,8,6
LD,8,37,262.0,291,3.0,4.0,13,10,14,15,11,16
LD,8,37,262.0,354,3.0,4.0,15,14,12,17,16,13
LD,8,37,262.0,602,1.0,1.0,20,16,11,21,17,12
LD,8,37,262.0,696,2.0,2.0,23,16,10,25,17,11
LD,8,38,187.0,30,2.0,2.0,9,11,5,11,12,6
LD,8,38,187.0,161,7.0,8.0,10,8,7,14,9,9
LD,8,38,187.0,410,2.0,2.0,16,15,4,18,16,5
LD,8,38,187.0,462,4.0,4.0,16,12,9,18,14,10
LD,8,38,187.0,599,2.0,2.0,20,8,10,22,9,11
LD,8,38,187.0,601,8.0,12.0,18,14,4,24,16,5
LD,8,38,187.0,635,2.0,2.0,21,15,4,23,16,5
LD,8,39,388.0,31,4.0,4.0,9,11,13,11,13,14
LD,8,39,388.0,81,3.0,4.0,10,9,10,12,10,12
LD,8,39,388.0,82,5.0,6.0,10,11,6,13,13,7
LD,8,39,388.0,83,8.0,9.0,10,13,13,13,16,14
LD,8,39,388.0,85,2.0,2.0,10,20,10,12,21,11
LD,8,39,388.0,163,1.0,1.0,12,12,6,13,13,7
LD,8,39,388.0,164,10.0,16.0,10,18,12,14,20,14
LD,8,39,388.0,166,5.0,8.0,11,20,10,15,21,12
LD,8,39,388.0,233,2.0,2.0,13,9,18,14,11,19
LD,8,39,388.0,292,4.0,8.0,13,9,18,15,11,20
LD,8,39,388.0,353,15.0,20.0,12,7,8,17,9,10
LD,8,39,388.0,411,5.0,12.0,15,15,1,18,17,3
LD,8,39,388.0,520,36.0,84.0,16,7,7,23,10,11
LD,8,39,388.0,521,28.0,84.0,14,9,17,21,13,20
LD,8,39,388.0,522,9.0,10.0,16,19,4,21,20,6
LD,8,39,388.0,631,2.0,2.0,20,4,10,22,5,11
LD,8,39,388.0,633,7.0,16.0,20,8,2,24,10,4
LD,8,39,388.0,634,9.0,16.0,20,9,10,24,11,12
LD,8,39,388.0,672,12.0,30.0,20,14,12,25,17,14
LD,8,40,261.0,84,9.0,20.0,11,8,8,16,10,10
LD,8,40,261.0,165,21.0,54.0,10,11,8,16,14,11
LD,8,40,261.0,295,11.0,30.0,11,11,12,16,13,15
LD,8,40,261.0,412,2.0,2.0,16,8,8,18,9,9
LD,8,40,261.0,413,17.0,42.0,14,11,9,21,13,12
LD,8,40,261.0,463,2.0,2.0,16,6,15,18,7,16
LD,8,40,261.0,698,23.0,36.0,20,11,5,26,13,8
LD,8,41,196.0,168,2.0,2.0,12,14,9,14,15,10
LD,8,41,196.0,293,1.0,1.0,14,9,6,15,10,7
LD,8,41,196.0,558,2.0,2.0,19,6,2,20,7,4
LD,8,41,196.0,603,2.0,2.0,20,6,3,21,8,4
LD,8,41,196.0,671,1.0,1.0,22,6,2,23,7,3
LD,8,42,177.0,32,3.0,3.0,9,10,5,12,11,6
LD,8,42,177.0,167,2.0,2.0,11,10,10,13,11,11
LD,8,42,177.0,234,3.0,4.0,12,5,3,14,6,5
LD,8,42,177.0,235,14.0,40.0,11,8,10,16,10,14
LD,8,42,177.0,294,8.0,16.0,13,5,3,17,7,5
LD,8,42,177.0,697,13.0,28.0,21,6,4,28,8,6
LD,8,43,648.0,86,5.0,8.0,10,12,9,12,14,11
LD,8,43,648.0,87,1.0,1.0,11,22,8,12,23,9
LD,8,43,648.0,236,8.0,18.0,11,29,8,14,31,11
LD,8,43,648.0,296,2.0,2.0,14,14,8,16,15,9
LD,8,43,648.0,414,5.0,6.0,15,3,15,18,4,17
LD,8,43,648.0,418,15.0,20.0,14,29,8,19,31,10
LD,8,43,648.0,560,2.0,2.0,19,29,9,21,30,10
LD,8,44,193.0,88,21.0,32.0,9,11,4,13,15,6
LD,8,44,193.0,89,2.0,2.0,11,14,3,13,15,4
LD,8,44,193.0,169,11.0,24.0,11,5,2,15,7,5
LD,8,44,193.0,297,19.0,30.0,12,12,6,17,14,9
LD,8,44,193.0,415,6.0,8.0,15,6,10,19,8,11
LD,8,44,193.0,416,9.0,14.0,14,11,0,21,12,2
LD,8,44,193.0,636,4.0,4.0,20,12,9,24,13,10
LD,8,45,312.0,6,15.0,45.0,7,12,7,12,15,10
LD,8,45,312.0,33,13.0,32.0,9,11,16,13,15,18
LD,8,45,312.0,237,20.0,54.0,10,9,7,16,12,10
LD,8,45,312.0,298,9.0,20.0,12,5,1,17,7,3
LD,8,45,312.0,356,24.0,63.0,11,5,5,18,8,8
LD,8,45,312.0,417,28.0,60.0,13,6,12,18,10,15
LD,8,45,312.0,523,20.0,36.0,17,7,12,21,10,15
LD,8,45,312.0,559,14.0,20.0,17,7,6,22,9,8
LD,8,45,312.0,637,12.0,18.0,21,7,12,24,9,15
LD,8,45,312.0,638,6.0,6.0,19,11,5,22,12,7
LD,8,45,312.0,673,27.0,96.0,19,11,5,25,15,9
LD,8,45,312.0,674,2.0,2.0,21,13,18,23,14,19
LD,8,45,312.0,699,5.0,12.0,22,4,2,25,6,4
LD,8,45,312.0,700,9.0,18.0,22,7,6,25,9,9
LD,8,45,312.0,702,6.0,16.0,23,11,9,27,13,11
LD,8,45,312.0,703,8.0,16.0,21,13,17,25,15,19
LD,8,45,312.0,724,7.0,12.0,23,4,1,26,6,3
LD,8,45,312.0,725,20.0,80.0,22,6,7,27,10,11
LD,8,45,312.0,726,1.0,1.0,24,12,8,25,13,9
LD,8,46,309.0,1,3.0,4.0,7,9,3,9,11,4
LD,8,46,309.0,7,12.0,45.0,8,14,10,13,17,13
LD,8,46,309.0,34,2.0,2.0,9,13,13,11,14,14
LD,8,46,309.0,90,13.0,20.0,8,9,2,13,11,4
LD,8,46,309.0,91,27.0,42.0,9,12,14,16,14,17
LD,8,46,309.0,170,8.0,16.0,11,17,14,15,19,16
LD,8,46,309.0,299,5.0,6.0,13,17,8,16,18,10
LD,8,46,309.0,300,24.0,54.0,12,18,11,21,20,14
LD,8,46,309.0,355,29.0,48.0,13,2,3,21,4,6
LD,8,46,309.0,357,10.0,27.0,14,12,13,17,15,16
LD,8,46,309.0,419,3.0,4.0,16,17,8,18,18,10
LD,8,46,309.0,525,4.0,6.0,17,13,13,20,14,15
LD,8,46,309.0,561,6.0,12.0,18,17,8,21,19,10
LD,8,46,309.0,639,5.0,6.0,20,15,5,23,17,6
LD,8,46,309.0,640,2.0,2.0,21,17,8,22,19,9
LD,8,46,309.0,675,36.0,84.0,18,13,11,25,16,15
LD,8,46,309.0,701,9.0,16.0,21,7,1,25,9,3
LD,8,46,309.0,704,5.0,6.0,22,17,8,25,18,10
LD,8,47,188.0,93,4.0,6.0,10,9,10,13,10,12
LD,8,47,188.0,172,1.0,1.0,12,9,11,13,10,12
LD,8,47,188.0,238,3.0,3.0,12,14,11,15,15,12
LD,8,47,188.0,301,8.0,16.0,13,9,11,17,11,13
LD,8,47,188.0,358,7.0,10.0,12,7,0,17,8,2
LD,8,47,188.0,360,3.0,3.0,14,12,6,17,13,7
LD,8,47,188.0,464,4.0,6.0,16,2,7,19,4,8
LD,8,47,188.0,465,1.0,1.0,17,8,9,18,9,10
LD,8,47,188.0,524,2.0,2.0,18,3,8,20,4,9
LD,8,48,218.0,171,4.0,6.0,12,4,5,15,6,6
LD,8,48,218.0,241,8.0,12.0,12,15,4,15,17,6
LD,8,48,218.0,466,2.0,2.0,16,6,12,18,7,13
LD,8,48,218.0,468,8.0,16.0,16,7,11,20,9,13
LD,8,48,218.0,470,12.0,20.0,15,14,10,20,16,12
LD,8,48,218.0,604,2.0,2.0,20,3,10,21,5,11
LD,8,48,218.0,642,7.0,8.0,20,10,13,24,11,15
LD,8,49,292.0,92,2.0,2.0,11,3,4,13,4,5
LD,8,49,292.0,94,4.0,6.0,10,12,10,13,14,11
LD,8,49,292.0,239,35.0,96.0,10,9,4,18,12,8
LD,8,49,292.0,359,12.0,24.0,13,4,11,17,7,13
LD,8,49,292.0,363,4.0,4.0,14,20,5,16,21,7
LD,8,49,292.0,467,9.0,12.0,16,5,11,19,7,13
LD,8,49,292.0,469,16.0,28.0,14,11,10,21,13,12
LD,8,49,292.0,641,6.0,6.0,21,7,7,24,8,9
LD,8,49,292.0,676,15.0,20.0,20,15,10,25,17,12
LD,8,51,227.0,173,3.0,4.0,11,5,7,13,7,8
LD,8,51,227.0,240,23.0,60.0,11,5,3,16,8,7
LD,8,51,227.0,471,9.0,24.0,14,8,7,20,10,9
LD,8,51,227.0,562,2.0,2.0,19,9,8,21,10,9
LD,8,52,273.0,35,7.0,16.0,9,11,4,13,13,6
LD,8,52,273.0,36,13.0,24.0,8,12,11,12,15,13
LD,8,52,273.0,95,2.0,2.0,10,8,5,12,9,6
LD,8,52,273.0,96,1.0,1.0,11,15,2,12,16,3
LD,8,52,273.0,97,9.0,16.0,10,15,12,14,17,14
LD,8,52,273.0,98,11.0,30.0,9,16,6,14,18,9
LD,8,52,273.0,174,2.0,2.0,12,7,5,14,8,6
LD,8,52,273.0,302,11.0,12.0,12,15,1,18,16,3
LD,8,52,273.0,361,7.0,8.0,14,5,9,18,6,11
LD,8,52,273.0,362,1.0,1.0,15,7,1,16,8,2
LD,8,52,273.0,420,3.0,3.0,15,10,0,18,11,1
LD,8,52,273.0,421,2.0,2.0,16,13,3,18,14,4
LD,8,52,273.0,472,1.0,1.0,17,15,1,18,16,2
LD,8,52,273.0,563,1.0,1.0,19,5,10,20,6,11
LD,8,52,273.0,605,2.0,2.0,20,17,9,21,18,11
LD,8,53,128.0,175,8.0,16.0,11,11,8,15,13,10
LD,8,53,128.0,564,4.0,4.0,19,12,4,21,13,6
LD,8,53,128.0,742,8.0,8.0,23,11,7,27,12,9
LD,8,55,181.0,303,1.0,1.0,14,15,7,15,16,8
LD,8,56,192.0,100,10.0,32.0,10,11,8,14,15,10
LD,8,56,192.0,176,1.0,1.0,12,11,10,13,12,11
LD,8,56,192.0,243,2.0,2.0,13,11,9,14,12,11
LD,8,56,192.0,244,4.0,6.0,12,13,9,15,15,10
LD,8,56,192.0,364,6.0,12.0,14,8,11,16,11,13
LD,8,56,192.0,422,14.0,24.0,14,8,11,18,11,13
LD,8,56,192.0,526,11.0,27.0,17,8,11,20,11,14
