organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,2,23,232.0,7,12.0,24.0,10,14,5,16,16,7
golgi,2,40,240.0,4,1.0,1.0,11,3,9,12,4,10
golgi,2,51,211.0,11,7.0,12.0,19,8,11,25,10,12
golgi,2,55,68.0,2,9.0,24.0,7,5,3,11,7,6
golgi,2,55,68.0,3,8.0,24.0,9,6,3,13,9,5
golgi,2,75,223.0,1,5.0,5.0,7,2,10,12,3,11
golgi,2,89,374.0,5,11.0,12.0,9,15,14,15,16,16
golgi,2,101,130.0,6,6.0,8.0,9,8,9,13,10,10
golgi,2,101,130.0,8,1.0,1.0,13,10,10,14,11,11
golgi,2,111,261.0,9,2.0,2.0,13,4,4,15,5,5
golgi,2,126,157.0,10,1.0,1.0,16,12,7,17,13,8
