organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,0,3,200.0,13,403.0,2310.0,1,0,3,16,14,14
mitochondria,0,3,200.0,256,45.0,99.0,8,3,3,19,6,6
mitochondria,0,3,200.0,270,2.0,2.0,9,5,14,11,6,15
mitochondria,0,4,146.0,159,386.0,2106.0,3,3,0,21,12,13
mitochondria,0,4,146.0,444,59.0,416.0,18,2,2,31,6,10
mitochondria,0,4,146.0,558,1.0,1.0,23,6,1,24,7,2
mitochondria,0,4,146.0,787,1.0,1.0,29,4,6,30,5,7
mitochondria,0,5,221.0,14,894.0,6045.0,1,3,0,32,18,13
mitochondria,0,5,221.0,296,2.0,2.0,11,13,6,12,14,8
mitochondria,0,5,221.0,445,27.0,99.0,18,1,4,29,4,7
mitochondria,0,5,221.0,515,1.0,1.0,21,17,3,22,18,4
mitochondria,0,5,221.0,758,12.0,32.0,28,5,1,30,9,5
mitochondria,0,6,191.0,160,121.0,450.0,3,3,11,13,12,16
mitochondria,0,6,191.0,213,48.0,240.0,4,4,4,9,12,10
mitochondria,0,6,191.0,226,2.0,2.0,5,3,10,6,4,12
mitochondria,0,6,191.0,325,2.0,2.0,12,5,15,14,6,16
mitochondria,0,6,191.0,326,2.0,2.0,12,7,3,13,9,4
mitochondria,0,6,191.0,405,8.0,24.0,16,3,13,20,6,15
mitochondria,0,6,191.0,535,1.0,1.0,22,10,11,23,11,12
mitochondria,0,6,191.0,622,8.0,24.0,25,9,8,29,11,11
mitochondria,0,7,71.0,62,434.0,1134.0,2,2,0,23,8,9
mitochondria,0,8,222.0,63,528.0,3360.0,2,2,0,18,17,14
mitochondria,0,8,222.0,490,23.0,168.0,20,2,3,27,6,9
mitochondria,0,8,222.0,516,38.0,112.0,21,8,10,28,12,14
mitochondria,0,8,222.0,623,7.0,12.0,25,5,3,29,8,4
mitochondria,0,9,174.0,64,778.0,4785.0,2,1,0,31,16,11
mitochondria,0,9,174.0,327,9.0,12.0,12,15,7,16,16,10
mitochondria,0,9,174.0,468,2.0,4.0,19,14,7,21,15,9
mitochondria,0,10,194.0,67,777.0,4200.0,2,0,0,22,15,14
mitochondria,0,10,194.0,271,1.0,1.0,9,7,4,10,8,5
mitochondria,0,10,194.0,669,51.0,245.0,26,7,5,31,14,12
mitochondria,0,11,68.0,257,32.0,72.0,8,6,5,16,9,8
mitochondria,0,11,68.0,424,121.0,624.0,17,2,2,30,10,8
mitochondria,0,12,131.0,66,435.0,3393.0,2,3,0,31,12,13
mitochondria,0,12,131.0,467,4.0,4.0,19,4,1,21,6,2
mitochondria,0,12,131.0,671,20.0,84.0,26,7,2,30,10,9
mitochondria,0,13,197.0,65,113.0,616.0,2,4,4,9,12,15
mitochondria,0,13,197.0,258,1.0,1.0,8,9,14,9,10,15
mitochondria,0,13,197.0,272,3.0,12.0,9,4,11,11,6,14
mitochondria,0,13,197.0,282,170.0,450.0,10,4,12,25,9,18
mitochondria,0,13,197.0,283,32.0,128.0,10,8,2,18,12,6
mitochondria,0,13,197.0,350,2.0,8.0,13,2,5,15,4,7
mitochondria,0,13,197.0,624,15.0,60.0,25,9,5,30,12,9
mitochondria,0,13,197.0,670,1.0,1.0,26,8,13,27,9,14
mitochondria,0,14,204.0,161,581.0,5824.0,3,2,0,31,18,13
mitochondria,0,14,204.0,469,1.0,1.0,19,10,12,20,11,13
mitochondria,0,14,204.0,492,3.0,4.0,20,16,5,22,18,6
mitochondria,0,14,204.0,591,49.0,126.0,24,4,2,31,10,5
mitochondria,0,14,204.0,625,7.0,16.0,25,10,10,29,12,12
mitochondria,0,15,205.0,68,504.0,2688.0,2,1,0,16,13,16
mitochondria,0,15,205.0,406,1.0,1.0,16,3,12,17,4,13
mitochondria,0,15,205.0,407,1.0,1.0,16,4,4,17,5,5
mitochondria,0,15,205.0,446,19.0,48.0,18,10,0,22,13,4
mitochondria,0,15,205.0,491,21.0,40.0,20,3,4,30,5,6
mitochondria,0,15,205.0,560,26.0,168.0,23,9,2,30,13,8
mitochondria,0,15,205.0,626,9.0,16.0,25,8,10,29,10,12
mitochondria,0,17,75.0,69,394.0,1863.0,2,1,0,25,10,9
mitochondria,0,18,199.0,70,291.0,1680.0,2,2,0,12,14,14
mitochondria,0,18,199.0,297,29.0,48.0,11,1,7,19,3,10
mitochondria,0,18,199.0,365,15.0,48.0,14,13,6,20,15,10
mitochondria,0,18,199.0,517,3.0,4.0,21,12,9,23,13,11
mitochondria,0,18,199.0,559,16.0,54.0,23,3,8,29,6,11
mitochondria,0,18,199.0,627,16.0,60.0,25,11,5,30,13,11
mitochondria,0,18,199.0,759,1.0,1.0,28,7,11,29,8,12
mitochondria,0,19,226.0,162,588.0,3510.0,3,2,5,21,15,20
mitochondria,0,19,226.0,227,25.0,96.0,5,2,1,13,6,4
mitochondria,0,19,226.0,408,1.0,1.0,16,7,19,17,8,20
mitochondria,0,19,226.0,425,17.0,24.0,17,2,11,23,3,15
mitochondria,0,19,226.0,592,16.0,80.0,24,4,6,28,9,10
mitochondria,0,19,226.0,719,5.0,6.0,27,4,12,30,5,14
mitochondria,0,19,226.0,720,22.0,96.0,27,8,9,30,12,17
mitochondria,0,20,137.0,73,1028.0,4092.0,2,2,1,33,14,12
mitochondria,0,20,137.0,788,10.0,27.0,29,5,7,32,8,10
mitochondria,0,21,192.0,72,626.0,3780.0,2,1,1,20,16,15
mitochondria,0,21,192.0,493,23.0,108.0,20,6,2,29,10,5
mitochondria,0,21,192.0,672,24.0,96.0,26,4,7,30,8,13
mitochondria,0,21,192.0,674,1.0,1.0,26,12,4,27,13,5
mitochondria,0,21,192.0,675,15.0,60.0,26,11,7,30,14,12
mitochondria,0,22,71.0,71,297.0,1197.0,2,1,0,21,8,9
mitochondria,0,24,185.0,74,483.0,2700.0,2,2,1,17,17,13
mitochondria,0,24,185.0,494,1.0,1.0,20,3,11,21,4,12
mitochondria,0,24,185.0,518,6.0,9.0,21,8,2,24,11,3
