organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,2,2,197.0,81,56.0,96.0,13,10,7,21,13,11
peroxisome,2,2,197.0,199,53.0,84.0,21,10,7,28,13,11
peroxisome,2,5,221.0,57,1.0,1.0,15,10,13,16,11,14
peroxisome,2,8,177.0,215,93.0,275.0,22,9,5,33,14,10
peroxisome,2,9,169.0,95,17.0,30.0,16,1,9,21,4,11
peroxisome,2,10,173.0,114,31.0,80.0,17,4,12,22,8,16
peroxisome,2,10,173.0,148,15.0,27.0,21,4,12,24,7,15
peroxisome,2,11,162.0,96,3.0,4.0,17,5,4,19,6,6
peroxisome,2,12,230.0,82,53.0,84.0,14,13,8,21,16,12
peroxisome,2,13,159.0,97,24.0,45.0,15,0,5,20,3,8
peroxisome,2,14,195.0,125,27.0,54.0,17,3,1,23,6,4
peroxisome,2,16,232.0,67,17.0,24.0,14,0,8,18,2,11
peroxisome,2,16,232.0,150,2.0,2.0,21,13,6,23,14,7
peroxisome,2,16,232.0,216,60.0,96.0,23,9,13,31,12,17
peroxisome,2,16,232.0,233,11.0,18.0,27,12,10,30,14,13
peroxisome,2,17,347.0,35,1.0,1.0,12,16,2,13,17,3
peroxisome,2,17,347.0,116,2.0,2.0,18,9,1,20,10,2
peroxisome,2,17,347.0,168,12.0,24.0,21,12,0,25,15,2
peroxisome,2,18,146.0,126,4.0,6.0,18,7,13,21,9,14
peroxisome,2,18,146.0,149,19.0,36.0,19,6,12,25,9,14
peroxisome,2,19,159.0,8,19.0,45.0,6,5,6,11,8,9
peroxisome,2,19,159.0,126,2.0,2.0,19,4,1,21,5,2
peroxisome,2,19,159.0,149,8.0,10.0,19,3,1,24,5,2
peroxisome,2,23,232.0,9,38.0,54.0,7,12,2,13,15,5
peroxisome,2,23,232.0,68,13.0,24.0,14,10,0,18,13,2
peroxisome,2,24,206.0,36,14.0,16.0,11,12,3,15,14,5
peroxisome,2,24,206.0,83,29.0,60.0,15,12,7,20,15,11
peroxisome,2,26,359.0,239,8.0,16.0,28,5,19,32,7,21
peroxisome,2,26,359.0,250,2.0,2.0,30,6,19,31,7,21
peroxisome,2,29,164.0,127,20.0,48.0,19,6,6,22,10,10
peroxisome,2,29,164.0,169,29.0,80.0,19,6,6,24,10,10
peroxisome,2,30,240.0,200,12.0,36.0,24,9,0,28,12,3
peroxisome,2,30,240.0,201,2.0,2.0,25,10,7,26,12,8
peroxisome,2,31,188.0,26,2.0,2.0,11,12,7,13,13,8
peroxisome,2,31,188.0,44,4.0,6.0,12,13,6,15,14,8
peroxisome,2,32,81.0,98,19.0,36.0,16,0,1,20,3,4
peroxisome,2,32,81.0,151,39.0,63.0,19,0,2,26,3,5
peroxisome,2,32,81.0,202,2.0,2.0,25,1,4,27,2,5
peroxisome,2,33,234.0,128,14.0,30.0,16,4,0,21,7,2
peroxisome,2,33,234.0,171,69.0,144.0,16,3,0,28,7,3
peroxisome,2,33,234.0,225,6.0,12.0,26,8,1,29,10,3
peroxisome,2,35,240.0,251,111.0,240.0,24,11,3,36,15,8
peroxisome,2,36,220.0,10,7.0,24.0,7,4,7,11,6,10
peroxisome,2,36,220.0,119,5.0,8.0,19,15,5,21,17,7
peroxisome,2,36,220.0,153,7.0,12.0,20,15,5,23,17,7
peroxisome,2,37,184.0,117,4.0,8.0,18,8,8,20,10,10
peroxisome,2,37,184.0,118,2.0,2.0,18,10,8,20,11,9
peroxisome,2,38,199.0,252,2.0,2.0,30,7,3,31,8,5
peroxisome,2,39,126.0,129,11.0,27.0,19,2,5,22,5,8
peroxisome,2,40,240.0,152,27.0,45.0,20,3,11,25,6,14
peroxisome,2,40,240.0,183,7.0,12.0,22,17,9,25,19,11
peroxisome,2,40,240.0,240,18.0,36.0,28,9,12,32,12,15
peroxisome,2,40,240.0,259,2.0,2.0,30,11,11,32,12,12
peroxisome,2,42,197.0,234,1.0,1.0,28,2,10,29,3,11
peroxisome,2,43,244.0,130,6.0,12.0,20,11,13,22,13,16
peroxisome,2,43,244.0,154,7.0,12.0,21,11,13,23,13,16
peroxisome,2,43,244.0,184,1.0,1.0,23,11,14,24,12,15
peroxisome,2,43,244.0,260,26.0,48.0,30,10,5,34,13,9
peroxisome,2,45,198.0,37,37.0,63.0,9,7,0,16,10,3
peroxisome,2,45,198.0,226,3.0,3.0,26,6,0,29,7,1
peroxisome,2,45,198.0,227,9.0,27.0,26,9,1,29,12,4
peroxisome,2,46,149.0,37,2.0,2.0,11,3,12,13,4,13
peroxisome,2,47,186.0,18,30.0,45.0,7,6,0,12,9,3
peroxisome,2,47,186.0,38,26.0,48.0,10,12,7,14,15,11
peroxisome,2,47,186.0,99,48.0,105.0,15,0,4,22,3,9
peroxisome,2,49,243.0,155,28.0,54.0,19,0,6,25,3,9
peroxisome,2,49,243.0,157,82.0,270.0,17,11,11,26,16,17
peroxisome,2,49,243.0,185,34.0,54.0,21,13,5,27,16,8
peroxisome,2,49,243.0,253,2.0,2.0,30,12,8,31,14,9
peroxisome,2,50,233.0,85,6.0,12.0,16,2,0,19,4,2
peroxisome,2,50,233.0,203,1.0,1.0,25,1,2,26,2,3
peroxisome,2,51,211.0,70,27.0,60.0,15,5,1,20,8,5
peroxisome,2,51,211.0,86,80.0,225.0,13,1,8,22,6,13
peroxisome,2,51,211.0,120,62.0,160.0,16,13,5,24,17,10
peroxisome,2,51,211.0,204,37.0,72.0,23,12,1,29,15,5
peroxisome,2,52,351.0,11,6.0,18.0,8,12,6,10,15,9
peroxisome,2,52,351.0,156,34.0,60.0,19,2,16,24,5,20
peroxisome,2,52,351.0,158,50.0,150.0,19,9,2,25,14,7
peroxisome,2,52,351.0,172,10.0,27.0,21,12,18,24,15,21
peroxisome,2,52,351.0,217,54.0,96.0,24,4,18,30,8,22
peroxisome,2,52,351.0,218,22.0,36.0,24,15,6,28,18,9
peroxisome,2,52,351.0,261,24.0,54.0,28,7,17,34,10,20
peroxisome,2,54,152.0,132,60.0,105.0,17,5,1,24,8,6
