organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,3,1,241.0,65535,664.0,7140.0,3,1,0,31,16,17
ER,3,2,226.0,65535,388.0,6048.0,4,0,2,31,16,16
ER,3,3,194.0,65535,342.0,6090.0,4,0,1,33,15,15
ER,3,4,145.0,65535,431.0,4901.0,3,0,0,32,13,13
ER,3,5,208.0,65535,305.0,6240.0,5,0,1,31,15,17
ER,3,6,154.0,65535,223.0,4368.0,4,0,1,32,12,14
ER,3,7,252.0,65535,777.0,8381.0,2,1,0,31,18,17
ER,3,8,179.0,65535,635.0,7072.0,3,1,0,37,14,16
ER,3,9,205.0,65535,614.0,7308.0,3,0,0,32,18,14
ER,3,10,204.0,65535,794.0,7392.0,1,1,1,34,15,17
ER,3,11,325.0,65535,1151.0,10440.0,3,2,0,32,20,20
ER,3,12,193.0,65535,703.0,6944.0,1,1,0,32,15,16
ER,3,13,211.0,65535,594.0,6496.0,2,1,0,31,15,16
ER,3,14,237.0,65535,838.0,8352.0,2,1,0,31,19,16
ER,3,15,224.0,65535,790.0,6664.0,3,1,1,31,15,18
ER,3,16,75.0,65535,222.0,2250.0,3,1,0,28,10,10
ER,3,17,164.0,65535,595.0,5278.0,2,1,0,31,15,13
ER,3,18,175.0,65535,587.0,6272.0,3,1,0,31,15,16
ER,3,19,216.0,65535,718.0,6944.0,2,2,0,33,16,16
ER,3,20,258.0,65535,819.0,9180.0,3,0,0,33,17,18
ER,3,21,174.0,65535,536.0,5096.0,2,2,0,30,15,14
ER,3,22,193.0,65535,620.0,5760.0,3,1,0,33,17,12
ER,3,23,228.0,65535,718.0,5460.0,3,3,1,31,18,14
ER,3,24,188.0,65535,582.0,5670.0,3,1,0,30,15,15
ER,3,25,224.0,65535,675.0,7680.0,2,1,0,32,17,16
ER,3,26,220.0,65535,558.0,7140.0,3,1,1,31,18,16
ER,3,28,71.0,65535,247.0,2430.0,2,0,0,29,10,9
ER,3,29,140.0,65535,495.0,4466.0,3,0,0,32,14,11
ER,3,30,165.0,65535,529.0,5096.0,3,0,0,31,13,14
ER,3,31,195.0,65535,626.0,6300.0,3,1,0,31,16,15
ER,3,32,233.0,65535,670.0,7560.0,3,2,0,31,17,18
ER,3,33,397.0,65535,1143.0,11571.0,2,2,1,31,21,22
ER,3,34,153.0,65535,523.0,5400.0,4,1,0,34,13,15
ER,3,35,63.0,65535,142.0,1386.0,3,1,0,25,8,9
ER,3,36,184.0,65535,679.0,6032.0,3,1,0,32,14,16
ER,3,37,153.0,65535,508.0,4704.0,3,1,0,31,13,14
ER,3,38,194.0,65535,543.0,5488.0,2,1,0,30,15,14
ER,3,39,191.0,65535,522.0,6409.0,2,1,0,31,14,17
ER,3,40,216.0,65535,835.0,7920.0,1,2,0,34,17,16
ER,3,42,178.0,65535,532.0,5460.0,3,1,0,31,14,15
ER,3,43,237.0,65535,674.0,8160.0,1,0,0,31,16,17
ER,3,44,204.0,65535,701.0,7140.0,3,0,0,31,15,17
ER,3,46,204.0,65535,721.0,6720.0,2,0,0,32,16,14
ER,3,47,232.0,65535,872.0,8352.0,3,1,0,32,19,16
ER,3,48,223.0,65535,822.0,8100.0,2,1,0,32,19,15
ER,3,49,184.0,65535,661.0,7020.0,2,1,0,32,14,18
ER,3,50,241.0,65535,805.0,8512.0,2,1,0,34,15,19
ER,3,51,243.0,65535,765.0,8092.0,4,1,0,32,18,17
ER,3,52,174.0,65535,705.0,6032.0,3,0,1,32,13,17
ER,3,53,180.0,65535,599.0,5096.0,3,1,1,31,14,15
ER,3,56,210.0,65535,778.0,7488.0,2,0,1,34,18,14
ER,3,57,177.0,65535,612.0,6240.0,3,0,1,33,13,17
ER,3,59,203.0,65535,770.0,6496.0,3,1,0,32,15,16
ER,3,60,151.0,65535,449.0,4524.0,2,1,1,31,13,14
ER,3,61,187.0,65535,598.0,6048.0,3,1,0,31,19,12
ER,3,62,255.0,65535,832.0,8352.0,2,1,0,31,17,18
ER,3,63,209.0,65535,645.0,6750.0,2,2,0,32,17,15
ER,3,66,50.0,65535,186.0,1078.0,4,1,0,26,8,7
ER,3,67,173.0,65535,667.0,5880.0,3,0,0,31,15,14
ER,3,68,182.0,65535,585.0,6664.0,3,0,0,31,14,17
ER,3,70,233.0,65535,704.0,6720.0,3,1,0,31,17,15
ER,3,72,226.0,65535,807.0,9792.0,3,1,0,37,19,16
ER,3,75,128.0,65535,542.0,4320.0,2,1,0,32,13,12
ER,3,76,188.0,65535,713.0,6496.0,3,1,0,32,15,16
ER,3,77,186.0,65535,566.0,5655.0,3,2,0,32,17,13
ER,3,78,239.0,65535,806.0,7560.0,3,1,0,31,19,15
ER,3,80,157.0,65535,541.0,5568.0,4,1,0,33,17,12
ER,3,81,185.0,65535,537.0,5278.0,4,2,0,33,15,14
ER,3,82,221.0,65535,508.0,7395.0,3,1,0,32,16,17
ER,3,85,167.0,65535,591.0,5220.0,4,1,0,33,16,12
ER,3,87,166.0,65535,467.0,5220.0,2,1,0,31,13,15
ER,3,88,159.0,65535,479.0,4704.0,5,2,0,33,14,14
ER,3,89,257.0,65535,655.0,8352.0,3,0,0,32,18,16
ER,3,90,185.0,65535,682.0,6448.0,3,2,0,34,15,16
ER,3,91,243.0,65535,782.0,8928.0,4,1,0,35,19,16
ER,3,92,215.0,65535,586.0,6960.0,3,2,0,32,18,15
ER,3,93,180.0,65535,468.0,5220.0,4,2,0,33,17,12
ER,3,94,227.0,65535,748.0,7680.0,3,1,0,33,17,16
ER,3,95,138.0,65535,524.0,4320.0,3,1,0,33,13,12
ER,3,96,205.0,65535,498.0,5824.0,4,6,0,32,22,13
ER,3,97,177.0,65535,502.0,5670.0,4,0,0,31,14,15
ER,3,99,206.0,65535,592.0,6090.0,4,2,0,33,17,14
ER,3,100,195.0,65535,546.0,6496.0,4,1,0,33,17,14
ER,3,101,84.0,65535,276.0,2475.0,4,0,0,29,11,9
ER,3,102,212.0,65535,651.0,6525.0,3,2,0,32,17,15
ER,3,103,288.0,65535,937.0,11040.0,3,1,0,33,17,23
ER,3,105,167.0,65535,525.0,5568.0,4,1,0,33,17,12
ER,3,108,171.0,65535,568.0,5460.0,4,1,0,32,14,15
ER,3,109,196.0,65535,683.0,6720.0,3,1,0,33,15,16
ER,3,112,233.0,65535,466.0,7905.0,4,3,1,35,20,16
ER,3,113,119.0,65535,246.0,3042.0,5,2,0,31,11,13
ER,3,115,187.0,65535,316.0,6448.0,4,2,0,35,15,16
ER,3,116,146.0,65535,379.0,4680.0,3,2,0,33,14,13
ER,3,118,133.0,65535,361.0,4147.0,3,2,0,32,13,13
ER,3,119,232.0,65535,526.0,7440.0,4,2,0,35,18,15
ER,3,120,187.0,65535,533.0,8092.0,3,1,0,37,18,14
ER,3,121,128.0,65535,408.0,4872.0,3,0,0,32,12,14
