organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,8,1,204.0,41,5.0,8.0,10,7,7,14,9,8
LD,8,1,204.0,42,24.0,45.0,10,13,7,15,16,10
LD,8,4,135.0,9,15.0,45.0,9,8,1,14,11,4
LD,8,4,135.0,225,4.0,6.0,14,1,7,17,3,8
LD,8,4,135.0,226,2.0,2.0,15,8,3,17,9,4
LD,8,4,135.0,227,11.0,20.0,13,8,2,18,10,4
LD,8,4,135.0,335,3.0,4.0,17,8,3,19,9,5
LD,8,5,211.0,43,2.0,2.0,11,7,10,13,8,11
LD,8,6,230.0,92,35.0,60.0,10,11,10,15,15,13
LD,8,7,256.0,44,15.0,30.0,10,5,9,15,8,11
LD,8,7,256.0,90,15.0,36.0,11,4,10,14,7,14
LD,8,7,256.0,265,9.0,20.0,15,16,10,20,18,12
LD,8,7,256.0,294,1.0,1.0,17,3,11,18,4,12
LD,8,7,256.0,357,28.0,81.0,14,4,7,23,7,10
LD,8,7,256.0,447,11.0,36.0,22,5,7,26,8,10
LD,8,8,243.0,8,6.0,12.0,10,3,9,13,5,11
LD,8,8,243.0,45,4.0,6.0,10,4,10,13,5,12
LD,8,8,243.0,91,12.0,27.0,11,4,12,14,7,15
LD,8,8,243.0,358,5.0,6.0,18,11,10,21,13,11
LD,8,8,243.0,430,7.0,8.0,20,11,10,24,13,11
LD,8,8,243.0,448,3.0,4.0,23,12,1,25,13,3
LD,8,10,176.0,147,1.0,1.0,13,3,3,14,4,4
LD,8,10,176.0,181,2.0,2.0,14,12,13,16,13,14
LD,8,10,176.0,266,8.0,16.0,15,10,11,19,12,13
LD,8,12,197.0,94,23.0,45.0,10,8,3,15,11,6
LD,8,12,197.0,431,3.0,4.0,22,3,6,24,4,8
LD,8,13,242.0,93,1.0,1.0,12,4,3,13,5,4
LD,8,13,242.0,148,1.0,1.0,13,4,4,14,5,5
LD,8,13,242.0,182,3.0,4.0,13,2,5,15,4,6
LD,8,13,242.0,183,2.0,2.0,13,3,4,15,4,5
LD,8,13,242.0,432,13.0,24.0,20,2,5,24,4,8
LD,8,14,223.0,10,1.0,1.0,10,4,5,11,5,6
LD,8,14,223.0,46,2.0,2.0,10,4,4,12,5,5
LD,8,14,223.0,47,6.0,12.0,10,3,10,13,5,12
LD,8,14,223.0,295,2.0,2.0,17,3,3,18,5,4
LD,8,15,111.0,2,30.0,45.0,8,5,5,13,8,8
LD,8,15,111.0,48,7.0,16.0,10,5,10,14,7,12
LD,8,15,111.0,95,3.0,4.0,12,5,10,14,6,12
LD,8,15,111.0,359,12.0,24.0,18,3,10,22,6,12
LD,8,15,111.0,466,7.0,12.0,23,4,3,26,6,5
LD,8,16,186.0,11,25.0,63.0,8,6,3,15,9,6
LD,8,16,186.0,184,2.0,2.0,13,14,7,15,15,8
LD,8,16,186.0,296,2.0,2.0,16,1,7,18,2,8
LD,8,16,186.0,336,4.0,6.0,17,11,12,19,12,15
LD,8,16,186.0,360,16.0,36.0,17,11,12,23,13,15
LD,8,16,186.0,395,21.0,36.0,17,8,1,23,10,4
LD,8,17,181.0,96,3.0,4.0,12,10,1,14,11,3
LD,8,20,223.0,97,19.0,24.0,10,12,5,14,14,8
LD,8,22,182.0,98,1.0,1.0,12,5,10,13,6,11
LD,8,22,182.0,411,4.0,6.0,20,3,7,23,4,9
LD,8,23,197.0,12,6.0,12.0,9,5,5,12,7,7
LD,8,23,197.0,228,2.0,2.0,14,2,8,16,3,9
LD,8,24,217.0,99,4.0,4.0,11,6,14,13,7,16
LD,8,24,217.0,149,29.0,72.0,10,6,14,16,10,17
LD,8,24,217.0,229,3.0,3.0,14,8,7,17,9,8
LD,8,24,217.0,230,2.0,2.0,15,10,5,17,11,6
LD,8,24,217.0,361,2.0,2.0,19,5,15,20,7,16
LD,8,25,229.0,100,10.0,24.0,10,6,4,14,8,7
LD,8,26,120.0,363,9.0,15.0,17,10,3,22,11,6
LD,8,26,120.0,412,1.0,1.0,21,10,3,22,11,4
LD,8,27,360.0,49,29.0,60.0,9,10,4,14,14,7
LD,8,27,360.0,101,1.0,1.0,12,7,5,13,8,6
LD,8,27,360.0,102,4.0,6.0,11,15,7,14,16,9
LD,8,27,360.0,297,16.0,32.0,15,3,8,19,5,12
LD,8,27,360.0,337,9.0,12.0,17,8,14,20,10,16
LD,8,27,360.0,339,28.0,72.0,16,16,3,24,19,6
LD,8,27,360.0,362,15.0,32.0,19,4,8,23,6,12
LD,8,27,360.0,433,3.0,3.0,21,16,12,24,17,13
LD,8,28,373.0,3,1.0,1.0,9,15,10,10,16,11
LD,8,28,373.0,14,2.0,2.0,10,14,12,11,15,14
LD,8,28,373.0,15,5.0,6.0,9,15,9,12,16,11
LD,8,28,373.0,16,2.0,2.0,10,22,12,11,24,13
LD,8,28,373.0,51,2.0,2.0,10,15,11,12,16,12
LD,8,28,373.0,232,2.0,2.0,14,13,8,16,14,9
LD,8,30,170.0,13,13.0,24.0,9,7,11,13,9,14
LD,8,30,170.0,185,3.0,4.0,14,10,13,16,11,15
LD,8,30,170.0,231,1.0,1.0,15,10,14,16,11,15
LD,8,31,181.0,298,9.0,18.0,15,5,12,18,7,15
LD,8,31,181.0,338,12.0,36.0,17,5,12,21,8,15
LD,8,31,181.0,364,3.0,3.0,18,7,12,21,8,13
LD,8,32,277.0,50,5.0,12.0,10,5,4,13,7,6
LD,8,32,277.0,103,32.0,90.0,10,8,16,15,14,19
LD,8,32,277.0,150,17.0,36.0,11,14,15,15,17,18
LD,8,32,277.0,186,7.0,16.0,12,4,4,16,6,6
LD,8,32,277.0,189,29.0,84.0,12,9,16,19,13,19
LD,8,32,277.0,365,3.0,4.0,19,10,17,21,12,18
LD,8,32,277.0,434,1.0,1.0,22,13,13,23,14,14
LD,8,33,247.0,187,1.0,1.0,14,7,16,15,8,17
LD,8,35,211.0,188,15.0,24.0,12,5,3,16,7,6
LD,8,35,211.0,267,4.0,6.0,16,6,2,19,7,4
LD,8,35,211.0,268,8.0,16.0,14,14,9,18,16,11
LD,8,35,211.0,299,30.0,45.0,15,4,3,20,7,6
LD,8,35,211.0,300,5.0,6.0,17,15,9,20,16,11
LD,8,35,211.0,396,2.0,2.0,20,15,9,21,16,11
LD,8,37,262.0,190,1.0,1.0,14,10,14,15,11,15
LD,8,38,187.0,104,5.0,6.0,11,8,7,14,9,9
LD,8,38,187.0,301,1.0,1.0,17,13,9,18,14,10
LD,8,38,187.0,397,11.0,20.0,18,14,3,23,16,5
LD,8,38,187.0,415,1.0,1.0,21,15,4,22,16,5
LD,8,39,388.0,17,1.0,1.0,10,12,13,11,13,14
LD,8,39,388.0,52,2.0,2.0,10,11,6,12,12,7
LD,8,39,388.0,53,6.0,9.0,10,13,13,13,16,14
LD,8,39,388.0,55,1.0,1.0,11,20,10,12,21,11
LD,8,39,388.0,106,8.0,12.0,11,18,12,14,20,14
LD,8,39,388.0,108,4.0,6.0,11,20,10,14,21,12
LD,8,39,388.0,151,2.0,2.0,13,9,18,14,11,19
LD,8,39,388.0,191,4.0,8.0,13,9,18,15,11,20
LD,8,39,388.0,233,17.0,30.0,12,7,8,17,10,10
LD,8,39,388.0,269,1.0,1.0,16,15,1,17,16,2
LD,8,39,388.0,340,42.0,84.0,16,7,7,23,10,11
LD,8,39,388.0,341,30.0,56.0,14,9,18,21,13,20
LD,8,39,388.0,342,6.0,8.0,17,19,4,21,20,6
LD,8,39,388.0,413,7.0,12.0,20,8,2,23,10,4
LD,8,39,388.0,414,10.0,16.0,20,9,10,24,11,12
LD,8,39,388.0,435,8.0,16.0,20,15,12,24,17,14
LD,8,40,261.0,54,5.0,5.0,11,8,9,16,9,10
LD,8,40,261.0,107,27.0,72.0,10,11,8,16,14,12
LD,8,40,261.0,193,10.0,18.0,12,11,12,15,13,15
LD,8,40,261.0,270,21.0,36.0,14,11,9,20,13,12
LD,8,40,261.0,450,21.0,36.0,20,11,5,26,13,8
LD,8,42,177.0,109,2.0,2.0,11,10,10,13,11,11
LD,8,42,177.0,152,2.0,2.0,13,5,3,14,6,5
LD,8,42,177.0,153,15.0,30.0,11,8,10,16,10,13
LD,8,42,177.0,192,7.0,16.0,13,5,3,17,7,5
LD,8,42,177.0,449,11.0,30.0,22,6,4,27,8,7
LD,8,43,648.0,56,4.0,8.0,10,12,9,12,14,11
LD,8,43,648.0,154,7.0,12.0,12,29,8,14,31,11
LD,8,43,648.0,194,1.0,1.0,14,14,8,15,15,9
LD,8,43,648.0,274,16.0,20.0,14,29,8,19,31,10
LD,8,43,648.0,367,1.0,1.0,19,29,9,20,30,10
LD,8,44,193.0,57,22.0,64.0,9,11,3,13,15,7
LD,8,44,193.0,110,10.0,24.0,11,5,2,15,7,5
