organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,5,8,241.0,78,1135.0,6647.0,7,0,0,30,17,17
mitochondria,5,8,241.0,155,4.0,6.0,17,12,12,20,14,13
mitochondria,5,8,241.0,191,1.0,1.0,22,11,12,23,12,13
mitochondria,5,8,241.0,203,9.0,12.0,24,6,0,27,8,2
mitochondria,5,8,241.0,237,7.0,12.0,29,16,6,32,18,8
mitochondria,5,10,191.0,14,799.0,4732.0,4,0,0,30,14,13
mitochondria,5,10,191.0,89,150.0,420.0,8,11,7,22,16,13
mitochondria,5,10,191.0,197,46.0,144.0,23,13,3,29,16,11
mitochondria,5,10,191.0,217,9.0,27.0,26,8,1,29,11,4
mitochondria,5,11,232.0,35,1919.0,6750.0,5,1,0,30,16,18
mitochondria,5,12,191.0,60,736.0,4784.0,6,0,2,29,16,15
mitochondria,5,12,191.0,79,301.0,736.0,7,4,0,30,12,4
mitochondria,5,12,191.0,98,1.0,1.0,10,6,6,11,7,7
mitochondria,5,12,191.0,102,2.0,2.0,11,8,8,13,9,9
mitochondria,5,12,191.0,122,4.0,8.0,14,7,6,16,9,8
mitochondria,5,12,191.0,192,23.0,48.0,22,2,5,26,4,11
mitochondria,5,16,255.0,80,1742.0,7680.0,7,1,0,31,17,20
mitochondria,5,18,186.0,16,1761.0,5625.0,5,0,1,30,15,16
mitochondria,5,18,186.0,95,3.0,4.0,9,7,8,11,8,10
mitochondria,5,19,153.0,15,1205.0,4914.0,4,0,0,31,13,14
mitochondria,5,19,153.0,175,8.0,12.0,20,5,7,23,7,9
mitochondria,5,21,265.0,5,2226.0,8208.0,3,1,0,30,20,16
mitochondria,5,22,131.0,16,968.0,4368.0,4,1,0,30,13,14
mitochondria,5,23,196.0,17,1445.0,6630.0,4,0,0,30,17,15
mitochondria,5,23,196.0,99,1.0,1.0,10,9,9,11,10,10
mitochondria,5,23,196.0,123,10.0,30.0,14,10,1,19,13,3
mitochondria,5,24,197.0,6,1933.0,7140.0,3,0,0,31,17,15
