organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,6,1,214.0,59,7.0,8.0,15,10,0,19,12,1
peroxisome,6,1,214.0,72,1.0,1.0,18,10,0,19,11,1
peroxisome,6,1,214.0,213,9.0,20.0,26,4,4,31,6,6
peroxisome,6,6,240.0,105,29.0,81.0,15,7,13,24,10,16
peroxisome,6,10,243.0,94,5.0,5.0,18,3,2,23,4,3
peroxisome,6,10,243.0,195,6.0,8.0,25,13,11,29,14,13
peroxisome,6,12,343.0,32,5.0,8.0,13,10,0,17,11,2
peroxisome,6,12,343.0,73,3.0,4.0,16,10,0,18,11,2
peroxisome,6,12,343.0,155,51.0,108.0,22,11,0,31,15,3
peroxisome,6,12,343.0,194,2.0,2.0,27,7,9,29,8,10
peroxisome,6,13,240.0,60,4.0,4.0,15,10,11,17,11,13
peroxisome,6,16,249.0,175,15.0,20.0,24,7,14,29,9,16
peroxisome,6,16,249.0,214,2.0,2.0,27,4,2,29,5,3
peroxisome,6,20,184.0,43,4.0,4.0,13,2,2,17,3,3
peroxisome,6,21,196.0,114,4.0,4.0,19,9,10,23,10,11
peroxisome,6,22,227.0,61,16.0,36.0,14,14,5,20,17,7
peroxisome,6,22,227.0,146,43.0,81.0,20,11,0,29,14,3
peroxisome,6,22,227.0,156,9.0,16.0,24,14,5,28,16,7
peroxisome,6,25,191.0,1,21.0,30.0,9,9,2,14,12,4
peroxisome,6,25,191.0,13,15.0,30.0,11,11,2,16,14,4
peroxisome,6,25,191.0,74,54.0,108.0,14,13,5,23,16,9
peroxisome,6,25,191.0,157,5.0,6.0,23,10,1,26,11,3
peroxisome,6,25,191.0,176,17.0,24.0,23,10,1,29,12,3
peroxisome,6,27,240.0,95,32.0,81.0,15,14,6,24,17,9
peroxisome,6,27,240.0,177,11.0,20.0,24,12,11,29,14,13
peroxisome,6,27,240.0,197,8.0,20.0,25,12,11,30,14,13
peroxisome,6,28,254.0,45,8.0,8.0,14,11,13,18,12,15
peroxisome,6,28,254.0,106,23.0,63.0,17,16,9,24,19,12
peroxisome,6,28,254.0,198,8.0,8.0,25,12,11,29,13,13
peroxisome,6,29,296.0,14,9.0,10.0,11,6,3,16,7,5
peroxisome,6,29,296.0,44,19.0,28.0,12,10,0,19,12,2
peroxisome,6,29,296.0,199,3.0,3.0,26,13,0,29,14,1
peroxisome,6,30,238.0,15,26.0,48.0,9,8,6,17,11,8
peroxisome,6,30,238.0,62,25.0,42.0,14,4,8,21,7,10
peroxisome,6,31,198.0,147,11.0,20.0,22,9,11,27,11,13
peroxisome,6,32,135.0,75,40.0,108.0,13,4,1,22,7,5
peroxisome,6,33,196.0,33,8.0,12.0,13,7,7,16,9,9
peroxisome,6,34,413.0,78,1.0,1.0,17,18,13,18,19,14
peroxisome,6,34,413.0,85,29.0,72.0,15,19,3,23,22,6
peroxisome,6,34,413.0,125,12.0,16.0,20,0,8,24,2,10
peroxisome,6,34,413.0,126,26.0,54.0,19,17,16,25,20,19
peroxisome,6,34,413.0,136,10.0,18.0,23,16,16,26,18,19
peroxisome,6,34,413.0,148,18.0,30.0,22,20,11,27,22,14
peroxisome,6,36,240.0,107,4.0,4.0,18,10,0,22,11,1
peroxisome,6,37,187.0,96,6.0,6.0,17,11,12,23,12,13
peroxisome,6,37,187.0,97,13.0,20.0,18,14,6,23,16,8
peroxisome,6,37,187.0,220,2.0,2.0,29,9,2,30,11,3
peroxisome,6,38,236.0,115,43.0,63.0,19,4,8,26,7,11
peroxisome,6,39,194.0,46,6.0,8.0,13,3,14,17,5,15
peroxisome,6,41,524.0,18,21.0,54.0,11,15,12,17,18,15
peroxisome,6,41,524.0,128,22.0,54.0,19,20,21,25,23,24
peroxisome,6,41,524.0,180,31.0,84.0,23,14,12,30,18,15
peroxisome,6,42,116.0,17,12.0,45.0,11,1,6,16,4,9
peroxisome,6,43,249.0,178,9.0,18.0,23,1,8,29,2,11
peroxisome,6,43,249.0,179,22.0,56.0,23,1,8,30,3,12
peroxisome,6,43,249.0,215,5.0,12.0,28,1,7,31,3,9
peroxisome,6,44,158.0,117,3.0,4.0,20,9,5,22,10,7
peroxisome,6,44,158.0,127,5.0,6.0,21,4,4,24,5,6
peroxisome,6,45,208.0,200,21.0,54.0,24,11,5,30,14,8
peroxisome,6,46,294.0,34,2.0,2.0,14,5,13,16,6,14
peroxisome,6,46,294.0,116,4.0,4.0,19,1,13,23,2,14
peroxisome,6,46,294.0,158,10.0,16.0,22,13,0,26,15,2
peroxisome,6,46,294.0,181,24.0,48.0,22,11,0,30,14,2
