organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,1,188.0,572,10.0,20.0,7,6,8,12,8,10
golgi,1,188.0,1122,4.0,6.0,11,7,9,14,9,10
golgi,1,188.0,2151,13.0,18.0,14,4,11,16,7,14
golgi,1,188.0,2152,9.0,12.0,14,6,2,16,8,5
golgi,1,188.0,2535,50.0,240.0,10,2,1,18,7,7
golgi,1,188.0,2938,51.0,99.0,11,0,3,22,3,6
golgi,1,188.0,2942,44.0,180.0,15,2,1,24,7,5
golgi,1,188.0,3338,10.0,36.0,16,10,13,20,13,16
golgi,1,188.0,4186,29.0,80.0,19,0,1,24,4,5
golgi,1,188.0,4192,1.0,1.0,20,10,9,21,11,10
golgi,1,188.0,5419,11.0,36.0,22,0,1,25,3,5
golgi,1,188.0,5423,186.0,630.0,14,1,9,32,8,14
golgi,1,188.0,5427,11.0,32.0,20,11,13,28,13,15
golgi,1,188.0,5861,14.0,48.0,22,0,3,26,3,7
golgi,1,188.0,6248,6.0,18.0,24,7,4,27,10,6
golgi,1,188.0,6250,33.0,54.0,20,9,8,29,11,11
golgi,1,188.0,6660,55.0,120.0,23,0,4,33,3,8
golgi,1,188.0,7702,35.0,63.0,26,5,5,33,8,8
golgi,1,188.0,7982,7.0,12.0,30,8,9,33,10,11
golgi,2,65.0,3765,83.0,176.0,13,0,3,24,4,7
golgi,2,65.0,6245,53.0,128.0,21,1,1,29,5,5
golgi,2,65.0,7020,32.0,80.0,26,2,1,31,6,5
golgi,3,194.0,50,15.0,36.0,4,5,6,7,8,10
golgi,3,194.0,128,24.0,64.0,5,4,8,9,8,12
golgi,3,194.0,217,32.0,60.0,6,2,3,11,6,6
golgi,3,194.0,218,8.0,12.0,7,6,6,10,8,8
golgi,3,194.0,368,21.0,48.0,8,2,9,12,6,12
golgi,3,194.0,370,4.0,6.0,9,6,6,12,8,7
golgi,3,194.0,570,3.0,4.0,10,2,5,12,4,6
