organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,1,178.0,876,16.0,45.0,9,4,5,14,7,8
LD,1,178.0,1435,5.0,12.0,12,4,7,14,7,9
LD,1,178.0,1436,35.0,100.0,9,5,10,14,9,15
LD,1,178.0,2003,53.0,160.0,9,5,10,17,9,15
LD,1,178.0,2707,31.0,84.0,11,10,5,18,13,9
LD,1,178.0,3457,9.0,18.0,15,6,10,18,9,12
LD,1,178.0,4919,2.0,2.0,17,10,4,19,11,5
LD,1,178.0,4920,4.0,6.0,17,10,4,18,13,6
LD,1,178.0,5729,8.0,16.0,17,2,13,21,4,15
LD,1,178.0,5730,2.0,2.0,18,6,13,20,7,14
LD,1,178.0,7902,1.0,1.0,21,2,14,22,3,15
LD,1,178.0,7903,203.0,500.0,10,1,6,30,6,11
LD,1,178.0,7905,8.0,12.0,20,10,3,23,12,5
LD,1,178.0,10425,13.0,16.0,24,1,9,28,3,11
LD,2,175.0,433,15.0,48.0,9,5,3,13,9,6
LD,2,175.0,434,1.0,1.0,10,8,12,11,9,13
LD,2,175.0,877,3.0,4.0,11,5,13,12,7,15
LD,2,175.0,2004,3.0,3.0,12,3,5,15,4,6
LD,2,175.0,2007,1.0,1.0,13,8,13,14,9,14
LD,2,175.0,2009,107.0,432.0,9,8,3,17,14,12
LD,2,175.0,2706,36.0,90.0,11,2,12,17,7,15
LD,2,175.0,2708,10.0,27.0,13,4,2,16,7,5
LD,2,175.0,2712,5.0,8.0,13,9,3,15,11,5
LD,2,175.0,3458,25.0,36.0,13,0,10,17,3,13
LD,2,175.0,3460,1.0,1.0,15,3,5,16,4,6
LD,2,175.0,3461,3.0,4.0,15,3,12,17,5,13
LD,2,175.0,3462,56.0,160.0,10,3,9,18,7,14
LD,2,175.0,4206,13.0,36.0,15,10,2,18,13,6
LD,2,175.0,4918,45.0,120.0,16,0,10,22,5,14
LD,2,175.0,5731,3.0,3.0,16,1,6,19,2,7
LD,2,175.0,5732,9.0,18.0,17,1,4,20,4,6
LD,2,175.0,5734,21.0,54.0,15,4,1,21,7,4
LD,2,175.0,5739,63.0,252.0,13,3,6,19,10,12
LD,2,175.0,5748,7.0,10.0,16,11,9,21,12,11
LD,2,175.0,6502,12.0,30.0,18,1,11,23,4,13
LD,2,175.0,7224,8.0,16.0,18,11,3,22,13,5
LD,2,175.0,7906,78.0,320.0,16,2,11,24,10,16
LD,2,175.0,7908,53.0,180.0,19,5,6,24,11,12
LD,2,175.0,7912,1.0,1.0,21,11,10,22,12,11
LD,2,175.0,8612,111.0,495.0,19,2,5,30,11,10
LD,2,175.0,9239,9.0,18.0,23,1,9,25,4,12
LD,2,175.0,9240,6.0,12.0,22,3,3,24,5,6
LD,2,175.0,9242,10.0,18.0,22,4,2,25,7,4
LD,2,175.0,9848,57.0,168.0,22,3,11,28,10,15
LD,2,175.0,9851,14.0,24.0,24,7,11,26,11,14
LD,2,175.0,10432,18.0,30.0,23,9,3,28,11,6
LD,2,175.0,10433,118.0,325.0,18,9,3,31,14,8
LD,2,175.0,10972,19.0,48.0,24,2,9,28,5,13
LD,2,175.0,10974,26.0,90.0,26,4,12,32,9,15
LD,2,175.0,10975,11.0,18.0,26,7,11,29,10,13
LD,2,175.0,11924,44.0,125.0,27,5,4,32,10,9
LD,2,175.0,12319,47.0,140.0,27,3,7,32,7,14
LD,2,175.0,12652,14.0,36.0,30,5,9,33,8,13
LD,2,175.0,13147,1.0,1.0,32,4,10,33,5,11
LD,2,175.0,13148,4.0,8.0,31,7,5,33,9,7
LD,3,187.0,432,2.0,2.0,9,6,4,11,7,5
LD,3,187.0,2716,15.0,24.0,12,11,3,18,13,5
LD,3,187.0,3459,2.0,2.0,14,2,7,16,3,8
LD,3,187.0,4202,11.0,18.0,15,6,5,18,8,8
LD,3,187.0,5737,5.0,6.0,17,5,7,20,7,8
LD,3,187.0,5741,2.0,2.0,18,8,1,20,9,2
LD,3,187.0,5746,14.0,42.0,16,10,7,23,12,10
LD,3,187.0,6503,1.0,1.0,19,3,15,20,4,16
LD,3,187.0,6507,4.0,6.0,19,11,7,21,12,10
LD,3,187.0,6512,11.0,12.0,18,13,5,21,15,7
LD,3,187.0,7215,31.0,96.0,17,0,12,23,4,16
LD,3,187.0,7219,5.0,12.0,19,9,4,22,11,6
LD,3,187.0,7907,60.0,128.0,18,3,6,26,7,10
LD,3,187.0,9238,12.0,27.0,22,1,13,25,4,16
LD,3,187.0,9243,4.0,4.0,23,4,3,25,6,4
LD,3,187.0,9249,1.0,1.0,23,14,5,24,15,6
LD,3,187.0,9843,3.0,4.0,24,1,8,25,3,10
LD,3,187.0,9844,9.0,30.0,24,1,12,29,4,14
LD,3,187.0,9846,16.0,48.0,24,3,8,27,7,12
LD,3,187.0,9854,1.0,1.0,24,8,4,25,9,5
LD,3,187.0,10426,16.0,48.0,24,1,9,28,5,12
LD,3,187.0,10427,18.0,60.0,24,2,12,29,5,16
LD,3,187.0,10428,10.0,18.0,24,6,10,27,8,13
LD,3,187.0,10973,6.0,9.0,25,4,5,28,5,8
LD,3,187.0,11459,16.0,36.0,26,3,7,29,6,11
LD,3,187.0,12321,4.0,8.0,29,7,9,31,9,11
LD,3,187.0,12653,1.0,1.0,30,6,4,31,7,5
LD,3,187.0,12654,1.0,1.0,30,12,9,31,13,10
LD,3,187.0,12927,1.0,1.0,31,5,8,32,6,9
LD,3,187.0,12928,1.0,1.0,31,6,9,32,7,10
LD,3,187.0,13425,1.0,1.0,34,10,5,35,11,6
LD,4,141.0,2005,131.0,330.0,9,2,7,20,7,13
LD,4,141.0,2006,172.0,539.0,9,4,4,20,11,11
LD,4,141.0,2008,19.0,36.0,10,8,4,16,11,6
LD,4,141.0,2714,46.0,72.0,14,8,4,20,12,7
LD,4,141.0,4201,2.0,2.0,15,6,13,17,7,14
LD,4,141.0,4921,12.0,30.0,16,3,4,19,8,6
LD,4,141.0,5733,6.0,8.0,17,2,5,19,3,9
LD,4,141.0,5743,15.0,30.0,15,9,11,20,11,14
LD,4,141.0,5747,11.0,16.0,18,8,3,20,12,5
LD,4,141.0,6508,13.0,60.0,17,10,5,22,13,9
LD,4,141.0,7216,64.0,160.0,18,4,3,26,9,7
LD,4,141.0,7218,14.0,48.0,19,7,6,23,11,9
LD,4,141.0,7221,10.0,27.0,19,9,3,22,12,6
LD,4,141.0,7222,8.0,16.0,19,10,11,23,12,13
LD,4,141.0,7225,5.0,6.0,20,12,8,23,13,10
LD,4,141.0,7904,44.0,80.0,19,2,9,24,6,13
LD,4,141.0,7911,49.0,252.0,19,7,2,25,13,9
LD,4,141.0,7914,5.0,9.0,20,11,9,23,12,12
LD,4,141.0,8609,91.0,300.0,17,1,3,27,6,9
LD,4,141.0,9241,9.0,12.0,23,3,11,26,5,13
LD,4,141.0,9245,3.0,4.0,22,6,13,24,8,14
LD,4,141.0,9847,19.0,60.0,21,4,10,26,7,14
LD,4,141.0,10429,5.0,8.0,25,6,9,27,8,11
LD,4,141.0,11461,6.0,8.0,26,6,4,30,8,5
LD,4,141.0,12320,43.0,168.0,27,4,9,35,11,12
LD,5,110.0,2709,25.0,64.0,12,1,3,16,5,7
LD,5,110.0,2715,257.0,704.0,9,2,3,20,10,11
LD,5,110.0,4200,12.0,36.0,15,1,3,18,5,6
LD,5,110.0,4203,14.0,32.0,14,4,2,18,8,4
LD,5,110.0,4204,6.0,12.0,16,5,8,18,7,11
LD,5,110.0,5736,67.0,120.0,16,1,3,24,4,8
LD,5,110.0,6504,61.0,160.0,17,3,6,25,7,11
LD,5,110.0,6509,1.0,1.0,19,9,8,20,10,9
LD,5,110.0,9845,15.0,36.0,22,1,2,26,4,5
LD,5,110.0,9852,4.0,6.0,23,4,10,26,6,11
LD,5,110.0,11460,2.0,2.0,27,3,9,29,4,10
LD,6,228.0,203,1.0,1.0,9,8,12,10,9,13
LD,6,228.0,435,8.0,16.0,7,7,7,11,9,9
LD,6,228.0,437,1.0,1.0,10,10,4,11,11,5
LD,6,228.0,439,4.0,8.0,9,12,7,11,14,9
LD,6,228.0,878,7.0,12.0,11,4,5,13,7,7
LD,6,228.0,1437,1.0,1.0,12,6,4,13,7,5
LD,6,228.0,1438,23.0,84.0,8,6,7,15,10,10
LD,6,228.0,2010,5.0,9.0,12,6,3,15,9,4
LD,6,228.0,2013,8.0,27.0,12,9,2,15,12,5
LD,6,228.0,2014,2.0,2.0,13,11,4,14,13,5
LD,6,228.0,2016,36.0,100.0,10,10,11,15,14,16
LD,6,228.0,2017,14.0,36.0,12,12,4,15,15,8
LD,6,228.0,2018,29.0,96.0,10,12,7,16,16,11
LD,6,228.0,2711,17.0,36.0,12,3,3,16,6,6
