organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,188.0,304,44.0,168.0,5,1,9,9,8,15
mitochondria,1,188.0,463,62.0,264.0,6,5,0,9,16,8
mitochondria,1,188.0,466,6.0,18.0,6,13,6,8,16,9
mitochondria,1,188.0,566,2.0,2.0,7,2,5,8,4,6
mitochondria,1,188.0,772,40.0,144.0,15,11,0,18,17,8
mitochondria,1,188.0,998,3.0,4.0,33,5,8,35,6,10
mitochondria,1,188.0,1000,73.0,520.0,33,4,1,37,17,11
mitochondria,1,188.0,1064,10.0,20.0,35,0,7,37,2,12
mitochondria,1,188.0,1065,2.0,2.0,35,10,0,37,11,1
mitochondria,3,96.0,305,33.0,140.0,5,1,2,9,6,9
mitochondria,3,96.0,462,1.0,1.0,6,2,7,7,3,8
mitochondria,3,96.0,465,8.0,16.0,6,7,1,8,9,5
mitochondria,3,96.0,567,4.0,6.0,7,7,7,8,9,10
mitochondria,3,96.0,568,3.0,4.0,7,9,5,8,11,7
mitochondria,3,96.0,997,66.0,192.0,33,0,2,37,8,8
mitochondria,4,129.0,464,10.0,24.0,6,6,10,9,10,12
mitochondria,4,129.0,569,19.0,48.0,7,8,2,11,11,6
mitochondria,4,129.0,625,3.0,4.0,9,3,0,11,4,2
mitochondria,4,129.0,626,3.0,4.0,9,3,6,11,5,7
mitochondria,4,129.0,641,1.0,1.0,10,7,1,11,8,2
mitochondria,4,129.0,711,327.0,1197.0,13,2,5,32,11,12
mitochondria,4,129.0,901,24.0,72.0,25,3,0,33,6,3
mitochondria,6,264.0,138,1317.0,7854.0,4,1,2,37,18,16
mitochondria,6,264.0,468,3.0,4.0,6,18,7,8,19,9
mitochondria,6,264.0,849,39.0,108.0,20,7,13,29,10,17
mitochondria,6,264.0,1066,15.0,40.0,35,6,13,37,11,17
mitochondria,7,176.0,20,87.0,343.0,3,6,5,10,13,12
mitochondria,7,176.0,140,396.0,4500.0,12,1,2,37,16,14
mitochondria,7,176.0,712,48.0,108.0,13,3,4,25,6,7
mitochondria,7,176.0,736,2.0,2.0,14,3,11,16,4,12
mitochondria,7,176.0,1001,88.0,252.0,33,8,2,37,15,11
mitochondria,7,176.0,1112,1.0,1.0,36,3,4,37,4,5
mitochondria,8,142.0,3,600.0,3146.0,2,1,3,28,12,14
mitochondria,8,142.0,999,124.0,440.0,33,0,1,37,11,11
mitochondria,9,305.0,306,88.0,288.0,5,9,9,17,13,15
mitochondria,9,305.0,467,450.0,3410.0,6,4,1,37,14,12
mitochondria,9,305.0,608,1.0,1.0,8,3,18,9,4,19
mitochondria,9,305.0,609,23.0,63.0,8,5,12,11,8,19
mitochondria,9,305.0,610,159.0,380.0,8,9,17,27,14,21
mitochondria,9,305.0,611,7.0,20.0,8,15,9,10,17,14
mitochondria,9,305.0,627,3.0,4.0,9,4,8,11,5,10
mitochondria,9,305.0,713,101.0,208.0,13,4,14,26,8,18
mitochondria,9,305.0,968,5.0,8.0,32,5,19,34,7,21
mitochondria,9,305.0,1002,2.0,2.0,33,5,5,35,6,6
mitochondria,9,305.0,1033,13.0,45.0,34,3,8,37,6,13
mitochondria,11,302.0,4,1456.0,11970.0,2,1,0,37,20,18
mitochondria,11,302.0,470,4.0,8.0,6,6,0,8,8,2
mitochondria,11,302.0,570,1.0,1.0,7,3,4,8,4,5
mitochondria,11,302.0,665,43.0,99.0,11,1,11,22,4,14
mitochondria,11,302.0,1114,3.0,6.0,36,15,14,37,18,16
mitochondria,12,152.0,21,574.0,2376.0,3,2,5,27,13,14
mitochondria,12,152.0,469,4.0,8.0,6,4,0,8,6,2
mitochondria,12,152.0,471,3.0,4.0,6,8,0,8,9,2
mitochondria,12,152.0,1003,116.0,480.0,33,3,1,37,13,13
mitochondria,13,244.0,22,678.0,5236.0,3,6,2,37,17,16
mitochondria,13,244.0,139,126.0,840.0,4,2,1,14,8,15
mitochondria,13,244.0,472,6.0,8.0,6,8,0,8,10,2
mitochondria,13,244.0,714,382.0,3696.0,13,0,3,37,11,17
mitochondria,13,244.0,1034,2.0,4.0,34,4,7,35,6,9
mitochondria,13,244.0,1113,7.0,16.0,36,2,3,37,6,7
mitochondria,14,105.0,140,379.0,1750.0,4,0,1,29,10,8
mitochondria,14,105.0,141,6.0,12.0,4,7,0,6,9,3
mitochondria,14,105.0,1067,97.0,180.0,35,1,1,37,11,10
mitochondria,16,135.0,142,680.0,4356.0,4,1,0,37,12,12
mitochondria,16,135.0,307,3.0,12.0,5,4,11,7,7,13
mitochondria,16,135.0,473,2.0,2.0,6,2,1,7,3,3
mitochondria,16,135.0,839,77.0,156.0,19,1,8,32,5,11
mitochondria,18,202.0,23,637.0,2992.0,3,1,3,37,12,11
mitochondria,18,202.0,571,17.0,36.0,7,4,15,10,8,18
mitochondria,18,202.0,572,4.0,8.0,7,10,14,9,12,16
mitochondria,19,73.0,21,302.0,1176.0,13,1,3,37,8,10
mitochondria,19,73.0,308,3.0,4.0,5,4,2,7,5,4
mitochondria,19,73.0,309,9.0,18.0,5,3,7,7,6,10
mitochondria,19,73.0,310,28.0,60.0,5,7,1,15,9,4
mitochondria,19,73.0,474,1.0,1.0,6,7,5,7,8,6
mitochondria,21,197.0,26,1023.0,5376.0,3,4,1,31,16,17
