organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,2,207.0,65535,212.0,1386.0,0,10,4,21,16,15
ER,8,209.0,65535,1.0,1.0,24,15,3,25,16,4
ER,9,197.0,65535,1.0,1.0,31,6,3,32,7,4
ER,12,122.0,65535,64.0,910.0,0,1,2,13,15,7
ER,13,188.0,65535,3.0,3.0,10,3,15,13,4,16
ER,15,193.0,65535,326.0,3458.0,0,1,4,19,15,17
ER,17,195.0,65535,31.0,420.0,0,1,1,12,8,6
ER,18,90.0,65535,61.0,1700.0,0,0,1,17,10,11
ER,22,106.0,65535,235.0,1368.0,0,0,5,19,9,13
ER,26,201.0,65535,2.0,52.0,0,0,8,4,13,9
ER,27,152.0,65535,1.0,1.0,9,7,0,10,8,1
ER,30,199.0,65535,22.0,120.0,0,6,15,12,11,17
ER,33,202.0,65535,234.0,1518.0,0,2,0,23,13,6
ER,35,189.0,65535,216.0,2160.0,0,0,10,24,15,16
ER,36,148.0,65535,412.0,3640.0,0,2,1,26,12,15
ER,37,157.0,65535,16.0,96.0,0,2,0,12,6,2
ER,38,252.0,65535,226.0,4368.0,0,2,8,26,14,22
ER,39,77.0,65535,9.0,252.0,0,0,0,14,3,6
ER,40,104.0,65535,216.0,1386.0,0,0,1,21,11,7
ER,41,116.0,65535,60.0,1656.0,0,0,0,23,8,9
ER,43,229.0,65535,1.0,1.0,36,8,13,37,9,14
ER,44,192.0,65535,127.0,1170.0,0,0,2,26,5,11
ER,45,193.0,65535,174.0,1400.0,0,0,0,25,8,7
ER,51,74.0,65535,1.0,1.0,8,4,7,9,5,8
ER,56,134.0,65535,114.0,448.0,0,7,7,16,11,14
ER,58,217.0,65535,5.0,324.0,6,6,0,15,12,6
ER,59,213.0,65535,82.0,1056.0,0,1,3,16,7,14
ER,60,204.0,65535,399.0,3024.0,0,9,1,28,18,13
ER,61,166.0,65535,161.0,720.0,0,1,9,20,7,15
ER,62,139.0,65535,199.0,1080.0,0,8,2,27,12,12
ER,63,132.0,65535,83.0,408.0,0,0,1,17,4,7
ER,64,118.0,65535,48.0,230.0,0,5,10,23,10,12
ER,66,152.0,65535,391.0,2016.0,0,6,0,28,14,9
ER,67,151.0,65535,389.0,4032.0,0,0,1,24,12,15
ER,68,137.0,65535,34.0,80.0,0,4,0,20,6,2
ER,69,183.0,65535,314.0,2200.0,0,7,5,25,15,16
ER,73,170.0,65535,521.0,5616.0,0,0,0,27,13,16
ER,74,201.0,65535,551.0,5967.0,0,0,2,27,17,15
ER,75,75.0,65535,169.0,690.0,0,0,4,23,5,10
ER,76,166.0,65535,527.0,5508.0,0,0,0,27,12,17
ER,78,88.0,65535,282.0,2860.0,0,0,0,26,10,11
ER,82,174.0,65535,1.0,1.0,27,5,4,28,6,5
ER,85,177.0,65535,670.0,6720.0,0,0,0,30,14,16
ER,86,187.0,65535,143.0,630.0,0,0,5,21,3,15
ER,88,200.0,65535,1.0,1.0,28,12,4,29,13,5
ER,96,133.0,65535,1.0,1.0,24,8,7,25,9,8
ER,97,102.0,65535,107.0,640.0,0,2,7,20,10,11
ER,98,182.0,65535,457.0,6664.0,0,0,0,28,14,17
ER,102,163.0,65535,246.0,5376.0,0,0,0,24,14,16
ER,104,89.0,65535,80.0,1512.0,0,0,0,21,8,9
ER,108,210.0,65535,791.0,7616.0,0,0,0,28,16,17
ER,110,182.0,65535,295.0,5460.0,0,2,0,28,15,15
ER,111,190.0,65535,1.0,1.0,23,0,9,24,1,10
ER,114,133.0,65535,87.0,414.0,0,0,3,23,3,9
ER,115,220.0,65535,387.0,4329.0,0,9,0,37,18,13
ER,116,196.0,65535,1.0,1.0,12,6,9,13,7,10
ER,117,198.0,65535,465.0,4940.0,0,7,0,26,17,19
ER,118,151.0,65535,401.0,2592.0,0,6,0,27,14,12
ER,119,119.0,65535,1.0,1.0,24,3,10,25,4,11
ER,120,150.0,65535,1.0,1.0,7,4,10,8,5,11
ER,121,68.0,65535,340.0,1872.0,0,1,0,26,9,9
ER,123,255.0,65535,704.0,8208.0,0,0,0,27,16,19
ER,124,125.0,65535,40.0,132.0,0,7,0,22,10,2
ER,126,167.0,65535,124.0,560.0,0,3,11,20,10,15
ER,129,141.0,65535,757.0,5220.0,0,0,0,29,12,15
ER,132,116.0,65535,276.0,3240.0,0,1,0,27,11,12
ER,133,171.0,65535,249.0,6552.0,0,0,0,24,13,21
ER,134,156.0,65535,457.0,2600.0,0,5,0,26,15,10
ER,136,89.0,65535,21.0,180.0,0,6,9,20,9,12
ER,137,162.0,65535,104.0,2646.0,0,0,6,21,14,15
ER,138,143.0,65535,1.0,1.0,29,4,6,30,5,7
ER,139,221.0,65535,347.0,3570.0,0,6,0,21,16,17
ER,140,116.0,65535,107.0,1120.0,0,3,1,20,11,8
ER,141,57.0,65535,63.0,480.0,0,2,4,16,8,9
