organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,2,207.0,1,9.0,24.0,0,13,4,2,16,8
peroxisome,2,207.0,5,29.0,72.0,1,13,4,7,16,8
peroxisome,2,207.0,70,55.0,132.0,4,13,8,15,16,12
peroxisome,12,122.0,215,114.0,208.0,5,8,1,18,12,5
peroxisome,12,122.0,402,34.0,60.0,10,7,10,20,10,12
peroxisome,15,193.0,110,298.0,570.0,0,9,5,19,14,11
peroxisome,15,193.0,266,31.0,84.0,11,10,10,18,13,14
peroxisome,15,193.0,1010,34.0,63.0,23,3,10,30,6,13
peroxisome,18,90.0,18,201.0,350.0,0,0,5,14,5,10
peroxisome,18,90.0,352,10.0,18.0,14,5,4,17,8,6
peroxisome,18,90.0,518,10.0,27.0,17,5,3,20,8,6
peroxisome,22,106.0,696,108.0,200.0,14,4,6,24,8,11
peroxisome,22,106.0,815,48.0,80.0,23,4,7,28,8,11
peroxisome,26,201.0,33,9.0,9.0,0,0,13,9,1,14
peroxisome,26,201.0,1011,29.0,36.0,21,0,10,30,1,14
peroxisome,36,148.0,35,79.0,140.0,2,2,9,9,6,14
peroxisome,36,148.0,72,31.0,72.0,8,2,10,14,6,13
peroxisome,36,148.0,146,76.0,192.0,4,0,10,20,3,14
peroxisome,36,148.0,353,75.0,176.0,10,5,2,21,9,6
peroxisome,36,148.0,700,193.0,350.0,14,5,9,28,10,14
peroxisome,36,148.0,888,17.0,42.0,23,7,12,30,10,14
peroxisome,36,148.0,957,3.0,3.0,24,10,3,27,11,4
peroxisome,38,252.0,758,27.0,48.0,17,4,20,25,7,22
peroxisome,38,252.0,821,45.0,80.0,23,3,20,33,7,22
peroxisome,40,104.0,38,1.0,1.0,6,6,1,7,7,2
peroxisome,40,104.0,55,4.0,6.0,6,5,1,9,7,2
peroxisome,40,104.0,222,19.0,36.0,8,3,1,14,6,3
peroxisome,40,104.0,270,10.0,16.0,13,2,1,17,4,3
peroxisome,40,104.0,406,8.0,24.0,15,2,1,19,4,4
peroxisome,56,134.0,1116,6.0,6.0,27,10,11,33,11,12
peroxisome,59,213.0,640,48.0,112.0,17,2,6,24,6,10
peroxisome,59,213.0,823,5.0,8.0,22,1,7,24,3,9
peroxisome,59,213.0,959,7.0,8.0,24,1,7,28,2,9
peroxisome,60,204.0,462,109.0,220.0,12,7,7,23,12,11
peroxisome,60,204.0,1071,130.0,220.0,21,9,5,32,13,10
peroxisome,61,166.0,1116,5.0,5.0,27,2,14,32,3,15
peroxisome,62,139.0,311,2.0,2.0,13,11,5,15,12,6
peroxisome,62,139.0,358,3.0,3.0,13,11,6,16,12,7
peroxisome,64,118.0,21,3.0,3.0,4,9,11,7,10,12
peroxisome,67,151.0,408,31.0,54.0,13,8,10,19,11,13
peroxisome,67,151.0,464,4.0,4.0,14,8,13,18,9,14
peroxisome,67,151.0,890,12.0,24.0,21,1,2,25,3,5
peroxisome,67,151.0,1020,13.0,30.0,25,1,2,30,3,5
peroxisome,69,183.0,312,23.0,40.0,9,13,5,19,15,7
peroxisome,69,183.0,407,11.0,24.0,13,5,10,17,8,12
peroxisome,69,183.0,463,32.0,96.0,13,5,10,21,8,14
peroxisome,69,183.0,961,9.0,18.0,23,12,9,26,15,11
peroxisome,69,183.0,1119,75.0,120.0,23,12,7,33,15,11
peroxisome,72,133.0,312,38.0,60.0,9,3,13,19,6,15
peroxisome,73,170.0,82,10.0,15.0,7,2,12,12,3,15
peroxisome,73,170.0,228,3.0,4.0,12,3,0,13,5,2
peroxisome,73,170.0,313,23.0,64.0,12,3,0,16,7,4
peroxisome,73,170.0,465,6.0,18.0,16,3,0,19,6,2
peroxisome,73,170.0,524,6.0,18.0,17,4,0,20,7,2
peroxisome,73,170.0,582,4.0,8.0,18,5,0,20,7,2
peroxisome,73,170.0,641,20.0,45.0,19,5,1,24,8,4
peroxisome,73,170.0,825,2.0,2.0,23,5,0,24,6,2
peroxisome,73,170.0,960,2.0,2.0,24,2,1,26,3,2
peroxisome,74,201.0,11,2.0,2.0,4,16,6,5,17,8
peroxisome,74,201.0,42,1.0,1.0,6,16,7,7,17,8
peroxisome,74,201.0,153,3.0,3.0,9,16,6,12,17,7
peroxisome,74,201.0,764,80.0,120.0,18,1,3,28,5,6
peroxisome,76,166.0,23,11.0,27.0,4,5,11,7,8,14
peroxisome,76,166.0,41,2.0,2.0,6,7,13,7,8,15
peroxisome,76,166.0,152,42.0,72.0,6,7,13,14,10,16
peroxisome,76,166.0,229,20.0,72.0,7,1,9,15,4,12
peroxisome,76,166.0,230,139.0,325.0,6,1,6,19,6,11
peroxisome,76,166.0,893,45.0,80.0,16,4,15,26,8,17
peroxisome,76,166.0,1024,47.0,64.0,25,4,15,33,8,17
peroxisome,76,166.0,1025,1.0,1.0,27,11,10,28,12,11
peroxisome,78,88.0,83,207.0,450.0,2,4,1,17,10,6
peroxisome,78,88.0,1121,29.0,72.0,25,8,2,34,10,6
peroxisome,78,88.0,1217,4.0,8.0,31,8,4,33,10,6
peroxisome,85,177.0,188,15.0,40.0,8,5,14,13,9,16
peroxisome,85,177.0,276,31.0,64.0,12,5,14,20,9,16
peroxisome,85,177.0,361,21.0,48.0,13,6,1,17,10,4
peroxisome,85,177.0,412,69.0,108.0,12,6,11,21,9,15
peroxisome,85,177.0,528,5.0,5.0,17,6,0,22,7,1
peroxisome,85,177.0,584,32.0,45.0,16,6,1,21,9,4
peroxisome,85,177.0,647,14.0,27.0,20,6,1,23,9,4
peroxisome,85,177.0,650,15.0,20.0,17,13,6,22,14,10
peroxisome,85,177.0,769,16.0,24.0,22,12,6,25,14,10
peroxisome,85,177.0,896,28.0,54.0,20,6,14,29,9,16
peroxisome,85,177.0,1027,8.0,8.0,25,12,7,27,14,9
peroxisome,85,177.0,1073,36.0,80.0,25,12,4,33,14,9
peroxisome,86,187.0,826,1.0,1.0,23,0,11,24,1,12
peroxisome,93,127.0,651,7.0,7.0,15,11,9,22,12,10
peroxisome,93,127.0,828,9.0,42.0,22,10,8,29,12,11
peroxisome,97,102.0,770,41.0,90.0,18,2,8,24,7,11
peroxisome,97,102.0,901,49.0,100.0,23,3,7,28,8,11
peroxisome,98,182.0,44,122.0,300.0,1,1,1,13,6,6
peroxisome,98,182.0,470,116.0,270.0,9,4,8,18,10,13
peroxisome,98,182.0,532,62.0,288.0,13,5,7,21,11,13
peroxisome,98,182.0,587,14.0,60.0,19,5,7,21,10,13
peroxisome,98,182.0,709,128.0,288.0,19,4,7,27,10,13
peroxisome,98,182.0,1028,53.0,144.0,19,9,2,31,13,5
peroxisome,98,182.0,1075,100.0,200.0,22,4,0,32,9,4
peroxisome,98,182.0,1076,55.0,180.0,26,2,7,32,8,12
peroxisome,98,182.0,1124,41.0,72.0,28,2,6,32,8,9
peroxisome,98,182.0,1162,4.0,4.0,30,6,0,32,8,1
peroxisome,102,163.0,122,99.0,384.0,3,8,9,19,12,15
peroxisome,108,210.0,124,54.0,80.0,5,6,15,15,10,17
peroxisome,108,210.0,472,118.0,176.0,11,2,3,22,6,7
peroxisome,108,210.0,473,57.0,120.0,13,13,4,23,16,8
peroxisome,108,210.0,534,132.0,300.0,12,8,8,24,13,13
peroxisome,108,210.0,590,18.0,27.0,15,6,16,24,9,17
peroxisome,108,210.0,654,6.0,12.0,19,12,2,21,15,4
peroxisome,108,210.0,655,3.0,4.0,20,14,6,22,16,7
peroxisome,108,210.0,711,25.0,80.0,19,11,3,24,15,7
peroxisome,108,210.0,831,11.0,24.0,22,11,3,24,15,6
peroxisome,108,210.0,968,99.0,200.0,20,4,5,30,9,9
peroxisome,108,210.0,971,29.0,60.0,22,11,2,27,14,6
